#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Ohsera Daichi,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.500,0.000,0.500,64,0.000,,100.0%,50.0%,50.0%,1.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Ohta Taishi,2,9,8,1,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0.250,0.333,0.375,0.708,118,0.125,0.286,22.2%,11.1%,11.1%,1.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Ohtake Koutaro,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Yasuda Hisanori,7,27,25,1,8,3,0,0,11,6,0,0,0,0,5,2,0,0,2,0.320,0.370,0.440,0.810,144,0.120,0.400,25.9%,18.5%,7.4%,0.40,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Adachi Ryoichi,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Mune Yuma,11,50,40,4,11,3,0,0,14,5,0,0,4,0,3,6,0,0,0,0.275,0.370,0.350,0.720,127,0.075,0.297,18.0%,6.0%,12.0%,2.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Gibo Sho,2,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.2,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Miyazaki Toshiro,2,9,9,2,3,0,0,1,6,2,0,0,0,0,1,0,0,0,0,0.333,0.333,0.667,1.000,203,0.333,0.286,22.2%,11.1%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kozono Kaito,5,22,18,2,7,0,1,0,9,1,1,0,0,0,3,4,3,0,0,0.389,0.500,0.500,1.000,215,0.111,0.467,31.8%,13.6%,18.2%,1.33,0.2,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Obata Ryuhei,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,0.0%,0.0%,0.0%,,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Oda Yuya,4,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Yamaguchi Koki,6,21,20,1,2,0,0,0,2,2,0,0,0,1,7,0,0,0,0,0.100,0.095,0.100,0.195,-38,0.000,0.143,33.3%,33.3%,0.0%,0.00,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Yamamoto Yuudai,2,9,8,0,2,1,0,0,3,0,0,0,1,0,3,0,0,0,0,0.250,0.250,0.375,0.625,91,0.125,0.400,33.3%,33.3%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
