#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
,Yanagita Yuki,141,593,516,95,155,36,2,28,279,80,6,0,0,2,122,69,8,6,6,0.300,0.388,0.541,0.929,166,0.241,0.345,20.6%,11.6%,0.57,0.9,16.2%,26.3%,79.5%,50.5%,14.8%,36.9%,32,9,L,SoftBank Hawks,PL
,Asamura Hideto,143,595,483,70,130,18,1,18,204,67,1,0,0,7,96,101,5,4,24,0.269,0.395,0.422,0.817,141,0.153,0.298,16.1%,17.0%,1.05,0.0,10.2%,17.2%,87.4%,39.4%,7.3%,36.1%,30,4,R,Rakuten Eagles,PL
,Kobukata Hiroto,121,455,391,60,97,10,3,3,122,21,5,5,16,1,65,44,0,3,1,0.248,0.328,0.312,0.640,89,0.064,0.290,14.3%,9.7%,0.68,-0.9,11.4%,17.4%,91.5%,40.2%,5.9%,24.6%,25,6,L,Rakuten Eagles,PL
,Mogi Eigoro,120,466,410,50,106,19,4,14,175,53,6,5,0,2,107,48,0,6,6,0.259,0.343,0.427,0.770,125,0.168,0.316,23.0%,10.3%,0.45,-0.7,15.8%,23.2%,82.1%,47.4%,11.1%,36.3%,27,5,L,Rakuten Eagles,PL
,Okajima Takero,126,507,461,40,129,30,4,8,191,56,3,6,5,4,94,28,1,9,9,0.280,0.331,0.414,0.745,118,0.134,0.333,18.5%,5.5%,0.30,-1.6,12.8%,25.9%,87.3%,46.6%,8.4%,25.6%,31,9,L,Rakuten Eagles,PL
,Shimauchi Hiroaki,141,599,486,64,125,34,5,21,232,96,2,2,2,6,87,97,2,8,15,0.257,0.385,0.477,0.862,152,0.220,0.271,14.5%,16.2%,1.11,-0.5,18.3%,16.3%,90.5%,37.6%,5.6%,34.2%,31,7,L,Rakuten Eagles,PL
,Suzuki Daichi,143,628,552,70,153,19,3,10,208,53,3,2,13,5,51,52,0,6,12,0.277,0.343,0.377,0.720,111,0.100,0.288,8.1%,8.3%,1.02,-0.3,18.9%,20.0%,94.1%,44.3%,6.2%,18.0%,31,3,L,Rakuten Eagles,PL
,Tatsumi Ryosuke,130,443,374,49,84,13,1,10,129,32,6,6,11,1,99,51,0,6,7,0.225,0.326,0.345,0.671,97,0.120,0.278,22.3%,11.5%,0.52,-1.1,10.6%,21.7%,86.4%,43.9%,10.1%,36.1%,24,8,L,Rakuten Eagles,PL
,Genda Sosuke,119,516,464,60,126,15,7,2,161,29,24,9,17,2,67,31,0,2,5,0.272,0.319,0.347,0.666,92,0.075,0.312,13.0%,6.0%,0.46,1.0,10.3%,27.6%,92.2%,44.8%,5.6%,19.4%,28,6,L,Seibu Lions,PL
,Kuriyama Takumi,117,446,387,33,97,15,0,4,124,43,1,0,0,7,58,49,1,3,11,0.251,0.334,0.320,0.654,89,0.069,0.280,13.0%,11.0%,0.84,0.1,8.1%,23.0%,92.7%,44.8%,7.3%,24.9%,37,DH,L,Seibu Lions,PL
,Mori Tomoya,125,520,431,70,133,32,2,11,202,41,5,2,1,3,65,79,3,6,4,0.309,0.420,0.469,0.889,155,0.160,0.341,12.5%,15.2%,1.22,0.1,14.3%,18.8%,86.7%,44.3%,8.1%,29.8%,25,2,L,Seibu Lions,PL
,Nakamura Takeya,123,475,430,50,122,13,0,18,189,74,0,0,0,4,114,39,3,2,12,0.284,0.343,0.440,0.783,124,0.156,0.344,24.0%,8.2%,0.34,-0.1,18.8%,28.5%,81.6%,49.9%,15.4%,36.0%,37,DH,R,Seibu Lions,PL
,Wu Nien-Ting,130,478,425,43,101,17,0,10,148,48,3,2,4,3,70,43,1,3,3,0.238,0.310,0.348,0.658,89,0.110,0.261,14.6%,9.0%,0.61,-0.2,20.9%,25.0%,90.2%,43.2%,6.7%,25.7%,28,UTL,L,Seibu Lions,PL
,Asama Daiki,128,458,411,42,103,17,2,5,139,31,8,4,7,4,115,31,2,5,5,0.251,0.308,0.338,0.646,89,0.087,0.332,25.1%,6.8%,0.27,-0.0,13.3%,29.3%,84.2%,50.1%,11.8%,33.0%,25,8,L,Nipponham Fighters,PL
,Kondoh Kensuke,133,545,447,61,133,37,4,11,211,69,4,1,0,6,84,88,3,4,11,0.298,0.413,0.472,0.885,159,0.174,0.341,15.4%,16.1%,1.05,0.2,10.8%,12.1%,88.5%,38.0%,5.5%,33.6%,27,DH,L,Nipponham Fighters,PL
,Nishikawa Haruki,130,547,447,68,104,19,5,3,142,35,24,11,3,4,99,89,1,4,3,0.233,0.362,0.318,0.680,101,0.085,0.289,18.1%,16.3%,0.90,0.3,11.6%,11.2%,88.2%,34.9%,5.8%,34.9%,29,7,L,Nipponham Fighters,PL
