#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,Katoh Shohei,50,199,174,22,60,8,3,2,80,27,4,5,1,3,28,20,1,1,0,0.345,0.409,0.460,0.869,137,0.115,0.395,14.1%,10.1%,0.71,-0.8,25.1%,29,8,S,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Takabe Akito,67,200,192,25,66,6,3,1,81,16,14,3,1,0,33,7,0,0,2,0.344,0.367,0.422,0.789,115,0.078,0.411,16.5%,3.5%,0.21,1.6,20.5%,22,7,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Yamaguchi Koki,70,267,244,29,63,8,2,7,96,30,0,4,0,2,51,19,0,2,14,0.258,0.315,0.393,0.708,94,0.135,0.298,19.1%,7.1%,0.37,-1.1,28.8%,19,,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Mimori Masaki,49,213,186,29,60,14,0,1,77,21,11,9,4,0,44,22,1,1,0,0.323,0.397,0.414,0.811,133,0.091,0.418,20.7%,10.3%,0.50,-0.9,31.5%,21,4,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Nomura Daiju,74,254,224,34,59,10,1,3,80,20,1,4,2,1,33,27,0,0,9,0.263,0.341,0.357,0.698,100,0.094,0.296,13.0%,10.6%,0.82,-1.0,24.8%,19,,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Sunagawa Richard,72,273,249,30,57,11,1,12,106,47,1,1,1,3,72,17,0,3,8,0.229,0.283,0.426,0.709,101,0.197,0.268,26.4%,6.2%,0.24,-0.0,37.0%,21,,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Tanigawara Kenta,70,203,163,27,43,7,1,4,64,13,9,10,7,1,38,31,0,1,2,0.264,0.383,0.393,0.776,123,0.129,0.320,18.7%,15.3%,0.82,-1.6,36.0%,23,,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Kurokawa Fumiya,57,248,219,35,65,3,0,6,86,31,1,4,2,3,35,22,0,2,3,0.297,0.362,0.393,0.755,113,0.096,0.326,14.1%,8.9%,0.63,-0.9,25.4%,19,4,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Murabayashi Itsuki,69,268,237,28,70,5,1,2,83,23,15,9,9,3,17,18,0,1,7,0.295,0.344,0.350,0.694,96,0.055,0.308,6.3%,6.7%,1.06,-0.2,13.8%,22,DH,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Wada Ren,67,267,229,35,55,6,0,12,97,35,0,2,0,1,56,32,2,5,11,0.240,0.345,0.424,0.769,116,0.184,0.265,21.0%,12.0%,0.57,-0.5,37.5%,24,DH,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Yamashita Ayatsugu,63,233,207,34,59,10,1,6,89,26,0,1,1,2,39,22,1,1,11,0.285,0.353,0.430,0.783,120,0.145,0.323,16.7%,9.4%,0.56,-0.2,28.8%,27,2,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Takagi Wataru,53,234,203,26,48,10,1,9,87,24,3,1,0,0,49,31,2,0,9,0.236,0.338,0.429,0.767,117,0.193,0.269,20.9%,13.2%,0.63,0.3,38.0%,20,9,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,Takeda Aito,55,225,203,29,52,5,0,10,87,32,5,2,0,2,27,15,0,5,10,0.256,0.320,0.429,0.749,111,0.173,0.250,12.0%,6.7%,0.56,0.3,23.1%,23,9,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,Yamada Haruka,62,255,215,27,62,15,2,7,102,25,5,3,5,1,44,31,0,3,0,0.288,0.384,0.474,0.858,143,0.186,0.333,17.3%,12.2%,0.70,0.1,32.2%,23,5,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,Imai Junnosuke,58,224,180,20,48,12,0,5,75,25,0,0,4,1,28,30,0,9,4,0.267,0.395,0.417,0.812,136,0.150,0.291,12.5%,13.4%,1.07,0.2,28.1%,22,,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,Mannami Chusei,58,240,209,27,41,10,2,8,79,31,5,1,0,0,87,31,0,0,4,0.196,0.300,0.378,0.678,95,0.182,0.289,36.2%,12.9%,0.36,0.7,52.5%,20,,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
