Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Ishii Masaki,27,0,0,1,0,0,102,24.0,17,0,13,10,0,1,1,5,4,1.50,3.85,4.51,1.12,246,89,117,-2.35,0.0%,12.7%,9.8%,2.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itoh Kazuo,9,0,2,1,0,0,31,7.1,7,0,6,4,0,0,0,4,3,3.68,3.56,4.15,1.50,100,83,107,0.12,0.0%,19.4%,12.9%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Iwata Minoru,9,1,3,0,0,0,126,31.0,31,0,30,7,0,1,0,12,10,2.90,2.39,2.97,1.23,127,55,77,0.51,0.0%,23.8%,5.6%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Iwazaki Suguru,1,0,0,0,0,0,3,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.44,-1.87,0.00,999,-10,-48,0.44,0.0%,66.7%,0.0%,66.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kawahara Riku,3,0,2,0,0,0,36,7.0,8,0,4,6,0,0,0,6,4,5.14,4.98,5.36,2.00,72,115,139,0.16,0.0%,11.1%,16.7%,-5.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kobayashi Keisuke,10,1,1,1,0,0,39,9.1,11,1,6,1,0,1,0,5,5,4.82,4.31,3.52,1.29,77,100,91,0.51,2.6%,15.4%,2.6%,12.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kuwahara Kentaro,13,0,1,1,0,0,58,13.0,15,1,16,4,0,0,1,8,8,5.54,3.02,2.73,1.46,67,70,71,2.52,1.7%,27.6%,6.9%,20.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Lu Yen-Ching,16,1,4,0,0,0,171,40.0,38,4,36,17,0,1,5,24,14,3.15,4.40,3.69,1.38,117,102,95,-1.25,2.3%,21.1%,9.9%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Maki Johichiro,22,0,1,0,0,0,161,36.1,40,2,23,17,0,2,3,22,19,4.71,4.57,4.43,1.57,78,106,114,0.14,1.2%,14.3%,10.6%,3.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Mochizuki Atsushi,11,1,1,2,0,0,94,20.2,24,0,10,12,0,1,3,15,15,6.53,4.47,5.01,1.74,57,104,129,2.06,0.0%,10.6%,12.8%,-2.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Moriya Kouki,9,0,1,0,0,0,36,8.1,8,0,9,1,0,1,0,5,2,2.16,2.11,2.58,1.08,171,49,67,0.05,0.0%,25.0%,2.8%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nakata Kenichi,10,2,4,0,0,0,201,46.1,42,3,29,22,0,6,6,20,18,3.50,4.96,4.45,1.38,106,115,115,-1.46,1.5%,14.4%,10.9%,3.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nishi Junya,11,4,3,0,0,0,201,45.0,46,6,27,27,0,3,3,21,20,4.00,6.09,4.80,1.62,92,141,124,-2.09,3.0%,13.4%,13.4%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nohmi Atsushi,2,0,0,0,0,0,8,2.0,2,0,3,0,0,0,0,0,0,0.00,0.56,1.05,1.00,999,13,27,-0.56,0.0%,37.5%,0.0%,37.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ogawa Ippei,7,1,0,0,0,0,29,8.0,3,0,6,2,1,0,1,1,1,1.13,2.80,3.42,0.62,327,65,88,-1.67,0.0%,20.7%,6.9%,13.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Onaka Yuya,21,0,0,4,0,0,87,19.2,28,3,10,2,0,0,1,16,15,6.86,4.83,3.88,1.53,54,112,100,2.03,3.4%,11.5%,2.3%,9.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ono Taiki,15,0,4,0,0,0,125,22.2,33,4,14,27,0,2,2,29,29,11.51,8.45,5.84,2.65,32,196,151,3.06,3.2%,11.2%,21.6%,-10.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Oyokawa Masaki,9,2,4,0,0,0,145,33.0,38,7,11,13,0,0,3,25,22,6.00,6.83,4.94,1.55,62,158,128,-0.83,4.8%,7.6%,9.0%,-1.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Saiki Hiroto,5,0,1,0,0,0,71,16.0,17,1,17,4,0,0,1,7,6,3.38,2.99,2.97,1.31,109,69,77,0.39,1.4%,23.9%,5.6%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Saitoh Yukiya,17,2,3,0,0,0,191,46.0,39,1,51,20,0,4,6,18,14,2.74,3.19,3.18,1.28,135,74,82,-0.45,0.5%,26.7%,10.5%,16.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Shimamoto Hiroya,1,0,1,0,0,0,7,1.0,2,0,2,2,0,0,0,2,2,18.00,5.56,4.80,4.00,21,129,124,12.44,0.0%,28.6%,28.6%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takahashi Haruto,4,0,1,0,0,0,32,9.0,7,0,9,1,0,0,2,2,2,2.00,1.89,2.30,0.89,185,44,59,0.11,0.0%,28.1%,3.1%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takano Keisuke,20,0,1,0,0,0,204,41.2,54,6,23,27,0,5,6,29,27,5.83,6.63,5.00,1.94,63,154,129,-0.80,2.9%,11.3%,13.2%,-1.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Tanigawa Masaki,21,1,0,3,0,0,99,22.0,29,0,17,7,0,0,1,10,10,4.09,2.96,3.79,1.64,90,69,98,1.13,0.0%,17.2%,7.1%,10.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Yokoyama Yuya,16,4,2,0,0,0,282,67.1,55,6,35,25,1,2,0,24,19,2.54,4.88,4.45,1.19,145,113,115,-2.34,2.1%,12.4%,8.9%,3.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Aduwa Makoto,8,2,4,0,0,0,138,29.0,43,2,15,12,0,1,1,21,20,6.21,4.76,4.58,1.90,59,112,118,1.45,1.4%,10.9%,8.7%,2.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Corniel Robert,10,1,1,1,0,0,50,12.0,12,1,11,4,0,0,0,5,4,3.00,3.80,3.40,1.33,121,89,88,-0.80,2.0%,22.0%,8.0%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Fujii Kouya,27,2,2,2,0,0,124,27.1,26,1,22,18,0,0,2,17,14,4.61,4.40,4.48,1.61,79,104,116,0.21,0.8%,17.7%,14.5%,3.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Fujii Reira,18,0,1,1,0,0,96,24.2,13,1,28,8,0,0,1,5,3,1.09,2.78,2.72,0.85,334,65,70,-1.69,1.0%,29.2%,8.3%,20.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Hiraoka Takato,16,1,1,0,0,0,80,17.1,21,2,17,7,0,1,1,18,18,9.35,4.48,3.55,1.62,39,105,92,4.87,2.5%,21.2%,8.8%,12.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Ichioka Ryuji,19,1,0,0,0,0,85,19.0,17,2,16,10,0,1,3,8,8,3.79,4.98,4.09,1.42,96,117,106,-1.19,2.4%,18.8%,11.8%,7.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Imamura Takeru,23,2,1,0,0,0,103,23.2,23,2,19,11,0,0,1,13,13,4.94,4.44,4.02,1.44,74,105,104,0.50,1.9%,18.4%,10.7%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Johnson DJ,12,0,0,0,0,0,51,12.0,9,0,13,6,0,2,5,3,3,2.25,3.39,3.43,1.25,162,80,89,-1.14,0.0%,25.5%,11.8%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Johnson Kris,8,2,3,0,0,0,179,39.2,46,3,30,21,0,0,2,21,18,4.08,4.61,4.30,1.69,89,109,111,-0.53,1.7%,16.8%,11.7%,5.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kemna Makoto,3,0,0,1,0,0,10,3.0,2,0,3,0,0,0,0,1,0,0.00,1.56,1.80,0.67,999,37,47,-1.56,0.0%,30.0%,0.0%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Mena Alfredo,15,3,2,0,0,0,190,45.2,39,1,45,16,0,2,2,15,15,2.96,3.05,3.27,1.20,123,72,84,-0.09,0.5%,23.7%,8.4%,15.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Montilla Emailin,14,2,2,0,0,0,175,37.2,46,2,34,20,0,0,4,23,21,5.02,4.03,4.00,1.75,73,95,103,0.99,1.1%,19.4%,11.4%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakamura Kyohei,12,1,1,0,0,0,56,12.2,11,1,16,8,0,0,1,6,5,3.55,3.95,3.37,1.50,103,93,87,-0.40,1.8%,28.6%,14.3%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakamura Yuta,10,3,4,0,0,0,232,55.0,60,5,31,10,0,0,1,28,25,4.09,4.16,3.89,1.27,89,98,101,-0.07,2.2%,13.4%,4.3%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakata Ren,8,1,0,1,0,0,30,7.1,5,0,7,4,0,0,1,1,1,1.23,3.28,3.80,1.23,296,77,98,-2.05,0.0%,23.3%,13.3%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakazaki Shota,5,0,0,0,0,0,21,5.0,3,0,4,4,0,0,0,1,1,1.80,4.36,4.80,1.40,202,103,124,-2.56,0.0%,19.0%,19.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nomura Yusuke,5,1,2,0,0,0,104,24.2,25,1,21,9,0,0,0,12,8,2.92,3.47,3.65,1.38,125,82,94,-0.55,1.0%,20.2%,8.7%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Okada Akitake,14,0,4,0,0,0,128,29.1,16,2,21,25,0,2,8,20,17,5.22,5.77,5.11,1.40,70,136,132,-0.55,1.6%,16.4%,19.5%,-3.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Sasaki Ken,3,0,0,0,0,0,19,2.1,4,0,3,8,0,0,3,6,6,23.14,11.27,7.43,5.14,16,265,192,11.87,0.0%,15.8%,42.1%,-26.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Scott Tayler,19,3,3,1,0,0,166,40.2,38,1,39,6,0,3,2,19,13,2.88,2.62,2.81,1.08,126,62,73,0.26,0.6%,23.5%,3.6%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Shimauchi Sotaro,6,0,0,0,0,0,21,6.0,1,0,6,2,0,0,0,0,0,0.00,2.56,2.90,0.50,999,60,75,-2.56,0.0%,28.6%,9.5%,19.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Suzuki Hiroto,1,0,0,0,0,0,5,1.0,2,0,0,1,0,0,0,1,1,9.00,6.56,6.80,3.00,40,154,176,2.44,0.0%,0.0%,20.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Takahashi Kouya,7,0,2,1,0,0,97,23.2,23,1,26,9,0,0,0,12,11,4.18,3.05,3.05,1.35,87,72,79,1.13,1.0%,26.8%,9.3%,17.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Takahashi Mikiya,17,0,0,0,0,0,74,18.0,19,0,19,5,0,1,4,7,7,3.50,2.44,2.91,1.33,104,57,75,1.06,0.0%,25.7%,6.8%,18.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tamamura Shogo,1,0,0,0,0,0,6,0.0,6,0,0,0,0,0,0,4,3,,nan,4.80,,0,nan,124,,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tanaka Norihiko,25,1,1,12,0,0,104,26.0,16,1,27,8,0,1,3,7,5,1.73,3.02,2.97,0.92,210,71,77,-1.29,1.0%,26.0%,7.7%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tokoda Hiroki,4,2,1,0,0,0,89,22.0,23,2,12,3,0,0,1,8,8,3.27,4.06,3.79,1.18,111,96,98,-0.79,2.2%,13.5%,3.4%,10.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Une Takamasa,20,0,1,0,0,0,109,20.2,37,3,15,8,0,4,2,20,20,8.71,5.73,4.16,2.18,42,135,107,2.98,2.8%,13.8%,7.3%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yabuta Kazuki,4,1,2,0,0,0,94,22.0,21,1,19,6,0,2,3,15,14,5.73,3.51,3.42,1.23,64,83,88,2.22,1.1%,20.2%,6.4%,13.8%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yamaguchi Sho,8,0,4,0,0,0,122,26.0,31,3,17,17,0,1,1,18,18,6.23,5.82,4.80,1.85,58,137,124,0.41,2.5%,13.9%,13.9%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yasaki Takuya,8,1,0,0,0,0,102,27.0,13,2,33,9,0,0,1,7,7,2.33,3.07,2.45,0.81,156,72,63,-0.74,2.0%,32.4%,8.8%,23.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Akama Ken,33,4,0,0,0,0,188,42.1,44,4,45,16,0,0,2,21,18,3.83,3.79,3.26,1.42,94,90,84,0.04,2.1%,23.9%,8.5%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Asada Sota,11,3,2,0,0,0,223,50.2,48,8,24,34,0,2,3,29,23,4.09,6.79,5.25,1.62,88,161,136,-2.70,3.6%,10.8%,15.2%,-4.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Cordero Remy,22,2,1,0,0,0,121,25.1,20,3,35,26,0,1,2,17,14,4.97,5.53,4.06,1.82,72,131,105,-0.56,2.5%,28.9%,21.5%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Diaz Yofrec,13,1,2,0,0,0,74,13.2,12,0,10,22,0,0,3,14,12,7.90,6.92,6.42,2.49,46,165,166,0.98,0.0%,13.5%,29.7%,-16.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Escobar Edwin,4,1,0,0,0,0,15,4.0,1,0,4,1,0,0,0,0,0,0.00,2.31,2.80,0.50,999,55,72,-2.31,0.0%,26.7%,6.7%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Fujioka Yoshiaki,21,1,2,3,0,0,85,21.0,17,3,15,8,0,1,0,9,8,3.43,5.27,3.98,1.19,105,125,103,-1.84,3.5%,17.6%,9.4%,8.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Hamaguchi Haruhiro,2,1,0,0,0,0,35,8.1,7,0,8,3,0,1,1,2,2,2.16,3.07,3.37,1.20,167,73,87,-0.91,0.0%,22.9%,8.6%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Hamaya Kodai,18,2,1,0,0,0,114,25.0,19,0,18,21,0,3,2,17,10,3.60,5.00,5.06,1.60,100,119,131,-1.40,0.0%,15.8%,18.4%,-2.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Iizuka Satoshi,27,1,2,0,0,0,217,39.0,67,3,26,30,0,2,4,50,39,9.00,5.68,4.98,2.49,40,135,129,3.32,1.4%,12.0%,13.8%,-1.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Inoh Shoichi,2,0,0,0,0,0,22,6.0,2,0,5,3,0,0,0,0,0,0.00,3.39,3.89,0.83,999,81,101,-3.39,0.0%,22.7%,13.6%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Ise Hiromu,10,0,0,1,0,0,38,10.1,4,1,10,4,0,1,0,1,1,0.87,4.33,3.22,0.77,414,103,83,-3.46,2.6%,26.3%,10.5%,15.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kamichatani Taiga,6,1,1,0,0,0,90,23.0,17,0,30,3,0,1,1,6,4,1.57,1.47,1.80,0.87,229,35,47,0.10,0.0%,33.3%,3.3%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kasai Takamasa,27,4,4,1,0,0,130,26.2,30,3,33,16,0,3,5,16,12,4.05,4.68,3.49,1.73,89,111,90,-0.63,2.3%,25.4%,12.3%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Katsumata Atsushi,1,0,0,0,0,0,6,1.0,2,0,0,1,0,0,0,2,2,18.00,6.56,6.47,3.00,20,156,167,11.44,0.0%,0.0%,16.7%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Komura Toru,4,0,0,0,0,0,22,4.0,5,0,4,5,0,1,1,1,1,2.25,6.06,5.25,2.50,160,144,136,-3.81,0.0%,18.2%,22.7%,-4.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kyoyama Masaya,8,0,2,0,0,0,144,31.2,37,7,31,15,0,0,2,20,20,5.68,5.89,3.69,1.64,63,140,95,-0.21,4.9%,21.5%,10.4%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Mikami Tomoya,22,2,2,7,0,0,88,21.1,18,1,18,7,0,0,1,10,8,3.38,3.46,3.55,1.17,107,82,92,-0.08,1.1%,20.5%,8.0%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Miyagi Daita,12,5,4,0,1,0,273,64.0,63,5,33,26,0,2,3,28,22,3.09,4.85,4.54,1.39,117,115,117,-1.76,1.8%,12.1%,9.5%,2.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Mutoh Yuta,2,1,0,0,0,0,15,4.0,3,0,3,0,0,0,0,0,0,0.00,2.06,2.80,0.75,999,49,72,-2.06,0.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Nakagawa Koh,8,1,1,0,0,0,145,34.0,26,2,26,20,0,3,2,16,14,3.71,4.82,4.39,1.35,97,115,113,-1.11,1.4%,17.9%,13.8%,4.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Ohnuki Shinichi,2,1,0,0,0,0,46,11.0,13,0,9,1,0,0,2,3,1,0.82,2.19,3.06,1.27,439,52,79,-1.37,0.0%,19.6%,2.2%,17.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Peoples Michael,6,1,2,0,0,0,103,23.0,27,0,22,5,0,1,0,14,12,4.70,2.42,3.15,1.39,77,58,81,2.28,0.0%,21.4%,4.9%,16.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Saito Shunsuke,7,0,1,0,0,0,35,7.0,11,0,10,4,0,1,0,5,5,6.43,2.84,3.09,2.14,56,68,80,3.59,0.0%,28.6%,11.4%,17.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakaguchi Kousuke,12,4,1,0,0,0,245,61.0,53,1,43,20,0,2,1,21,14,2.07,3.44,3.86,1.20,174,82,100,-1.37,0.4%,17.6%,8.2%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakamoto Yuya,4,0,0,0,0,0,71,18.1,9,0,14,10,0,0,0,3,3,1.47,3.66,4.24,1.04,245,87,110,-2.19,0.0%,19.7%,14.1%,5.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakurai Shuto,17,0,2,1,0,0,147,29.0,40,2,31,24,0,3,1,21,21,6.52,5.11,4.32,2.21,55,121,112,1.41,1.4%,21.1%,16.3%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Shindoh Takuya,20,2,2,10,0,0,98,21.0,19,0,27,15,0,2,0,8,6,2.57,3.41,3.58,1.62,140,81,93,-0.84,0.0%,27.6%,15.3%,12.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sunada Yoshiki,29,3,0,5,0,0,112,27.1,24,1,28,8,0,1,1,5,4,1.32,2.97,3.01,1.17,273,71,78,-1.65,0.9%,25.0%,7.1%,17.9%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Taira Kentaro,3,1,0,0,0,0,44,10.2,11,0,5,1,0,0,0,5,2,1.69,2.90,3.89,1.13,213,69,101,-1.21,0.0%,11.4%,2.3%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
De La Rosa Rubby,1,0,0,0,0,0,3,1.0,0,0,1,1,0,0,0,0,0,0.00,4.56,4.80,1.00,999,104,124,-4.56,0.0%,33.3%,33.3%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Diplan Nattino,11,1,2,0,0,0,208,46.2,50,3,34,23,0,4,3,28,22,4.24,4.67,4.27,1.56,89,106,110,-0.43,1.4%,16.3%,11.1%,5.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Fujioka Takahiro,22,3,2,0,0,0,121,29.1,25,1,22,11,0,1,2,15,12,3.68,3.73,3.89,1.23,102,85,101,-0.05,0.8%,18.2%,9.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Furukawa Yuri,32,0,1,2,0,0,216,49.1,44,5,52,21,0,0,1,25,16,2.92,4.04,3.36,1.32,129,92,87,-1.12,2.3%,24.1%,9.7%,14.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Hatake Seishu,5,1,2,1,0,0,105,25.2,22,2,25,8,0,0,0,13,12,4.21,3.56,3.18,1.17,90,81,82,0.65,1.9%,23.8%,7.6%,16.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Hirai Kaisei,2,0,0,0,0,0,13,2.0,2,1,1,5,0,0,1,4,4,18.00,16.56,7.88,3.50,21,376,204,1.44,7.7%,7.7%,38.5%,-30.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Horioka Hayato,27,2,1,3,0,0,198,47.1,36,3,36,24,0,3,3,16,14,2.66,4.57,4.19,1.27,142,104,108,-1.91,1.5%,18.2%,12.1%,6.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Imamura Nobutaka,5,1,1,0,0,0,102,25.0,23,2,13,4,0,2,1,12,11,3.96,4.28,3.92,1.08,95,97,101,-0.32,2.0%,12.7%,3.9%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Inoue Haruto,9,1,1,0,0,0,132,30.0,38,3,18,12,0,1,4,16,16,4.80,4.96,4.35,1.67,79,113,112,-0.16,2.3%,13.6%,9.1%,4.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
