Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Taira Kentaro,6,1,2,0,0,0,0,.333,123,29,,31,3,6,0,0,22,0,0,12,12,3.72,DeNA BayStars,
Wick Rowan,24,3,1,1,13,0,0,.750,104,27,.1,15,0,9,0,3,27,0,0,3,3,0.99,DeNA BayStars,
Yamasaki Yasuaki,13,0,3,1,1,0,0,.000,46,11,,10,2,4,1,0,8,0,0,5,5,4.09,DeNA BayStars,
Yoshino Teruki,1,0,0,0,0,0,0,.000,21,4,.2,3,0,5,0,0,2,0,0,1,0,0.00,DeNA BayStars,
Akahoshi Yuji,14,6,5,0,0,1,1,.545,340,86,.1,76,6,11,2,2,66,0,0,21,19,1.98,Yomiuri Giants,
Baba Kosuke,6,0,0,0,0,0,0,.000,23,5,.1,3,0,3,0,0,4,1,0,3,2,3.38,Yomiuri Giants,
Baldonado Alberto,10,0,0,0,4,0,0,.000,27,6,.2,3,0,5,0,0,7,1,0,2,2,2.70,Yomiuri Giants,
Funabasama Hiromasa,26,1,2,0,8,0,0,.333,84,21,.1,16,3,7,4,1,14,0,0,5,5,2.11,Yomiuri Giants,
Griffin Foster,10,5,0,0,0,0,0,1.000,226,59,,37,0,13,1,3,65,1,0,7,6,0.92,Yomiuri Giants,
Heinai Ryuta,5,0,0,0,0,0,0,.000,18,4,.1,5,0,0,0,0,4,0,0,3,3,6.23,Yomiuri Giants,
Hotta Kenshin,8,0,1,0,0,0,0,.000,99,22,.1,23,4,11,0,1,13,0,0,13,13,5.24,Yomiuri Giants,
Inoue Haruto,12,3,6,0,0,0,0,.333,289,69,.1,69,8,12,1,2,67,0,0,30,26,3.38,Yomiuri Giants,
Ishikawa Tatsuya,22,2,3,0,1,0,0,.400,166,39,.2,37,1,13,1,1,27,0,0,9,7,1.59,Yomiuri Giants,
Izumi Keisuke,5,0,0,0,0,0,0,.000,27,5,.2,6,1,3,0,1,5,1,0,5,5,7.94,Yomiuri Giants,
Keller Kyle,20,1,1,0,2,0,0,.500,80,18,.1,15,4,10,1,0,19,0,0,10,10,4.91,Yomiuri Giants,
Martinez Raidel,31,1,0,26,2,0,0,1.000,113,30,.1,14,0,8,1,0,33,0,0,0,0,0.00,Yomiuri Giants,
Nakagawa Kota,32,1,1,0,21,0,0,.500,117,27,.1,28,2,5,1,1,36,0,0,6,5,1.65,Yomiuri Giants,
Nishidate Yuhi,9,2,2,0,1,0,0,.500,135,31,.2,33,1,7,0,1,24,1,0,14,13,3.69,Yomiuri Giants,
Ota Taisei,33,5,2,0,24,0,0,.714,134,32,.1,26,1,9,3,2,32,2,0,7,7,1.95,Yomiuri Giants,
Takanashi Yuhei,18,0,1,0,5,0,0,.000,56,11,.1,10,0,10,3,3,13,0,1,4,4,3.18,Yomiuri Giants,
Tanaka Eito,30,0,2,0,17,0,0,.000,102,23,.1,26,0,11,6,2,18,0,0,10,9,3.47,Yomiuri Giants,
Tanaka Masahiro,3,1,1,0,0,0,0,.500,55,10,,20,0,7,1,0,4,0,0,10,10,9.00,Yomiuri Giants,
Toda Natsuki,2,0,1,0,0,0,0,.000,12,2,.2,3,0,1,1,0,0,0,0,1,1,3.38,Yomiuri Giants,
Togo Shosei,11,2,6,0,0,0,0,.250,261,55,,74,5,23,1,1,39,0,0,38,32,5.24,Yomiuri Giants,
Yamada Ryusei,2,0,0,0,0,0,0,.000,15,4,,3,1,1,0,1,1,0,0,2,2,4.50,Yomiuri Giants,
Yamasaki Iori,13,7,2,0,0,0,0,.778,335,87,,64,4,13,0,1,76,1,0,16,12,1.24,Yomiuri Giants,
Yokogawa Kai,12,0,0,0,1,0,0,.000,90,21,.2,19,1,6,0,2,16,0,0,6,6,2.49,Yomiuri Giants,
Avila Pedro,6,1,5,0,0,0,0,.167,139,33,.2,26,1,12,1,2,25,1,0,20,17,4.54,Yakult Swallows,
Baumann Mike,16,0,2,0,1,0,0,.000,75,15,,17,3,12,2,0,19,0,0,8,7,4.20,Yakult Swallows,
Hasegawa Hiroki,2,0,0,0,0,0,0,.000,7,1,,1,0,2,0,1,0,0,0,0,0,0.00,Yakult Swallows,
Hoshi Tomoya,18,0,2,0,11,0,0,.000,64,16,.2,10,0,6,1,0,12,0,0,3,3,1.62,Yakult Swallows,
Ishikawa Masanori,4,2,2,0,0,0,0,.500,81,16,.1,26,1,7,1,0,4,0,0,17,14,7.71,Yakult Swallows,
Ishiyama Taichi,25,2,1,13,6,0,0,.667,85,24,.1,9,2,3,1,1,23,0,0,2,2,0.74,Yakult Swallows,
Kanakubo Yuto,12,0,1,0,1,0,0,.000,66,14,,23,4,4,0,0,11,1,0,12,12,7.71,Yakult Swallows,
Kizawa Naofumi,20,2,1,0,9,0,0,.667,83,17,.2,20,0,8,1,2,9,2,1,8,8,4.08,Yakult Swallows,
Kozawa Reiji,19,0,4,0,3,0,0,.000,92,19,.2,19,4,15,2,0,20,0,0,9,8,3.66,Yakult Swallows,
Lambert Peter,11,1,6,0,0,0,0,.143,269,63,,59,3,25,1,3,51,3,0,23,21,3.00,Yakult Swallows,
Maruyama Shota,6,0,0,0,0,0,0,.000,30,7,,6,1,3,0,0,6,1,0,3,3,3.86,Yakult Swallows,
Matsumoto Kengo,2,0,0,0,0,0,0,.000,10,2,.2,1,0,2,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Nakamura Yuto,1,0,1,0,0,0,0,.000,23,5,,5,0,2,0,2,3,0,0,1,1,1.80,Yakult Swallows,
Ogawa Yasuhiro,8,2,4,0,0,1,1,.333,212,48,.1,55,5,10,1,1,29,1,0,29,25,4.66,Yakult Swallows,
Ohnishi Hiroki,18,1,0,0,4,0,0,1.000,77,17,.1,18,0,5,0,1,15,2,0,3,1,0.52,Yakult Swallows,
Okugawa Yasunobu,6,0,3,0,0,0,0,.000,147,31,,48,2,6,0,1,25,1,0,25,20,5.81,Yakult Swallows,
Sakaguchi Kousuke,8,0,0,0,0,0,0,.000,53,12,,8,0,10,1,2,5,0,0,4,4,3.00,Yakult Swallows,
Shimizu Noboru,18,0,2,0,5,0,0,.000,83,19,,21,1,6,2,1,13,0,0,10,9,4.26,Yakult Swallows,
Shimokawa Shunsuke,1,0,0,0,0,0,0,.000,15,4,,3,1,0,0,0,0,0,0,2,2,4.50,Yakult Swallows,
Shoji Kota,16,0,0,0,7,0,0,.000,66,17,,10,0,4,0,2,23,0,0,1,1,0.53,Yakult Swallows,
Taguchi Kazuto,26,1,1,0,8,0,0,.500,86,19,.2,17,0,8,1,2,17,1,0,9,9,4.12,Yakult Swallows,
Takahashi Keiji,5,2,2,0,0,0,0,.500,120,29,,22,3,11,0,1,29,2,0,8,8,2.48,Yakult Swallows,
Takanashi Hirotoshi,9,1,3,0,0,0,0,.250,209,49,,50,5,15,0,4,36,2,1,23,20,3.67,Yakult Swallows,
Yamamoto Daiki,14,0,0,0,1,0,0,.000,61,13,.1,15,1,6,0,0,5,0,0,10,9,6.08,Yakult Swallows,
Yamano Taichi,8,1,2,0,0,0,0,.333,181,42,,45,7,15,1,1,28,0,0,22,19,4.07,Yakult Swallows,
Yasaki Takuya,20,0,0,0,6,0,0,.000,81,20,.1,15,1,7,0,0,18,1,0,7,7,3.10,Yakult Swallows,
Yoshimura Kojiro,11,4,3,0,0,0,0,.571,262,63,,61,7,11,1,1,45,0,0,26,21,3.00,Yakult Swallows,
Fujishima Kento,29,1,2,0,7,0,0,.333,109,26,.1,22,1,9,1,0,21,1,0,10,10,3.42,Chunichi Dragons,
Fuku Hiroto,9,0,0,0,1,0,0,.000,39,9,.2,6,0,4,0,0,6,0,0,0,0,0.00,Chunichi Dragons,
Hashimoto Yuki,23,0,0,0,8,0,0,.000,91,23,.2,13,1,8,2,1,21,0,0,1,1,0.38,Chunichi Dragons,
Iwasaki Sho,4,1,0,0,0,0,0,1.000,22,4,.1,9,1,0,0,0,3,0,0,1,1,2.08,Chunichi Dragons,
Kanemaru Yumeto,6,0,3,0,0,0,0,.000,146,37,.1,28,2,7,0,3,37,0,0,12,11,2.65,Chunichi Dragons,
Katsuno Akiyoshi,21,3,2,0,5,0,0,.600,93,22,,19,0,10,0,1,27,3,0,11,10,4.09,Chunichi Dragons,
Kondo Ren,3,0,0,0,1,0,0,.000,17,3,,4,0,4,0,0,5,0,0,2,2,6.00,Chunichi Dragons,
Marte Yunior,22,1,3,1,11,0,0,.250,83,20,.1,13,2,7,0,2,15,1,0,9,6,2.66,Chunichi Dragons,
Matsuba Takahiro,14,7,5,0,0,1,0,.583,364,93,.2,75,3,22,0,4,36,0,0,18,17,1.63,Chunichi Dragons,
Matsuyama Shinya,32,0,0,28,3,0,0,.000,122,31,.2,22,1,6,0,0,44,1,0,5,5,1.42,Chunichi Dragons,
Mejia Humberto,3,1,2,0,0,0,0,.333,73,17,.2,17,5,3,0,0,8,0,0,13,13,6.62,Chunichi Dragons,
Miura Mizuki,7,2,3,0,0,0,0,.400,157,33,,38,4,22,1,1,21,1,1,20,17,4.64,Chunichi Dragons,
Muller Kyle,8,2,4,0,0,0,0,.333,191,44,.2,48,4,9,1,1,46,3,0,20,20,4.03,Chunichi Dragons,
Neo Akira,4,0,0,0,0,0,0,.000,27,5,.2,9,2,2,0,0,5,0,0,5,5,7.94,Chunichi Dragons,
Ohno Yudai,9,3,3,0,0,0,0,.500,189,46,.2,40,1,12,0,1,28,0,0,17,15,2.89,Chunichi Dragons,
Okada Toshiya,3,0,1,0,0,0,0,.000,33,7,.1,10,1,1,0,0,8,0,0,7,7,8.59,Chunichi Dragons,
Saitoh Kohki,16,0,0,0,10,0,0,.000,59,14,.1,7,1,9,1,1,10,0,0,1,1,0.63,Chunichi Dragons,
Shimizu Tatsuya,30,4,0,0,21,0,0,1.000,120,29,.2,22,0,13,3,1,23,2,0,3,3,0.91,Chunichi Dragons,
Sobue Daisuke,11,0,0,0,1,0,0,.000,56,12,.1,19,0,4,0,1,3,0,0,6,6,4.38,Chunichi Dragons,
Takahashi Hiroto,13,2,7,0,0,1,0,.222,351,84,.1,81,4,26,1,4,66,6,0,34,31,3.31,Chunichi Dragons,
Umeno Yugo,7,0,0,0,0,0,0,.000,38,7,.1,8,0,7,0,1,7,0,0,5,5,6.14,Chunichi Dragons,
Wakui Hideaki,8,4,3,0,0,0,0,.571,184,45,,45,1,12,1,2,32,0,0,17,16,3.20,Chunichi Dragons,
Walters Nash,2,0,0,0,0,0,0,.000,9,2,,1,0,3,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Yanagi Yuya,4,1,1,0,0,0,0,.500,95,25,,16,0,5,0,2,19,0,0,2,2,0.72,Chunichi Dragons,
Abe Shota,16,0,0,0,0,0,0,.000,62,14,.2,14,2,6,0,0,12,0,0,5,5,3.07,ORIX Buffaloes,
Azuma Kohei,5,1,2,0,0,0,0,.333,92,21,,19,0,10,0,1,11,0,0,10,9,3.86,ORIX Buffaloes,
Espinoza Anderson,11,3,3,0,0,1,0,.500,275,64,.1,61,1,23,0,3,58,2,0,23,20,2.80,ORIX Buffaloes,
Gonda Ryusei,6,0,0,0,0,0,0,.000,36,7,.2,12,0,1,0,1,5,0,0,4,4,4.70,ORIX Buffaloes,
Hirano Yoshihisa,3,0,1,1,0,0,0,.000,14,2,.1,5,1,2,0,0,1,0,0,4,4,15.43,ORIX Buffaloes,
Honda Keisuke,4,0,0,0,0,0,0,.000,25,6,.1,5,0,1,0,0,5,0,0,2,2,2.84,ORIX Buffaloes,
Iguchi Kazutomo,4,0,0,0,0,0,0,.000,21,3,.2,7,0,2,0,0,1,1,0,5,3,7.36,ORIX Buffaloes,
Iwasaki Sho,7,1,0,0,3,0,0,1.000,26,7,,4,0,1,0,0,9,0,0,2,2,2.57,ORIX Buffaloes,
Katayama Raiku,4,0,0,0,0,0,0,.000,28,6,.2,7,0,1,0,0,3,0,0,1,1,1.35,ORIX Buffaloes,
Kawase Kento,18,0,1,0,3,0,0,.000,101,21,.2,24,1,11,3,2,16,2,0,12,12,4.98,ORIX Buffaloes,
Kotajima Seiryu,18,2,1,0,6,0,0,.667,75,16,.2,18,1,8,1,1,14,0,0,6,6,3.24,ORIX Buffaloes,
Kuri Allen,13,6,4,0,0,1,0,.600,372,90,.2,85,2,25,0,3,69,1,1,26,24,2.38,ORIX Buffaloes,
Machado Andres,31,2,3,16,4,0,0,.400,126,29,.1,24,0,12,2,2,38,0,0,7,6,1.84,ORIX Buffaloes,
Miyagi Hiroya,12,3,2,0,0,0,0,.600,339,84,.2,69,5,17,0,4,87,0,0,24,23,2.44,ORIX Buffaloes,
Mukunoki Ren,4,0,1,0,0,0,0,.000,66,13,.1,23,0,6,0,0,4,0,0,12,10,6.75,ORIX Buffaloes,
