Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
大泉 周也,ソ,RF,31.0,-2.1,-1.1,-,-1.0,0.0,-0.1,-,-,
大泉 周也,ソ,DH,9.0,-,-,-,-,-,-0.1,-,-,
友杉 篤輝,ロ,SS,18.0,1.2,0.8,0.1,-,0.3,0.1,-,-,
郡 拓也,巨,C,3.0,0.0,-,-,0.0,0.0,0.0,0.3,-0.1,
郡 拓也,巨,1B,22.0,-0.3,-0.4,0.0,-,0.1,-0.2,-,-,
郡 拓也,巨,2B,11.0,-0.8,-0.8,0.0,-,0.0,0.0,-,-,
郡 拓也,巨,3B,77.0,-0.6,-0.9,0.1,-,0.2,-0.3,-,-,
郡 拓也,巨,DH,8.0,-,-,-,-,-,-0.1,-,-,
元 謙太,オ,LF,26.0,1.9,1.9,-,-0.1,0.0,-0.2,-,-,
元 謙太,オ,CF,108.3,0.6,-0.3,-,0.8,0.1,0.4,-,-,
元 謙太,オ,RF,51.3,-0.6,-1.2,-,0.5,0.0,-0.2,-,-,
茶野 篤政,オ,LF,124.3,0.9,0.7,-,0.0,0.3,-1.2,-,-,
茶野 篤政,オ,CF,17.0,0.9,1.0,-,-0.2,0.0,0.1,-,-,
茶野 篤政,オ,RF,143.7,0.8,1.4,-,0.0,-0.7,-0.6,-,-,
茶野 篤政,オ,DH,26.0,-,-,-,-,-,-0.3,-,-,
佐藤 直樹,ソ,CF,80.7,1.2,0.8,-,0.3,0.1,0.3,-,-,
佐藤 直樹,ソ,RF,24.0,0.2,0.1,-,0.0,0.0,-0.1,-,-,
佐藤 直樹,ソ,DH,45.0,-,-,-,-,-,-0.5,-,-,
平尾 柊翔,ハ,LF,56.7,-3.1,-3.1,-,-0.1,0.1,-0.5,-,-,
平尾 柊翔,ハ,CF,3.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
平尾 柊翔,ハ,RF,95.0,5.9,4.8,-,0.9,0.1,-0.4,-,-,
平尾 柊翔,ハ,DH,10.0,-,-,-,-,-,-0.1,-,-,
愛斗,ロ,LF,14.0,0.6,0.5,-,0.1,0.0,-0.1,-,-,
愛斗,ロ,CF,187.0,-4.4,-4.9,-,1.3,-0.7,0.6,-,-,
愛斗,ロ,RF,43.0,-0.5,0.2,-,0.1,-0.8,-0.2,-,-,
モンテル,西,LF,1.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
モンテル,西,CF,146.0,2.3,0.8,-,2.1,-0.7,0.5,-,-,
モンテル,西,RF,27.0,0.1,0.3,-,-0.2,0.0,-0.1,-,-,
モンテル,西,DH,1.0,-,-,-,-,-,0.0,-,-,
吉納 翼,楽,LF,89.0,1.7,0.6,-,1.0,0.1,-0.8,-,-,
吉納 翼,楽,RF,149.7,2.4,2.9,-,-0.7,0.2,-0.6,-,-,
吉納 翼,楽,DH,62.0,-,-,-,-,-,-0.7,-,-,
陽 岱鋼,O,RF,50.0,-1.4,-0.6,-,-0.8,0.1,-0.2,-,-,
陽 岱鋼,O,DH,42.0,-,-,-,-,-,-0.5,-,-,
髙山 俊,O,1B,62.0,-2.2,-2.5,-0.1,-,0.3,-0.7,-,-,
髙山 俊,O,DH,151.0,-,-,-,-,-,-1.8,-,-,
山田 哲人,ヤ,2B,25.0,-0.2,0.4,0.0,-,-0.5,0.1,-,-,
山田 哲人,ヤ,DH,16.0,-,-,-,-,-,-0.2,-,-,
岡田 悠希,巨,LF,59.0,-0.5,-1.0,-,0.5,0.1,-0.6,-,-,
岡田 悠希,巨,CF,39.7,-0.9,-0.6,-,-0.3,0.0,0.1,-,-,
岡田 悠希,巨,RF,59.0,-0.8,-0.2,-,0.2,-0.8,-0.2,-,-,
岡田 悠希,巨,DH,25.0,-,-,-,-,-,-0.3,-,-,
フルプ,巨,LF,54.0,1.2,0.6,-,0.5,0.1,-0.5,-,-,
フルプ,巨,CF,9.0,-0.9,-0.7,-,-0.3,0.0,0.0,-,-,
フルプ,巨,RF,82.0,1.7,1.0,-,0.6,0.1,-0.3,-,-,
フルプ,巨,DH,68.0,-,-,-,-,-,-0.8,-,-,
根岸 辰昇,ヤ,1B,143.0,2.9,2.6,-0.3,-,0.6,-1.6,-,-,
根岸 辰昇,ヤ,LF,2.0,0.0,-0.2,-,0.1,0.0,0.0,-,-,
根岸 辰昇,ヤ,RF,37.0,-1.1,-2.2,-,1.1,0.0,-0.1,-,-,
根岸 辰昇,ヤ,DH,27.0,-,-,-,-,-,-0.3,-,-,
山野辺 翔,西,2B,28.7,0.4,0.1,0.1,-,0.2,0.1,-,-,
山野辺 翔,西,3B,0.7,0.0,0.0,0.0,-,0.0,0.0,-,-,
山野辺 翔,西,SS,8.0,0.2,-0.2,0.1,-,0.2,0.1,-,-,
山野辺 翔,西,LF,27.3,1.6,1.5,-,0.0,0.1,-0.3,-,-,
陽 柏翔,楽,2B,170.3,2.2,2.9,0.0,-,-0.7,0.5,-,-,
陽 柏翔,楽,SS,67.7,3.6,1.6,0.7,-,1.3,0.6,-,-,
石上 泰輝,デ,2B,99.0,-0.5,0.2,-0.2,-,-0.6,0.3,-,-,
石上 泰輝,デ,3B,27.0,0.0,-0.3,0.0,-,0.3,-0.1,-,-,
石上 泰輝,デ,SS,81.0,1.4,0.4,0.4,-,0.6,0.7,-,-,
漆原 幻汰,O,2B,66.3,-0.6,-0.9,-0.2,-,0.5,0.2,-,-,
漆原 幻汰,O,CF,11.0,1.2,1.2,-,0.0,0.0,0.0,-,-,
漆原 幻汰,O,RF,11.7,-0.4,0.0,-,-0.4,0.0,0.0,-,-,
漆原 幻汰,O,DH,1.0,-,-,-,-,-,0.0,-,-,
渡部 遼人,オ,LF,17.0,0.2,0.1,-,0.0,0.0,-0.2,-,-,
渡部 遼人,オ,CF,64.3,4.8,4.7,-,0.0,0.1,0.2,-,-,
渡部 遼人,オ,RF,14.0,-0.4,-0.5,-,0.0,0.0,-0.1,-,-,
福田 周平,オ,LF,16.7,0.7,0.3,-,0.4,0.0,-0.2,-,-,
福田 周平,オ,CF,40.0,-0.9,-1.9,-,0.9,0.0,0.1,-,-,
福田 周平,オ,RF,21.0,-1.6,-1.2,-,-0.4,0.0,-0.1,-,-,
福田 周平,オ,DH,20.0,-,-,-,-,-,-0.2,-,-,
来田 涼斗,オ,LF,58.0,1.4,1.7,-,-0.3,0.1,-0.6,-,-,
来田 涼斗,オ,CF,22.0,1.2,1.2,-,0.0,0.0,0.1,-,-,
来田 涼斗,オ,RF,41.3,-2.0,-3.0,-,1.0,0.0,-0.2,-,-,
来田 涼斗,オ,DH,38.0,-,-,-,-,-,-0.5,-,-,
大盛 穂,広,CF,32.0,1.3,1.7,-,-0.4,0.0,0.1,-,-,
大盛 穂,広,RF,14.0,-0.6,-0.7,-,0.1,0.0,-0.1,-,-,
重松 凱人,ソ,1B,9.0,0.4,0.3,0.0,-,0.1,-0.1,-,-,
重松 凱人,ソ,LF,21.0,0.0,0.3,-,-0.4,0.0,-0.2,-,-,
重松 凱人,ソ,CF,90.0,-1.1,-1.4,-,0.3,0.0,0.3,-,-,
重松 凱人,ソ,RF,39.0,1.4,0.3,-,1.0,0.0,-0.2,-,-,
重松 凱人,ソ,DH,12.7,-,-,-,-,-,-0.2,-,-,
清水 叶人,広,C,139.7,1.3,-,-,0.7,0.6,2.0,0.2,-0.5,
若林 晃弘,日,1B,20.0,-0.1,0.4,0.0,-,-0.6,-0.2,-,-,
若林 晃弘,日,2B,20.0,1.1,0.6,0.3,-,0.2,0.1,-,-,
若林 晃弘,日,3B,36.0,-1.3,-1.4,0.0,-,0.1,-0.1,-,-,
若林 晃弘,日,DH,9.0,-,-,-,-,-,-0.1,-,-,
伊藤 琉偉,ヤ,2B,55.0,0.2,-0.2,-0.1,-,0.5,0.1,-,-,
伊藤 琉偉,ヤ,3B,2.0,0.2,0.0,0.1,-,0.1,0.0,-,-,
伊藤 琉偉,ヤ,SS,70.3,-2.0,-2.9,0.1,-,0.7,0.6,-,-,
源田 壮亮,西,SS,29.0,-0.2,-0.4,-0.1,-,0.4,0.2,-,-,
児玉 亮涼,西,2B,22.3,0.7,0.4,0.1,-,0.2,0.1,-,-,
児玉 亮涼,西,SS,64.3,2.3,1.2,0.6,-,0.5,0.5,-,-,
中島 大輔,楽,LF,72.0,2.1,2.5,-,-0.5,0.1,-0.7,-,-,
中島 大輔,楽,CF,28.0,-2.6,-2.3,-,-0.3,0.0,0.1,-,-,
中島 大輔,楽,RF,8.0,-0.3,-0.4,-,0.1,0.0,0.0,-,-,
中島 大輔,楽,DH,9.0,-,-,-,-,-,-0.1,-,-,
佐藤 都志也,ロ,C,29.0,-0.4,-,-,-0.4,0.1,0.4,-1.5,0.0,
佐藤 都志也,ロ,DH,39.0,-,-,-,-,-,-0.5,-,-,
アセベド,ロ,1B,7.0,0.1,0.1,0.0,-,0.1,-0.1,-,-,
アセベド,ロ,LF,112.0,2.2,3.3,-,-1.2,0.2,-1.1,-,-,
アセベド,ロ,CF,27.0,0.4,0.4,-,0.0,0.0,0.1,-,-,
アセベド,ロ,RF,5.0,-1.2,-1.5,-,0.3,0.0,0.0,-,-,
アセベド,ロ,DH,125.0,-,-,-,-,-,-1.5,-,-,
マイカ与那嶺,日,1B,46.0,0.6,0.9,0.0,-,-0.3,-0.5,-,-,
マイカ与那嶺,日,DH,43.0,-,-,-,-,-,-0.5,-,-,
萩尾 匡也,巨,LF,37.0,-0.5,0.3,-,-0.8,0.0,-0.4,-,-,
萩尾 匡也,巨,CF,49.3,0.2,0.5,-,-0.4,0.0,0.2,-,-,
萩尾 匡也,巨,RF,23.0,0.4,0.1,-,0.3,0.0,-0.1,-,-,
萩尾 匡也,巨,DH,27.0,-,-,-,-,-,-0.3,-,-,
佐々木 俊輔,巨,LF,69.0,0.3,-0.4,-,0.7,0.1,-0.7,-,-,
佐々木 俊輔,巨,CF,33.0,1.5,1.2,-,0.3,0.0,0.1,-,-,
佐々木 俊輔,巨,RF,78.0,0.9,0.5,-,0.2,0.1,-0.3,-,-,
佐々木 俊輔,巨,DH,3.0,-,-,-,-,-,0.0,-,-,
仲田 慶介,西,1B,5.0,-0.3,-0.3,0.0,-,0.0,-0.1,-,-,
仲田 慶介,西,2B,10.0,-0.8,-0.8,0.0,-,0.0,0.0,-,-,
仲田 慶介,西,SS,4.0,0.1,0.3,-0.3,-,0.1,0.0,-,-,
仲田 慶介,西,LF,5.0,-1.5,-1.5,-,0.0,0.0,0.0,-,-,
関根 大気,デ,LF,60.3,-1.2,-0.8,-,0.3,-0.7,-0.6,-,-,
関根 大気,デ,CF,103.3,-4.6,-5.8,-,1.1,0.0,0.3,-,-,
関根 大気,デ,RF,80.0,0.1,2.0,-,-1.1,-0.7,-0.3,-,-,
杉澤 龍,オ,LF,39.0,2.2,1.8,-,0.3,0.1,-0.4,-,-,
杉澤 龍,オ,CF,141.7,-1.0,-1.5,-,0.5,0.1,0.5,-,-,
杉澤 龍,オ,RF,48.0,-0.2,-0.2,-,0.0,0.1,-0.2,-,-,
杉澤 龍,オ,DH,26.3,-,-,-,-,-,-0.3,-,-,
庄子 雄大,ソ,2B,108.0,2.5,1.5,0.0,-,1.0,0.3,-,-,
庄子 雄大,ソ,SS,173.7,-0.1,0.2,0.5,-,-0.9,1.4,-,-,
持丸 泰輝,広,C,122.7,-0.7,-,-,-0.9,0.1,1.7,-1.0,-0.4,
阪口 樂,日,1B,127.0,0.2,0.0,0.0,-,0.2,-1.4,-,-,
阪口 樂,日,LF,50.0,-0.9,-1.2,-,0.2,0.1,-0.5,-,-,
阪口 樂,日,CF,12.0,0.4,0.4,-,0.0,0.0,0.0,-,-,
阪口 樂,日,RF,19.0,0.2,0.5,-,-0.3,0.0,-0.1,-,-,
舟越 秀虎,巨,LF,15.0,-0.6,-0.2,-,-0.4,0.0,-0.1,-,-,
舟越 秀虎,巨,CF,23.0,1.0,0.9,-,0.1,0.0,0.1,-,-,
舟越 秀虎,巨,RF,2.0,0.1,0.1,-,0.0,0.0,0.0,-,-,
蛭間 拓哉,西,LF,130.7,1.4,1.2,-,0.0,0.2,-1.2,-,-,
蛭間 拓哉,西,CF,52.0,0.8,1.0,-,-0.2,0.1,0.2,-,-,
蛭間 拓哉,西,RF,112.7,1.8,2.6,-,-0.1,-0.7,-0.4,-,-,
蛭間 拓哉,西,DH,3.0,-,-,-,-,-,0.0,-,-,
土田 龍空,中,2B,100.0,1.6,2.2,0.1,-,-0.7,0.3,-,-,
土田 龍空,中,SS,71.7,3.0,2.3,-0.3,-,1.0,0.6,-,-,
山田 脩也,神,2B,13.0,1.3,1.2,-0.1,-,0.2,0.0,-,-,
山田 脩也,神,SS,244.0,1.3,2.4,-0.8,-,-0.2,2.0,-,-,
野口 恭佑,神,LF,43.0,-1.3,-1.3,-,0.0,0.0,-0.4,-,-,
野口 恭佑,神,CF,15.0,0.6,0.0,-,0.6,0.0,0.1,-,-,
