Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Maekawa Seita,71,261,226,23,63,7,2,0,74,20,2,2,8,4,23,0,0,21,9,.279,.327,.340,Hiroshima Carp,
Masuda Takehisa,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsumoto Ryuya,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsuyama Ryuhei,36,77,67,4,19,4,0,1,26,10,0,1,0,1,9,0,0,9,0,.284,.388,.364,Hiroshima Carp,
Mochimaru Taiki,34,90,85,1,7,1,0,0,8,2,1,0,1,0,3,0,1,24,1,.082,.094,.124,Hiroshima Carp,
Montero Elehuris,2,8,8,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1,0,.250,.625,.250,Hiroshima Carp,
Nabara Norihiko,35,63,56,11,15,1,1,0,18,4,5,0,1,2,4,0,0,5,1,.268,.321,.306,Hiroshima Carp,
Nakada Yuto,62,202,186,8,42,5,0,0,47,16,0,0,1,2,11,0,2,50,8,.226,.253,.274,Hiroshima Carp,
Nakamura Kento,57,205,181,20,52,4,2,4,72,16,1,0,3,0,19,0,2,43,7,.287,.398,.361,Hiroshima Carp,
Nakamura Shosei,11,30,28,3,10,2,0,0,12,3,2,1,0,0,2,0,0,4,1,.357,.429,.400,Hiroshima Carp,
Nakamura Takahiro,64,234,208,23,56,14,0,5,85,34,3,3,0,3,19,1,4,52,8,.269,.409,.338,Hiroshima Carp,
Nirasawa Yuya,36,87,82,8,18,2,2,1,27,5,0,1,2,0,3,0,0,10,2,.220,.329,.247,Hiroshima Carp,
Noma Takayoshi,2,7,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,.167,.167,.286,Hiroshima Carp,
Ohmichi Haruki,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ohmori Minoru,6,23,23,1,2,0,0,0,2,2,1,1,0,0,0,0,0,5,0,.087,.087,.087,Hiroshima Carp,
Ohsera Daichi,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Okamoto Shun,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ramirez Moises,47,156,148,6,28,6,1,3,45,12,0,0,0,1,5,0,2,53,5,.189,.304,.224,Hiroshima Carp,
Roberto Nelson,34,92,90,9,14,8,0,2,28,3,1,0,0,0,1,0,1,39,2,.156,.311,.174,Hiroshima Carp,
