Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Hayashi Kota,17,34,33,2,6,0,0,2,12,4,0,0,0,0,1,1,0,12,0,.182,.364,.206,Hiroshima Carp,
Hearn Taylor,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Horie Atsuya,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ishihara Tomoki,41,91,84,2,13,2,0,0,15,3,0,0,5,0,1,0,1,25,3,.155,.179,.174,Hiroshima Carp,
Isomura Yoshitaka,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hiroshima Carp,
Kikuchi Ryosuke,92,321,290,22,69,14,0,3,92,24,5,2,17,2,11,0,1,54,5,.238,.317,.266,Hiroshima Carp,
Kozono Kaito,109,460,420,41,125,22,4,2,161,37,9,5,3,1,34,5,2,38,7,.298,.383,.352,Hiroshima Carp,
Kubo Shu,12,7,7,0,1,1,0,0,2,0,1,1,0,0,0,0,0,2,0,.143,.286,.143,Hiroshima Carp,
Kuribayashi Ryoji,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Maekawa Seita,9,22,22,0,5,2,0,0,7,5,0,0,0,0,0,0,0,2,1,.227,.318,.227,Hiroshima Carp,
Masuda Takehisa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsumoto Ryuya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Montero Elehuris,79,296,277,18,73,16,0,9,116,34,0,0,0,2,15,2,2,64,10,.264,.419,.304,Hiroshima Carp,
Mori Shohei,18,32,28,1,6,1,0,0,7,3,0,0,4,0,0,0,0,15,0,.214,.250,.214,Hiroshima Carp,
Morishita Masato,21,48,42,1,4,0,0,0,4,0,0,0,4,0,2,0,0,19,0,.095,.095,.136,Hiroshima Carp,
Moriura Daisuke,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Nakamura Kento,4,10,6,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,.000,.000,.400,Hiroshima Carp,
Nakamura Shosei,72,229,215,22,56,11,3,5,88,17,1,6,2,0,10,1,2,34,1,.260,.409,.300,Hiroshima Carp,
Nakazaki Shota,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Noma Takayoshi,72,159,147,9,36,2,2,0,42,14,2,1,0,1,10,1,1,27,2,.245,.286,.296,Hiroshima Carp,
Ohmori Minoru,80,133,123,25,34,5,1,3,50,11,6,2,2,0,8,1,0,33,1,.276,.407,.321,Hiroshima Carp,
Ohsera Daichi,19,34,28,1,2,0,0,0,2,0,0,0,5,0,1,0,0,13,0,.071,.071,.103,Hiroshima Carp,
Okamoto Shun,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Saitoh Yuta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Sakakura Shogo,83,322,282,25,68,21,1,3,100,24,1,0,4,1,33,2,2,54,6,.241,.355,.324,Hiroshima Carp,
Sasaki Tai,22,74,72,1,17,1,1,0,20,1,2,0,0,0,2,1,0,13,1,.236,.278,.257,Hiroshima Carp,
Sato Ryunosuke,5,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,Hiroshima Carp,
Shimauchi Sotaro,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Suekane Shota,98,397,362,34,91,12,3,10,139,53,2,3,0,3,31,0,1,78,3,.251,.384,.310,Hiroshima Carp,
