Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
*中川 皓太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*中山 礼都,1,4,4,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1,0,.250,1.000,.250,Yomiuri Giants,
西舘 勇陽,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*バルドナード,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*船迫 大雅,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*マルティネス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
増田 大輝,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*丸 佳浩,2,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.143,.143,.143,Yomiuri Giants,
*山﨑 伊織,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Yomiuri Giants,
*吉川 尚輝,2,8,6,1,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,.333,.333,.429,Yomiuri Giants,
リチャード,2,7,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,.167,.167,.286,Yomiuri Giants,
若林 楽人,2,6,5,1,2,0,0,1,5,2,0,0,1,0,0,0,0,1,0,.400,1.000,.400,Yomiuri Giants,
*石上 泰輝,2,9,8,2,2,0,0,1,5,3,1,0,0,0,1,0,0,3,0,.250,.625,.333,DeNA BayStars,
石田 裕太郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
伊勢 大夢,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
蝦名 達夫,2,10,10,1,4,0,0,0,4,2,0,0,0,0,0,0,0,2,0,.400,.400,.400,DeNA BayStars,
*梶原 昂希,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
*神里 和毅,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
桑原 将志,2,9,5,2,1,1,0,0,2,0,0,0,1,0,1,0,2,2,1,.200,.400,.500,DeNA BayStars,
*ケイ,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
*坂本 裕哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
佐々木 千隼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
*佐野 恵太,2,9,8,1,3,0,0,1,6,2,0,0,0,0,1,1,0,0,0,.375,.750,.444,DeNA BayStars,
ジャクソン,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
*柴田 竜拓,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
平良 拳太郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
*筒香 嘉智,2,9,8,3,4,0,0,2,10,3,0,0,0,0,1,0,0,1,1,.500,1.250,.556,DeNA BayStars,
*林 琢真,2,9,7,2,2,0,0,0,2,1,0,1,1,0,1,0,0,1,0,.286,.286,.375,DeNA BayStars,
*フォード,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
牧 秀悟,2,9,7,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,.143,.143,.333,DeNA BayStars,
松尾 汐恩,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
*森原 康平,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
山本 祐大,2,9,8,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,.125,.125,.111,DeNA BayStars,
*度会 隆輝,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,DeNA BayStars,
岩嵜 翔,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
大城 滉二,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
太田 椋,2,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.125,.125,.125,ORIX Buffaloes,
*来田 涼斗,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,ORIX Buffaloes,
九里 亜蓮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
紅林 弘太郎,2,8,8,1,2,0,0,1,5,3,0,0,0,0,0,0,0,3,1,.250,.625,.250,ORIX Buffaloes,
杉本 裕太郎,2,8,5,1,2,0,0,1,5,1,0,0,0,0,2,0,1,2,0,.400,1.000,.625,ORIX Buffaloes,
頓宮 裕真,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
中川 圭太,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,ORIX Buffaloes,
