Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Taira Kentaro,1,0,0,0,0,0,.000,20,5,,3,0,1,0,0,5,0,0,2,0,0.00,DeNA BayStars,
Takeda Riku,6,0,0,0,0,0,.000,40,11,,6,0,1,0,1,10,0,0,2,0,0.00,DeNA BayStars,
Takeda Yu,5,0,3,0,0,0,.000,81,16,.1,24,2,2,0,1,9,0,0,16,7,3.86,DeNA BayStars,
Tokuyama Souma,14,0,1,0,0,0,.000,68,13,.1,15,0,17,0,1,3,1,0,6,6,4.05,DeNA BayStars,
Wakamatsu Naoki,14,0,0,0,0,0,.000,65,16,.1,13,0,4,0,1,18,0,0,5,5,2.76,DeNA BayStars,
Wick Rowan,4,0,1,0,0,0,.000,18,4,,4,0,2,0,0,7,0,0,3,2,4.50,DeNA BayStars,
Yoshino Teruki,5,3,2,0,1,1,.600,122,28,.1,32,1,8,0,1,18,2,0,16,14,4.45,DeNA BayStars,
Yoshioka Haru,1,0,1,0,0,0,.000,6,0,.1,4,0,1,0,0,1,2,1,3,3,81.00,DeNA BayStars,
Akahoshi Yuji,2,1,0,0,0,0,1.000,11,3,,1,0,1,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Baba Kosuke,14,0,0,7,0,0,.000,59,14,.2,10,1,6,0,0,11,1,0,4,4,2.45,Yomiuri Giants,
Baldonado Alberto,11,2,0,1,0,0,1.000,48,10,.1,11,0,6,0,0,11,1,0,6,5,4.35,Yomiuri Giants,
Griffin Foster,1,0,0,0,0,0,.000,11,3,,3,0,0,0,0,3,0,0,0,0,0.00,Yomiuri Giants,
Heinai Ryuta,13,1,0,3,0,0,1.000,51,13,.2,10,0,0,0,0,8,0,0,2,2,1.32,Yomiuri Giants,
Hotta Kenshin,2,1,0,0,0,0,1.000,39,11,,7,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Imamura Nobutaka,14,1,0,1,0,0,1.000,68,16,,16,1,4,0,3,17,0,0,4,3,1.69,Yomiuri Giants,
Inoue Haruto,1,0,0,0,0,0,.000,10,3,,2,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Izumi Keisuke,5,3,0,0,0,0,1.000,23,5,,3,0,5,0,0,4,0,0,1,1,1.80,Yomiuri Giants,
Keller Kyle,2,0,0,0,0,0,.000,6,2,,0,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Kikuchi Taiki,2,1,0,0,0,0,1.000,32,8,,5,0,1,0,0,9,1,0,1,0,0.00,Yomiuri Giants,
Kyomoto Makoto,5,0,4,0,0,0,.000,96,21,.2,27,4,9,0,0,13,1,1,17,16,6.65,Yomiuri Giants,
Mataki Teppei,9,3,2,0,1,0,.600,211,54,.1,50,3,7,0,2,35,0,0,18,17,2.82,Yomiuri Giants,
Matsui Hayate,10,2,2,0,0,0,.500,99,24,.2,18,1,6,0,3,20,2,0,7,7,2.55,Yomiuri Giants,
Miyahara Shunsuke,12,0,0,0,0,0,.000,53,12,.1,14,0,6,0,0,8,1,0,5,4,2.92,Yomiuri Giants,
Morita Shunya,7,3,1,0,0,0,.750,140,32,.1,34,1,9,0,5,21,1,0,14,13,3.62,Yomiuri Giants,
Nakagawa Kota,6,0,1,0,0,0,.000,21,6,,3,1,0,0,0,5,0,0,2,2,3.00,Yomiuri Giants,
Nishidate Yuhi,6,2,0,0,0,0,1.000,109,28,,22,0,4,0,0,30,2,0,4,3,0.96,Yomiuri Giants,
Ohe Ryusei,11,0,0,0,0,0,.000,63,14,.1,15,1,4,0,1,16,1,0,8,7,4.40,Yomiuri Giants,
Takahashi Rei,11,2,3,0,0,0,.400,119,26,,31,3,8,0,4,14,0,0,22,19,6.58,Yomiuri Giants,
Takanashi Yuhei,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Tamura Tomoki,2,1,1,0,0,0,.500,19,4,,3,0,3,0,0,4,0,0,2,0,0.00,Yomiuri Giants,
Tanaka Chiharu,3,0,0,1,0,0,.000,10,2,.2,1,0,1,0,0,2,1,1,1,1,3.38,Yomiuri Giants,
Tanaka Masahiro,4,0,1,0,0,0,.000,62,14,,14,0,4,0,0,7,0,0,3,2,1.29,Yomiuri Giants,
Toda Natsuki,10,1,0,0,0,0,1.000,117,30,,29,1,5,0,0,23,1,0,9,8,2.40,Yomiuri Giants,
Togo Shosei,2,2,0,0,0,0,1.000,41,12,,5,1,0,0,1,3,0,0,1,1,0.75,Yomiuri Giants,
Yamasaki Iori,1,0,0,0,0,0,.000,16,4,,5,0,0,0,0,3,0,0,1,1,2.25,Yomiuri Giants,
Yokogawa Kai,2,1,1,0,0,0,.500,53,12,,14,2,4,0,0,7,0,0,6,6,4.50,Yomiuri Giants,
Avila Pedro,5,0,1,0,0,0,.000,68,15,.1,9,0,12,0,2,11,1,0,3,1,0.59,Yakult Swallows,
Baumann Mike,6,0,0,0,0,0,.000,20,6,,2,0,1,0,0,5,0,0,0,0,0.00,Yakult Swallows,
Hara Juri,10,0,3,1,0,0,.000,56,11,,18,3,4,0,2,11,0,0,15,14,11.45,Yakult Swallows,
Hasegawa Hiroki,7,0,1,0,0,0,.000,30,6,.1,4,0,7,0,0,3,0,0,2,1,1.42,Yakult Swallows,
Hirosawa Yu,5,0,1,0,0,0,.000,28,5,,12,0,2,0,0,4,0,0,6,6,10.80,Yakult Swallows,
Hoshi Tomoya,10,0,0,0,0,0,.000,41,11,,6,0,3,0,1,8,0,0,0,0,0.00,Yakult Swallows,
Ishihara Yuki,6,0,0,0,0,0,.000,24,6,,7,1,0,0,0,5,1,0,4,4,6.00,Yakult Swallows,
Ishikawa Masanori,1,1,0,0,0,0,1.000,19,5,,4,2,1,0,0,5,0,0,2,2,3.60,Yakult Swallows,
Kanakubo Yuto,5,0,1,0,0,0,.000,38,7,.1,13,0,2,0,1,9,2,0,4,0,0.00,Yakult Swallows,
Kozawa Reiji,2,1,0,0,0,0,1.000,7,2,,1,0,0,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Lambert Peter,2,0,1,1,0,0,.000,28,8,,2,0,2,0,0,7,1,0,1,0,0.00,Yakult Swallows,
Maruyama Shota,13,0,1,0,0,0,.000,62,13,.2,15,0,5,0,0,11,2,0,8,6,3.95,Yakult Swallows,
Matsumoto Kengo,5,0,3,0,0,0,.000,98,22,,32,2,2,0,1,9,3,0,15,13,5.32,Yakult Swallows,
Miyagawa Tetsu,11,1,0,2,0,0,1.000,55,12,,16,2,7,0,0,12,0,0,6,6,4.50,Yakult Swallows,
Nakamura Yuto,5,0,0,0,0,0,.000,67,18,,10,1,1,0,0,18,0,0,5,4,2.00,Yakult Swallows,
Nishihama Yuusei,10,1,2,0,0,0,.333,49,11,.2,9,0,4,0,1,10,1,0,3,3,2.31,Yakult Swallows,
Numata Shohei,12,1,0,1,0,0,1.000,67,16,.1,17,1,1,0,0,7,0,0,3,3,1.65,Yakult Swallows,
Ogawa Yasuhiro,2,1,0,0,0,0,1.000,37,11,,5,0,0,0,0,8,0,0,0,0,0.00,Yakult Swallows,
Ohnishi Hiroki,12,0,0,2,0,0,.000,48,12,,13,3,4,0,0,5,0,0,5,5,3.75,Yakult Swallows,
Okugawa Yasunobu,1,0,1,0,0,0,.000,28,6,,11,1,0,0,0,4,1,0,5,5,7.50,Yakult Swallows,
Sakaguchi Kousuke,3,0,0,0,0,0,.000,14,3,,4,1,1,0,0,0,1,0,3,3,9.00,Yakult Swallows,
Sakamoto Takumi,7,0,3,0,0,0,.000,97,20,.1,26,2,11,0,0,13,2,0,11,10,4.43,Yakult Swallows,
Satoh Takuma,10,1,2,0,0,0,.333,44,9,.2,11,1,3,0,0,10,2,0,4,4,3.72,Yakult Swallows,
Shimizu Noboru,6,0,0,3,0,0,.000,23,6,,5,1,0,0,0,7,0,0,2,2,3.00,Yakult Swallows,
Shimokawa Shunsuke,7,3,2,0,0,0,.600,140,34,,30,1,13,0,1,26,0,0,12,9,2.38,Yakult Swallows,
Suzuki Kohei,6,1,3,0,0,0,.250,92,21,,15,1,14,0,0,16,2,0,11,9,3.86,Yakult Swallows,
Takahashi Keiji,1,0,0,0,0,0,.000,7,2,,2,0,0,0,0,3,0,0,1,1,4.50,Yakult Swallows,
Takahashi Shosei,2,0,0,0,0,0,.000,10,2,,2,0,1,0,1,0,0,0,0,0,0.00,Yakult Swallows,
Takanashi Hirotoshi,3,0,1,0,0,0,.000,60,14,,12,0,6,0,0,19,0,0,3,3,1.93,Yakult Swallows,
Takeyama Hyuga,11,0,2,0,0,0,.000,61,12,.1,13,0,8,0,1,7,7,1,11,7,5.11,Yakult Swallows,
Yamano Taichi,2,1,0,0,0,0,1.000,26,8,,4,0,1,0,0,7,0,0,0,0,0.00,Yakult Swallows,
Yamashita Hikaru,6,1,0,0,0,0,1.000,83,20,.2,18,0,2,0,0,12,1,0,6,5,2.18,Yakult Swallows,
Yasaki Takuya,6,0,0,3,0,0,.000,28,6,,6,0,4,0,0,5,1,0,4,4,6.00,Yakult Swallows,
Fujishima Kento,3,0,0,0,0,0,.000,11,2,.1,1,0,1,0,0,2,1,0,3,0,0.00,Chunichi Dragons,
Fuku Hiroto,13,2,1,1,0,0,.667,51,12,,12,0,3,0,1,6,1,0,6,5,3.75,Chunichi Dragons,
Fukuda Konosuke,6,0,1,1,0,0,.000,63,13,.1,11,0,13,0,0,9,0,0,7,5,3.38,Chunichi Dragons,
Habu Shohta,6,1,0,0,0,0,1.000,104,24,.2,22,0,10,0,1,14,1,0,13,12,4.38,Chunichi Dragons,
Hashimoto Yuki,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Chunichi Dragons,
Ishikawa Sho,9,0,0,0,0,0,.000,43,9,.2,10,0,6,0,1,6,1,0,6,6,5.59,Chunichi Dragons,
Itoh Mao,12,1,1,1,0,0,.500,54,13,.1,4,0,11,0,0,12,1,0,2,2,1.35,Chunichi Dragons,
Iwasaki Sho,5,1,0,3,0,0,1.000,17,4,.1,4,0,0,0,0,6,0,0,0,0,0.00,Chunichi Dragons,
Kanemaru Yumeto,4,1,0,0,0,0,1.000,55,14,,8,0,3,0,1,7,0,0,3,2,1.29,Chunichi Dragons,
Katsuno Akiyoshi,5,0,0,1,0,0,.000,21,5,,4,0,2,0,0,2,0,0,2,1,1.80,Chunichi Dragons,
Kikuta Towa,1,1,0,0,0,0,1.000,5,1,,1,0,2,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Kondo Ren,11,2,0,2,0,0,1.000,40,10,.2,6,0,1,0,0,8,0,0,2,1,0.84,Chunichi Dragons,
Kusaka Sho,2,0,0,0,0,0,.000,10,3,,1,0,0,0,0,5,0,0,0,0,0.00,Chunichi Dragons,
Marte Yunior,1,0,0,0,0,0,.000,4,1,,1,0,0,0,0,3,0,0,0,0,0.00,Chunichi Dragons,
Martinez Randy,1,0,1,0,0,0,.000,12,2,,2,0,4,0,1,0,0,0,3,3,13.50,Chunichi Dragons,
Matsuba Takahiro,1,0,0,0,0,0,.000,7,2,,3,0,0,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Matsukihira Yuta,3,1,1,0,0,0,.500,84,20,,23,2,4,0,1,11,0,0,11,10,4.50,Chunichi Dragons,
Mejia Humberto,7,3,1,0,0,0,.750,154,40,,28,2,9,0,2,22,1,0,7,7,1.58,Chunichi Dragons,
Miura Mizuki,5,3,0,0,0,0,1.000,89,23,.2,12,1,6,0,0,14,2,0,3,3,1.14,Chunichi Dragons,
Moriyama Akio,9,1,0,0,0,0,1.000,48,11,,11,0,5,0,0,9,1,0,4,4,3.27,Chunichi Dragons,
Muller Kyle,3,1,0,0,0,0,1.000,76,17,.2,18,0,4,0,0,18,0,0,6,5,2.55,Chunichi Dragons,
Nakachi Reia,6,3,3,0,0,0,.500,158,37,.1,30,2,13,0,2,23,2,0,12,9,2.17,Chunichi Dragons,
Neo Akira,10,1,0,0,0,0,1.000,36,9,.2,4,0,2,0,1,6,0,0,1,0,0.00,Chunichi Dragons,
Nonaka Tento,4,0,0,0,0,0,.000,24,5,,6,0,3,0,0,3,0,0,1,1,1.80,Chunichi Dragons,
Ohno Yudai,2,1,1,0,0,0,.500,48,12,,11,2,3,0,0,4,0,0,5,5,3.75,Chunichi Dragons,
Okada Toshiya,4,1,1,0,0,0,.500,84,20,,25,2,1,0,1,11,0,0,8,5,2.25,Chunichi Dragons,
Sobue Daisuke,2,0,0,0,0,0,.000,9,2,,5,0,0,0,0,1,0,0,0,0,0.00,Chunichi Dragons,
Umeno Yugo,12,0,0,5,0,0,.000,43,11,.2,4,0,7,0,0,11,1,0,0,0,0.00,Chunichi Dragons,
Wakui Hideaki,3,2,0,0,0,0,1.000,71,19,,11,0,4,0,0,13,1,0,1,1,0.47,Chunichi Dragons,
Walters Nash,8,0,0,3,0,0,.000,32,8,,6,0,2,0,1,9,0,0,2,2,2.25,Chunichi Dragons,
Yanagi Yuya,1,1,0,0,0,0,1.000,20,6,,2,0,0,0,0,7,0,0,0,0,0.00,Chunichi Dragons,
