Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Team,League
O'Grady Brian,2,5,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.200,0.000,0.200,-35,0.000,0.000,40.0%,20.0%,20.0%,1.00,-0.0,Seibu Lions,PL
Osuna Jose,10,45,42,5,14,3,0,4,29,13,0,0,0,0,8,3,0,0,1,0.333,0.378,0.690,1.068,212,0.357,0.333,33.3%,17.8%,6.7%,0.38,-0.0,Yakult Swallows,CL
Austin Tyler,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,500,0.000,1.000,50.0%,0.0%,50.0%,1.00,-0.0,DeNA BayStars,CL
Kivlehan Patrick,5,10,10,0,2,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0.200,0.200,0.300,0.500,49,0.100,0.286,30.0%,30.0%,0.0%,0.00,-0.0,Yakult Swallows,CL
Gracial Yurisbel,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667,106,0.000,0.500,33.3%,33.3%,0.0%,0.00,-0.0,SoftBank Hawks,PL
Sneed Cy,3,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Yakult Swallows,CL
Santana Domingo,10,37,30,3,7,0,0,2,13,4,0,0,0,1,13,6,0,0,0,0.233,0.351,0.433,0.785,133,0.200,0.312,56.8%,35.1%,16.2%,0.46,-0.0,Yakult Swallows,CL
Soto Neftali,3,9,7,0,4,2,0,0,6,0,0,0,0,0,0,2,1,0,1,0.571,0.667,0.857,1.524,355,0.286,0.571,22.2%,0.0%,22.2%,1.00,-0.0,DeNA BayStars,CL
Despaigne Alfredo,6,25,25,1,4,0,0,1,7,4,0,0,0,0,4,0,0,0,1,0.160,0.160,0.280,0.440,34,0.120,0.150,20.0%,16.0%,0.0%,0.00,-0.0,SoftBank Hawks,PL
Marte Jefry,5,12,8,0,2,1,0,0,3,2,0,0,0,2,2,2,0,0,0,0.250,0.333,0.375,0.708,123,0.125,0.250,33.3%,16.7%,16.7%,1.00,-0.0,Hanshin Tigers,CL
Sunagawa Richard,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,0.0,SoftBank Hawks,PL
Rodriguez Aderlin,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Rojas Jr. Mel,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,Hanshin Tigers,CL
Mimori Masaki,6,26,23,4,4,3,0,0,7,2,0,0,2,0,8,1,0,0,0,0.174,0.208,0.304,0.513,57,0.130,0.267,34.6%,30.8%,3.8%,0.12,-0.0,SoftBank Hawks,PL
Nakagawa Keita,11,50,46,7,13,0,1,0,15,1,0,0,0,0,11,3,0,1,0,0.283,0.340,0.326,0.666,109,0.043,0.371,28.0%,22.0%,6.0%,0.27,-0.1,ORIX Buffaloes,PL
Nakamura Takeya,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,208,0.000,1.000,50.0%,50.0%,0.0%,0.00,-0.0,Seibu Lions,PL
Nakamura Yuhei,10,42,41,4,8,1,0,0,9,0,1,0,0,0,9,1,0,0,2,0.195,0.214,0.220,0.434,32,0.024,0.250,23.8%,21.4%,2.4%,0.11,0.1,Yakult Swallows,CL
Nakamura Akira,6,16,16,1,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0.188,0.188,0.188,0.375,15,0.000,0.231,18.8%,18.8%,0.0%,0.00,-0.0,SoftBank Hawks,PL
Nakano Takumu,6,27,25,3,8,0,1,0,10,0,2,0,0,0,3,2,0,0,1,0.320,0.370,0.400,0.770,143,0.080,0.364,18.5%,11.1%,7.4%,0.67,0.3,Hanshin Tigers,CL
Maruyama Kazuya,10,10,9,2,4,1,0,0,5,0,2,0,0,0,3,1,0,0,0,0.444,0.500,0.556,1.056,212,0.111,0.667,40.0%,30.0%,10.0%,0.33,0.3,Yakult Swallows,CL
Imamiya Kenta,6,22,19,0,2,0,0,0,2,0,0,0,1,0,7,2,0,0,0,0.105,0.190,0.105,0.296,-8,0.000,0.167,40.9%,31.8%,9.1%,0.29,-0.0,SoftBank Hawks,PL
Imanaga Shota,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Itoh Hikaru,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,25.0%,25.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Itoh Masashi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Fushimi Torai,5,20,19,0,6,1,0,0,7,0,0,0,0,0,3,0,0,1,0,0.316,0.350,0.368,0.718,126,0.053,0.375,15.0%,15.0%,0.0%,0.00,-0.0,ORIX Buffaloes,PL
Satoh Naoki,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,0.0,SoftBank Hawks,PL
Sato Teruaki,6,21,19,1,3,0,0,1,6,1,0,0,0,0,8,2,0,0,0,0.158,0.238,0.316,0.554,72,0.158,0.200,52.4%,38.1%,9.5%,0.25,-0.0,Hanshin Tigers,CL
Sano Keita,3,11,10,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.100,0.182,0.100,0.282,-12,0.000,0.111,18.2%,9.1%,9.1%,1.00,-0.0,DeNA BayStars,CL
Sano Kodai,5,7,5,0,1,1,0,0,2,0,1,0,1,0,1,0,0,1,0,0.200,0.333,0.400,0.733,130,0.200,0.250,14.3%,14.3%,0.0%,0.00,0.2,ORIX Buffaloes,PL
Uchiyama Souma,3,3,3,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,375,1.000,0.000,33.3%,0.0%,0.0%,,0.0,Yakult Swallows,CL
Hojoh Fumiya,5,11,10,1,3,2,0,0,5,0,0,0,1,0,3,0,0,0,0,0.300,0.300,0.500,0.800,149,0.200,0.429,27.3%,27.3%,0.0%,0.00,-0.0,Hanshin Tigers,CL
Haraguchi Fumihito,6,19,18,0,2,0,0,0,2,1,0,0,1,0,5,0,0,0,0,0.111,0.111,0.111,0.222,-33,0.000,0.154,26.3%,26.3%,0.0%,0.00,-0.0,Hanshin Tigers,CL
Yoshida Masataka,11,48,36,8,10,0,0,4,22,7,0,0,0,0,1,10,4,2,1,0.278,0.458,0.611,1.069,236,0.333,0.194,31.2%,2.1%,20.8%,10.00,-0.1,ORIX Buffaloes,PL
Wu Nien-Ting,1,4,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-19,0.000,0.000,75.0%,50.0%,25.0%,0.50,-0.0,Seibu Lions,PL
Shuto Ukyo,6,24,23,4,6,2,0,0,8,2,0,0,1,0,2,0,0,0,0,0.261,0.261,0.348,0.609,87,0.087,0.286,8.3%,8.3%,0.0%,0.00,-0.0,SoftBank Hawks,PL
Sakamoto Seishiro,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,0.000,20.0%,20.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Shiomi Yasutaka,10,47,39,6,13,2,1,1,20,1,2,0,0,0,13,6,0,2,0,0.333,0.447,0.513,0.960,184,0.179,0.480,42.6%,27.7%,12.8%,0.46,0.3,Yakult Swallows,CL
