Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Iwasaki Sho,1,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0,1,1,,,14.80,,0,,411,,0.0%,0.0%,100.0%,-100.0%,0.0%,0.0%,nan%,0.0%,0.0%,92.3,Chunichi Dragons,32,R,CL
Kasahara Shotaro,4,1,2,0,0,0,0,75,17.0,18,4,8,9,1,1,0,10,10,5.29,6.99,4.93,1.59,58,204,137,-1.70,5.3%,10.7%,12.0%,-1.3%,41.5%,24.6%,79.7%,8.7%,29.5%,85.8,Chunichi Dragons,27,L,CL
Katsuno Akiyoshi,8,0,4,0,0,0,0,183,43.2,46,6,36,13,0,1,0,24,22,4.53,4.20,3.54,1.35,68,123,98,0.33,3.3%,19.7%,7.1%,12.6%,52.6%,23.4%,76.9%,10.4%,28.1%,90.7,Chunichi Dragons,25,R,CL
Martinez Raidel,56,4,3,39,5,0,0,213,55.2,30,2,62,12,2,4,0,6,6,0.97,2.20,2.45,0.75,317,64,68,-1.23,0.9%,29.1%,5.6%,23.5%,55.5%,34.8%,66.7%,17.8%,33.4%,96.1,Chunichi Dragons,25,R,CL
Matsuba Takahiro,19,6,7,0,0,0,0,404,100.0,96,4,51,18,2,2,0,38,37,3.33,3.20,3.98,1.14,92,93,111,0.13,1.0%,12.6%,4.5%,8.2%,51.9%,21.2%,87.5%,5.5%,26.1%,85.8,Chunichi Dragons,31,L,CL
Mori Hiroto,30,1,0,0,0,0,0,133,30.1,29,4,23,14,1,3,1,9,9,2.67,4.98,4.12,1.42,115,145,115,-2.31,3.0%,17.3%,10.5%,6.8%,50.6%,25.2%,78.7%,9.7%,26.8%,89.7,Chunichi Dragons,24,R,CL
Neo Akira,25,0,0,0,1,0,0,124,29.0,23,2,22,12,1,3,1,12,11,3.41,4.03,3.99,1.21,90,118,111,-0.62,1.6%,17.7%,9.7%,8.1%,47.0%,24.4%,78.6%,9.3%,23.8%,92.1,Chunichi Dragons,22,R,CL
Ogasawara Shinnosuke,22,10,8,0,0,0,0,592,146.2,127,9,142,39,1,1,4,47,45,2.76,2.78,3.06,1.13,111,81,85,-0.02,1.5%,24.0%,6.6%,17.4%,51.5%,27.2%,73.1%,12.3%,31.2%,90.2,Chunichi Dragons,24,L,CL
Ohno Yudai,23,8,8,0,0,4,2,625,157.0,126,7,108,37,1,6,1,50,43,2.46,3.13,3.66,1.04,125,91,102,-0.67,1.1%,17.3%,5.9%,11.4%,48.2%,30.5%,78.8%,10.6%,27.0%,89.7,Chunichi Dragons,33,L,CL
Okada Toshiya,2,0,2,0,0,0,0,29,6.0,9,1,5,4,0,0,0,6,6,9.00,5.60,4.46,2.17,34,164,124,3.40,3.4%,17.2%,13.8%,3.4%,55.0%,17.9%,86.1%,4.8%,25.0%,87.3,Chunichi Dragons,30,L,CL
Okano Yuichiro,4,1,3,0,0,0,0,64,12.1,20,3,7,7,0,1,1,17,17,12.41,7.08,4.80,2.19,25,207,133,5.33,4.7%,10.9%,10.9%,0.0%,57.1%,19.5%,85.6%,5.6%,25.6%,88.0,Chunichi Dragons,28,R,CL
Rodriguez Yariel,56,6,2,0,39,0,0,218,54.2,32,0,60,18,2,4,1,9,7,1.15,2.12,2.87,0.91,267,62,80,-0.97,0.0%,27.5%,8.3%,19.3%,62.3%,29.3%,70.3%,14.0%,29.5%,95.9,Chunichi Dragons,25,R,CL
Satoh Yu,4,0,0,0,0,0,0,21,4.0,7,1,3,2,0,0,0,5,5,11.25,6.35,4.32,2.25,27,185,120,4.90,4.8%,14.3%,9.5%,4.8%,56.2%,34.9%,70.3%,14.3%,28.6%,90.6,Chunichi Dragons,29,R,CL
Shimizu Tatsuya,54,3,3,1,32,0,0,194,50.1,28,1,51,17,1,1,2,17,17,3.04,2.41,3.05,0.89,101,70,85,0.63,0.5%,26.3%,8.8%,17.5%,68.3%,29.6%,74.8%,11.2%,27.6%,92.2,Chunichi Dragons,22,R,CL
Sobue Daisuke,46,4,3,1,17,0,0,179,42.2,42,3,32,13,2,1,1,21,18,3.80,3.50,3.74,1.29,81,102,104,0.30,1.7%,17.9%,7.3%,10.6%,50.4%,24.5%,82.1%,8.5%,26.8%,90.7,Chunichi Dragons,34,R,CL
Suzuki Hiroshi,3,0,1,0,1,0,0,55,13.0,11,0,9,5,0,1,0,6,6,4.15,3.10,4.07,1.23,74,91,113,1.05,0.0%,16.4%,9.1%,7.3%,52.5%,20.4%,85.0%,6.2%,25.6%,92.6,Chunichi Dragons,25,R,CL
Tajima Shinji,21,0,0,0,1,0,0,97,21.2,22,2,9,8,0,1,1,13,11,4.57,4.72,4.70,1.38,67,138,131,-0.15,2.1%,9.3%,8.2%,1.0%,38.5%,16.8%,80.1%,8.3%,24.8%,90.2,Chunichi Dragons,32,R,CL
Takahashi Hiroto,19,6,7,0,0,0,0,462,116.2,79,8,134,42,3,4,1,34,32,2.47,2.88,2.81,1.04,124,84,78,-0.41,1.7%,29.0%,9.1%,19.9%,53.7%,30.7%,66.0%,15.5%,30.8%,94.0,Chunichi Dragons,19,R,CL
Tanimoto Keisuke,34,0,0,1,6,0,0,134,31.0,30,3,21,12,4,0,0,9,9,2.61,4.17,4.13,1.35,118,122,115,-1.56,2.2%,15.7%,9.0%,6.7%,41.5%,27.6%,76.9%,11.4%,25.3%,88.7,Chunichi Dragons,37,R,CL
Tavarez Yohan,3,0,0,0,0,0,0,15,3.0,4,0,4,2,0,1,0,2,2,6.00,3.44,3.47,2.00,51,100,96,2.56,0.0%,26.7%,13.3%,13.3%,50.0%,23.1%,63.6%,13.1%,27.9%,92.0,Chunichi Dragons,,,CL
Ueda Kotaro,8,1,5,0,0,0,0,169,41.1,34,2,33,17,1,3,1,15,13,2.83,3.59,3.85,1.23,109,105,107,-0.76,1.2%,19.5%,10.1%,9.5%,42.0%,27.4%,73.9%,11.1%,27.9%,85.7,Chunichi Dragons,19,L,CL
Yamamoto Takumi,30,1,0,0,4,0,0,131,30.0,24,2,19,17,1,1,1,13,12,3.60,4.50,4.65,1.37,85,131,129,-0.90,1.5%,14.5%,13.0%,1.5%,36.4%,22.0%,81.7%,7.8%,25.0%,91.0,Chunichi Dragons,22,R,CL
Yanagi Yuya,25,9,11,0,0,3,1,648,153.1,154,17,124,37,1,5,8,64,62,3.64,3.75,3.46,1.25,84,109,96,-0.11,2.6%,19.1%,5.7%,13.4%,48.5%,27.5%,76.6%,10.1%,28.8%,88.9,Chunichi Dragons,28,R,CL
Abe Shota,44,1,0,3,22,0,0,166,44.0,22,1,42,10,2,2,0,3,3,0.61,2.31,2.87,0.73,514,66,80,-1.70,0.6%,25.3%,6.0%,19.3%,38.1%,36.5%,68.2%,15.7%,32.7%,91.2,ORIX Buffaloes,29,R,PL
Azuma Kohei,4,1,0,0,0,0,0,60,13.0,17,1,7,5,1,1,0,8,7,4.85,4.41,4.47,1.69,65,126,124,0.44,1.7%,11.7%,8.3%,3.3%,39.5%,29.3%,81.0%,8.8%,24.9%,91.7,ORIX Buffaloes,22,R,PL
Biddle Jesse,35,4,5,0,13,0,0,184,40.1,36,4,45,20,1,7,2,20,18,4.02,4.17,3.44,1.39,78,119,96,-0.15,2.2%,24.5%,10.9%,13.6%,61.7%,19.9%,75.4%,9.6%,30.4%,91.9,ORIX Buffaloes,30,L,PL
Cho Yaku,15,0,0,0,0,0,0,101,22.2,23,0,20,10,0,2,0,9,6,2.38,2.93,3.81,1.46,132,84,106,-0.55,0.0%,19.8%,9.9%,9.9%,44.9%,33.2%,77.6%,11.7%,21.6%,92.1,ORIX Buffaloes,28,R,PL
Higa Motoki,30,5,0,1,5,0,0,85,21.1,20,1,24,2,0,2,0,7,6,2.53,2.02,2.21,1.03,124,58,61,0.51,1.2%,28.2%,2.4%,25.9%,43.9%,36.9%,72.0%,15.0%,31.7%,88.6,ORIX Buffaloes,39,R,PL
Hirano Yoshihisa,48,3,2,28,8,0,0,175,46.0,25,3,42,12,0,2,1,8,8,1.57,3.04,3.09,0.80,200,87,86,-1.47,1.7%,24.0%,6.9%,17.1%,49.2%,33.0%,70.9%,14.1%,29.0%,91.0,ORIX Buffaloes,38,R,PL
Honda Hitomi,42,2,3,2,14,0,0,186,43.2,39,3,40,16,1,4,1,18,17,3.50,3.54,3.51,1.26,90,101,98,-0.04,1.6%,21.5%,8.6%,12.9%,43.4%,30.7%,69.7%,15.2%,29.0%,94.8,ORIX Buffaloes,22,R,PL
Kogita Atsuya,16,0,0,0,5,0,0,63,14.1,16,1,13,6,0,0,1,5,5,3.14,3.45,3.69,1.53,100,99,103,-0.31,1.6%,20.6%,9.5%,11.1%,43.2%,29.1%,75.0%,11.5%,29.8%,91.7,ORIX Buffaloes,23,R,PL
Kondoh Taisuke,32,1,4,2,15,0,0,121,30.0,25,3,27,7,1,1,1,7,7,2.10,3.40,3.15,1.07,149,97,87,-1.30,2.5%,22.3%,5.8%,16.5%,32.5%,31.8%,72.5%,15.5%,26.0%,92.4,ORIX Buffaloes,31,R,PL
Kuroki Yuta,27,2,2,1,5,0,0,106,26.2,20,3,21,9,0,0,2,8,7,2.36,4.00,3.67,1.09,133,114,102,-1.64,2.8%,19.8%,8.5%,11.3%,44.7%,22.0%,78.3%,9.7%,26.6%,91.6,ORIX Buffaloes,27,R,PL
Masui Hirotoshi,2,0,2,0,0,0,0,42,9.1,13,0,11,4,0,0,2,4,4,3.86,2.03,3.13,1.82,81,58,87,1.83,0.0%,26.2%,9.5%,16.7%,40.7%,32.1%,69.9%,13.4%,32.9%,91.7,ORIX Buffaloes,38,R,PL
Miyagi Hiroya,24,11,8,0,0,2,1,612,148.1,137,11,127,30,1,6,0,57,52,3.16,3.08,3.22,1.13,99,88,89,0.08,1.8%,20.8%,4.9%,15.8%,45.9%,24.5%,78.0%,9.7%,30.6%,89.2,ORIX Buffaloes,20,L,PL
Mukunoki Ren,4,2,1,0,0,0,0,69,17.2,8,0,21,8,0,1,2,2,2,1.02,2.25,2.92,0.91,308,64,81,-1.23,0.0%,30.4%,11.6%,18.8%,46.2%,23.4%,69.0%,13.8%,33.1%,90.9,ORIX Buffaloes,22,R,PL
Muranishi Ryota,22,1,1,0,8,0,0,113,24.1,23,4,27,17,3,1,1,13,12,4.44,5.24,3.92,1.64,71,150,109,-0.80,3.5%,23.9%,15.0%,8.8%,38.3%,23.5%,69.8%,12.5%,28.0%,90.8,ORIX Buffaloes,25,R,PL
Nakamura Masaru,3,0,1,0,0,0,0,33,6.1,12,0,4,3,0,1,0,6,6,8.53,3.73,4.50,2.37,37,107,125,4.80,0.0%,12.1%,9.1%,3.0%,48.0%,22.2%,75.0%,10.2%,29.9%,88.2,ORIX Buffaloes,30,R,PL
Nohmi Atsushi,5,0,0,0,1,0,0,15,3.2,2,0,2,2,0,0,0,1,1,2.45,3.65,4.80,1.09,128,104,133,-1.20,0.0%,13.3%,13.3%,0.0%,45.5%,37.0%,75.0%,12.0%,28.0%,87.2,ORIX Buffaloes,43,L,PL
Saitoh Koki,5,0,0,0,0,0,0,24,5.1,7,0,5,1,0,0,0,4,4,6.75,1.79,3.13,1.50,46,51,87,4.96,0.0%,20.8%,4.2%,16.7%,55.6%,44.4%,61.4%,19.3%,40.9%,85.9,ORIX Buffaloes,25,L,PL
Suzuki Kohei,14,0,1,0,2,0,0,51,12.0,12,3,13,3,0,0,2,9,9,6.75,4.94,2.84,1.25,46,141,79,1.81,5.9%,25.5%,5.9%,19.6%,37.1%,31.3%,76.2%,12.4%,25.9%,93.6,ORIX Buffaloes,28,R,PL
Tajima Daiki,20,9,3,0,0,1,1,513,125.0,115,12,92,37,0,2,3,41,37,2.66,3.82,3.73,1.22,118,109,104,-1.16,2.3%,17.9%,7.2%,10.7%,47.2%,23.7%,79.3%,9.3%,28.0%,89.1,ORIX Buffaloes,25,L,PL
Takeyasu Daichi,6,2,0,0,0,0,0,111,26.0,27,1,20,10,0,0,2,13,11,3.81,3.22,3.90,1.42,82,92,108,0.59,0.9%,18.0%,9.0%,9.0%,40.7%,24.5%,78.2%,10.0%,25.8%,90.9,ORIX Buffaloes,27,R,PL
Tomiyama Ryoga,8,0,0,0,3,0,0,38,7.1,10,3,7,3,0,0,0,9,9,11.05,7.74,3.75,1.77,28,221,104,3.31,7.9%,18.4%,7.9%,10.5%,57.1%,21.2%,81.7%,8.0%,24.1%,87.2,ORIX Buffaloes,25,L,PL
Udagawa Yuki,19,2,1,0,3,0,0,87,22.1,10,1,32,12,2,0,0,2,2,0.81,2.43,2.50,0.99,387,69,70,-1.62,1.1%,36.8%,13.8%,23.0%,46.3%,27.6%,67.5%,15.2%,30.9%,94.6,ORIX Buffaloes,23,R,PL
Vargas Cesar,8,0,1,0,2,0,0,66,13.2,18,1,11,8,0,0,0,11,10,6.59,4.20,4.35,1.90,48,120,121,2.39,1.5%,16.7%,12.1%,4.5%,63.8%,29.1%,73.4%,11.7%,26.7%,94.1,ORIX Buffaloes,30,R,PL
Waguespack Jacob,32,2,6,5,7,0,0,309,72.2,63,4,81,29,0,4,1,28,24,2.97,2.95,3.12,1.27,106,84,87,0.02,1.3%,26.2%,9.4%,16.8%,55.4%,28.9%,72.1%,13.2%,29.4%,94.6,ORIX Buffaloes,28,R,PL
Yamada Nobuyoshi,12,1,0,0,2,0,0,44,10.1,11,0,14,4,0,1,1,5,5,4.35,1.84,2.53,1.45,72,53,70,2.51,0.0%,31.8%,9.1%,22.7%,40.0%,27.6%,71.0%,14.6%,26.1%,87.0,ORIX Buffaloes,30,L,PL
Yamamoto Yoshinobu,26,15,5,0,0,4,2,747,193.0,137,6,205,42,0,5,0,42,36,1.68,2.11,2.62,0.93,187,60,73,-0.43,0.8%,27.4%,5.6%,21.8%,59.0%,36.2%,72.1%,14.2%,31.9%,94.3,ORIX Buffaloes,23,R,PL
Yamaoka Taisuke,22,6,8,0,1,2,1,518,128.0,118,6,99,27,0,7,2,42,37,2.60,2.96,3.41,1.13,121,85,95,-0.36,1.2%,19.1%,5.2%,13.9%,47.1%,24.6%,79.6%,8.6%,30.7%,89.6,ORIX Buffaloes,26,R,PL
Yamasaki Sachiya,24,5,8,0,2,0,0,475,114.2,112,13,91,27,0,6,4,58,44,3.45,3.85,3.45,1.21,91,110,96,-0.40,2.7%,19.2%,5.7%,13.5%,53.3%,26.1%,77.9%,9.9%,29.5%,88.4,ORIX Buffaloes,29,L,PL
Yamazaki Soichiro,15,0,2,1,6,0,0,145,36.0,30,2,29,10,1,1,0,15,12,3.00,3.13,3.49,1.11,105,89,97,-0.13,1.4%,20.0%,6.9%,13.1%,46.5%,27.7%,76.2%,12.0%,26.2%,93.7,ORIX Buffaloes,24,R,PL
Yoshida Ryo,6,1,1,0,2,0,0,15,3.1,5,1,3,1,0,0,0,3,3,8.10,6.10,3.47,1.80,39,174,96,2.00,6.7%,20.0%,6.7%,13.3%,36.4%,30.3%,79.2%,8.8%,26.3%,88.5,ORIX Buffaloes,25,R,PL
Azuma Yusuke,3,0,0,0,0,0,0,21,4.0,9,2,1,2,0,0,1,4,3,6.75,10.60,5.28,2.75,51,278,147,-3.85,9.5%,4.8%,9.5%,-4.8%,38.9%,15.8%,94.4%,2.5%,17.3%,90.4,Lotte Marines,26,R,PL
Dohi Seiya,1,1,0,0,0,0,0,6,1.0,2,0,0,1,0,0,0,0,0,0.00,6.10,6.47,3.00,999,160,180,-6.10,0.0%,0.0%,16.7%,-16.7%,20.0%,18.8%,80.0%,8.0%,16.0%,88.2,Lotte Marines,26,L,PL
Futaki Kota,9,2,4,0,0,0,0,208,47.1,48,6,42,20,1,3,4,24,22,4.18,4.43,3.74,1.44,82,116,104,-0.25,2.9%,20.2%,9.6%,10.6%,48.2%,24.6%,76.6%,9.9%,29.5%,88.5,Lotte Marines,26,R,PL
Guerrero Tayron,49,3,3,3,24,0,0,194,46.0,34,2,63,20,1,5,3,19,18,3.52,2.56,2.58,1.17,97,67,72,0.96,1.0%,32.5%,10.3%,22.2%,48.0%,30.9%,68.6%,15.8%,30.6%,97.3,Lotte Marines,31,R,PL
Hirohata Atsuya,30,0,1,0,2,0,0,171,36.2,48,5,29,15,2,2,2,25,20,4.91,4.68,3.98,1.72,70,123,111,0.23,2.9%,17.0%,8.8%,8.2%,43.8%,23.5%,79.6%,9.8%,25.7%,91.8,Lotte Marines,24,R,PL
Ishikawa Ayumu,20,7,7,0,0,0,0,504,123.0,128,12,67,20,3,4,0,48,40,2.93,3.87,3.87,1.20,117,102,107,-0.94,2.4%,13.3%,4.0%,9.3%,57.5%,27.0%,83.0%,7.7%,28.0%,88.1,Lotte Marines,34,R,PL
Iwashita Daiki,14,1,0,0,3,0,0,61,16.1,6,1,9,8,1,0,1,1,1,0.55,4.27,4.64,0.86,621,112,129,-3.72,1.6%,14.8%,13.1%,1.6%,35.9%,29.6%,74.0%,12.3%,24.6%,91.5,Lotte Marines,25,R,PL
Karakawa Yuki,17,2,1,0,8,0,0,63,15.1,14,3,8,2,0,1,0,9,9,5.28,5.19,3.85,1.04,65,136,107,0.09,4.8%,12.7%,3.2%,9.5%,30.8%,19.2%,87.5%,6.1%,20.1%,89.5,Lotte Marines,32,R,PL
Kawamura Tokito,4,2,0,0,0,0,0,82,19.0,18,1,9,10,0,0,1,7,7,3.32,4.42,4.92,1.47,103,116,137,-1.10,1.2%,11.0%,12.2%,-1.2%,44.4%,19.0%,78.1%,8.8%,27.6%,88.0,Lotte Marines,25,R,PL
Kuniyoshi Yuki,6,0,0,0,0,0,0,22,5.0,5,0,4,3,0,0,1,1,1,1.80,3.30,4.35,1.60,190,87,121,-1.50,0.0%,18.2%,13.6%,4.5%,40.0%,15.0%,75.7%,11.1%,22.2%,92.0,Lotte Marines,30,R,PL
Masuda Naoya,52,1,2,25,8,0,0,224,52.0,46,6,47,19,3,3,8,21,19,3.29,4.06,3.55,1.25,104,107,99,-0.77,2.7%,21.0%,8.5%,12.5%,41.3%,25.6%,75.5%,11.6%,26.6%,91.8,Lotte Marines,32,R,PL
Mima Manabu,20,10,6,0,0,1,1,481,117.2,107,9,86,29,2,3,6,40,38,2.91,3.45,3.61,1.16,117,91,100,-0.54,1.9%,17.9%,6.0%,11.9%,53.8%,27.2%,77.2%,10.0%,29.5%,89.5,Lotte Marines,35,R,PL
Mori Ryotaro,3,0,1,0,0,0,0,39,8.0,11,1,4,5,0,0,0,9,9,10.13,5.60,5.06,2.00,34,147,141,4.53,2.6%,10.3%,12.8%,-2.6%,53.3%,18.1%,87.7%,5.4%,20.9%,90.4,Lotte Marines,23,R,PL
Motomae Fumiya,12,3,2,0,0,0,0,254,56.0,61,14,40,26,1,2,2,32,29,4.66,6.42,4.25,1.55,73,169,118,-1.76,5.5%,15.7%,10.2%,5.5%,47.5%,18.0%,85.4%,5.8%,24.4%,88.4,Lotte Marines,24,L,PL
Nakamura Toshiya,10,0,0,0,1,0,0,64,12.1,17,0,10,9,1,1,1,11,11,8.03,3.91,4.64,2.11,43,103,129,4.12,0.0%,15.6%,14.1%,1.6%,20.5%,28.1%,77.2%,10.7%,25.2%,88.9,Lotte Marines,25,L,PL
Nishino Yuji,37,3,3,0,15,0,0,152,36.1,28,4,35,17,1,0,1,8,7,1.73,4.01,3.62,1.24,197,105,100,-2.28,2.6%,23.0%,11.2%,11.8%,52.5%,28.5%,73.6%,12.1%,27.5%,91.6,Lotte Marines,31,R,PL
Ojima Kazuya,24,3,11,0,0,0,0,599,143.1,140,10,89,43,1,4,1,57,50,3.14,3.75,4.03,1.28,109,98,112,-0.61,1.7%,14.9%,7.2%,7.7%,43.8%,24.9%,79.4%,9.2%,26.1%,89.2,Lotte Marines,25,L,PL
Ono Fumiya,44,0,0,0,18,0,0,176,40.2,36,2,33,16,2,1,2,11,9,1.99,3.37,3.83,1.28,172,89,107,-1.38,1.1%,18.8%,9.1%,9.7%,46.0%,29.0%,76.1%,11.7%,26.0%,94.3,Lotte Marines,25,R,PL
Onuma Kenta,21,1,1,0,1,0,0,117,25.1,30,4,15,14,0,0,1,18,17,6.04,5.63,4.71,1.74,57,148,131,0.41,3.4%,12.8%,12.0%,0.9%,46.6%,25.9%,81.7%,7.8%,26.2%,91.3,Lotte Marines,24,R,PL
Osuna Roberto,29,4,1,10,9,0,0,107,29.2,15,1,32,3,0,1,0,3,3,0.91,1.79,2.09,0.61,375,47,58,-0.88,0.9%,29.9%,2.8%,27.1%,40.8%,38.6%,72.4%,16.0%,29.7%,95.2,Lotte Marines,,,PL
Romero Enny,20,8,9,0,0,0,0,481,115.1,107,7,77,38,0,2,0,52,43,3.36,3.60,3.99,1.26,102,94,111,-0.24,1.5%,16.0%,7.9%,8.1%,43.3%,26.6%,81.2%,8.9%,25.1%,91.5,Lotte Marines,31,L,PL
Sakamoto Koshiro,7,0,0,0,1,0,0,34,8.2,9,3,6,1,0,0,0,4,4,4.15,6.56,3.33,1.15,82,172,93,-2.41,8.8%,17.6%,2.9%,14.7%,40.7%,24.6%,83.9%,7.6%,23.5%,90.1,Lotte Marines,,,PL
Sasaki Chihaya,23,2,3,0,1,0,0,120,25.1,35,2,17,11,2,0,1,18,18,6.39,4.09,4.30,1.82,53,107,120,2.30,1.7%,14.2%,9.2%,5.0%,50.6%,27.0%,80.0%,9.2%,28.7%,86.9,Lotte Marines,28,R,PL
Sasaki Roki,20,9,4,0,0,2,1,490,129.1,80,7,173,23,2,7,4,31,29,2.02,1.83,1.74,0.80,169,48,48,0.19,1.4%,35.3%,4.7%,30.6%,56.6%,37.9%,68.1%,16.8%,34.2%,98.4,Lotte Marines,20,R,PL
Sato Shoma,11,2,6,0,0,0,0,214,52.1,48,4,28,16,0,1,1,28,27,4.64,4.00,4.24,1.22,74,105,118,0.64,1.9%,13.1%,7.5%,5.6%,46.7%,24.5%,77.2%,9.4%,29.2%,84.5,Lotte Marines,24,L,PL
Suzuki Shota,6,1,3,0,0,0,0,65,12.1,22,1,5,9,0,0,0,10,10,7.30,5.54,5.42,2.51,47,145,151,1.76,1.5%,7.7%,13.8%,-6.2%,54.9%,22.3%,90.5%,3.9%,19.7%,90.8,Lotte Marines,23,L,PL
Tanaka Yasuhiro,15,0,1,0,2,0,0,75,14.0,25,2,6,10,2,0,2,17,13,8.36,6.25,5.33,2.50,41,164,148,2.11,2.7%,8.0%,13.3%,-5.3%,62.0%,23.9%,81.5%,9.6%,21.2%,89.5,Lotte Marines,35,R,PL
Taneichi Atsuki,1,0,0,0,0,0,0,16,3.0,5,1,2,4,0,0,1,3,3,9.00,10.10,6.05,3.00,38,265,168,-1.10,6.2%,12.5%,25.0%,-12.5%,50.0%,22.4%,57.7%,14.9%,28.4%,89.3,Lotte Marines,23,R,PL
Tojo Taiki,59,4,4,0,30,0,0,227,56.1,51,3,63,10,2,4,1,14,13,2.08,2.30,2.47,1.08,164,60,69,-0.22,1.3%,27.8%,4.4%,23.3%,52.4%,23.5%,77.3%,9.7%,34.6%,90.7,Lotte Marines,30,R,PL
Yagi Akira,22,0,0,0,0,0,0,96,22.1,25,3,21,8,1,0,2,9,9,3.63,4.04,3.45,1.48,94,106,96,-0.41,3.1%,21.9%,8.3%,13.5%,54.8%,20.5%,76.6%,10.4%,26.9%,91.1,Lotte Marines,25,R,PL
Yokoyama Rikuto,1,0,0,0,0,0,0,5,0.2,2,0,1,1,0,0,0,2,2,27.00,4.60,4.80,4.50,13,121,133,22.40,0.0%,20.0%,20.0%,0.0%,66.7%,0.0%,87.5%,5.0%,25.0%,90.3,Lotte Marines,20,R,PL
Akiyoshi Ryo,2,0,0,0,0,0,0,10,2.0,4,1,1,0,0,0,0,3,3,13.50,8.60,3.80,2.00,24,238,106,4.90,10.0%,10.0%,0.0%,10.0%,33.3%,33.3%,75.0%,11.8%,35.3%,89.6,SoftBank Hawks,,,PL
Bandoh Yugo,25,3,3,0,3,2,1,255,62.1,45,8,48,24,1,2,0,22,22,3.18,4.48,3.86,1.11,102,124,107,-1.30,3.1%,18.8%,9.4%,9.4%,33.7%,25.8%,79.5%,9.5%,27.7%,91.7,SoftBank Hawks,26,R,PL
Fujii Kouya,55,5,1,3,22,0,0,218,56.1,18,4,81,27,3,1,1,9,7,1.12,2.64,2.32,0.80,289,73,65,-1.52,1.8%,37.2%,12.4%,24.8%,40.0%,30.6%,61.2%,18.3%,32.8%,93.8,SoftBank Hawks,25,R,PL
Higashihama Nao,23,10,6,0,0,1,1,542,136.0,114,14,94,37,0,1,3,47,47,3.11,3.90,3.75,1.11,104,108,104,-0.79,2.6%,17.3%,6.8%,10.5%,48.4%,27.7%,82.1%,8.1%,26.6%,91.1,SoftBank Hawks,32,R,PL
Ishikawa Shuta,23,7,10,0,0,1,1,585,136.1,122,9,106,57,1,8,0,57,51,3.37,3.84,3.96,1.31,96,106,110,-0.47,1.5%,18.1%,9.7%,8.4%,46.8%,22.6%,80.5%,8.8%,26.8%,90.5,SoftBank Hawks,30,R,PL
Izumi Keisuke,30,0,2,0,6,0,0,116,29.0,24,3,25,9,0,1,1,12,12,3.72,3.76,3.42,1.14,87,104,95,-0.04,2.6%,21.6%,7.8%,13.8%,50.6%,23.3%,80.8%,9.1%,24.3%,93.4,SoftBank Hawks,25,R,PL
Kaino Hiroshi,27,2,0,0,3,0,0,106,25.0,19,0,27,14,1,0,0,7,7,2.52,2.62,3.57,1.32,128,73,99,-0.10,0.0%,25.5%,13.2%,12.3%,47.5%,30.3%,68.7%,14.3%,30.3%,96.5,SoftBank Hawks,25,R,PL
Kasaya Shunsuke,16,0,0,0,0,0,0,82,17.0,19,4,14,9,0,5,0,12,12,6.35,6.99,4.19,1.65,51,194,116,-0.64,4.9%,17.1%,11.0%,6.1%,40.0%,20.0%,75.0%,11.4%,27.4%,92.1,SoftBank Hawks,25,L,PL
Kayama Shinya,56,0,0,0,28,0,0,109,27.1,18,1,22,11,1,1,0,3,3,0.99,3.29,3.79,1.06,327,91,105,-2.30,0.9%,20.2%,10.1%,10.1%,41.3%,24.2%,76.7%,10.8%,27.8%,88.2,SoftBank Hawks,32,L,PL
Matayoshi Katsuki,31,3,3,1,14,0,0,122,30.0,27,4,22,8,2,0,0,8,7,2.10,4.17,3.65,1.17,154,116,102,-2.07,3.3%,18.0%,6.6%,11.5%,49.4%,23.6%,79.4%,9.8%,25.2%,90.0,SoftBank Hawks,31,R,PL
Matsumoto Yuki,44,5,1,0,15,0,0,206,50.2,40,6,60,14,1,1,1,15,15,2.66,3.16,2.57,1.07,122,88,71,-0.50,2.9%,29.1%,6.8%,22.3%,43.4%,27.9%,74.2%,12.5%,28.4%,91.8,SoftBank Hawks,26,R,PL
Moinelo Livan,53,1,1,24,8,0,0,202,52.2,22,2,87,20,1,2,2,10,6,1.03,1.55,1.48,0.80,314,43,41,-0.52,1.0%,43.1%,9.9%,33.2%,47.8%,31.6%,56.4%,21.6%,37.4%,94.7,SoftBank Hawks,26,L,PL
Mori Yuito,29,2,4,6,3,0,0,141,34.1,30,4,27,12,0,1,0,13,10,2.62,4.18,3.74,1.22,123,116,104,-1.56,2.8%,19.1%,8.5%,10.6%,35.6%,22.8%,78.4%,9.5%,27.5%,89.9,SoftBank Hawks,30,R,PL
Nakamura Ryota,2,0,0,0,0,0,0,22,2.2,11,1,1,3,0,1,0,10,10,33.75,11.73,5.71,5.25,10,325,159,22.02,4.5%,4.5%,13.6%,-9.1%,29.4%,14.6%,97.1%,1.1%,14.8%,89.8,SoftBank Hawks,24,R,PL
