Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Kumon Katsuhiko,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.90,-5.20,0.00,999,-81,-145,2.90,0.0%,100.0%,0.0%,100.0%,Seibu Lions,PL
Kajiya Ren,2,0,0,0,0,0,13,3.0,2,1,2,2,0,0,0,2,2,6.00,8.10,4.80,1.33,42,237,134,-2.10,7.7%,15.4%,15.4%,0.0%,Hanshin Tigers,CL
Senga Koudai,2,2,0,0,0,0,53,14.0,7,1,16,5,1,0,0,3,2,1.29,2.82,2.72,0.86,205,80,76,-1.53,1.9%,30.2%,9.4%,20.8%,SoftBank Hawks,PL
Wada Tsuyoshi,1,0,0,0,0,0,18,4.1,3,1,2,1,0,0,0,2,2,4.15,5.87,4.24,0.92,64,166,118,-1.72,5.6%,11.1%,5.6%,5.6%,SoftBank Hawks,PL
Kayama Shinya,2,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.10,4.80,1.00,999,88,134,-3.10,0.0%,0.0%,0.0%,0.0%,SoftBank Hawks,PL
Masuda Tatsushi,1,0,0,0,0,0,5,0.2,3,0,0,0,0,0,0,2,2,27.00,3.10,4.80,4.50,10,87,134,23.90,0.0%,0.0%,0.0%,0.0%,Seibu Lions,PL
Ohnishi Hiroki,2,0,0,0,0,0,12,2.1,3,0,2,2,1,0,0,1,1,3.86,3.96,4.80,2.14,73,105,134,-0.10,0.0%,16.7%,16.7%,0.0%,Yakult Swallows,CL
Ohnuki Shinichi,1,1,0,0,0,0,20,6.1,2,0,10,0,0,0,0,0,0,0.00,-0.05,-0.20,0.32,999,-1,-6,0.05,0.0%,50.0%,0.0%,50.0%,DeNA BayStars,CL
Ohzeki Tomohisa,4,0,1,0,0,0,22,5.0,4,1,1,3,1,0,0,4,4,7.20,7.10,5.71,1.40,37,201,159,0.10,4.5%,4.5%,13.6%,-9.1%,SoftBank Hawks,PL
Udagawa Yuki,6,1,0,0,0,0,35,8.2,3,0,14,6,0,0,1,0,0,0.00,1.95,2.51,1.04,999,57,70,-1.95,0.0%,40.0%,17.1%,22.9%,ORIX Buffaloes,PL
Miyagi Hiroya,3,2,1,0,0,0,62,15.1,14,1,17,2,0,0,0,5,5,2.93,2.12,2.38,1.04,87,62,66,0.81,1.6%,27.4%,3.2%,24.2%,ORIX Buffaloes,PL
Ogawa Yasuhiro,3,2,1,0,0,0,74,17.2,16,0,13,6,1,2,0,4,4,2.04,2.99,3.85,1.25,138,79,107,-0.95,0.0%,17.6%,8.1%,9.5%,Yakult Swallows,CL
Kozawa Reiji,1,0,0,0,0,0,5,0.2,3,0,0,0,0,0,0,1,1,13.50,3.10,4.80,4.50,21,82,134,10.40,0.0%,0.0%,0.0%,0.0%,Yakult Swallows,CL
Yamashita Hikaru,1,0,0,0,0,0,24,5.0,7,1,2,1,0,1,0,3,3,5.40,6.10,4.38,1.60,52,162,122,-0.70,4.2%,8.3%,4.2%,4.2%,Yakult Swallows,CL
Yamaoka Taisuke,2,0,0,0,0,0,33,8.1,7,0,5,2,0,0,0,0,0,0.00,2.62,3.89,1.08,999,76,108,-2.62,0.0%,15.2%,6.1%,9.1%,ORIX Buffaloes,PL
Yamamoto Yoshinobu,2,1,1,0,0,0,46,12.0,9,2,14,1,0,0,0,4,4,3.00,3.19,1.97,0.83,85,93,55,-0.19,4.3%,30.4%,2.2%,28.3%,ORIX Buffaloes,PL
Yamasaki Yasuaki,2,0,0,1,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.10,-0.20,0.00,999,3,-6,-0.10,0.0%,50.0%,0.0%,50.0%,DeNA BayStars,CL
Yamasaki Sachiya,2,1,0,0,0,0,36,9.0,5,0,8,5,1,0,0,0,0,0.00,2.99,3.97,1.11,999,87,110,-2.99,0.0%,22.2%,13.9%,8.3%,ORIX Buffaloes,PL
Yamazaki Soichiro,6,0,0,0,0,0,32,8.1,6,2,8,2,0,0,0,6,6,6.48,5.02,2.92,0.96,40,146,81,1.46,6.2%,25.0%,6.2%,18.8%,ORIX Buffaloes,PL
Iwazaki Suguru,1,0,0,0,0,0,4,0.2,0,0,0,1,0,0,0,0,0,0.00,7.60,7.30,1.50,999,223,203,-7.60,0.0%,0.0%,25.0%,-25.0%,Hanshin Tigers,CL
Iwasada Yuta,3,1,0,0,0,0,9,2.2,0,0,2,1,0,0,0,1,1,3.38,2.73,3.69,0.38,75,80,103,0.65,0.0%,22.2%,11.1%,11.1%,Hanshin Tigers,CL
Shimamoto Hiroya,2,0,0,0,0,0,10,2.0,0,0,2,4,1,0,0,0,0,0.00,7.10,6.80,2.00,999,208,189,-7.10,0.0%,20.0%,40.0%,-20.0%,Hanshin Tigers,CL
Taira Kaima,1,0,0,0,0,0,6,1.0,3,0,2,0,0,0,0,1,1,9.00,-0.90,1.47,3.00,30,-25,41,9.90,0.0%,33.3%,0.0%,33.3%,Seibu Lions,PL
Hirano Yoshihisa,4,0,0,0,0,0,15,4.0,4,1,4,0,0,0,0,1,1,2.25,4.35,2.13,1.00,114,127,59,-2.10,6.7%,26.7%,0.0%,26.7%,ORIX Buffaloes,PL
Saiki Hiroto,1,0,0,0,0,0,12,2.1,2,1,2,2,0,0,1,2,2,7.71,9.53,4.80,1.71,33,279,134,-1.82,8.3%,16.7%,16.7%,0.0%,Hanshin Tigers,CL
Kizawa Naofumi,5,0,0,0,0,0,22,5.1,5,0,2,2,0,0,1,0,0,0.00,3.48,4.80,1.31,999,92,134,-3.48,0.0%,9.1%,9.1%,0.0%,Yakult Swallows,CL
Honda Hitomi,4,0,0,0,0,0,21,4.2,5,0,4,3,0,1,0,3,2,3.86,3.96,4.32,1.71,66,115,120,-0.10,0.0%,19.0%,14.3%,4.8%,ORIX Buffaloes,PL
Honda Keisuke,1,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.10,4.80,1.00,999,87,134,-3.10,0.0%,0.0%,0.0%,0.0%,Seibu Lions,PL
Higashihama Nao,1,1,0,0,0,0,20,5.0,4,0,3,1,0,0,0,1,1,1.80,2.50,3.80,1.00,147,71,106,-0.70,0.0%,15.0%,5.0%,10.0%,SoftBank Hawks,PL
Matsumoto Yuki,3,0,0,0,0,0,7,2.1,0,0,2,0,0,0,0,0,0,0.00,1.39,1.94,0.00,999,39,54,-1.39,0.0%,28.6%,0.0%,28.6%,SoftBank Hawks,PL
Bandoh Yugo,1,0,0,0,0,0,15,2.1,8,0,1,0,0,1,1,2,2,7.71,3.53,4.13,3.43,34,100,115,4.18,0.0%,6.7%,0.0%,6.7%,SoftBank Hawks,PL
Mori Yuito,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.10,4.80,0.00,999,88,134,-3.10,0.0%,0.0%,0.0%,0.0%,SoftBank Hawks,PL
Higa Motoki,5,0,0,0,0,0,13,4.0,1,0,6,1,0,0,0,0,0,0.00,0.85,0.95,0.50,999,25,27,-0.85,0.0%,46.2%,7.7%,38.5%,ORIX Buffaloes,PL
Mizukami Yoshinobu,1,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.10,4.80,1.00,999,87,134,-3.10,0.0%,0.0%,0.0%,0.0%,Seibu Lions,PL
Izumi Keisuke,2,0,0,0,0,0,7,1.1,1,0,0,2,0,0,0,0,0,0.00,7.60,7.66,2.25,999,215,213,-7.60,0.0%,0.0%,28.6%,-28.6%,SoftBank Hawks,PL
Tsumori Yuki,2,0,0,0,0,0,8,2.1,1,0,2,0,0,0,0,0,0,0.00,1.39,2.30,0.43,999,39,64,-1.39,0.0%,25.0%,0.0%,25.0%,SoftBank Hawks,PL
Hamachi Masumi,3,0,0,0,0,0,10,2.2,2,0,0,2,0,0,0,1,0,0.00,5.35,6.80,1.50,999,157,189,-5.35,0.0%,0.0%,20.0%,-20.0%,Hanshin Tigers,CL
Shimizu Noboru,8,0,0,0,0,0,34,9.0,6,0,6,1,0,0,1,1,1,1.00,2.10,3.33,0.78,281,56,93,-1.10,0.0%,17.6%,2.9%,14.7%,Yakult Swallows,CL
Yuasa Atsuki,2,0,0,2,0,0,11,2.2,3,0,2,1,0,0,0,0,0,0.00,2.73,3.89,1.50,999,80,108,-2.73,0.0%,18.2%,9.1%,9.1%,Hanshin Tigers,CL
Hamaguchi Haruhiro,1,0,1,0,0,0,21,5.0,4,1,5,2,0,0,1,3,3,5.40,4.90,3.37,1.20,51,133,94,0.50,4.8%,23.8%,9.5%,14.3%,DeNA BayStars,CL
Taguchi Kazuto,5,1,0,0,0,0,20,5.2,4,0,5,0,0,0,0,0,0,0.00,1.34,2.30,0.71,999,35,64,-1.34,0.0%,25.0%,0.0%,25.0%,Yakult Swallows,CL
Tajima Daiki,2,0,1,0,0,0,49,10.2,14,2,7,4,0,0,0,5,3,2.53,5.35,4.19,1.69,101,156,116,-2.82,4.1%,14.3%,8.2%,6.1%,ORIX Buffaloes,PL
Kaino Hiroshi,1,0,0,0,0,0,4,1.0,1,1,0,1,0,0,0,1,1,9.00,19.10,7.30,2.00,29,539,203,-10.10,25.0%,0.0%,25.0%,-25.0%,SoftBank Hawks,PL
Ishiyama Taichi,7,0,0,0,0,0,27,6.1,8,0,9,0,0,0,1,1,1,1.42,0.26,1.47,1.26,198,7,41,1.16,0.0%,33.3%,0.0%,33.3%,Yakult Swallows,CL
Ishikawa Shuta,1,0,1,0,0,0,19,4.1,4,0,3,4,0,0,0,2,2,4.15,4.49,5.33,1.85,64,127,148,-0.33,0.0%,15.8%,21.1%,-5.3%,SoftBank Hawks,PL
Ishikawa Masanori,1,0,1,0,0,0,22,5.0,2,0,4,4,0,1,0,1,1,1.80,4.50,4.80,1.20,156,119,134,-2.70,0.0%,18.2%,18.2%,0.0%,Yakult Swallows,CL
Takeyasu Daichi,1,0,0,0,0,0,7,1.0,1,0,1,2,0,1,0,1,1,9.00,10.10,6.23,3.00,28,294,173,-1.10,0.0%,14.3%,28.6%,-14.3%,ORIX Buffaloes,PL
Fujii Kouya,4,0,0,0,0,0,17,4.0,3,0,4,2,0,0,0,0,0,0.00,2.60,3.62,1.25,999,73,101,-2.60,0.0%,23.5%,11.8%,11.8%,SoftBank Hawks,PL
Fujinami Shintaro,1,0,1,0,0,0,15,3.0,2,1,4,3,0,0,1,2,2,6.00,7.77,4.13,1.67,42,227,115,-1.77,6.7%,26.7%,20.0%,6.7%,Hanshin Tigers,CL
Nishi Yuki,1,0,1,0,0,0,20,4.0,5,1,4,3,0,0,0,5,5,11.25,6.60,4.30,2.00,23,193,120,4.65,5.0%,20.0%,15.0%,5.0%,Hanshin Tigers,CL
Nishi Junya,3,0,0,0,0,0,27,6.0,7,2,5,3,1,0,0,3,3,4.50,7.27,4.06,1.67,57,213,113,-2.77,7.4%,18.5%,11.1%,7.4%,Hanshin Tigers,CL
Kondoh Taisuke,3,0,0,0,0,0,13,2.2,5,0,5,0,0,0,0,2,2,6.75,-0.65,0.95,1.88,38,-19,27,7.40,0.0%,38.5%,0.0%,38.5%,ORIX Buffaloes,PL
Abe Shota,5,1,0,1,0,0,27,5.1,8,1,5,3,0,0,0,4,4,6.75,5.35,4.06,2.06,38,156,113,1.40,3.7%,18.5%,11.1%,7.4%,ORIX Buffaloes,PL
Aoyagi Koyo,2,1,1,0,0,0,51,12.2,7,0,7,5,0,1,0,4,0,0.00,3.42,4.41,0.95,999,100,123,-3.42,0.0%,13.7%,9.8%,3.9%,Hanshin Tigers,CL
Takahashi Keiji,2,1,0,0,0,0,46,11.0,7,0,14,6,0,0,0,3,3,2.45,2.19,3.06,1.18,115,58,85,0.26,0.0%,30.4%,13.0%,17.4%,Yakult Swallows,CL
Takahashi Kona,1,0,1,0,0,0,26,6.0,6,1,4,3,0,1,0,5,5,7.50,5.94,4.42,1.50,36,166,123,1.56,3.8%,15.4%,11.5%,3.8%,Seibu Lions,PL
Kuroki Yuta,1,0,0,0,0,0,4,1.0,1,0,2,0,0,0,0,0,0,0.00,-0.90,-0.20,1.00,999,-26,-6,0.90,0.0%,50.0%,0.0%,50.0%,ORIX Buffaloes,PL
