#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/51855138.html>Miyagi Daita</a>,1,0,0,0,0,0,0,5,1.0,2,0,2,0,0,0,0,0,0,0.00,-0.95,0.80,2.00,999,-28,24,0.95,0.0%,40.0%,0.0%,40.0%,33.3%,57.1%,66.7%,18.8%,43.8%,91.9,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,25,R,CL
,<a href=https://npb.jp/bis/eng/players/21425153.html>Nakagawa Hayate</a>,1,0,0,0,0,0,0,5,1.0,3,0,0,0,0,0,0,0,0,0.00,3.05,4.80,3.00,999,89,143,-3.05,0.0%,0.0%,0.0%,0.0%,40.0%,16.7%,100.0%,0.0%,14.3%,83.9,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/93995152.html>Reynolds Sean</a>,1,0,0,0,0,0,0,5,1.0,0,0,0,0,0,0,0,1,0,0.00,3.05,4.80,0.00,999,89,143,-3.05,0.0%,0.0%,0.0%,0.0%,60.0%,30.8%,90.9%,4.3%,17.4%,94.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,R,CL
,<a href=https://npb.jp/bis/eng/players/53955152.html>Ruiz Jose</a>,2,0,0,0,0,0,0,8,2.0,2,0,2,0,0,0,0,0,0,0.00,1.05,2.30,1.00,999,31,69,-1.05,0.0%,25.0%,0.0%,25.0%,66.7%,31.2%,65.0%,21.9%,25.0%,93.8,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,31,R,CL
,<a href=https://npb.jp/bis/eng/players/11015151.html>Sakamoto Yuya</a>,1,0,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,89,143,-3.05,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,100.0%,0.0%,17.6%,90.5,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,L,CL
,<a href=https://npb.jp/bis/eng/players/33535157.html>Yoshino Teruki</a>,1,0,0,0,0,0,0,9,2.0,1,0,2,2,0,0,1,1,1,4.50,4.05,4.80,1.50,77,118,143,0.45,0.0%,22.2%,22.2%,0.0%,80.0%,35.3%,58.3%,16.1%,41.9%,91.5,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,1,0,0,0,0,0,0,7,2.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,0.50,999,93,143,-3.05,0.0%,0.0%,0.0%,0.0%,57.1%,30.8%,90.9%,4.2%,20.8%,90.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,26,R,CL
,<a href=https://npb.jp/bis/eng/players/31835157.html>Funabasama Hiromasa</a>,2,0,1,0,1,0,0,8,1.2,1,0,0,1,0,1,0,2,2,10.80,6.65,6.05,1.20,30,203,180,4.15,0.0%,0.0%,12.5%,-12.5%,50.0%,15.8%,80.0%,7.1%,14.3%,90.5,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/23725150.html>Howard Spencer</a>,1,0,1,0,0,0,0,25,6.0,4,0,7,4,0,0,0,1,0,0.00,2.72,3.60,1.33,999,83,107,-2.72,0.0%,28.0%,16.0%,12.0%,35.7%,10.9%,69.2%,12.4%,27.8%,91.7,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/61165153.html>Ishikawa Tatsuya</a>,1,0,0,0,0,0,0,8,1.0,4,1,1,1,0,0,0,4,4,36.00,17.05,4.80,5.00,9,521,143,18.95,12.5%,12.5%,12.5%,0.0%,33.3%,16.7%,66.7%,14.3%,28.6%,89.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,28,L,CL
