Rank,Pitcher,Age,T,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
,<a href=https://npb.jp/bis/eng/players/51155131.html>Akiyama Takumi</a>,33.0,R,19,3,6,0,1,0,338,78.0,105,9,38,8,0,3,2,40,40,4.62,4.41,3.91,1.45,74,110,99,0.21,2.7%,11.2%,2.4%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71175132.html>Aoyagi Koyo</a>,30.0,R,11,5,3,1,0,0,216,53.0,44,1,43,18,0,3,1,13,13,2.21,3.27,3.64,1.17,154,81,92,-1.06,0.5%,19.9%,8.3%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,28.0,R,8,3,0,0,0,0,125,35.0,15,0,33,11,0,0,0,2,2,0.51,2.52,3.04,0.74,666,63,77,-2.01,0.0%,26.4%,8.8%,17.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/83085159.html>Betances Jose</a>,24.0,R,25,1,2,0,0,0,111,23.2,23,1,27,18,0,2,3,17,11,4.18,4.26,3.99,1.73,81,106,101,-0.08,0.9%,24.3%,16.2%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/33735159.html>Guerra Javy</a>,28.0,R,2,1,0,0,0,0,9,2.0,2,0,1,2,0,0,0,2,2,9.00,5.46,5.91,2.00,38,136,150,3.54,0.0%,11.1%,22.2%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71675134.html>Hamachi Masumi</a>,26.0,R,17,0,0,0,0,0,66,16.1,11,1,13,5,0,0,0,3,3,1.65,3.58,3.59,0.98,206,89,91,-1.93,1.5%,19.7%,7.6%,12.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81185157.html>Ibaragi Hidetoshi</a>,20.0,R,22,7,4,0,1,0,496,118.2,103,6,74,50,0,5,10,50,48,3.64,4.26,4.32,1.29,93,106,110,-0.62,1.2%,14.9%,10.1%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,23.0,R,40,4,4,10,0,0,161,36.0,37,3,39,14,1,1,4,20,14,3.50,3.63,3.25,1.42,97,90,82,-0.13,1.9%,24.2%,8.7%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,26.0,R,9,0,0,0,0,0,34,9.0,8,0,10,0,0,0,1,1,1,1.00,1.24,1.86,0.89,340,31,47,-0.24,0.0%,29.4%,0.0%,29.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,28.0,L,7,2,3,0,0,0,175,42.2,47,1,29,8,0,2,2,11,11,2.32,3.11,3.60,1.29,146,77,91,-0.79,0.6%,16.6%,4.6%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335155.html>Itoh Ryo</a>,24.0,L,7,0,1,0,0,0,27,4.0,10,1,4,4,0,0,0,11,9,20.25,7.71,4.80,3.50,17,191,122,12.54,3.7%,14.8%,14.8%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51355139.html>Iwasada Yuta</a>,32.0,L,30,1,0,1,0,0,111,26.1,26,1,23,7,0,3,1,9,8,2.73,3.35,3.36,1.25,124,83,85,-0.62,0.9%,20.7%,6.3%,14.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81385153.html>Iwata Masaki</a>,26.0,L,46,1,2,0,0,0,144,38.1,28,2,29,5,0,0,0,12,9,2.11,3.02,3.13,0.86,161,75,79,-0.91,1.4%,20.1%,3.5%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/21525139.html>Kajiya Ren</a>,32.0,R,29,2,1,2,0,0,99,26.1,19,0,26,7,0,0,2,3,2,0.68,2.28,2.88,0.99,500,57,73,-1.60,0.0%,26.3%,7.1%,19.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11715138.html>Kawahara Riku</a>,23.0,L,50,2,1,1,0,0,203,50.0,42,2,38,20,0,0,2,10,9,1.62,3.66,3.91,1.24,210,91,99,-2.04,1.0%,18.7%,9.9%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13215159.html>Martinez Anthony</a>,24.0,R,17,6,1,0,0,0,250,55.0,63,4,38,28,0,5,5,30,24,3.93,4.82,4.40,1.65,86,120,112,-0.89,1.6%,15.2%,11.2%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/93195159.html>Matsubara Kai</a>,24.0,R,33,0,1,0,0,0,142,31.1,27,0,21,22,0,3,7,19,15,4.31,4.51,4.87,1.56,79,112,124,-0.20,0.0%,14.8%,15.5%,-0.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,19.0,L,15,4,5,0,0,0,323,77.1,75,10,52,20,0,4,3,41,34,3.96,4.73,3.81,1.23,86,117,97,-0.77,3.1%,16.1%,6.2%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03305155.html>Moriki Daichi</a>,21.0,R,21,0,0,0,0,0,117,20.2,23,0,14,27,0,5,5,27,26,11.32,6.75,5.91,2.42,30,168,150,4.57,0.0%,12.0%,23.1%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91495151.html>Nishi Junya</a>,22.0,R,17,5,6,1,0,0,365,83.2,91,5,74,31,0,6,4,33,30,3.23,3.79,3.62,1.46,105,94,92,-0.56,1.4%,20.3%,8.5%,11.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,33.0,R,2,1,0,0,0,0,38,8.2,11,0,7,0,0,0,0,4,3,3.12,1.84,2.96,1.27,109,46,75,1.28,0.0%,18.4%,0.0%,18.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515155.html>Okadome Hidetaka</a>,24.0,R,8,0,0,0,0,0,30,7.0,7,1,3,3,0,0,0,3,3,3.86,5.75,4.80,1.43,88,143,122,-1.89,3.3%,10.0%,10.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91795151.html>Oyokawa Masaki</a>,23.0,L,9,4,1,0,1,0,151,37.1,28,3,43,13,0,0,1,11,10,2.41,3.25,2.81,1.10,141,81,71,-0.84,2.0%,28.5%,8.6%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81085153.html>Satoh Ren</a>,26.0,R,49,2,0,3,0,0,219,48.2,39,0,51,26,0,7,6,12,11,2.03,3.40,3.66,1.34,167,84,93,-1.37,0.0%,23.3%,11.9%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/21925159.html>Shiiba Tsuyoshi</a>,22.0,R,23,0,0,0,0,0,133,30.1,35,2,18,13,0,2,6,19,15,4.45,4.61,4.42,1.58,76,114,112,-0.16,1.5%,13.5%,9.8%,3.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51055133.html>Shimamoto Hiroya</a>,31.0,L,10,1,0,0,0,0,44,9.2,9,2,3,6,0,0,1,6,4,3.72,7.39,5.48,1.55,91,184,139,-3.67,4.5%,6.8%,13.6%,-6.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01005155.html>Suzuki Yuto</a>,24.0,L,16,0,3,0,0,0,124,25.1,23,3,18,24,0,0,3,17,13,4.62,6.42,5.28,1.86,74,159,134,-1.80,2.4%,14.5%,19.4%,-4.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,28.0,L,10,0,3,0,1,0,151,39.0,30,1,44,5,0,1,2,11,11,2.54,2.00,2.22,0.90,134,50,56,0.54,0.7%,29.1%,3.3%,25.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,22.0,L,5,2,3,0,0,0,120,29.2,26,0,17,9,0,2,0,11,7,2.12,3.43,4.13,1.18,160,85,105,-1.31,0.0%,14.2%,7.5%,6.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11415159.html>Tsuda Junya</a>,22.0,R,17,2,5,0,0,0,246,53.0,75,5,34,15,0,2,3,45,31,5.26,4.37,4.03,1.70,65,109,102,0.89,2.0%,13.8%,6.1%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11315138.html>Urushihara Taisei</a>,27.0,R,7,0,0,1,0,0,22,6.2,2,0,8,1,0,0,1,0,0,0.00,1.51,1.62,0.45,999,38,41,-1.51,0.0%,36.4%,4.5%,31.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41845138.html>Yuasa Atsuki</a>,24.0,R,25,2,2,5,0,0,102,21.2,25,1,12,14,0,1,1,18,18,7.48,5.03,5.00,1.80,45,125,127,2.45,1.0%,11.8%,13.7%,-1.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31135134.html>Aduwa Makoto</a>,25.0,R,1,1,0,0,0,0,17,5.0,1,0,3,1,0,0,0,0,0,0.00,2.86,3.62,0.40,999,75,92,-2.86,0.0%,17.6%,5.9%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/51155159.html>Akatsuka Kento</a>,22.0,R,13,1,0,0,0,0,60,13.0,10,1,10,11,0,1,0,5,5,3.46,5.69,4.97,1.62,93,149,126,-2.23,1.7%,16.7%,18.3%,-1.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/53955151.html>Corniel Robert</a>,29.0,R,17,2,1,6,0,0,59,16.1,4,0,24,5,0,0,0,2,1,0.55,1.44,1.58,0.55,585,38,40,-0.89,0.0%,40.7%,8.5%,32.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375136.html>Endoh Atsushi</a>,25.0,R,21,5,2,0,0,0,310,77.2,58,3,51,25,0,2,2,21,15,1.74,3.69,3.96,1.07,185,97,101,-1.95,1.0%,16.5%,8.1%,8.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21625136.html>Fujii Reira</a>,24.0,R,9,0,0,0,0,0,46,10.0,13,1,8,2,0,1,2,10,9,8.10,4.06,3.50,1.50,40,107,89,4.04,2.2%,17.4%,4.3%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/51655157.html>Hasebe Ginji</a>,25.0,L,25,2,2,2,0,0,97,23.0,21,0,22,9,0,1,2,4,3,1.17,2.85,3.46,1.30,275,75,88,-1.68,0.0%,22.7%,9.3%,13.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/93995159.html>Hatch Thomas</a>,29.0,R,15,5,4,0,0,0,284,72.1,59,2,46,13,0,2,7,26,19,2.36,3.17,3.64,1.00,136,83,92,-0.81,0.7%,16.2%,4.6%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/73975159.html>Hearn Taylor</a>,29.0,L,10,0,0,3,0,0,37,9.2,6,0,9,3,0,0,1,0,0,0.00,2.53,3.18,0.93,999,66,81,-2.53,0.0%,24.3%,8.1%,16.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41645157.html>Hidaka Atsumi</a>,19.0,R,14,2,5,0,0,0,231,49.1,54,6,20,27,0,5,1,33,29,5.29,6.18,5.10,1.64,61,162,129,-0.89,2.6%,8.7%,11.7%,-3.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71575157.html>Kawano Kei</a>,22.0,R,19,1,1,5,0,0,79,19.2,15,0,14,4,0,2,0,6,6,2.75,2.95,3.53,0.97,117,77,90,-0.20,0.0%,17.7%,5.1%,12.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71775136.html>Kemna Makoto</a>,29.0,R,12,2,2,0,0,0,62,13.2,13,0,5,6,0,2,2,4,2,1.32,4.48,4.96,1.39,244,118,126,-3.16,0.0%,8.1%,9.7%,-1.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61965153.html>Kobayashi Tatsuto</a>,21.0,R,18,1,2,1,0,0,88,18.2,29,2,10,5,0,3,2,12,11,5.30,5.07,4.23,1.82,61,133,107,0.23,2.3%,11.4%,5.7%,5.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745155.html>Kurohara Takumi</a>,24.0,L,1,1,0,0,0,0,20,5.0,2,0,4,2,0,0,0,0,0,0.00,3.06,3.80,0.80,999,80,96,-3.06,0.0%,20.0%,10.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91895157.html>Masuda Takehisa</a>,25.0,R,22,1,1,2,0,0,95,20.2,23,1,11,7,0,2,2,9,7,3.05,4.33,4.38,1.45,105,114,111,-1.28,1.1%,11.6%,7.4%,4.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/73175155.html>Matsumoto Ryuya</a>,24.0,R,29,0,0,3,0,0,110,29.0,20,0,34,4,1,0,0,8,8,2.48,1.53,2.07,0.83,130,40,53,0.95,0.0%,30.9%,3.6%,27.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/93395155.html>Mori Shohei</a>,26.0,L,17,4,6,1,0,0,403,96.0,99,6,88,17,0,2,9,37,26,2.44,3.03,3.04,1.21,132,79,77,-0.59,1.5%,21.8%,4.2%,17.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/53155151.html>Morishita Masato</a>,26.0,R,1,0,0,0,0,0,26,6.0,8,0,3,1,0,0,0,2,2,3.00,2.96,4.03,1.50,107,78,102,0.04,0.0%,11.5%,3.8%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/31235133.html>Nakazaki Shota</a>,31.0,R,9,0,1,0,0,0,35,9.0,9,0,7,0,0,0,1,2,1,1.00,1.90,2.80,1.00,322,50,71,-0.90,0.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21425135.html>Nomura Yusuke</a>,35.0,R,16,4,3,0,0,0,293,70.1,64,4,37,24,0,0,0,28,26,3.33,4.17,4.36,1.25,97,109,111,-0.84,1.4%,12.6%,8.2%,4.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41545153.html>Ohmichi Haruki</a>,25.0,R,31,1,0,6,0,0,125,30.1,25,1,36,10,0,1,2,13,12,3.56,2.60,2.72,1.15,90,68,69,0.96,0.8%,28.8%,8.0%,20.8%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,33.0,R,1,0,0,0,0,0,22,5.0,4,0,5,2,0,0,0,0,0,0.00,2.66,3.44,1.20,999,70,87,-2.66,0.0%,22.7%,9.1%,13.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91595132.html>Okada Akitake</a>,30.0,R,28,1,0,0,0,0,122,28.0,18,0,17,19,0,2,5,9,7,2.25,4.50,4.96,1.32,143,118,126,-2.25,0.0%,13.9%,15.6%,-1.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61765157.html>Saitoh Yuta</a>,20.0,R,7,0,3,0,0,0,82,17.2,18,2,10,11,1,0,0,12,12,6.11,5.67,4.92,1.64,53,149,125,0.44,2.4%,12.2%,13.4%,-1.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91995155.html>Sakata Rei</a>,24.0,R,5,0,1,0,0,0,20,3.0,4,0,1,6,0,2,0,6,6,18.00,10.79,7.30,3.33,18,283,185,7.21,0.0%,5.0%,30.0%,-25.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/31035155.html>Shinya Soh</a>,20.0,L,9,1,0,0,0,0,44,8.2,5,1,6,13,0,2,2,11,11,11.42,8.77,6.39,2.08,28,230,162,2.65,2.3%,13.6%,29.5%,-15.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71075159.html>Sugihara Mirai</a>,18.0,L,2,0,0,0,0,0,12,2.0,3,1,1,3,0,0,0,3,3,13.50,13.46,6.47,3.00,24,353,164,0.04,8.3%,8.3%,25.0%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/51055159.html>Sugita Takeru</a>,22.0,R,18,2,5,0,0,0,290,69.1,60,4,46,22,0,7,4,28,24,3.12,4.14,3.97,1.18,103,109,101,-1.02,1.4%,15.9%,7.6%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41045159.html>Taka Taichi</a>,22.0,L,14,2,5,0,0,0,231,51.2,69,2,25,11,0,2,3,35,28,4.88,3.75,4.19,1.55,66,98,106,1.13,0.9%,10.8%,4.8%,6.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01005134.html>Takahashi Kouya</a>,25.0,L,32,3,2,0,0,0,147,31.0,39,0,27,16,1,2,6,15,11,3.19,3.46,4.05,1.77,101,91,103,-0.27,0.0%,18.4%,10.9%,7.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/31235159.html>Takita Kazuki</a>,22.0,L,14,1,2,0,0,0,184,42.2,34,2,31,30,0,0,0,16,14,2.95,4.73,4.75,1.50,109,124,121,-1.78,1.1%,16.8%,16.3%,0.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41245151.html>Tamamura Shogo</a>,23.0,L,8,4,3,0,0,0,202,51.0,43,3,24,11,0,1,1,14,13,2.29,3.99,4.16,1.06,140,105,106,-1.70,1.5%,11.9%,5.4%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21225130.html>Tone Chiaki</a>,31.0,L,16,0,2,1,0,0,72,14.2,17,2,9,10,0,2,2,17,17,10.43,6.46,4.94,1.84,31,169,125,3.97,2.8%,12.5%,13.9%,-1.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/81085157.html>Tsuji Taiga</a>,19.0,L,13,0,1,0,0,0,65,12.1,21,1,6,6,0,1,0,17,8,5.84,5.24,4.80,2.19,55,137,122,0.60,1.5%,9.2%,9.2%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/31435159.html>Tsunehiro Hayato</a>,22.0,R,12,2,6,0,1,1,284,63.2,71,6,46,24,0,4,4,35,28,3.96,4.56,4.03,1.49,81,120,102,-0.60,2.1%,16.2%,8.5%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71575153.html>Uchima Takuma</a>,25.0,R,29,1,2,0,0,0,118,27.0,25,2,21,14,0,1,4,14,12,4.00,4.53,4.21,1.44,80,119,107,-0.53,1.7%,17.8%,11.9%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71575134.html>Yasaki Takuya</a>,29.0,R,14,1,0,5,0,0,55,13.2,8,0,12,6,0,0,1,4,4,2.63,3.02,3.71,1.02,122,79,94,-0.39,0.0%,21.8%,10.9%,10.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/43545151.html>Diaz Yofrec</a>,25.0,L,35,2,2,1,0,0,153,35.0,23,0,39,28,0,0,3,10,7,1.80,3.63,4.08,1.46,180,94,104,-1.83,0.0%,25.5%,18.3%,7.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/51655134.html>Hamaguchi Haruhiro</a>,29.0,L,14,4,2,0,0,0,216,55.1,35,3,41,15,0,1,1,12,8,1.30,3.55,3.60,0.90,250,92,91,-2.25,1.4%,19.0%,6.9%,12.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/31635157.html>Hashimoto Tatsuya</a>,23.0,R,5,0,0,0,0,0,22,4.2,6,0,4,1,0,0,0,3,3,5.79,2.39,3.44,1.50,56,62,87,3.40,0.0%,18.2%,4.5%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/71875134.html>Horioka Hayato</a>,25.0,R,33,2,2,6,0,0,152,35.0,32,0,36,12,0,1,3,17,15,3.86,2.52,3.22,1.26,84,65,82,1.34,0.0%,23.7%,7.9%,15.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/41145151.html>Ise Hiromu</a>,26.0,R,10,1,0,3,0,0,38,9.1,6,0,5,3,0,0,0,1,0,0.00,3.35,4.27,0.96,999,87,108,-3.35,0.0%,13.2%,7.9%,5.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/11315130.html>Ishida Kenta</a>,31.0,L,6,3,1,0,0,0,101,25.2,19,1,14,6,0,1,0,5,4,1.40,3.69,4.01,0.97,232,96,102,-2.29,1.0%,13.9%,5.9%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,22.0,R,10,1,3,0,0,0,198,48.0,48,5,46,10,0,1,2,19,17,3.19,3.58,2.98,1.21,102,93,76,-0.39,2.5%,23.2%,5.1%,18.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/61165153.html>Ishikawa Tatsuya</a>,26.0,L,28,4,2,0,0,0,161,38.0,40,3,27,9,0,0,2,14,12,2.84,3.78,3.68,1.29,114,98,93,-0.94,1.9%,16.8%,5.6%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,28.0,R,4,1,1,0,0,0,73,17.0,21,2,16,6,0,0,0,8,7,3.71,4.17,3.43,1.59,88,108,87,-0.46,2.7%,21.9%,8.2%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/81585138.html>Kamichatani Taiga</a>,27.0,R,23,2,5,0,0,0,172,38.2,42,1,34,10,0,2,3,21,19,4.42,2.97,3.40,1.34,74,77,86,1.45,0.6%,19.8%,5.8%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,29.0,L,2,2,0,0,0,0,39,11.2,7,1,10,2,0,0,0,2,2,1.54,3.37,2.75,0.77,211,88,70,-1.83,2.6%,25.6%,5.1%,20.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/01705157.html>Konno Ryuto</a>,19.0,R,4,0,1,0,0,0,17,4.0,2,0,4,2,0,1,0,1,0,0.00,3.71,3.62,1.00,999,96,92,-3.71,0.0%,23.5%,11.8%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/31935155.html>Kozono Kenta</a>,21.0,R,18,3,3,0,1,0,321,70.2,78,8,47,27,0,5,1,40,35,4.46,4.96,4.18,1.49,73,129,106,-0.50,2.5%,14.6%,8.4%,6.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/61565157.html>Kusano Haruto</a>,20.0,R,2,0,0,0,0,0,9,1.1,4,0,0,2,0,0,0,3,2,13.50,7.96,7.02,4.50,24,207,178,5.54,0.0%,0.0%,22.2%,-22.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
