Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,Momosaki Aoi,74,137,119,11,22,8,0,1,33,10,2,1,5,3,36,8,0,2,2,0.185,0.242,0.277,0.519,53,0.092,0.247,32.8%,26.3%,5.8%,0.22,0.0,19,4,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Morishita Shota,3,11,8,1,3,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0.375,0.545,0.375,0.920,172,0.000,0.429,36.4%,9.1%,27.3%,3.00,0.0,24,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Nagasaka Kenya,23,40,30,4,4,0,0,0,4,5,0,0,2,1,9,7,0,0,1,0.133,0.289,0.133,0.422,27,0.000,0.182,40.0%,22.5%,17.5%,0.78,0.0,31,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Nakagawa Hayato,70,158,137,20,44,10,3,4,72,28,0,0,1,2,29,14,0,4,1,0.321,0.395,0.526,0.921,169,0.205,0.377,29.7%,18.4%,8.9%,0.48,0.0,21,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Neuse Sheldon,51,161,139,15,31,10,0,3,50,23,0,0,0,1,35,20,0,1,3,0.223,0.323,0.360,0.683,101,0.137,0.275,36.0%,21.7%,12.4%,0.57,0.0,30,DH,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Nishi Yuki,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,0.0,34,1,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Noguchi Kyosuke,81,311,278,37,82,18,2,5,119,35,0,0,0,3,28,23,0,7,9,0.295,0.360,0.428,0.788,131,0.133,0.310,18.0%,9.0%,7.4%,0.82,0.1,24,7,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Obata Ryuhei,8,31,26,11,10,3,1,1,18,9,0,0,0,0,2,5,0,0,0,0.385,0.484,0.692,1.176,242,0.307,0.391,25.8%,6.5%,16.1%,2.50,0.0,24,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Ohyama Yusuke,4,14,12,0,2,0,0,0,2,1,0,0,0,1,3,1,0,0,1,0.167,0.214,0.167,0.381,14,0.000,0.200,28.6%,21.4%,7.1%,0.33,0.0,30,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Onodera Dan,35,121,99,9,24,3,1,0,29,10,2,0,2,2,18,15,1,3,5,0.242,0.353,0.293,0.646,91,0.051,0.289,27.3%,14.9%,12.4%,0.83,0.4,27,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Sakaeda Yuki,82,236,208,29,57,9,2,3,79,32,14,1,0,3,46,21,0,4,3,0.274,0.347,0.380,0.727,114,0.106,0.333,29.7%,19.5%,8.9%,0.46,2.1,27,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Sakamoto Seishiro,4,9,8,1,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0.125,0.222,0.125,0.347,5,0.000,0.333,66.7%,55.6%,11.1%,0.20,0.0,31,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Sato Teruaki,17,71,66,9,21,5,1,2,34,15,0,3,0,0,15,3,0,2,1,0.318,0.366,0.515,0.881,157,0.197,0.388,28.2%,21.1%,4.2%,0.20,-1.0,26,5,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Shimada Kairi,44,128,105,12,25,2,0,0,27,3,18,2,3,0,18,16,0,4,0,0.238,0.360,0.257,0.617,83,0.019,0.287,26.6%,14.1%,12.5%,0.89,2.4,29,7,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takahama Yuto,70,150,121,11,33,6,0,0,39,13,0,2,0,2,41,23,0,4,2,0.273,0.400,0.322,0.722,113,0.049,0.402,42.7%,27.3%,15.3%,0.56,-0.6,28,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takatera Nozomu,123,487,430,64,124,17,6,0,153,35,23,8,9,3,59,41,2,4,7,0.288,0.354,0.356,0.710,109,0.068,0.332,20.5%,12.1%,8.4%,0.69,1.4,22,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Toi Reiji,116,314,281,27,69,13,4,0,90,39,1,2,0,3,55,29,1,1,10,0.246,0.315,0.320,0.635,87,0.074,0.301,26.8%,17.5%,9.2%,0.53,-0.4,20,5,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Toyoda Hiroshi,90,305,272,40,80,18,3,2,110,41,2,2,1,2,37,28,0,2,5,0.294,0.362,0.404,0.766,125,0.110,0.332,22.0%,12.1%,9.2%,0.76,-0.2,28,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Ueda Kai,2,9,8,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.375,0.444,0.375,0.819,141,0.000,0.375,11.1%,0.0%,11.1%,1.00,0.0,29,6,S,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Umeno Ryutaro,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,0.0,34,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Watanabe Ryo,39,145,129,17,32,7,2,2,49,15,0,0,1,1,32,13,0,1,1,0.248,0.319,0.380,0.699,105,0.132,0.312,32.4%,22.1%,9.0%,0.41,0.0,30,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Yamada Shuya,102,259,230,35,50,10,0,0,60,13,2,6,5,1,60,22,0,1,9,0.217,0.287,0.261,0.548,62,0.044,0.292,31.7%,23.2%,8.5%,0.37,-1.6,19,6,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Dohbayashi Shota,14,53,48,4,11,4,0,1,18,2,0,1,0,0,10,3,0,2,3,0.229,0.302,0.375,0.677,104,0.146,0.270,26.4%,18.9%,5.7%,0.30,-0.3,33,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Endoh Atsushi,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,26,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Futamata Shoichi,8,34,31,0,7,2,0,0,9,4,0,1,0,0,8,2,0,1,1,0.226,0.294,0.290,0.584,77,0.064,0.304,29.4%,23.5%,5.9%,0.25,-0.3,22,6,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Hatch Thomas,15,9,8,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.000,0.111,0.000,0.111,-67,0.000,0.000,55.6%,44.4%,11.1%,0.25,0.0,30,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Hatsuki Ryutaro,10,43,38,6,8,1,0,0,9,1,5,1,1,0,10,4,0,0,0,0.211,0.286,0.237,0.523,58,0.026,0.286,32.6%,23.3%,9.3%,0.40,0.5,25,4,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Hayashi Kota,76,294,267,24,72,17,2,5,108,35,1,3,0,3,58,22,1,2,9,0.270,0.327,0.404,0.731,121,0.134,0.324,28.9%,19.7%,7.5%,0.38,-0.7,24,UTL,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ishihara Tomoki,4,13,11,1,3,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0.273,0.385,0.273,0.658,100,0.000,0.375,38.5%,23.1%,15.4%,0.67,0.0,27,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Isomura Yoshitaka,35,94,80,6,23,3,0,2,32,9,0,0,2,2,11,9,0,1,0,0.288,0.359,0.400,0.759,130,0.112,0.304,23.4%,11.7%,9.6%,0.82,0.0,32,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Kubo Shu,22,69,63,7,18,1,0,0,19,1,1,6,2,0,11,2,0,2,3,0.286,0.328,0.302,0.630,91,0.016,0.346,18.8%,15.9%,2.9%,0.18,-1.8,24,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Maekawa Seita,64,173,148,22,41,6,2,3,60,13,3,1,5,2,16,18,0,0,5,0.277,0.351,0.405,0.756,129,0.128,0.290,21.4%,9.2%,10.4%,1.12,0.2,22,UTL,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Matsuyama Ryuhei,16,33,31,3,7,1,1,0,10,8,0,0,0,1,1,1,0,0,0,0.226,0.242,0.323,0.565,70,0.097,0.226,6.1%,3.0%,3.0%,1.00,0.0,39,DH,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Mochimaru Taiki,72,216,183,21,49,6,1,2,63,16,1,0,4,1,24,22,2,6,8,0.268,0.363,0.344,0.707,115,0.076,0.297,22.2%,11.1%,10.2%,0.92,0.2,23,2,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Mori Shohei,17,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,27,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Morishita Masato,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,27,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nabara Norihiko,72,105,90,19,23,3,2,0,30,10,11,4,7,1,15,5,0,2,1,0.256,0.306,0.333,0.639,93,0.077,0.303,19.0%,14.3%,4.8%,0.33,0.6,25,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nakada Yuto,54,143,135,3,26,4,0,0,30,13,0,0,1,0,37,7,0,0,9,0.193,0.232,0.222,0.454,37,0.029,0.265,30.8%,25.9%,4.9%,0.19,0.0,19,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nakamura Kento,76,241,216,23,60,6,1,2,74,25,1,0,2,0,34,21,0,2,2,0.278,0.347,0.343,0.690,109,0.065,0.322,23.7%,14.1%,8.7%,0.62,0.2,28,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nakamura Shosei,74,253,230,37,64,13,4,8,109,32,6,3,3,3,30,17,1,0,4,0.278,0.324,0.474,0.798,141,0.196,0.287,21.7%,11.9%,6.7%,0.57,0.1,26,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nakamura Takahiro,80,262,235,27,62,7,1,0,71,22,2,2,2,1,39,21,1,3,6,0.264,0.331,0.302,0.633,92,0.038,0.315,22.9%,14.9%,8.0%,0.54,-0.2,25,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nirasawa Yuya,98,345,300,22,78,10,1,2,96,31,2,0,12,3,38,30,0,0,10,0.260,0.324,0.320,0.644,95,0.060,0.289,20.3%,11.0%,8.7%,0.79,0.4,24,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nomura Yusuke,16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,36,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ohmori Minoru,27,78,66,12,16,2,1,0,20,7,6,2,1,1,11,10,0,0,0,0.242,0.338,0.303,0.641,94,0.061,0.286,26.9%,14.1%,12.8%,0.91,0.4,28,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ohsera Daichi,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,34,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ramirez Moises,43,134,117,11,19,4,0,2,29,11,0,0,0,3,46,12,0,2,4,0.162,0.246,0.248,0.494,49,0.086,0.236,44.8%,34.3%,9.0%,0.26,0.0,23,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Roberto Nelson,62,160,148,17,30,11,1,2,49,16,4,2,0,0,61,9,0,3,0,0.203,0.263,0.331,0.594,79,0.128,0.329,45.0%,38.1%,5.6%,0.15,0.0,24,9,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Saitoh Yuta,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,21,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Sakakura Shogo,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,20.0%,20.0%,0.0%,0.00,0.0,27,DH,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Sato Keisuke,94,382,333,40,96,9,2,4,121,33,11,9,5,2,53,40,1,2,10,0.288,0.366,0.363,0.729,121,0.075,0.331,25.4%,13.9%,10.5%,0.75,-1.0,24,4,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Scheiner Jake,34,114,105,6,18,4,0,2,28,7,0,0,0,0,21,9,0,0,3,0.171,0.237,0.267,0.504,52,0.096,0.195,28.1%,18.4%,7.9%,0.43,0.0,29,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Shimizu Kanato,40,82,69,7,9,3,0,1,15,8,2,0,1,2,7,8,0,2,0,0.130,0.235,0.217,0.452,36,0.087,0.127,19.5%,8.5%,9.8%,1.14,0.4,20,2,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Sone Kaisei,56,78,71,9,11,2,0,1,16,3,3,1,2,0,17,5,0,0,1,0.155,0.211,0.225,0.436,31,0.070,0.189,29.5%,21.8%,6.4%,0.29,0.2,30,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Suekane Shota,28,93,89,4,18,3,0,1,24,6,0,0,0,1,14,3,0,0,3,0.202,0.226,0.270,0.496,49,0.068,0.227,19.4%,15.1%,3.2%,0.21,0.0,29,UTL,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Takagi Shoto,41,76,72,4,13,4,0,0,17,4,0,0,1,0,15,3,0,0,3,0.181,0.213,0.236,0.449,35,0.055,0.228,23.7%,19.7%,3.9%,0.20,0.0,21,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Takita Kazuki,14,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,23,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Tamamura Shogo,8,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,75.0%,75.0%,0.0%,0.00,0.0,24,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Tamura Shunsuke,64,236,214,23,60,11,1,5,88,24,2,3,0,1,42,21,0,0,8,0.280,0.343,0.411,0.754,128,0.131,0.327,28.8%,17.8%,8.9%,0.50,-0.6,21,9,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Tanaka Kosuke,5,11,11,1,4,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0.364,0.364,0.455,0.819,148,0.091,0.444,18.2%,18.2%,0.0%,0.00,0.0,35,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Tsunehiro Hayato,12,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,25.0%,25.0%,0.0%,0.00,0.0,23,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Uchida Shodai,106,366,340,31,79,17,0,4,108,31,0,1,3,3,84,16,0,3,7,0.232,0.271,0.318,0.589,78,0.086,0.294,28.4%,23.0%,4.4%,0.19,-0.3,20,5,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Uemoto Takashi,8,25,20,1,5,0,0,0,5,0,3,0,0,0,3,5,0,0,2,0.250,0.400,0.250,0.650,98,0.000,0.294,32.0%,12.0%,20.0%,1.67,0.5,34,UTL,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ugusa Koki,38,95,80,14,19,2,0,0,21,4,6,1,1,0,15,13,0,1,0,0.238,0.351,0.263,0.614,87,0.025,0.292,29.5%,15.8%,13.7%,0.87,0.7,28,7,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Yano Masaya,2,9,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0.000,0.333,0.000,0.333,3,0.000,0.000,33.3%,11.1%,22.2%,2.00,0.0,26,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Aibara Ryunosuke,45,86,81,10,15,3,2,2,28,7,6,0,1,1,13,2,0,1,2,0.185,0.212,0.346,0.558,67,0.161,0.194,19.8%,15.1%,2.3%,0.15,1.0,21,4,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Austin Tyler,5,20,18,3,4,1,0,1,8,5,0,0,0,0,7,2,0,0,0,0.222,0.300,0.444,0.744,123,0.222,0.300,50.0%,35.0%,10.0%,0.29,0.0,33,3,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Azuma Junpei,77,189,170,20,33,6,1,5,56,16,2,2,1,3,52,13,0,2,1,0.194,0.255,0.329,0.584,75,0.135,0.241,37.0%,27.5%,6.9%,0.25,-0.3,23,7,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Chino Naoto,69,268,225,36,54,9,1,4,77,31,8,6,1,3,49,38,0,1,6,0.240,0.348,0.342,0.690,108,0.102,0.286,34.0%,18.3%,14.2%,0.78,-0.5,26,UTL,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Ebina Tatsuo,24,93,73,12,21,3,0,2,30,9,8,1,0,0,12,17,0,3,3,0.288,0.441,0.411,0.852,157,0.123,0.322,33.3%,12.9%,18.3%,1.42,1.1,27,8,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Ford Mike,41,146,133,12,28,5,0,8,57,21,0,0,0,0,24,13,0,0,3,0.211,0.281,0.429,0.710,113,0.218,0.198,30.8%,16.4%,8.9%,0.54,0.0,32,DH,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Hamaguchi Haruhiro,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,0.0,30,1,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Hayashi Takuma,15,64,51,8,15,3,0,1,21,9,6,2,3,0,8,9,1,1,1,0.294,0.410,0.412,0.822,148,0.118,0.333,28.1%,12.5%,14.1%,1.12,0.4,24,6,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Inoue Kento,70,293,262,38,79,17,3,8,126,52,9,3,1,4,35,16,1,10,5,0.302,0.360,0.481,0.841,153,0.179,0.318,20.1%,11.9%,5.5%,0.46,0.6,25,5,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Ishikami Taiki,78,303,261,31,58,8,1,4,80,20,13,8,4,4,42,28,0,6,7,0.222,0.308,0.307,0.615,85,0.085,0.247,24.4%,13.9%,9.2%,0.67,-0.3,24,6,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Itoh Hikaru,15,56,47,7,16,6,1,1,27,12,0,0,0,1,11,7,0,1,1,0.340,0.429,0.574,1.003,202,0.234,0.417,33.9%,19.6%,12.5%,0.64,0.0,36,2,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Jackson Andre,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,0.0,29,1,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Joko Ryota,49,131,117,8,24,6,0,0,30,7,0,0,1,0,36,10,0,3,0,0.205,0.285,0.256,0.541,63,0.051,0.296,35.1%,27.5%,7.6%,0.28,0.0,24,2,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Kajiwara Kouki,26,110,104,14,33,9,2,1,49,15,4,2,1,1,26,4,0,0,2,0.317,0.339,0.471,0.810,143,0.154,0.410,28.2%,23.6%,3.6%,0.15,0.0,25,8,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Kamizato Kazuki,47,170,145,18,43,12,1,1,60,16,5,3,0,4,36,18,0,3,1,0.297,0.376,0.414,0.790,138,0.117,0.375,32.4%,21.2%,10.6%,0.50,-0.1,31,8,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Katsumata Atsushi,57,183,175,13,43,7,2,3,63,24,3,1,2,2,28,4,0,0,8,0.246,0.260,0.360,0.620,86,0.114,0.274,19.1%,15.3%,2.2%,0.14,0.2,25,8,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Kobukata Daichi,46,111,94,8,23,5,0,0,28,12,0,0,1,1,20,14,0,1,3,0.245,0.345,0.298,0.643,94,0.053,0.307,30.6%,18.0%,12.6%,0.70,0.0,22,3,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Kondo Taiga,5,5,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,80.0%,80.0%,0.0%,0.00,0.0,19,2,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Kuki Ryuhei,55,140,121,15,32,6,0,3,47,10,1,0,0,0,32,19,0,0,4,0.264,0.364,0.388,0.752,127,0.124,0.337,38.6%,22.9%,13.6%,0.59,0.2,26,2,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
