Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,Komori Kohtaro,110,344,309,40,78,10,2,2,98,23,24,5,12,1,33,20,0,2,7,0.252,0.301,0.317,0.618,83,0.065,0.276,16.0%,9.6%,5.8%,0.61,2.5,22,4,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Nishimura Ruito,113,375,354,31,80,15,2,0,99,26,5,1,3,2,96,15,0,1,12,0.226,0.258,0.280,0.538,60,0.054,0.308,29.6%,25.6%,4.0%,0.16,0.6,20,5,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Hama Shonosuke,99,337,288,35,72,19,3,0,97,23,14,8,4,2,54,41,0,2,6,0.250,0.345,0.337,0.682,104,0.087,0.305,28.2%,16.0%,12.2%,0.76,-0.2,25,8,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Ikeda Ryoma,99,331,284,23,66,13,1,1,84,33,1,0,1,3,47,42,0,1,10,0.232,0.330,0.296,0.626,93,0.064,0.272,27.2%,14.2%,12.7%,0.89,0.3,21,7,R,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Yokoyama Seiya,86,330,310,24,69,8,0,1,80,22,4,2,1,1,66,16,0,2,12,0.223,0.264,0.258,0.522,60,0.035,0.279,25.2%,20.0%,4.8%,0.24,0.1,19,6,L,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Ikeda Raito,81,338,304,39,83,9,1,9,121,34,4,2,4,2,56,24,0,4,2,0.273,0.332,0.398,0.730,112,0.125,0.307,26.3%,16.6%,7.1%,0.43,0.1,25,4,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Matsuishi Shinya,106,372,328,28,68,9,1,0,79,18,4,5,18,3,65,20,0,3,5,0.207,0.257,0.241,0.498,47,0.034,0.256,22.8%,17.5%,5.4%,0.31,-0.9,19,6,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Terachi Ryusei,104,392,341,33,99,15,1,2,122,39,2,1,3,4,53,41,0,3,13,0.290,0.368,0.358,0.726,112,0.068,0.334,24.5%,13.5%,10.5%,0.77,0.1,19,2,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Yamamoto Daito,110,449,401,57,112,27,1,19,198,66,2,4,4,7,84,32,0,5,5,0.279,0.335,0.494,0.829,139,0.215,0.305,30.1%,18.7%,7.1%,0.38,-0.9,22,9,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Hirose Ryuta,94,366,314,36,80,20,0,3,109,34,3,4,5,1,37,43,0,3,5,0.255,0.349,0.347,0.696,108,0.092,0.280,22.7%,10.1%,11.7%,1.16,-0.7,24,4,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Inoue Tomoya,94,343,312,41,90,23,1,4,127,41,6,7,1,1,60,22,0,7,11,0.288,0.348,0.407,0.755,125,0.119,0.345,25.1%,17.5%,6.4%,0.37,-1.2,22,5,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Sasagawa Yoshiyasu,113,464,412,53,106,21,5,7,158,54,8,6,1,4,93,45,1,2,8,0.257,0.330,0.383,0.713,112,0.126,0.313,31.2%,20.0%,9.7%,0.48,-0.5,23,8,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Irie Daiki,98,403,359,39,93,11,2,4,120,36,2,1,6,2,71,25,1,11,11,0.259,0.325,0.334,0.659,98,0.075,0.311,24.8%,17.6%,6.2%,0.35,0.1,23,6,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Kurokawa Fumiya,80,348,286,34,73,13,1,1,91,35,0,2,1,3,38,53,0,5,6,0.255,0.378,0.318,0.696,110,0.063,0.288,26.4%,10.9%,15.2%,1.39,-0.5,24,UTL,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Yasuda Yuma,90,355,303,34,85,21,1,6,126,42,0,0,0,1,60,50,1,1,10,0.281,0.383,0.416,0.799,140,0.135,0.332,32.7%,16.9%,14.1%,0.83,0.1,25,2,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,Watanabe Kento,98,383,320,43,79,22,1,11,136,48,5,1,0,4,81,48,0,11,8,0.247,0.360,0.425,0.785,128,0.178,0.293,36.6%,21.1%,12.5%,0.59,0.6,26,5,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,Arizono Naoki,104,419,376,45,87,16,0,9,130,40,1,1,0,5,92,30,0,8,9,0.231,0.298,0.346,0.644,88,0.115,0.279,31.3%,22.0%,7.2%,0.33,-0.1,22,5,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,Sakaguchi Uta,101,385,347,48,68,12,3,11,119,41,7,1,1,3,120,32,0,2,7,0.196,0.266,0.343,0.609,78,0.147,0.260,42.3%,31.2%,8.3%,0.27,0.9,22,3,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,Chinen Taisei,111,433,399,46,129,19,6,4,172,39,12,11,5,3,36,23,1,3,7,0.323,0.362,0.431,0.793,151,0.108,0.345,14.5%,8.3%,5.3%,0.64,-1.5,25,,L,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Fujiwara Daichi,116,371,326,50,85,9,2,2,104,23,7,2,6,2,57,33,0,4,3,0.261,0.334,0.319,0.653,105,0.058,0.309,24.8%,15.4%,8.9%,0.58,0.6,25,,S,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Koike Tomoya,112,406,361,36,97,15,2,4,128,35,1,3,0,6,57,36,0,3,12,0.269,0.335,0.355,0.690,117,0.086,0.304,23.9%,14.0%,8.9%,0.63,-0.7,26,,R,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Takayama Shun,97,352,312,26,88,15,0,3,112,35,0,0,0,3,43,33,0,4,15,0.282,0.355,0.359,0.714,125,0.077,0.316,22.4%,12.2%,9.4%,0.77,0.1,32,,L,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Tanaka Shunta,108,398,340,29,88,13,0,1,104,25,9,4,3,2,64,50,0,3,7,0.259,0.357,0.306,0.663,109,0.047,0.314,28.9%,16.1%,12.6%,0.78,0.3,31,,L,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Masuda Shoma,104,378,343,41,102,7,4,0,117,26,31,17,6,1,54,26,0,2,3,0.297,0.349,0.341,0.690,103,0.044,0.352,21.2%,14.3%,6.9%,0.48,-0.2,27,,R,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Nakamura Raiya,102,354,320,32,69,13,2,4,98,34,1,0,6,2,85,23,0,3,6,0.216,0.273,0.306,0.579,70,0.090,0.279,31.6%,24.0%,6.5%,0.27,0.2,25,,L,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Nishikawa Ryosuke,105,352,320,23,71,21,2,7,117,33,0,2,1,1,73,29,0,1,7,0.222,0.288,0.366,0.654,92,0.144,0.266,31.0%,20.7%,8.2%,0.40,-0.6,23,,R,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Vasquez Braulio,101,356,328,31,86,12,1,0,100,31,15,11,3,2,66,18,0,5,8,0.262,0.309,0.305,0.614,81,0.043,0.326,23.6%,18.5%,5.1%,0.27,-1.0,26,,S,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
