                  Pitcher   G   W  L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%      K%    BB%   K-BB%                Team League
49       Shimauchi Sotaro  38   1  0   0    4   0    0  166   37.2   29   1   48  28    2   1   1  23  19   4.54   3.47   3.60  1.51   83   83     97   1.07   0.6%   28.9%  16.9%   12.0%      Hiroshima Carp     CL
50       Takahashi Mikiya  18   0  0   0    0   0    0   94   18.2   31   3   15   8    0   1   1  18  17   8.20   5.29   4.06  2.09   46  127    109   2.91   3.2%   16.0%   8.5%    7.5%      Hiroshima Carp     CL
51        Tanaka Norihiko   2   0  0   0    0   0    0    8    2.0    1   0    0   1    0   0   0   0   0   0.00   4.86   6.05  1.00  999  116    163  -4.86   0.0%    0.0%  12.5%  -12.5%      Hiroshima Carp     CL
52          Tokoda Hiroki  15   5  8   0    0   0    0  343   76.2  101  10   56  23    0   0   1  51  42   4.93   4.50   3.84  1.62   77  108    103   0.43   2.9%   16.3%   6.7%    9.6%      Hiroshima Carp     CL
53          Yabuta Kazuki  28   1  2   0    2   0    0  213   47.0   44   5   33  31    2   0   6  25  24   4.60   5.32   4.71  1.60   82  127    127  -0.72   2.3%   15.5%  14.6%    0.9%      Hiroshima Carp     CL
54          Yasaki Takuya   6   0  0   0    0   0    0   39    7.2   11   3   10   5    0   1   2   9   8   9.39   8.19   3.52  2.09   40  196     95   1.20   7.7%   25.6%  12.8%   12.8%      Hiroshima Carp     CL
55          Escobar Edwin  56   1  4   0   17   0    0  217   54.0   39   3   58  17    2   4   0  15  14   2.33   3.10   2.91  1.04  171   70     78  -0.77   1.4%   26.7%   7.8%   18.9%       DeNA BayStars     CL
56       Fujioka Yoshiaki   4   0  0   0    1   0    0   12    1.2    4   0    3   3    0   0   0   4   4  21.60   5.16   4.80  4.20   18  117    129  16.44   0.0%   25.0%  25.0%    0.0%       DeNA BayStars     CL
57     Hamaguchi Haruhiro  16   6  5   0    0   0    0  363   78.1   84   8   67  47    1   3   4  43  40   4.60   4.90   4.25  1.67   87  111    114  -0.30   2.2%   18.5%  12.9%    5.6%       DeNA BayStars     CL
58          Hirata Shingo  43   1  1   0   11   0    0  195   44.1   38   2   46  25    3   2   3  16  14   2.84   3.70   3.72  1.42  140   84    100  -0.86   1.0%   23.6%  12.8%   10.8%       DeNA BayStars     CL
59          Imanaga Shota   9   5  3   0    0   0    0  224   53.0   47   2   63  17    1   1   2  24  19   3.23   2.50   2.75  1.21  123   57     74   0.73   0.9%   28.1%   7.6%   20.5%       DeNA BayStars     CL
60           Inoh Shoichi  17   6  7   0    0   1    0  384   89.0   98  10   69  26    7   1   2  41  39   3.94   4.18   3.68  1.39  101   95     99  -0.24   2.6%   18.0%   6.8%   11.2%       DeNA BayStars     CL
61             Ise Hiromu  33   3  1   0    4   0    0  143   35.0   28   2   39  12    1   2   0   9   7   1.80   3.08   2.91  1.14  221   70     78  -1.28   1.4%   27.3%   8.4%   18.9%       DeNA BayStars     CL
62           Ishida Kenta  50   1  4   0   25   0    0  176   42.2   32   1   46  14    5   1   3  15  12   2.53   2.57   2.98  1.08  157   58     80  -0.04   0.6%   26.1%   8.0%   18.1%       DeNA BayStars     CL
63      Kamichatani Taiga  11   2  3   0    0   1    1  247   59.0   57   8   50  20    2   2   4  29  27   4.12   4.55   3.59  1.31   97  103     97  -0.43   3.2%   20.2%   8.1%   12.1%       DeNA BayStars     CL
64         Kasai Takamasa   1   0  0   0    0   0    0    7    1.0    2   0    1   2    1   0   0   2   2  18.00   7.36   6.23  4.00   22  167    167  10.64   0.0%   14.3%  28.6%  -14.3%       DeNA BayStars     CL
65         Kuniyoshi Yuki  42   3  4   0   10   0    0  191   46.0   36   5   51  22    2   4   1  18  16   3.13   4.26   3.28  1.26  127   97     88  -1.13   2.6%   26.7%  11.5%   15.2%       DeNA BayStars     CL
66         Kyoyama Masaya   6   2  1   0    0   0    0  127   29.0   29   4   25  11    1   1   0  15  15   4.66   4.67   3.70  1.38   86  106     99  -0.01   3.1%   19.7%   8.7%   11.0%       DeNA BayStars     CL
67          Mikami Tomoya  10   0  0   0    0   0    0   55   13.0   13   0    7   6    1   1   1   4   4   2.77   3.90   4.62  1.46  144   88    124  -1.13   0.0%   12.7%  10.9%    1.8%       DeNA BayStars     CL
68         Mishima Kazuki  48   3  1  18    5   0    0  180   47.2   30   1   46  13    3   1   1  13  13   2.45   2.59   2.97  0.90  163   59     80  -0.14   0.6%   25.6%   7.2%   18.4%       DeNA BayStars     CL
69             Mutoh Yuta  21   0  1   0    0   0    0  154   31.1   42   3   22  18    6   1   1  29  26   7.47   5.02   4.54  1.91   53  114    122   2.45   1.9%   14.3%  11.7%    2.6%       DeNA BayStars     CL
70           Nakagawa Koh   3   0  1   0    0   0    0   27    6.1    6   2    3   4    0   0   0   5   5   7.11   8.42   5.17  1.58   56  191    139  -1.31   7.4%   11.1%  14.8%   -3.7%       DeNA BayStars     CL
71        Ohnuki Shinichi  19  10  6   0    0   1    0  452  113.2   96  13   81  29    4   3   0  34  32   2.53   4.27   3.65  1.10  157   97     98  -1.74   2.9%   17.9%   6.4%   11.5%       DeNA BayStars     CL
72         Patton Spencer  57   3  2   0   19   0    0  231   53.0   52   6   65  27    3   2   0  31  29   4.92   4.02   3.15  1.49   81   91     85   0.90   2.6%   28.1%  11.7%   16.4%       DeNA BayStars     CL
73        Peoples Michael  10   2  2   0    0   0    0  166   38.0   40   6   29  13    3   2   0  22  21   4.97   5.07   3.84  1.39   80  115    103  -0.10   3.6%   17.5%   7.8%    9.7%       DeNA BayStars     CL
74      Sakaguchi Kousuke   3   0  2   0    0   0    0   62   12.0   22   2   10   7    1   0   1  10  10   7.50   5.61   4.32  2.42   53  127    116   1.89   3.2%   16.1%  11.3%    4.8%       DeNA BayStars     CL
75          Sakamoto Yuya  10   4  1   0    0   0    0  200   46.0   48  10   29  17    3   3   1  30  29   5.67   6.23   4.20  1.41   70  141    113  -0.56   5.0%   14.5%   8.5%    6.0%       DeNA BayStars     CL
76          Sakurai Shuto   3   0  0   0    0   0    0   35    7.1   12   0    4   3    0   0   1   6   6   7.36   3.50   4.51  2.05   54   79    121   3.86   0.0%   11.4%   8.6%    2.8%       DeNA BayStars     CL
