Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,AIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Ishikami Taiki,73,158,141,15,34,9,0,2,49,16,3,2,2,0,42,14,2,1,2,0.241,0.314,0.348,0.662,100,0.107,0.330,26.6%,8.9%,0.33,-0.2,51.5%,30.7%,79.4%,47.7%,13.3%,36.7%,24,6,L,DeNA BayStars,CL
Itoh Hikaru,6,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,44.4%,0.0%,0.00,0.0,0.0%,37.5%,72.2%,57.1%,21.4%,44.4%,36,2,R,DeNA BayStars,CL
Jackson Andre,25,51,42,1,2,0,0,1,5,5,0,0,6,0,27,3,0,0,0,0.048,0.111,0.119,0.230,-29,0.071,0.071,52.9%,5.9%,0.11,-0.0,30.0%,30.0%,72.1%,35.8%,16.0%,60.8%,29,1,R,DeNA BayStars,CL
Kajiwara Kouki,61,170,163,21,40,9,1,2,57,10,6,3,0,1,51,4,0,2,1,0.245,0.271,0.350,0.621,87,0.105,0.342,30.0%,2.4%,0.08,-0.0,51.4%,45.0%,78.6%,61.8%,19.6%,33.5%,25,8,L,DeNA BayStars,CL
Kamizato Kazuki,62,27,26,5,8,1,2,0,13,2,3,0,0,0,8,1,0,0,0,0.308,0.333,0.500,0.833,148,0.192,0.444,29.6%,3.7%,0.12,0.5,70.6%,33.3%,76.3%,52.7%,16.1%,33.3%,31,8,L,DeNA BayStars,CL
Kato Hibiki,9,18,17,2,3,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0.176,0.222,0.176,0.398,23,0.000,0.273,33.3%,5.6%,0.17,-0.0,18.2%,28.6%,70.0%,51.9%,19.5%,38.9%,23,5,R,DeNA BayStars,CL
Katsumata Atsushi,7,9,9,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,102,0.000,0.375,11.1%,0.0%,0.00,-0.0,12.5%,27.3%,86.7%,64.3%,17.9%,11.1%,25,7,L,DeNA BayStars,CL
Kay Anthony,24,49,36,1,4,1,0,0,5,2,0,0,12,0,19,1,0,0,0,0.111,0.135,0.139,0.274,-16,0.028,0.235,38.8%,2.0%,0.05,-0.0,18.5%,23.2%,89.4%,34.3%,5.1%,40.8%,30,1,L,DeNA BayStars,CL
Kozono Kenta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,0.0%,0.0%,0.0%,50.0%,50.0%,100.0%,22,1,R,DeNA BayStars,CL
Kuki Ryuhei,12,12,12,0,3,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0.250,0.250,0.417,0.667,98,0.167,0.333,25.0%,0.0%,0.00,-0.0,44.4%,35.0%,93.8%,52.3%,11.4%,25.0%,26,,R,DeNA BayStars,CL
Kuwahara Masayuki,106,447,398,48,113,17,2,6,152,27,10,0,10,0,59,30,1,9,5,0.284,0.348,0.382,0.730,120,0.098,0.321,13.2%,6.7%,0.51,1.4,57.2%,26.5%,91.3%,48.0%,8.0%,21.3%,31,8,R,DeNA BayStars,CL
Kyoda Yota,83,210,194,21,42,5,1,1,52,14,1,0,2,1,60,9,3,4,3,0.216,0.264,0.268,0.532,62,0.052,0.306,28.6%,4.3%,0.15,0.1,47.7%,34.5%,80.7%,57.9%,16.4%,33.3%,31,6,L,DeNA BayStars,CL
Maki Shugo,93,391,364,48,101,24,0,16,173,49,3,4,0,1,76,16,5,10,6,0.277,0.325,0.475,0.800,139,0.198,0.311,19.4%,4.1%,0.21,-1.0,63.6%,32.3%,86.5%,53.2%,12.8%,27.6%,27,4,R,DeNA BayStars,CL
Matsuo Shion,77,191,176,19,44,5,0,4,61,18,1,1,0,3,17,9,1,3,8,0.250,0.293,0.347,0.640,93,0.097,0.253,8.9%,4.7%,0.53,-0.3,51.3%,35.5%,90.6%,53.2%,7.7%,15.7%,20,2,R,DeNA BayStars,CL
Mimori Masaki,91,179,160,23,34,9,0,0,43,10,22,8,1,1,32,17,5,0,1,0.213,0.287,0.269,0.556,69,0.056,0.264,17.9%,9.5%,0.53,1.0,51.2%,35.3%,85.3%,52.8%,12.0%,27.4%,26,UTL,L,DeNA BayStars,CL
Miyazaki Toshiro,95,352,321,25,89,16,1,6,125,39,0,0,0,2,42,28,1,1,14,0.277,0.335,0.389,0.724,118,0.112,0.302,11.9%,8.0%,0.67,-0.2,49.3%,24.1%,95.1%,40.5%,5.5%,21.6%,36,5,R,DeNA BayStars,CL
Mori Keito,28,75,72,4,11,0,1,0,13,4,0,2,0,1,16,2,0,0,1,0.153,0.173,0.181,0.354,8,0.028,0.193,21.3%,2.7%,0.12,-0.7,40.4%,36.0%,83.2%,57.7%,14.3%,24.0%,23,6,L,DeNA BayStars,CL
Mori Yuito,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,0.0%,0.0%,0.0%,44.4%,44.4%,100.0%,33,1,R,DeNA BayStars,CL
Nakagawa Hayate,27,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,501,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,100.0%,,100.0%,0.0%,0.0%,26,1,L,DeNA BayStars,CL
Ohnuki Shinichi,11,18,18,2,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0.111,0.111,0.111,0.222,-31,0.000,0.200,44.4%,0.0%,0.00,-0.0,0.0%,29.2%,95.5%,39.7%,5.5%,44.4%,31,1,R,DeNA BayStars,CL
Sano Keita,138,569,525,47,144,24,0,15,213,70,0,0,0,5,61,34,1,5,13,0.274,0.322,0.406,0.728,119,0.132,0.284,10.7%,6.0%,0.56,-0.3,49.7%,25.7%,91.9%,43.9%,6.2%,19.3%,30,7,L,DeNA BayStars,CL
Sasaki Chihaya,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,100.0%,0.0%,100.0%,33.3%,0.0%,0.0%,31,1,R,DeNA BayStars,CL
Sekine Taiki,9,23,23,2,4,3,0,0,7,1,0,0,0,0,2,0,0,0,1,0.174,0.174,0.304,0.478,43,0.130,0.190,8.7%,0.0%,0.00,-0.0,35.0%,36.4%,95.8%,52.2%,5.8%,8.7%,30,9,L,DeNA BayStars,CL
Shibata Tatsuhiro,70,32,22,4,2,0,0,0,2,0,1,1,6,0,6,4,0,0,0,0.091,0.231,0.091,0.322,2,0.000,0.125,18.8%,12.5%,0.67,-0.2,33.3%,23.2%,96.9%,42.1%,7.5%,31.2%,31,5,L,DeNA BayStars,CL
Shinogi Kentaro,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,0.0%,100.0%,100.0%,66.7%,33.3%,100.0%,23,1,L,DeNA BayStars,CL
Taira Kentaro,12,18,16,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,44.4%,0.0%,0.00,0.0,0.0%,42.3%,82.4%,40.0%,8.6%,44.4%,29,1,R,DeNA BayStars,CL
Takeda Yu,6,15,11,0,0,0,0,0,0,0,0,0,3,0,8,1,0,0,0,0.000,0.083,0.000,0.083,-71,0.000,0.000,53.3%,6.7%,0.12,-0.0,0.0%,33.3%,83.3%,37.7%,13.2%,60.0%,25,1,R,DeNA BayStars,CL
Tanai Manato,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,202,0.000,0.500,0.0%,0.0%,,-0.0,50.0%,50.0%,66.7%,80.0%,20.0%,0.0%,18,5,R,DeNA BayStars,CL
Tobashira Yasutaka,45,100,95,5,23,4,0,2,33,6,0,0,1,2,15,2,0,0,5,0.242,0.253,0.347,0.600,80,0.105,0.263,15.0%,2.0%,0.13,-0.0,53.2%,40.8%,89.2%,50.3%,11.7%,19.0%,35,2,L,DeNA BayStars,CL
Tsutsugoh Yoshitomo,75,257,224,29,51,12,0,20,123,43,0,0,0,0,59,33,3,0,7,0.228,0.327,0.549,0.876,160,0.321,0.214,23.0%,12.8%,0.56,-0.1,65.4%,23.5%,84.8%,40.4%,10.1%,43.6%,33,7,L,DeNA BayStars,CL
Viciedo Dayan,43,90,81,8,21,4,0,2,31,6,0,0,0,1,8,6,0,2,3,0.259,0.322,0.383,0.705,112,0.124,0.264,8.9%,6.7%,0.75,-0.0,50.0%,28.6%,90.7%,48.3%,8.3%,17.8%,36,3,R,DeNA BayStars,CL
Watarai Ryuki,86,301,270,24,65,10,2,6,97,25,0,1,4,2,36,24,1,1,5,0.241,0.303,0.359,0.662,99,0.118,0.257,12.0%,8.0%,0.67,-0.5,50.4%,28.1%,87.5%,49.4%,8.4%,21.9%,22,9,L,DeNA BayStars,CL
Yamamoto Yuudai,104,344,313,22,82,19,2,3,114,41,0,0,4,7,40,16,2,4,5,0.262,0.300,0.364,0.664,100,0.102,0.285,11.6%,4.7%,0.40,-0.2,57.3%,29.2%,93.5%,44.8%,5.7%,17.2%,26,2,R,DeNA BayStars,CL
Yoshino Teruki,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,66.7%,0.0%,0.00,0.0,100.0%,14.3%,80.0%,35.3%,11.8%,66.7%,26,1,R,DeNA BayStars,CL
Akahoshi Yuji,22,38,30,1,7,0,0,0,7,2,0,0,5,0,12,3,0,0,0,0.233,0.303,0.233,0.536,68,0.000,0.389,31.6%,7.9%,0.25,-0.0,34.8%,32.6%,96.0%,32.3%,4.8%,39.5%,25,1,R,Yomiuri Giants,CL
Akihiro Yuto,5,8,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.250,0.143,0.393,23,0.000,0.143,0.0%,12.5%,1.00,-0.0,28.6%,33.3%,100.0%,42.4%,6.1%,12.5%,22,7,L,Yomiuri Giants,CL
Aramaki Yu,31,61,54,1,16,1,0,1,20,1,0,2,0,0,13,7,0,0,0,0.296,0.377,0.370,0.747,133,0.074,0.375,21.3%,11.5%,0.54,-0.7,47.5%,25.8%,82.1%,45.2%,13.3%,34.4%,22,3,L,Yomiuri Giants,CL
Asano Shogo,29,83,75,6,14,4,0,2,24,8,1,0,1,1,17,4,1,2,1,0.187,0.244,0.320,0.564,73,0.133,0.211,20.5%,4.8%,0.24,0.1,62.7%,36.4%,84.5%,51.7%,12.0%,27.7%,20,8,R,Yomiuri Giants,CL
Cabbage Trey,123,476,431,50,115,26,1,17,194,51,5,3,1,2,144,37,3,5,4,0.267,0.331,0.450,0.781,140,0.183,0.360,30.3%,7.8%,0.26,-0.4,56.3%,32.9%,83.1%,51.0%,17.1%,41.6%,28,9,L,Yomiuri Giants,CL
Chlup Marek,2,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,60.0%,0.0%,0.00,0.0,50.0%,55.6%,80.0%,58.8%,11.8%,60.0%,26,9,R,Yomiuri Giants,CL
Chono Hisayoshi,17,24,22,1,3,0,0,0,3,0,0,0,0,0,8,2,0,0,0,0.136,0.208,0.136,0.344,7,0.000,0.214,33.3%,8.3%,0.25,-0.0,64.3%,33.3%,72.4%,46.7%,17.8%,41.7%,40,7,R,Yomiuri Giants,CL
Griffin Foster,14,23,19,0,3,0,0,0,3,0,0,0,3,0,6,1,0,0,0,0.158,0.200,0.158,0.358,11,0.000,0.231,26.1%,4.3%,0.17,-0.0,12.5%,20.6%,73.3%,43.5%,12.9%,30.4%,29,1,L,Yomiuri Giants,CL
Hagio Masaya,9,25,23,0,4,0,0,0,4,0,1,0,1,0,5,1,1,0,0,0.174,0.208,0.174,0.382,18,0.000,0.222,20.0%,4.0%,0.20,0.2,57.9%,42.2%,93.1%,54.5%,17.0%,24.0%,24,8,R,Yomiuri Giants,CL
Heinai Ryuta,12,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,50.0%,0.0%,0.00,0.0,0.0%,0.0%,,0.0%,0.0%,50.0%,26,1,R,Yomiuri Giants,CL
Hernandez Elier,52,171,152,14,32,8,0,2,46,8,0,3,0,0,34,18,1,1,5,0.211,0.298,0.303,0.601,86,0.092,0.259,19.9%,10.5%,0.53,-1.1,57.8%,31.4%,84.5%,48.6%,14.4%,31.6%,30,8,R,Yomiuri Giants,CL
Hotta Kenshin,8,5,5,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.400,0.400,0.400,0.800,149,0.000,0.667,40.0%,0.0%,0.00,-0.0,33.3%,100.0%,100.0%,42.9%,7.1%,40.0%,24,1,R,Yomiuri Giants,CL
Inoue Haruto,20,30,29,1,2,0,0,0,2,1,0,0,1,0,17,0,0,0,0,0.069,0.069,0.069,0.138,-59,0.000,0.167,56.7%,0.0%,0.00,-0.0,30.8%,45.3%,76.9%,42.4%,20.3%,56.7%,24,1,L,Yomiuri Giants,CL
Ishikawa Tatsuya,41,7,7,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0.286,0.286,0.286,0.572,77,0.000,0.400,28.6%,0.0%,0.00,-0.0,50.0%,23.5%,100.0%,42.9%,11.4%,28.6%,27,1,R,Yomiuri Giants,CL
Ishizuka Yusei,9,9,9,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0.111,0.111,0.111,0.222,-33,0.000,0.250,55.6%,0.0%,0.00,-0.0,75.0%,42.9%,76.9%,52.8%,16.7%,55.6%,19,6,R,Yomiuri Giants,CL
Izuguchi Yuta,133,573,512,67,154,23,3,6,201,39,4,5,7,3,60,47,2,4,8,0.301,0.362,0.393,0.755,134,0.092,0.330,10.5%,8.2%,0.78,-1.3,55.3%,20.8%,92.9%,42.7%,4.9%,19.7%,26,6,L,Yomiuri Giants,CL
Kadowaki Makoto,81,176,157,14,35,6,1,0,43,4,6,1,8,0,32,10,0,1,2,0.223,0.274,0.274,0.548,70,0.051,0.280,18.2%,5.7%,0.31,0.6,41.2%,27.2%,88.0%,47.9%,8.3%,23.9%,24,UTL,L,Yomiuri Giants,CL
Kai Takuya,68,250,223,17,58,4,0,4,74,20,3,1,2,2,58,23,5,0,8,0.260,0.327,0.332,0.659,105,0.072,0.331,23.2%,9.2%,0.40,0.0,57.6%,26.4%,80.7%,49.8%,13.2%,34.0%,32,2,R,Yomiuri Giants,CL
Kishida Yukinori,87,299,266,25,78,9,0,8,111,39,0,1,6,1,44,25,2,1,4,0.293,0.355,0.417,0.772,139,0.124,0.326,14.7%,8.4%,0.57,-0.5,51.3%,22.8%,89.3%,46.3%,7.8%,25.8%,28,2,R,Yomiuri Giants,CL
Kobayashi Seiji,14,26,21,2,3,1,0,0,4,1,0,0,2,0,8,3,0,0,1,0.143,0.250,0.190,0.440,37,0.047,0.231,30.8%,11.5%,0.38,-0.0,53.3%,22.2%,85.7%,40.0%,9.5%,42.3%,36,2,R,Yomiuri Giants,CL
Kohri Takuya,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,33.3%,100.0%,62.5%,12.5%,0.0%,27,7,R,Yomiuri Giants,CL
Maru Yoshihiro,90,369,326,30,87,19,3,6,130,26,5,4,1,2,57,40,5,0,5,0.267,0.345,0.399,0.744,130,0.132,0.306,15.4%,10.8%,0.70,-0.7,59.3%,17.5%,83.9%,42.4%,8.9%,27.9%,36,9,L,Yomiuri Giants,CL
Masuda Daiki,53,25,22,5,3,1,0,0,4,0,3,2,3,0,7,0,0,0,0,0.136,0.136,0.182,0.318,-4,0.046,0.200,28.0%,0.0%,0.00,-0.2,33.3%,25.9%,81.8%,50.6%,13.9%,28.0%,31,4,R,Yomiuri Giants,CL
Masuda Riku,87,286,264,22,61,10,0,5,86,21,0,3,3,3,62,13,1,3,4,0.231,0.272,0.326,0.598,84,0.095,0.280,21.7%,4.5%,0.21,-1.1,60.3%,39.1%,83.4%,57.3%,16.3%,28.0%,25,3,R,Yomiuri Giants,CL
Mataki Teppei,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,50.0%,100.0%,50.0%,0.0%,50.0%,26,1,L,Yomiuri Giants,CL
Mitsuka Rui,6,12,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,0.0%,0.00,0.0,25.0%,57.7%,75.0%,58.7%,34.8%,66.7%,21,DH,L,Yomiuri Giants,CL
Morita Shunya,9,12,9,0,1,0,0,0,1,0,0,0,2,0,5,1,0,0,1,0.111,0.200,0.111,0.311,-3,0.000,0.250,41.7%,8.3%,0.20,-0.0,0.0%,25.9%,83.3%,35.2%,7.4%,50.0%,28,1,L,Yomiuri Giants,CL
Nakayama Raito,103,312,287,35,76,13,0,7,110,32,1,2,2,0,42,20,1,3,6,0.265,0.319,0.383,0.702,117,0.118,0.290,13.5%,6.4%,0.48,-0.6,49.8%,25.5%,93.8%,44.2%,7.7%,22.1%,23,9,L,Yomiuri Giants,CL
Nishidate Yuhi,15,10,8,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,40.0%,0.0%,0.00,0.0,16.7%,50.0%,66.7%,34.6%,15.4%,40.0%,23,1,R,Yomiuri Giants,CL
Ohshiro Takumi,56,99,91,6,17,3,0,3,29,10,0,0,0,1,27,6,1,1,4,0.187,0.242,0.319,0.561,72,0.132,0.226,27.3%,6.1%,0.22,-0.0,46.2%,26.4%,78.8%,42.8%,13.6%,36.4%,32,3,L,Yomiuri Giants,CL
Okada Yuki,11,19,18,1,3,1,0,0,4,2,0,0,0,0,10,1,0,0,0,0.167,0.211,0.222,0.433,33,0.055,0.375,52.6%,5.3%,0.10,-0.0,25.0%,31.0%,75.0%,50.6%,22.2%,57.9%,25,9,L,Yomiuri Giants,CL
Okamoto Kazuma,69,293,251,38,82,21,1,15,150,49,1,1,0,2,33,33,2,7,5,0.327,0.416,0.598,1.014,212,0.271,0.327,11.3%,11.3%,1.00,-0.3,66.8%,24.2%,90.1%,44.7%,9.0%,27.6%,29,5,R,Yomiuri Giants,CL
Okoye Louis,61,140,126,12,31,4,2,0,39,5,3,3,6,0,29,7,1,1,1,0.246,0.291,0.310,0.601,86,0.064,0.320,20.7%,5.0%,0.24,-0.5,44.6%,38.3%,85.4%,56.4%,12.9%,25.7%,27,8,R,Yomiuri Giants,CL
Otosaka Tomo,5,5,5,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0.200,0.200,0.400,0.600,82,0.200,0.250,20.0%,0.0%,0.00,0.0,50.0%,42.9%,85.7%,58.8%,11.8%,20.0%,31,,R,Yomiuri Giants,CL
Sakamoto Hayato,62,173,154,7,32,10,0,3,51,22,0,0,0,4,40,14,1,1,6,0.208,0.272,0.331,0.603,86,0.123,0.252,23.1%,8.1%,0.35,-0.1,62.3%,26.6%,86.9%,46.7%,12.5%,32.9%,36,5,R,Yomiuri Giants,CL
Sasahara Misaki,13,22,20,1,2,0,0,0,2,0,0,0,0,0,7,2,0,0,0,0.100,0.182,0.100,0.282,-12,0.000,0.154,31.8%,9.1%,0.29,-0.0,61.5%,29.4%,96.8%,48.4%,10.5%,40.9%,21,9,R,Yomiuri Giants,CL
Sasaki Shunsuke,53,161,141,14,35,4,1,0,41,10,1,4,10,0,34,10,0,0,2,0.248,0.298,0.291,0.589,83,0.043,0.327,21.1%,6.2%,0.29,-1.2,36.8%,31.4%,85.1%,47.6%,11.2%,27.3%,25,8,L,Yomiuri Giants,CL
Shigenobu Shinnosuke,10,3,3,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.666,107,0.000,1.000,66.7%,0.0%,0.00,0.2,100.0%,33.3%,83.3%,66.7%,25.0%,66.7%,32,8,L,Yomiuri Giants,CL
Sunagawa Richard,77,253,232,17,49,7,0,11,89,39,1,0,0,2,90,13,0,6,4,0.211,0.269,0.384,0.653,100,0.173,0.286,35.6%,5.1%,0.14,0.1,67.1%,34.6%,76.0%,52.1%,20.0%,45.1%,26,3,R,Yomiuri Giants,CL
Tanaka Masahiro,10,14,13,1,2,1,0,0,3,0,0,0,1,0,9,0,0,0,0,0.154,0.154,0.231,0.385,17,0.077,0.500,64.3%,0.0%,0.00,-0.0,40.0%,52.6%,60.0%,38.5%,19.2%,64.3%,36,1,R,Yomiuri Giants,CL
Togo Shosei,21,35,28,1,3,0,0,0,3,0,0,0,7,0,14,0,0,0,0,0.107,0.107,0.107,0.214,-35,0.000,0.214,40.0%,0.0%,0.00,-0.0,38.1%,43.6%,80.8%,42.2%,12.7%,40.0%,25,1,R,Yomiuri Giants,CL
Urata Shunsuke,22,60,53,4,11,2,0,0,13,4,0,1,3,0,7,3,0,1,1,0.208,0.263,0.245,0.508,58,0.037,0.239,11.7%,5.0%,0.43,-0.4,44.9%,23.7%,91.7%,43.2%,6.8%,16.7%,22,4,L,Yomiuri Giants,CL
Wakabayashi Gakuto,86,241,216,30,52,10,2,3,75,16,9,1,4,1,40,15,0,5,0,0.241,0.304,0.347,0.651,101,0.106,0.282,16.6%,6.2%,0.38,1.1,46.9%,27.8%,85.0%,47.5%,9.7%,24.1%,27,7,R,Yomiuri Giants,CL
Yamasaki Iori,25,49,46,2,6,2,0,0,8,3,0,0,2,0,18,1,0,0,1,0.130,0.149,0.174,0.323,-2,0.044,0.214,36.7%,2.0%,0.06,-0.0,19.2%,30.4%,86.2%,45.7%,11.6%,38.8%,26,1,L,Yomiuri Giants,CL
Yamase Shinnosuke,1,4,4,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,55,0.000,0.333,25.0%,0.0%,0.00,-0.0,33.3%,37.5%,100.0%,50.0%,12.5%,25.0%,24,2,R,Yomiuri Giants,CL
Yokogawa Kai,25,14,11,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,28.6%,0.0%,0.00,0.0,0.0%,53.3%,84.2%,57.4%,12.8%,28.6%,24,1,L,Yomiuri Giants,CL
Yoshikawa Naoki,107,455,404,33,112,15,3,3,142,32,8,3,2,3,63,41,0,5,7,0.277,0.349,0.351,0.700,118,0.074,0.320,13.8%,9.0%,0.65,0.1,46.3%,24.9%,91.0%,45.4%,8.3%,23.5%,30,4,L,Yomiuri Giants,CL
Yuasa Dai,8,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,0.0%,0.00,0.0,100.0%,33.3%,50.0%,36.4%,9.1%,33.3%,25,UTL,R,Yomiuri Giants,CL
Akahane Yoshihiro,103,290,258,22,54,11,1,2,73,19,5,3,12,2,66,18,0,0,2,0.209,0.259,0.283,0.542,61,0.074,0.271,22.8%,6.2%,0.27,-0.3,48.8%,28.9%,85.4%,46.7%,11.5%,29.7%,25,4,R,Yakult Swallows,CL
Aoyagi Koyo,3,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,75.0%,0.0%,0.00,0.0,0.0%,33.3%,50.0%,46.7%,20.0%,75.0%,31,1,R,Yakult Swallows,CL
Avila Pedro,15,25,22,1,2,0,0,0,2,1,0,0,3,0,8,0,0,0,0,0.091,0.091,0.091,0.182,-41,0.000,0.143,32.0%,0.0%,0.00,-0.0,40.0%,45.7%,84.6%,52.5%,16.2%,32.0%,28,1,R,Yakult Swallows,CL
Hamada Taiki,34,104,95,13,21,6,0,4,39,9,0,0,0,0,26,5,0,4,1,0.221,0.288,0.411,0.699,104,0.190,0.262,25.0%,4.8%,0.19,-0.0,58.0%,30.8%,80.0%,50.9%,15.2%,33.7%,24,9,R,Yakult Swallows,CL
Hashimoto Seiya,15,17,16,0,2,0,0,0,2,0,0,0,0,0,4,1,0,0,1,0.125,0.176,0.125,0.301,-6,0.000,0.167,23.5%,5.9%,0.25,-0.0,33.3%,30.6%,90.5%,46.4%,13.0%,29.4%,24,9,L,Yakult Swallows,CL
Ishikawa Masanori,8,11,11,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0.091,0.091,0.091,0.182,-41,0.000,0.143,36.4%,0.0%,0.00,-0.0,14.3%,23.5%,86.7%,40.4%,6.4%,36.4%,45,1,L,Yakult Swallows,CL
Itoh Ryui,87,204,184,17,38,6,2,3,57,17,3,1,7,1,56,12,2,0,1,0.207,0.254,0.310,0.564,67,0.103,0.278,27.5%,5.9%,0.21,0.1,43.4%,35.6%,84.8%,50.6%,13.9%,34.8%,22,6,R,Yakult Swallows,CL
Iwata Yukihiro,126,401,357,43,95,8,5,0,113,13,14,6,13,1,46,24,2,6,2,0.266,0.322,0.317,0.639,89,0.051,0.304,11.5%,6.0%,0.52,0.2,32.1%,28.8%,94.2%,45.5%,4.5%,17.5%,27,8,L,Yakult Swallows,CL
Kanakubo Yuto,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,0.0%,0.0%,0.0%,50.0%,50.0%,100.0%,25,1,L,Yakult Swallows,CL
Kawabata Shingo,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,325,0.500,0.500,0.0%,0.0%,,0.0,100.0%,0.0%,100.0%,50.0%,0.0%,0.0%,37,,L,Yakult Swallows,CL
Kitamura Keigo,46,141,120,15,32,10,0,5,57,19,0,1,1,1,20,15,0,4,3,0.267,0.364,0.475,0.839,144,0.208,0.281,14.2%,10.6%,0.75,-0.4,61.4%,26.3%,91.0%,46.3%,7.2%,28.4%,24,4,R,Yakult Swallows,CL
Kitamura Takumi,62,132,116,9,22,3,0,3,34,7,0,1,6,0,29,6,0,4,1,0.190,0.254,0.293,0.547,62,0.103,0.226,22.0%,4.5%,0.21,-0.4,51.6%,24.3%,87.2%,45.2%,8.3%,28.8%,29,5,R,Yakult Swallows,CL
Koga Yudai,87,291,264,16,74,11,0,2,91,16,2,0,9,2,23,12,2,4,14,0.280,0.319,0.345,0.664,96,0.065,0.299,7.9%,4.1%,0.52,0.2,38.9%,32.3%,93.8%,51.8%,5.7%,12.7%,26,2,R,Yakult Swallows,CL
Lambert Peter,21,31,28,1,3,0,0,0,3,1,0,0,3,0,13,0,0,0,0,0.107,0.107,0.107,0.214,-32,0.000,0.200,41.9%,0.0%,0.00,-0.0,22.2%,41.9%,77.4%,43.8%,13.4%,41.9%,28,1,R,Yakult Swallows,CL
Maruyama Kazuya,39,36,32,6,4,0,0,0,4,2,3,1,2,0,12,2,1,0,0,0.125,0.176,0.125,0.301,-6,0.000,0.200,33.3%,5.6%,0.17,0.2,38.1%,33.8%,78.9%,43.1%,13.9%,38.9%,25,9,L,Yakult Swallows,CL
Masuda Shu,75,132,116,9,27,4,2,1,38,11,1,0,2,0,19,10,0,4,2,0.233,0.315,0.328,0.643,90,0.095,0.271,14.4%,7.6%,0.53,0.1,49.5%,18.7%,89.8%,41.8%,6.9%,22.7%,26,9,R,Yakult Swallows,CL
