Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,AIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Nakagawa Hayato,25,59,56,3,15,1,0,2,22,2,0,0,1,0,16,2,0,0,2,0.268,0.293,0.393,0.686,113,0.125,0.342,27.1%,3.4%,0.12,-0.0,48.8%,39.3%,77.3%,56.2%,18.2%,33.9%,21,7,R,Hanshin Tigers,CL
Nakano Takumu,143,625,531,65,150,18,3,0,174,30,19,7,44,3,77,44,1,3,5,0.282,0.339,0.328,0.667,109,0.046,0.328,12.3%,7.0%,0.57,0.6,37.8%,22.4%,92.7%,40.6%,5.6%,19.4%,29,4,L,Hanshin Tigers,CL
Nelson Nick,23,5,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.000,0.200,0.000,0.200,-36,0.000,0.000,60.0%,20.0%,0.33,-0.0,0.0%,18.2%,60.0%,29.2%,12.5%,80.0%,29,1,R,Hanshin Tigers,CL
Nishi Yuki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,0.0%,0.00,0.0,0.0%,50.0%,0.0%,50.0%,50.0%,100.0%,34,1,R,Hanshin Tigers,CL
Obata Ryuhei,89,297,265,23,59,8,0,5,82,17,6,2,10,3,64,18,3,1,5,0.223,0.272,0.309,0.581,81,0.086,0.271,21.5%,6.1%,0.28,0.2,52.2%,29.2%,82.5%,47.1%,12.8%,29.3%,24,6,L,Hanshin Tigers,CL
Ohtake Koutaro,16,35,30,1,5,0,0,0,5,2,0,0,4,0,14,1,0,0,0,0.167,0.194,0.167,0.361,12,0.000,0.312,40.0%,2.9%,0.07,-0.0,16.7%,26.2%,88.0%,30.3%,6.7%,42.9%,30,1,L,Hanshin Tigers,CL
Ohyama Yusuke,141,587,503,52,133,25,1,13,199,75,6,3,0,4,96,74,7,6,16,0.264,0.363,0.396,0.759,138,0.132,0.302,16.4%,12.6%,0.77,-0.3,57.6%,23.3%,87.9%,43.0%,9.6%,31.2%,30,3,R,Hanshin Tigers,CL
Onodera Dan,19,30,29,3,7,1,0,0,8,0,0,0,0,0,9,1,0,0,0,0.241,0.267,0.276,0.543,69,0.035,0.350,30.0%,3.3%,0.11,-0.0,50.0%,37.3%,81.0%,50.4%,14.9%,33.3%,27,7,R,Hanshin Tigers,CL
Saiki Hiroto,24,54,45,1,2,0,0,0,2,1,0,0,7,0,25,2,0,0,1,0.044,0.085,0.044,0.129,-62,0.000,0.100,46.3%,3.7%,0.08,-0.0,22.2%,23.8%,77.1%,34.1%,10.3%,50.0%,26,1,R,Hanshin Tigers,CL
Sakaeda Yuki,8,9,9,1,2,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0.222,0.222,0.222,0.444,38,0.000,0.333,33.3%,0.0%,0.00,-0.3,66.7%,45.0%,90.0%,52.8%,22.2%,33.3%,27,2,R,Hanshin Tigers,CL
Sakamoto Seishiro,117,414,340,21,84,19,1,2,111,27,2,2,16,0,91,53,6,5,6,0.247,0.357,0.326,0.683,115,0.079,0.332,22.0%,12.8%,0.58,-0.6,48.8%,21.6%,84.6%,38.8%,9.6%,35.3%,31,2,R,Hanshin Tigers,CL
Sato Teruaki,139,597,537,83,149,34,4,40,311,102,10,2,0,3,163,57,9,0,5,0.277,0.345,0.579,0.924,186,0.302,0.323,27.3%,9.5%,0.35,0.8,61.4%,32.1%,83.3%,50.3%,15.5%,43.6%,26,5,L,Hanshin Tigers,CL
Shimada Kairi,28,35,31,2,4,0,0,0,4,0,1,2,3,0,1,1,0,0,0,0.129,0.156,0.129,0.285,-13,0.000,0.133,2.9%,2.9%,1.00,-0.5,45.5%,32.3%,97.9%,51.5%,6.8%,5.7%,29,7,L,Hanshin Tigers,CL
Takahashi Haruto,8,15,13,2,1,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0.077,0.077,0.077,0.154,-55,0.000,0.143,40.0%,0.0%,0.00,-0.0,0.0%,30.8%,75.0%,36.4%,9.1%,40.0%,29,1,L,Hanshin Tigers,CL
Takatera Nozomu,67,160,134,10,31,4,0,2,41,7,4,1,6,1,37,18,1,1,1,0.231,0.325,0.306,0.631,98,0.075,0.302,23.1%,11.2%,0.49,0.3,40.4%,28.0%,81.7%,43.7%,12.3%,35.6%,22,7,L,Hanshin Tigers,CL
Tomida Ren,9,6,5,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,22.2%,71.4%,42.9%,19.0%,50.0%,23,1,L,Hanshin Tigers,CL
Toyoda Hiroshi,33,61,56,2,13,4,0,0,17,4,0,0,0,1,16,4,0,0,3,0.232,0.279,0.304,0.583,82,0.072,0.317,26.2%,6.6%,0.25,-0.0,47.4%,25.9%,84.9%,48.9%,9.9%,32.8%,28,7,R,Hanshin Tigers,CL
Ueda Kai,42,19,17,10,1,1,0,0,2,1,4,1,0,0,9,2,0,0,0,0.059,0.158,0.118,0.276,-15,0.059,0.125,47.4%,10.5%,0.22,0.3,50.0%,28.3%,72.7%,47.4%,16.5%,57.9%,29,4,S,Hanshin Tigers,CL
Umeno Ryutaro,52,132,118,7,26,4,0,0,30,2,2,3,6,0,29,7,4,1,2,0.220,0.270,0.254,0.524,64,0.034,0.292,22.0%,5.3%,0.24,-0.7,46.7%,34.8%,87.1%,50.4%,11.8%,27.3%,34,2,R,Hanshin Tigers,CL
Watanabe Ryo,22,24,19,0,3,0,0,0,3,1,0,0,0,0,8,5,1,0,1,0.158,0.333,0.158,0.491,57,0.000,0.273,33.3%,20.8%,0.62,-0.0,50.0%,27.3%,71.9%,47.0%,17.0%,54.2%,30,5,R,Hanshin Tigers,CL
