Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Beasley Jeremy,6,8,5,0,1,0,0,0,1,1,0,0,3,0,3,0,0,0,0,0.200,0.200,0.200,0.400,27,0.000,0.500,37.5%,37.5%,0.0%,0.00,29,1,R,Hanshin Tigers,CL
,Chikamoto Koji,90,414,373,48,109,15,2,3,137,23,23,5,0,2,53,38,1,1,1,0.292,0.357,0.367,0.724,132,0.075,0.332,22.7%,12.8%,9.2%,0.72,30,8,L,Hanshin Tigers,CL
,Duplantier Jon,14,26,24,0,1,0,0,0,1,0,0,0,2,0,16,0,0,0,0,0.042,0.042,0.042,0.084,-76,0.000,0.125,61.5%,61.5%,0.0%,0.00,30,1,L,Hanshin Tigers,CL
,Haraguchi Fumihito,9,8,7,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0.000,0.125,0.000,0.125,-60,0.000,0.000,50.0%,37.5%,12.5%,0.33,33,,R,Hanshin Tigers,CL
,Hernandez Ramon,31,78,76,2,17,3,0,0,20,4,0,0,0,1,20,1,0,0,3,0.224,0.231,0.263,0.494,57,0.039,0.298,26.9%,25.6%,1.3%,0.05,29,5,R,Hanshin Tigers,CL
,Ihara Takato,19,19,19,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0.158,0.158,0.158,0.316,-0,0.000,0.214,26.3%,26.3%,0.0%,0.00,24,1,L,Hanshin Tigers,CL
,Inoue Kouta,1,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,23,7,R,Hanshin Tigers,CL
,Ishii Daichi,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,27,1,R,Hanshin Tigers,CL
,Itoh Masashi,7,14,11,1,0,0,0,0,0,1,0,0,3,0,4,0,0,0,3,0.000,0.000,0.000,0.000,-103,0.000,0.000,28.6%,28.6%,0.0%,0.00,29,1,L,Hanshin Tigers,CL
,Itohara Kento,46,60,54,0,10,0,0,0,10,3,1,0,0,1,15,5,1,0,1,0.185,0.250,0.185,0.435,40,0.000,0.250,33.3%,25.0%,8.3%,0.33,32,5,L,Hanshin Tigers,CL
,Kinami Seiya,50,153,135,8,26,5,2,0,35,12,1,1,7,0,34,8,2,3,1,0.193,0.253,0.259,0.512,63,0.066,0.257,27.5%,22.2%,5.2%,0.24,31,6,L,Hanshin Tigers,CL
,Kumagai Takahiro,43,48,42,14,12,1,1,0,15,6,5,1,5,0,8,1,0,0,2,0.286,0.302,0.357,0.659,110,0.071,0.353,18.8%,16.7%,2.1%,0.12,29,5,R,Hanshin Tigers,CL
,Kusumoto Taishi,10,10,9,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.000,0.100,0.000,0.100,-69,0.000,0.000,50.0%,40.0%,10.0%,0.25,29,7,L,Hanshin Tigers,CL
,Maegawa Ukyo,60,182,169,9,39,9,1,0,50,9,0,1,0,0,27,8,2,5,2,0.231,0.286,0.296,0.582,86,0.065,0.275,19.2%,14.8%,4.4%,0.30,22,7,L,Hanshin Tigers,CL
,Mombetsu Keito,9,12,10,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,33.3%,0.0%,0.00,20,1,L,Hanshin Tigers,CL
,Morishita Shota,90,398,352,53,92,12,1,16,154,60,4,2,0,3,57,33,4,10,13,0.261,0.339,0.438,0.777,148,0.177,0.270,26.6%,14.3%,8.3%,0.58,24,9,R,Hanshin Tigers,CL
,Murakami Shoki,17,39,32,0,3,0,0,0,3,0,0,0,6,0,21,1,0,0,1,0.094,0.121,0.094,0.215,-33,0.000,0.273,56.4%,53.8%,2.6%,0.05,27,1,L,Hanshin Tigers,CL
,Nakagawa Hayato,8,15,13,0,2,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0.154,0.267,0.154,0.421,36,0.000,0.200,33.3%,20.0%,13.3%,0.67,21,7,R,Hanshin Tigers,CL
,Nakano Takumu,90,402,332,45,97,10,2,0,111,19,14,3,31,2,50,34,1,3,4,0.292,0.361,0.334,0.695,123,0.042,0.342,20.9%,12.4%,8.5%,0.68,29,4,L,Hanshin Tigers,CL
,Nishi Yuki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,34,1,R,Hanshin Tigers,CL
,Obata Ryuhei,56,199,178,16,45,7,0,3,61,15,4,2,8,3,47,10,2,0,4,0.253,0.288,0.343,0.631,101,0.090,0.321,30.2%,23.6%,5.0%,0.21,24,6,L,Hanshin Tigers,CL
,Ohtake Koutaro,9,19,18,0,1,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0.056,0.056,0.056,0.112,-67,0.000,0.111,47.4%,47.4%,0.0%,0.00,30,1,L,Hanshin Tigers,CL
,Ohyama Yusuke,90,376,332,26,87,14,1,5,118,43,4,1,0,2,57,41,2,1,12,0.262,0.343,0.355,0.698,124,0.093,0.301,27.4%,15.2%,10.9%,0.72,30,3,R,Hanshin Tigers,CL
,Saiki Hiroto,15,30,26,1,1,0,0,0,1,0,0,0,3,0,13,1,0,0,1,0.038,0.074,0.038,0.112,-66,0.000,0.077,46.7%,43.3%,3.3%,0.08,26,1,R,Hanshin Tigers,CL
,Sakaeda Yuki,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,27,2,R,Hanshin Tigers,CL
,Sakamoto Seishiro,72,242,196,13,50,12,1,2,70,17,1,1,11,0,51,32,6,3,4,0.255,0.368,0.357,0.725,133,0.102,0.336,35.1%,21.1%,13.2%,0.63,31,2,R,Hanshin Tigers,CL
,Sato Teruaki,89,381,343,52,98,21,4,25,202,64,8,2,0,1,102,37,6,0,3,0.286,0.354,0.589,0.943,199,0.303,0.336,43.0%,26.8%,9.7%,0.36,26,5,L,Hanshin Tigers,CL
,Shimada Kairi,26,29,25,2,4,0,0,0,4,0,1,2,3,0,1,1,0,0,0,0.160,0.192,0.160,0.352,12,0.000,0.167,6.9%,3.4%,3.4%,1.00,29,7,L,Hanshin Tigers,CL
,Takahashi Haruto,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,29,1,L,Hanshin Tigers,CL
,Takatera Nozomu,27,49,42,1,9,1,0,1,13,1,1,1,3,0,15,3,1,1,0,0.214,0.283,0.310,0.593,89,0.096,0.308,38.8%,30.6%,6.1%,0.20,22,UTL,L,Hanshin Tigers,CL
,Tomida Ren,9,6,5,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,23,1,L,Hanshin Tigers,CL
,Toyoda Hiroshi,21,47,42,2,10,2,0,0,12,4,0,0,0,1,11,4,0,0,3,0.238,0.298,0.286,0.584,87,0.048,0.312,31.9%,23.4%,8.5%,0.36,28,7,R,Hanshin Tigers,CL
,Ueda Kai,26,4,4,7,1,1,0,0,2,1,4,0,0,0,2,0,0,0,0,0.250,0.250,0.500,0.750,136,0.250,0.500,50.0%,50.0%,0.0%,0.00,29,7,S,Hanshin Tigers,CL
,Umeno Ryutaro,37,101,91,5,18,2,0,0,20,2,1,2,5,0,22,5,2,0,1,0.198,0.240,0.220,0.460,47,0.022,0.261,26.7%,21.8%,5.0%,0.23,34,2,R,Hanshin Tigers,CL
,Watanabe Ryo,22,24,19,0,3,0,0,0,3,1,0,0,0,0,8,5,1,0,1,0.158,0.333,0.158,0.491,60,0.000,0.273,54.2%,33.3%,20.8%,0.62,30,5,R,Hanshin Tigers,CL
,Aizawa Tsubasa,19,41,32,3,4,1,0,0,5,1,0,1,2,0,12,5,2,2,0,0.125,0.282,0.156,0.438,39,0.031,0.200,41.5%,29.3%,12.2%,0.42,37,2,R,Hiroshima Carp,CL
,Akiyama Shogo,37,91,86,5,22,3,0,1,28,3,0,0,1,0,20,3,0,1,0,0.256,0.289,0.326,0.615,90,0.070,0.323,26.4%,22.0%,3.3%,0.15,37,8,L,Hiroshima Carp,CL
,Dohbayashi Shota,44,77,70,5,13,6,0,1,22,4,0,0,1,0,23,6,1,0,3,0.186,0.250,0.314,0.564,74,0.128,0.261,39.0%,29.9%,7.8%,0.26,33,3,R,Hiroshima Carp,CL
,Dominguez Johan,6,9,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,0.000,77.8%,77.8%,0.0%,0.00,29,1,R,Hiroshima Carp,CL
,Fabian Sandro,88,369,349,40,99,19,0,10,148,44,2,3,0,2,58,13,3,5,5,0.284,0.317,0.424,0.741,127,0.140,0.314,22.0%,15.7%,3.5%,0.22,27,7,R,Hiroshima Carp,CL
,Futamata Shoichi,35,95,85,8,15,3,0,2,24,3,1,1,1,0,21,8,1,1,0,0.176,0.255,0.282,0.537,66,0.106,0.210,32.6%,22.1%,8.4%,0.38,22,8,R,Hiroshima Carp,CL
,Hatsuki Ryutaro,44,51,41,14,13,1,1,0,16,3,13,4,0,0,14,10,0,0,0,0.317,0.451,0.390,0.841,160,0.073,0.481,47.1%,27.5%,19.6%,0.71,25,5,L,Hiroshima Carp,CL
,Hayashi Kota,12,21,21,2,5,0,0,2,11,4,0,0,0,0,9,0,0,0,0,0.238,0.238,0.524,0.762,130,0.286,0.300,52.4%,42.9%,0.0%,0.00,24,3,L,Hiroshima Carp,CL
,Ishihara Tomoki,33,82,78,1,12,2,0,0,14,3,0,0,3,0,23,0,0,1,3,0.154,0.165,0.179,0.344,8,0.025,0.218,28.0%,28.0%,0.0%,0.00,27,2,R,Hiroshima Carp,CL
,Isomura Yoshitaka,6,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,0.000,28.6%,28.6%,0.0%,0.00,32,2,R,Hiroshima Carp,CL
,Kikuchi Ryosuke,74,272,245,17,58,9,0,2,73,20,5,2,14,1,45,11,0,1,5,0.237,0.271,0.298,0.569,76,0.061,0.281,21.3%,16.5%,4.0%,0.24,35,4,R,Hiroshima Carp,CL
,Kozono Kaito,87,371,337,33,99,18,3,2,129,28,9,4,2,1,31,29,5,2,5,0.294,0.352,0.383,0.735,126,0.089,0.318,16.7%,8.4%,7.8%,0.94,25,5,L,Hiroshima Carp,CL
,Kubo Shu,6,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,795,1.000,1.000,0.0%,0.0%,0.0%,,24,9,R,Hiroshima Carp,CL
,Montero Elehuris,57,214,199,9,52,13,0,3,74,19,0,0,0,2,41,11,2,2,9,0.261,0.304,0.372,0.676,108,0.111,0.312,25.7%,19.2%,5.1%,0.27,26,3,R,Hiroshima Carp,CL
,Mori Shohei,14,23,20,0,3,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0.150,0.150,0.150,0.300,-5,0.000,0.300,43.5%,43.5%,0.0%,0.00,27,1,L,Hiroshima Carp,CL
,Morishita Masato,17,41,36,1,3,0,0,0,3,0,0,0,4,0,18,1,0,0,0,0.083,0.108,0.083,0.191,-38,0.000,0.167,46.3%,43.9%,2.4%,0.06,27,1,R,Hiroshima Carp,CL
,Nakamura Kento,4,10,6,1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0.000,0.400,0.000,0.400,32,0.000,0.000,40.0%,10.0%,30.0%,3.00,28,3,R,Hiroshima Carp,CL
,Nakamura Shosei,58,162,153,15,40,8,3,4,66,14,1,4,1,0,24,7,1,1,0,0.261,0.298,0.431,0.729,122,0.170,0.288,21.6%,14.8%,4.3%,0.29,26,8,R,Hiroshima Carp,CL
,Noma Takayoshi,62,146,134,9,34,2,1,0,38,13,2,1,0,1,25,10,1,1,0,0.254,0.308,0.284,0.592,84,0.030,0.309,24.0%,17.1%,6.8%,0.40,32,8,L,Hiroshima Carp,CL
,Ohmori Minoru,62,102,96,21,27,5,0,3,41,8,6,0,1,0,24,5,0,0,1,0.281,0.317,0.427,0.744,127,0.146,0.348,31.4%,23.5%,4.9%,0.21,28,8,L,Hiroshima Carp,CL
,Ohsera Daichi,15,27,24,0,1,0,0,0,1,0,0,0,3,0,11,0,0,0,0,0.042,0.042,0.042,0.084,-71,0.000,0.077,40.7%,40.7%,0.0%,0.00,34,1,R,Hiroshima Carp,CL
,Sakakura Shogo,61,237,205,21,54,13,1,3,78,21,1,0,4,1,44,25,2,2,4,0.263,0.348,0.380,0.728,124,0.117,0.321,30.4%,18.6%,10.5%,0.57,27,2,L,Hiroshima Carp,CL
,Sasaki Tai,13,39,39,1,8,1,1,0,11,0,2,0,0,0,7,0,0,0,1,0.205,0.205,0.282,0.487,50,0.077,0.250,17.9%,17.9%,0.0%,0.00,22,5,R,Hiroshima Carp,CL
,Sato Ryunosuke,4,4,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.250,0.250,0.250,0.500,55,0.000,0.500,50.0%,50.0%,0.0%,0.00,22,1,L,Hiroshima Carp,CL
,Suekane Shota,79,319,290,27,72,9,3,7,108,40,2,3,0,2,64,26,0,1,1,0.248,0.310,0.372,0.682,109,0.124,0.294,30.4%,20.1%,8.2%,0.41,29,9,R,Hiroshima Carp,CL
,Takahashi Kouya,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,100.0%,100.0%,0.0%,0.00,26,1,L,Hiroshima Carp,CL
,Tamamura Shogo,14,19,18,1,1,0,0,0,1,2,0,0,0,0,11,1,0,0,0,0.056,0.105,0.056,0.161,-46,0.000,0.143,63.2%,57.9%,5.3%,0.09,24,1,L,Hiroshima Carp,CL
,Tamura Shunsuke,25,69,63,5,16,0,1,1,21,4,0,1,0,0,14,6,1,0,1,0.254,0.319,0.333,0.652,101,0.079,0.312,30.4%,20.3%,8.7%,0.43,21,3,L,Hiroshima Carp,CL
,Tanaka Kosuke,14,40,30,2,5,0,0,0,5,0,0,2,0,0,6,9,1,1,0,0.167,0.375,0.167,0.542,72,0.000,0.208,37.5%,15.0%,22.5%,1.50,35,5,L,Hiroshima Carp,CL
,Tokoda Hiroki,17,38,36,3,7,1,0,0,8,0,0,0,2,0,10,0,0,0,1,0.194,0.194,0.222,0.416,29,0.028,0.269,26.3%,26.3%,0.0%,0.00,30,1,L,Hiroshima Carp,CL
,Uemoto Takashi,18,28,24,1,5,1,0,0,6,0,0,0,2,0,7,2,0,0,1,0.208,0.269,0.250,0.519,61,0.042,0.294,32.1%,25.0%,7.1%,0.29,34,5,R,Hiroshima Carp,CL
,Yamaashi Tatsuya,11,14,9,2,1,0,0,0,1,1,0,0,3,0,0,2,0,0,1,0.111,0.273,0.111,0.384,23,0.000,0.111,14.3%,0.0%,14.3%,1.00,31,UTL,R,Hiroshima Carp,CL
,Yano Masaya,80,278,238,18,51,6,1,1,62,17,1,3,13,1,57,23,1,3,1,0.214,0.291,0.261,0.552,72,0.047,0.276,29.1%,20.5%,8.3%,0.40,26,6,L,Hiroshima Carp,CL
,Austin Tyler,29,122,109,18,23,7,0,2,36,12,0,0,0,0,19,13,2,0,6,0.211,0.295,0.330,0.625,95,0.119,0.239,27.9%,15.6%,10.7%,0.68,33,3,R,DeNA BayStars,CL
,Azuma Junpei,3,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,23,7,R,DeNA BayStars,CL
,Azuma Katsuki,15,33,22,0,4,0,0,0,4,1,0,0,8,0,9,3,0,0,0,0.182,0.280,0.182,0.462,47,0.000,0.308,36.4%,27.3%,9.1%,0.33,29,1,L,DeNA BayStars,CL
,Bauer Trevor,17,33,29,0,1,0,0,0,1,0,0,0,3,0,18,1,0,0,0,0.034,0.067,0.034,0.101,-67,0.000,0.091,57.6%,54.5%,3.0%,0.06,34,1,R,DeNA BayStars,CL
,Chino Naoto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,26,,R,DeNA BayStars,CL
,Ebina Tatsuo,61,159,147,19,33,6,1,0,41,9,2,1,2,2,32,6,0,2,4,0.224,0.261,0.279,0.540,69,0.055,0.282,23.9%,20.1%,3.8%,0.19,27,9,R,DeNA BayStars,CL
,Ford Mike,3,12,12,0,4,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.666,109,0.000,0.400,16.7%,16.7%,0.0%,0.00,32,,L,DeNA BayStars,CL
,Hayashi Takuma,43,97,85,13,18,5,0,0,23,3,7,1,3,0,19,8,0,1,2,0.212,0.287,0.271,0.558,75,0.059,0.273,27.8%,19.6%,8.2%,0.42,24,6,L,DeNA BayStars,CL
,Inoue Kento,11,30,28,2,5,0,0,2,11,7,0,0,0,1,6,1,0,0,0,0.179,0.200,0.393,0.593,83,0.214,0.143,30.0%,20.0%,3.3%,0.17,25,7,L,DeNA BayStars,CL
,Ishida Yutaro,12,12,11,1,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0.091,0.091,0.091,0.182,-42,0.000,0.167,41.7%,41.7%,0.0%,0.00,23,1,R,DeNA BayStars,CL
,Ishikami Taiki,41,73,66,6,11,2,0,0,13,6,1,1,1,0,21,6,1,0,2,0.167,0.236,0.197,0.433,37,0.030,0.244,37.0%,28.8%,8.2%,0.29,24,6,L,DeNA BayStars,CL
,Itoh Hikaru,6,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,44.4%,44.4%,0.0%,0.00,36,2,R,DeNA BayStars,CL
,Jackson Andre,16,31,27,0,1,0,0,0,1,1,0,0,3,0,17,1,0,0,0,0.037,0.071,0.037,0.108,-65,0.000,0.100,58.1%,54.8%,3.2%,0.06,29,1,R,DeNA BayStars,CL
,Kajiwara Kouki,47,140,133,14,29,7,0,1,39,8,4,1,0,1,43,4,0,2,1,0.218,0.250,0.293,0.543,70,0.075,0.311,34.3%,30.7%,2.9%,0.09,25,8,L,DeNA BayStars,CL
,Kamizato Kazuki,26,4,3,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-16,0.000,0.000,75.0%,50.0%,25.0%,0.50,31,7,L,DeNA BayStars,CL
,Katsumata Atsushi,7,9,9,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,109,0.000,0.375,11.1%,11.1%,0.0%,0.00,25,7,L,DeNA BayStars,CL
,Kay Anthony,15,30,21,0,2,0,0,0,2,0,0,0,8,0,9,1,0,0,0,0.095,0.136,0.095,0.231,-26,0.000,0.167,33.3%,30.0%,3.3%,0.11,30,1,L,DeNA BayStars,CL
,Kozono Kenta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,22,1,R,DeNA BayStars,CL
,Kuki Ryuhei,12,12,12,0,3,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0.250,0.250,0.417,0.667,106,0.167,0.333,25.0%,25.0%,0.0%,0.00,26,,R,DeNA BayStars,CL
,Kuwahara Masayuki,56,234,208,23,54,7,2,1,68,7,7,0,3,0,32,18,1,5,3,0.260,0.333,0.327,0.660,107,0.067,0.303,21.8%,13.7%,7.7%,0.56,31,8,R,DeNA BayStars,CL
,Kyoda Yota,46,101,97,9,23,4,1,1,32,7,0,0,0,0,30,1,0,3,1,0.237,0.267,0.330,0.597,86,0.093,0.333,31.7%,29.7%,1.0%,0.03,31,6,L,DeNA BayStars,CL
,Maki Shugo,88,372,345,45,96,22,0,15,163,46,3,4,0,1,70,16,5,10,6,0.278,0.328,0.472,0.800,148,0.194,0.310,27.2%,18.8%,4.3%,0.23,27,4,R,DeNA BayStars,CL
,Matsuo Shion,56,138,124,13,30,5,0,3,44,12,1,1,0,3,11,9,1,2,4,0.242,0.297,0.355,0.652,103,0.113,0.239,16.7%,8.0%,6.5%,0.82,20,2,R,DeNA BayStars,CL
,Mimori Masaki,63,151,136,15,28,8,0,0,36,7,14,5,0,1,26,14,4,0,1,0.206,0.278,0.265,0.543,71,0.059,0.252,26.5%,17.2%,9.3%,0.54,26,5,L,DeNA BayStars,CL
,Miyazaki Toshiro,67,242,220,13,58,11,1,1,74,24,0,0,0,1,34,20,1,1,11,0.264,0.326,0.336,0.662,107,0.072,0.306,22.7%,14.0%,8.3%,0.59,36,5,R,DeNA BayStars,CL
,Mori Keito,28,75,72,4,11,0,1,0,13,4,0,2,0,1,16,2,0,0,1,0.153,0.173,0.181,0.354,11,0.028,0.193,24.0%,21.3%,2.7%,0.12,23,6,L,DeNA BayStars,CL
,Nakagawa Hayate,21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,525,0.000,1.000,0.0%,0.0%,0.0%,,26,1,L,DeNA BayStars,CL
,Ohnuki Shinichi,11,18,18,2,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0.111,0.111,0.111,0.222,-30,0.000,0.200,44.4%,44.4%,0.0%,0.00,31,1,R,DeNA BayStars,CL
,Sano Keita,86,352,322,24,88,15,0,7,124,41,0,0,0,2,38,26,1,2,6,0.273,0.330,0.385,0.715,123,0.112,0.290,20.2%,10.8%,7.4%,0.68,30,3,L,DeNA BayStars,CL
,Sekine Taiki,6,17,17,2,4,3,0,0,7,1,0,0,0,0,1,0,0,0,0,0.235,0.235,0.412,0.647,100,0.177,0.250,5.9%,5.9%,0.0%,0.00,30,9,L,DeNA BayStars,CL
,Shibata Tatsuhiro,39,21,15,2,1,0,0,0,1,0,1,1,2,0,5,4,0,0,0,0.067,0.263,0.067,0.330,8,0.000,0.100,42.9%,23.8%,19.0%,0.80,31,5,L,DeNA BayStars,CL
,Taira Kentaro,6,9,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,55.6%,55.6%,0.0%,0.00,29,1,R,DeNA BayStars,CL
,Tobashira Yasutaka,32,63,59,2,15,2,0,2,23,5,0,0,1,1,8,2,0,0,2,0.254,0.274,0.390,0.664,106,0.136,0.260,19.0%,12.7%,3.2%,0.25,35,2,L,DeNA BayStars,CL
,Tsutsugoh Yoshitomo,42,134,121,11,21,7,0,6,46,10,0,0,0,0,41,13,1,0,4,0.174,0.254,0.380,0.634,97,0.206,0.203,44.8%,30.6%,9.7%,0.32,33,7,L,DeNA BayStars,CL
,Watarai Ryuki,71,259,232,19,52,10,2,4,78,21,0,1,3,2,33,21,1,1,4,0.224,0.289,0.336,0.625,95,0.112,0.244,22.4%,12.7%,8.1%,0.64,22,9,L,DeNA BayStars,CL
,Yamamoto Yuudai,60,194,175,7,38,9,1,0,49,27,0,0,2,6,23,9,1,2,4,0.217,0.255,0.280,0.535,68,0.063,0.241,16.5%,11.9%,4.6%,0.39,26,2,R,DeNA BayStars,CL
,Yoshino Teruki,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,50.0%,50.0%,0.0%,0.00,26,1,R,DeNA BayStars,CL
,Akahoshi Yuji,17,31,24,1,7,0,0,0,7,2,0,0,5,0,10,2,0,0,0,0.292,0.346,0.292,0.638,104,0.000,0.500,38.7%,32.3%,6.5%,0.20,25,1,R,Yomiuri Giants,CL
,Akihiro Yuto,5,8,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.250,0.143,0.393,26,0.000,0.143,12.5%,0.0%,12.5%,1.00,22,7,L,Yomiuri Giants,CL
,Aramaki Yu,21,49,42,1,13,0,0,1,16,1,0,2,0,0,12,7,0,0,0,0.310,0.408,0.381,0.789,151,0.071,0.414,40.8%,24.5%,14.3%,0.58,22,3,L,Yomiuri Giants,CL
,Asano Shogo,19,61,55,6,10,3,0,2,19,6,0,0,1,1,14,2,1,2,1,0.182,0.233,0.345,0.578,81,0.163,0.200,29.5%,23.0%,3.3%,0.14,20,7,R,Yomiuri Giants,CL
,Cabbage Trey,71,273,248,22,59,13,0,8,96,27,3,3,1,1,79,19,2,4,2,0.238,0.301,0.387,0.688,117,0.149,0.315,38.8%,28.9%,7.0%,0.24,28,9,L,Yomiuri Giants,CL
,Chlup Marek,2,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,60.0%,60.0%,0.0%,0.00,26,9,R,Yomiuri Giants,CL
,Chono Hisayoshi,17,24,22,1,3,0,0,0,3,0,0,0,0,0,8,2,0,0,0,0.136,0.208,0.136,0.344,10,0.000,0.214,41.7%,33.3%,8.3%,0.25,40,7,R,Yomiuri Giants,CL
,Griffin Foster,12,22,18,0,3,0,0,0,3,0,0,0,3,0,6,1,0,0,0,0.167,0.211,0.167,0.378,20,0.000,0.250,31.8%,27.3%,4.5%,0.17,29,1,L,Yomiuri Giants,CL
,Hagio Masaya,9,25,23,0,4,0,0,0,4,0,1,0,1,0,5,1,1,0,0,0.174,0.208,0.174,0.382,21,0.000,0.222,24.0%,20.0%,4.0%,0.20,24,8,R,Yomiuri Giants,CL
,Hernandez Elier,46,161,142,13,31,8,0,2,45,8,0,3,0,0,31,18,1,1,4,0.218,0.311,0.317,0.628,99,0.099,0.266,31.7%,19.3%,11.2%,0.58,30,8,R,Yomiuri Giants,CL
,Hotta Kenshin,8,5,5,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.400,0.400,0.400,0.800,154,0.000,0.667,40.0%,40.0%,0.0%,0.00,24,1,R,Yomiuri Giants,CL
,Inoue Haruto,15,24,23,1,2,0,0,0,2,1,0,0,1,0,13,0,0,0,0,0.087,0.087,0.087,0.174,-46,0.000,0.200,54.2%,54.2%,0.0%,0.00,24,1,L,Yomiuri Giants,CL
,Ishikawa Tatsuya,27,7,7,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0.286,0.286,0.286,0.572,82,0.000,0.400,28.6%,28.6%,0.0%,0.00,27,1,R,Yomiuri Giants,CL
,Izuguchi Yuta,79,339,301,29,84,11,0,4,107,19,4,4,6,1,41,29,1,2,4,0.279,0.345,0.355,0.700,122,0.076,0.311,21.8%,12.1%,8.6%,0.71,26,6,L,Yomiuri Giants,CL
,Kadowaki Makoto,56,130,114,10,25,3,1,0,30,3,4,1,6,0,24,9,0,1,2,0.219,0.282,0.263,0.545,73,0.044,0.278,25.4%,18.5%,6.9%,0.38,24,5,L,Yomiuri Giants,CL
,Kai Takuya,61,223,199,12,50,3,0,3,62,12,2,1,2,2,50,20,4,0,8,0.251,0.317,0.312,0.629,100,0.061,0.318,32.7%,22.4%,9.0%,0.40,32,2,R,Yomiuri Giants,CL
,Kishida Yukinori,41,118,108,7,31,3,0,2,40,13,0,1,2,0,14,8,1,0,0,0.287,0.336,0.370,0.706,124,0.083,0.315,20.3%,11.9%,6.8%,0.57,28,2,R,Yomiuri Giants,CL
,Kobayashi Seiji,9,18,14,2,3,1,0,0,4,1,0,0,1,0,6,3,0,0,0,0.214,0.353,0.286,0.639,104,0.072,0.375,50.0%,33.3%,16.7%,0.50,36,2,R,Yomiuri Giants,CL
