Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Kawase Hikaru,59,121,102,12,28,6,1,1,39,13,1,0,9,0,15,10,0,0,4,0.275,0.339,0.382,0.721,123,0.107,0.314,21.5%,12.4%,8.3%,0.67,27,6,L,SoftBank Hawks,PL
,Kondoh Kensuke,35,139,122,10,36,5,0,3,50,19,0,0,0,2,23,15,0,0,3,0.295,0.367,0.410,0.777,141,0.115,0.337,29.5%,16.5%,10.8%,0.65,31,9,L,SoftBank Hawks,PL
,Kurihara Ryoya,53,216,182,19,39,4,0,5,58,19,1,1,1,2,37,29,1,2,3,0.214,0.326,0.319,0.645,101,0.105,0.239,32.9%,17.1%,13.4%,0.78,28,5,L,SoftBank Hawks,PL
,Maeda Jun,10,2,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,210,0.000,1.000,50.0%,50.0%,0.0%,0.00,25,1,L,SoftBank Hawks,PL
,Makihara Taisei,71,225,209,22,60,10,3,0,76,20,7,1,8,2,31,4,0,2,1,0.287,0.304,0.364,0.668,107,0.077,0.333,15.6%,13.8%,1.8%,0.13,32,4,L,SoftBank Hawks,PL
,Masaki Tomoya,17,65,58,4,15,0,0,2,21,8,1,0,0,2,12,5,0,0,2,0.259,0.308,0.362,0.670,108,0.103,0.283,29.2%,18.5%,7.7%,0.42,25,7,R,SoftBank Hawks,PL
,Matsumoto Haru,20,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,75.0%,75.0%,0.0%,0.00,24,1,L,SoftBank Hawks,PL
,Minei Hiroki,42,110,98,11,25,3,0,4,40,16,0,0,7,1,17,2,0,2,3,0.255,0.282,0.408,0.690,112,0.153,0.269,20.9%,15.5%,1.8%,0.12,34,2,R,SoftBank Hawks,PL
,Moinelo Livan,16,5,5,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.200,0.200,0.200,0.400,25,0.000,0.500,60.0%,60.0%,0.0%,0.00,29,1,L,SoftBank Hawks,PL
,Nakamura Akira,76,312,272,24,66,5,2,1,78,22,1,2,4,3,30,32,1,1,5,0.243,0.321,0.287,0.608,90,0.044,0.266,20.2%,9.6%,10.3%,1.07,35,3,L,SoftBank Hawks,PL
,Nomura Isami,72,221,201,26,53,9,0,9,89,22,10,3,3,2,60,13,1,2,5,0.264,0.312,0.443,0.755,132,0.179,0.328,37.1%,27.1%,5.9%,0.22,28,6,R,SoftBank Hawks,PL
,Ogata Riku,70,62,58,17,12,1,1,0,15,5,6,3,2,0,9,2,0,0,2,0.207,0.233,0.259,0.492,53,0.052,0.245,17.7%,14.5%,3.2%,0.22,26,7,L,SoftBank Hawks,PL
,Ohzeki Tomohisa,15,3,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,66.7%,66.7%,0.0%,0.00,27,1,L,SoftBank Hawks,PL
,Sasagawa Yoshiyasu,14,36,35,5,5,0,0,0,5,2,1,0,0,1,9,0,0,0,1,0.143,0.139,0.143,0.282,-11,0.000,0.185,25.0%,25.0%,0.0%,0.00,23,8,L,SoftBank Hawks,PL
,Satoh Naoki,64,151,133,20,28,6,3,2,46,11,7,0,7,0,47,10,0,1,2,0.211,0.271,0.346,0.617,91,0.135,0.310,39.1%,31.1%,6.6%,0.21,26,9,R,SoftBank Hawks,PL
,Shoji Yudai,12,7,7,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0.143,0.143,0.143,0.286,-10,0.000,0.200,28.6%,28.6%,0.0%,0.00,22,4,L,SoftBank Hawks,PL
,Shuto Ukyo,63,281,252,33,76,11,2,2,97,26,25,3,1,0,46,25,2,3,5,0.302,0.371,0.385,0.756,135,0.083,0.363,26.0%,16.4%,8.9%,0.54,29,8,L,SoftBank Hawks,PL
,Sunagawa Richard,6,22,22,1,2,2,0,0,4,0,0,0,0,0,12,0,0,0,1,0.091,0.091,0.182,0.273,-15,0.091,0.200,54.5%,54.5%,0.0%,0.00,26,5,R,SoftBank Hawks,PL
,Tanigawara Kenta,15,25,20,5,4,1,0,1,8,1,0,0,0,0,7,4,0,1,0,0.200,0.360,0.400,0.760,135,0.200,0.250,48.0%,28.0%,16.0%,0.57,28,2,L,SoftBank Hawks,PL
,Umino Takashi,59,146,130,13,27,6,1,0,35,9,0,0,11,0,32,4,1,1,3,0.208,0.237,0.269,0.506,57,0.061,0.276,24.7%,21.9%,2.7%,0.12,27,2,R,SoftBank Hawks,PL
,Uwasawa Naoyuki,14,5,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,20.0%,20.0%,0.0%,0.00,31,1,R,SoftBank Hawks,PL
