Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,Team,League
Beasley Jeremy,11,5,2,0,0,0,251,64.0,43,1,76,22,0,4,3,13,8,1.13,2.60,2.65,1.02,259,75,69,-1.47,0.4%,30.3%,8.8%,21.5%,29,R,Hanshin Tigers,WL
Betances Jose,18,2,1,0,0,0,133,28.1,23,1,25,23,0,7,5,18,16,5.08,5.42,4.65,1.62,58,156,121,-0.34,0.8%,18.8%,17.3%,1.5%,25,R,Hanshin Tigers,WL
Duplantier Jon,2,1,0,0,0,0,33,8.2,6,0,14,2,0,0,0,0,0,0.00,1.01,1.16,0.92,999,29,30,-1.01,0.0%,42.4%,6.1%,36.4%,30,R,Hanshin Tigers,WL
Guerra Javy,26,1,3,3,0,0,117,25.2,29,0,29,8,0,2,5,14,7,2.45,2.46,3.01,1.44,119,71,78,-0.01,0.0%,24.8%,6.8%,17.9%,29,R,Hanshin Tigers,WL
Hatake Seishu,5,0,0,0,0,0,21,3.2,8,1,2,3,1,0,2,5,4,9.82,8.46,5.28,3.00,30,244,137,1.36,4.8%,9.5%,14.3%,-4.8%,31,R,Hanshin Tigers,WL
Hayakawa Daiki,12,6,1,0,0,0,258,62.2,52,5,37,17,0,3,1,24,22,3.16,4.36,4.02,1.10,92,126,105,-1.20,1.9%,14.3%,6.6%,7.8%,25,R,Hanshin Tigers,WL
Ibaragi Hidetoshi,2,0,0,0,0,0,15,3.2,4,0,5,1,0,0,0,2,2,4.91,1.64,2.13,1.36,59,47,55,3.27,0.0%,33.3%,6.7%,26.7%,21,R,Hanshin Tigers,WL
Ihara Takato,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.55,1.47,0.00,999,45,38,-1.55,0.0%,33.3%,0.0%,33.3%,24,L,Hanshin Tigers,WL
Ishiguro Yuya,8,1,0,3,0,0,32,8.0,4,0,9,3,0,0,0,1,0,0.00,2.43,2.92,0.88,999,70,76,-2.43,0.0%,28.1%,9.4%,18.8%,24,R,Hanshin Tigers,WL
Ishii Daichi,1,0,0,0,0,0,3,1.0,0,0,3,0,0,0,0,0,0,0.00,-2.45,-5.20,0.00,999,-71,-135,2.45,0.0%,100.0%,0.0%,100.0%,27,R,Hanshin Tigers,WL
Itoh Masashi,8,3,1,0,0,0,182,44.0,47,1,33,8,0,2,0,16,15,3.07,3.03,3.43,1.25,95,87,89,0.04,0.5%,18.1%,4.4%,13.7%,29,L,Hanshin Tigers,WL
Itoh Ryo,15,3,7,0,0,0,297,68.0,68,3,44,31,0,3,3,27,26,3.44,4.33,4.36,1.46,85,125,113,-0.89,1.0%,14.8%,10.4%,4.4%,25,L,Hanshin Tigers,WL
Iwasada Yuta,16,1,0,0,0,0,61,16.0,9,0,13,4,0,0,1,1,0,0.00,2.68,3.32,0.81,999,77,86,-2.68,0.0%,21.3%,6.6%,14.8%,33,L,Hanshin Tigers,WL
Kawahara Riku,13,1,3,0,0,0,97,20.1,21,1,10,15,0,1,2,18,15,6.64,5.57,5.32,1.77,44,161,138,1.07,1.0%,10.3%,15.5%,-5.2%,24,L,Hanshin Tigers,WL
Kesamaru Yuki,8,4,0,0,0,0,123,29.0,23,1,19,16,0,0,1,9,7,2.17,4.34,4.56,1.34,135,125,118,-2.17,0.8%,15.4%,13.0%,2.4%,19,R,Hanshin Tigers,WL
Kinoshita Rito,22,1,3,0,0,0,97,22.2,21,0,20,9,0,1,2,8,7,2.78,3.11,3.67,1.32,105,90,95,-0.33,0.0%,20.6%,9.3%,11.3%,24,R,Hanshin Tigers,WL
Kudo Taisei,15,1,1,0,0,0,84,17.0,15,1,23,16,0,1,1,11,9,4.76,4.61,3.97,1.82,61,133,103,0.15,1.2%,27.4%,19.0%,8.3%,23,R,Hanshin Tigers,WL
Martinez Anthony,4,0,1,0,0,0,74,17.2,16,0,9,4,0,1,1,5,5,2.55,3.38,4.12,1.13,115,98,107,-0.83,0.0%,12.2%,5.4%,6.8%,25,R,Hanshin Tigers,WL
Matsubara Kai,28,0,1,0,0,0,154,35.2,31,2,22,20,0,4,6,17,16,4.04,5.07,4.67,1.43,72,146,121,-1.03,1.3%,14.3%,13.0%,1.3%,25,R,Hanshin Tigers,WL
Mombetsu Keito,5,2,0,0,0,0,110,30.0,19,0,25,3,0,0,0,3,2,0.60,2.18,2.80,0.73,487,63,73,-1.58,0.0%,22.7%,2.7%,20.0%,20,L,Hanshin Tigers,WL
Moriki Daichi,12,0,0,0,0,0,77,12.1,23,1,13,14,0,5,5,20,20,14.59,7.12,4.93,3.00,20,205,128,7.47,1.3%,16.9%,18.2%,-1.3%,22,R,Hanshin Tigers,WL
Murakami Shoki,1,0,0,0,0,0,18,5.0,3,0,2,0,0,0,0,0,0,0.00,2.75,3.69,0.60,999,79,96,-2.75,0.0%,11.1%,0.0%,11.1%,27,R,Hanshin Tigers,WL
Nelson Nick,4,0,0,0,0,0,15,4.0,1,0,4,1,0,0,0,0,0,0.00,2.30,2.80,0.50,999,66,73,-2.30,0.0%,26.7%,6.7%,20.0%,29,R,Hanshin Tigers,WL
Nishi Yuki,8,1,2,0,0,0,137,33.0,32,0,22,4,0,2,0,13,13,3.55,2.76,3.49,1.09,82,80,91,0.79,0.0%,16.1%,2.9%,13.1%,34,R,Hanshin Tigers,WL
Ohtake Koutaro,5,2,2,0,0,0,84,21.0,20,0,11,2,0,1,0,8,7,3.00,2.93,3.73,1.05,97,85,97,0.07,0.0%,13.1%,2.4%,10.7%,30,L,Hanshin Tigers,WL
Okadome Hidetaka,19,1,1,9,0,0,72,19.0,15,2,10,1,0,2,0,6,3,1.42,4.34,3.55,0.84,206,125,92,-2.92,2.8%,13.9%,1.4%,12.5%,25,R,Hanshin Tigers,WL
Saiki Hiroto,1,0,1,0,0,0,21,5.0,6,0,3,0,0,0,0,1,1,1.80,2.35,3.37,1.20,162,68,88,-0.55,0.0%,14.3%,0.0%,14.3%,26,R,Hanshin Tigers,WL
Satoh Ren,19,1,1,0,0,0,107,21.0,16,0,23,28,0,2,8,15,15,6.43,5.65,5.27,2.10,45,163,137,0.78,0.0%,21.5%,26.2%,-4.7%,27,R,Hanshin Tigers,WL
Shiiba Tsuyoshi,27,1,2,0,0,0,129,33.0,24,2,37,10,0,2,5,10,9,2.45,3.19,2.71,1.03,119,92,70,-0.74,1.6%,28.7%,7.8%,20.9%,23,R,Hanshin Tigers,WL
Shimamoto Hiroya,15,0,0,0,0,0,51,14.1,6,0,12,2,0,0,1,0,0,0.00,2.30,2.84,0.56,999,66,74,-2.30,0.0%,23.5%,3.9%,19.6%,32,L,Hanshin Tigers,WL
Suzuki Yuto,1,0,0,0,0,0,4,0.2,0,0,1,1,0,0,0,0,0,0.00,5.05,4.80,1.50,999,146,125,-5.05,0.0%,25.0%,25.0%,0.0%,25,L,Hanshin Tigers,WL
Takahashi Haruto,3,1,0,0,0,0,36,9.0,8,0,7,2,0,0,0,0,0,0.00,2.66,3.41,1.11,999,77,89,-2.66,0.0%,19.4%,5.6%,13.9%,29,L,Hanshin Tigers,WL
Tomida Ren,19,1,1,0,0,0,117,28.0,26,0,28,6,0,1,1,14,14,4.50,2.30,2.92,1.14,65,66,76,2.20,0.0%,23.9%,5.1%,18.8%,23,L,Hanshin Tigers,WL
Tsuda Junya,8,2,1,0,0,0,88,20.1,19,1,15,12,0,0,2,15,13,5.75,4.49,4.46,1.52,51,129,116,1.26,1.1%,17.0%,13.6%,3.4%,23,R,Hanshin Tigers,WL
Urushihara Taisei,17,1,0,4,0,0,63,17.0,9,0,12,3,0,0,0,3,1,0.53,2.67,3.37,0.71,551,77,88,-2.14,0.0%,19.0%,4.8%,14.3%,28,R,Hanshin Tigers,WL
Yuasa Atsuki,10,0,1,1,0,0,43,10.0,8,0,6,4,0,0,0,4,2,1.80,3.55,4.33,1.20,162,102,113,-1.75,0.0%,14.0%,9.3%,4.7%,25,R,Hanshin Tigers,WL
Aduwa Makoto,11,5,5,0,0,0,236,53.2,58,1,39,12,0,3,3,29,23,3.86,3.18,3.66,1.30,82,85,95,0.68,0.4%,16.5%,5.1%,11.4%,26,R,Hiroshima Carp,WL
Akatsuka Kento,16,0,0,0,0,0,75,14.0,19,1,4,16,0,1,2,13,12,7.71,7.55,6.40,2.50,41,202,166,0.16,1.3%,5.3%,21.3%,-16.0%,23,R,Hiroshima Carp,WL
Dominguez Johan,7,2,4,0,0,0,149,34.1,32,1,38,9,0,1,0,18,14,3.67,2.59,2.85,1.19,86,69,74,1.08,0.7%,25.5%,6.0%,19.5%,29,R,Hiroshima Carp,WL
Endoh Atsushi,20,1,2,1,0,0,129,32.1,25,1,28,10,0,0,0,10,9,2.51,3.15,3.40,1.08,125,84,88,-0.64,0.8%,21.7%,7.8%,14.0%,26,R,Hiroshima Carp,WL
Hasebe Ginji,25,1,0,2,0,0,96,23.2,17,0,20,6,0,1,2,3,2,0.76,2.75,3.34,0.97,414,74,87,-1.99,0.0%,20.8%,6.2%,14.6%,26,L,Hiroshima Carp,WL
Hidaka Atsumi,12,3,5,0,0,0,273,58.2,69,1,37,23,0,7,1,35,30,4.60,4.05,4.29,1.57,68,108,111,0.55,0.4%,13.6%,8.4%,5.1%,20,R,Hiroshima Carp,WL
Horie Atsuya,10,1,0,2,0,0,44,10.2,8,0,14,2,0,1,2,4,2,1.69,1.77,2.07,0.94,186,47,54,-0.08,0.0%,31.8%,4.5%,27.3%,28,L,Hiroshima Carp,WL
Kawano Kei,18,0,0,2,0,0,89,18.2,28,1,13,6,0,3,1,14,11,5.30,4.30,4.01,1.82,59,115,104,1.00,1.1%,14.6%,6.7%,7.9%,23,R,Hiroshima Carp,WL
Kemna Makoto,13,0,1,1,0,0,81,15.2,24,1,11,8,0,2,2,17,11,6.32,4.89,4.43,2.04,50,131,115,1.43,1.2%,13.6%,9.9%,3.7%,30,R,Hiroshima Carp,WL
Kikuchi Harun,5,0,0,0,0,0,23,5.0,6,0,2,4,0,0,0,3,3,5.40,5.15,5.67,2.00,58,138,147,0.25,0.0%,8.7%,17.4%,-8.7%,18,R,Hiroshima Carp,WL
Kobayashi Tatsuto,22,0,0,1,0,0,107,22.0,29,0,26,11,0,3,0,11,11,4.50,3.10,3.40,1.82,70,83,88,1.40,0.0%,24.3%,10.3%,14.0%,22,R,Hiroshima Carp,WL
Kobune Tsubasa,5,0,0,0,0,0,21,4.1,6,0,0,3,0,0,0,3,3,6.23,5.63,6.23,2.08,50,151,162,0.60,0.0%,0.0%,14.3%,-14.3%,19,R,Hiroshima Carp,WL
Masuda Takehisa,24,2,0,0,0,0,100,24.2,21,1,19,6,0,2,3,11,10,3.65,3.51,3.50,1.09,86,94,91,0.14,1.0%,19.0%,6.0%,13.0%,26,R,Hiroshima Carp,WL
Matsumoto Ryuya,23,1,1,2,0,0,109,25.2,20,0,24,9,0,0,2,11,4,1.40,2.73,3.42,1.13,225,73,89,-1.33,0.0%,22.0%,8.3%,13.8%,25,R,Hiroshima Carp,WL
Ohmichi Haruki,26,0,1,3,0,0,115,27.0,22,2,21,13,0,0,4,10,10,3.33,4.40,4.10,1.30,94,118,107,-1.07,1.7%,18.3%,11.3%,7.0%,26,R,Hiroshima Carp,WL
Ohsera Daichi,1,0,1,0,0,0,24,4.1,10,1,5,0,0,0,0,8,8,16.62,4.24,2.72,2.31,19,114,71,12.38,4.2%,20.8%,0.0%,20.8%,34,R,Hiroshima Carp,WL
Okamoto Shun,2,0,0,0,0,0,9,2.0,2,0,3,0,0,1,0,0,0,0.00,2.05,1.47,1.00,999,55,38,-2.05,0.0%,33.3%,0.0%,33.3%,23,R,Hiroshima Carp,WL
Saitoh Yuta,24,3,2,2,0,0,140,30.0,29,1,27,16,0,4,9,13,9,2.70,4.18,4.01,1.50,117,112,104,-1.48,0.7%,19.3%,11.4%,7.9%,21,R,Hiroshima Carp,WL
Sato Ryunosuke,10,2,1,0,0,0,243,58.0,51,1,34,24,0,1,3,20,19,2.95,3.90,4.39,1.29,107,104,114,-0.95,0.4%,14.0%,9.9%,4.1%,22,L,Hiroshima Carp,WL
Sugihara Mirai,11,1,1,0,0,0,59,13.0,14,0,7,5,0,2,1,9,8,5.54,4.09,4.46,1.46,57,110,116,1.45,0.0%,11.9%,8.5%,3.4%,19,L,Hiroshima Carp,WL
Sugita Takeru,12,1,4,0,0,0,171,37.2,44,1,15,14,0,2,4,22,18,4.30,4.37,4.74,1.54,73,117,123,-0.07,0.6%,8.8%,8.2%,0.6%,23,R,Hiroshima Carp,WL
Suzuki Kenya,8,0,0,0,0,0,73,16.2,15,1,14,7,0,3,1,3,3,1.62,4.45,3.84,1.32,194,119,100,-2.83,1.4%,19.2%,9.6%,9.6%,27,R,Hiroshima Carp,WL
Taka Taichi,13,2,4,0,0,0,213,46.2,54,4,36,13,0,3,3,26,23,4.44,4.15,3.72,1.44,71,111,97,0.29,1.9%,16.9%,6.1%,10.8%,23,L,Hiroshima Carp,WL
Takahashi Kouya,10,0,1,0,0,0,98,23.0,24,2,13,8,0,1,1,11,11,4.30,4.72,4.29,1.39,73,127,111,-0.42,2.0%,13.3%,8.2%,5.1%,26,L,Hiroshima Carp,WL
Takeshita Kaito,5,2,0,1,0,0,22,5.0,2,0,5,4,0,0,1,0,0,0.00,3.95,4.35,1.20,999,106,113,-3.95,0.0%,22.7%,18.2%,4.5%,18,L,Hiroshima Carp,WL
Takita Kazuki,16,3,1,0,0,0,138,32.1,21,1,29,22,0,1,3,12,8,2.23,4.29,4.29,1.33,141,115,112,-2.06,0.7%,21.0%,15.9%,5.1%,23,L,Hiroshima Carp,WL
Tamamura Shogo,2,0,2,0,0,0,50,10.0,15,1,10,1,0,1,2,9,5,4.50,3.45,3.00,1.60,70,92,78,1.05,2.0%,20.0%,2.0%,18.0%,24,L,Hiroshima Carp,WL
Tsuji Taiga,23,1,1,1,0,0,106,23.2,22,1,24,11,0,2,0,10,10,3.80,3.72,3.57,1.39,83,100,93,0.08,0.9%,22.6%,10.4%,12.3%,20,L,Hiroshima Carp,WL
Tsunehiro Hayato,14,3,9,0,0,0,343,75.1,84,2,50,32,0,3,10,49,39,4.66,3.96,4.28,1.54,68,106,111,0.70,0.6%,14.6%,9.3%,5.2%,23,R,Hiroshima Carp,WL
Bauer Trevor,1,0,0,0,0,0,18,5.0,3,0,7,0,0,0,0,1,1,1.80,0.75,0.91,0.60,179,20,24,1.05,0.0%,38.9%,0.0%,38.9%,34,R,DeNA BayStars,EL
Diaz Yofrec,14,1,0,0,0,0,61,12.2,13,2,18,12,0,0,1,10,10,7.11,5.60,3.82,1.97,45,146,99,1.51,3.3%,29.5%,19.7%,9.8%,26,L,DeNA BayStars,EL
Fukazawa Osuke,1,0,0,0,0,0,7,1.0,2,0,1,1,0,0,0,2,1,9.00,4.55,4.80,3.00,36,119,125,4.45,0.0%,14.3%,14.3%,0.0%,21,R,DeNA BayStars,EL
Hamachi Masumi,10,0,0,0,0,0,38,10.0,6,0,7,2,0,0,0,2,2,1.80,2.75,3.48,0.80,179,72,91,-0.95,0.0%,18.4%,5.3%,13.2%,27,R,DeNA BayStars,EL
Hashimoto Tatsuya,22,0,2,0,0,0,98,20.2,23,1,25,10,0,1,3,17,14,6.10,3.36,3.27,1.60,53,88,85,2.74,1.0%,25.5%,10.2%,15.3%,24,R,DeNA BayStars,EL
Horioka Hayato,15,1,3,1,0,0,66,14.2,10,1,15,8,1,0,2,8,3,1.84,4.03,3.74,1.23,175,105,97,-2.19,1.5%,22.7%,12.1%,10.6%,26,R,DeNA BayStars,EL
Irie Taisei,2,0,1,0,0,0,12,2.0,6,1,2,0,0,0,0,4,4,18.00,8.05,3.13,3.00,18,210,81,9.95,8.3%,16.7%,0.0%,16.7%,26,R,DeNA BayStars,EL
Ishida Kenta,12,2,0,0,0,0,56,14.0,14,0,7,3,0,0,0,4,4,2.57,3.19,4.09,1.21,126,83,106,-0.62,0.0%,12.5%,5.4%,7.1%,32,L,DeNA BayStars,EL
Ishida Yutaro,2,1,1,0,0,0,42,11.0,9,0,8,1,0,0,0,3,1,0.82,2.37,3.13,0.91,393,62,81,-1.55,0.0%,19.0%,2.4%,16.7%,23,R,DeNA BayStars,EL
Iwata Masaki,22,2,0,1,0,0,77,19.1,13,2,15,4,0,5,0,9,9,4.19,4.74,3.37,0.88,77,124,88,-0.55,2.6%,19.5%,5.2%,14.3%,27,L,DeNA BayStars,EL
Jackson Andre,1,0,1,0,0,0,20,5.0,3,0,2,3,0,0,0,2,2,3.60,4.55,5.30,1.20,90,119,138,-0.95,0.0%,10.0%,15.0%,-5.0%,29,R,DeNA BayStars,EL
Kanabuchi Koki,1,0,0,0,0,0,4,1.0,0,0,1,0,0,0,0,0,0,0.00,1.55,2.30,0.00,999,41,60,-1.55,0.0%,25.0%,0.0%,25.0%,18,L,DeNA BayStars,EL
Kasaya Shunsuke,1,0,0,0,0,0,2,0.1,0,0,0,0,0,1,0,0,0,0.00,12.55,4.80,0.00,999,328,125,-12.55,0.0%,0.0%,0.0%,0.0%,28,L,DeNA BayStars,EL
Konno Ryuto,7,0,1,0,0,0,34,7.1,9,0,3,5,0,0,1,5,5,6.14,4.78,5.39,1.91,53,125,140,1.36,0.0%,8.8%,14.7%,-5.9%,20,R,DeNA BayStars,EL
Kozono Kenta,13,6,3,0,0,0,305,75.0,54,5,53,29,0,2,2,23,17,2.04,4.24,4.01,1.11,158,111,104,-2.20,1.6%,17.4%,9.5%,7.9%,22,R,DeNA BayStars,EL
Kusano Haruto,2,0,0,0,0,0,12,1.0,5,0,0,4,0,0,1,7,7,63.00,15.55,8.13,9.00,5,406,211,47.45,0.0%,0.0%,33.3%,-33.3%,21,R,DeNA BayStars,EL
Kyoyama Masaya,15,1,1,0,0,0,71,11.2,15,0,5,15,0,4,2,15,13,10.03,7.58,6.21,2.57,32,198,161,2.45,0.0%,7.0%,21.1%,-14.1%,26,R,DeNA BayStars,EL
Marcelino Hansel,29,3,2,9,0,0,116,29.1,15,0,48,12,0,0,2,6,5,1.53,1.51,1.70,0.92,211,39,44,0.02,0.0%,41.4%,10.3%,31.0%,23,R,DeNA BayStars,EL
Matsumoto Ryoto,32,2,1,1,0,0,123,27.2,20,1,27,15,1,5,0,15,12,3.90,4.24,3.82,1.27,83,111,99,-0.34,0.8%,22.0%,12.2%,9.8%,23,R,DeNA BayStars,EL
Matsumoto Ryunosuke,2,0,0,0,0,0,28,7.2,4,1,9,1,0,0,0,3,1,1.17,3.29,1.94,0.65,276,86,50,-2.12,3.6%,32.1%,3.6%,28.6%,22,L,DeNA BayStars,EL
Mishima Kazuki,22,1,0,1,0,0,99,25.0,18,2,22,6,0,1,1,7,7,2.52,3.67,3.18,0.96,128,96,83,-1.15,2.0%,22.2%,6.1%,16.2%,35,R,DeNA BayStars,EL
Miyagi Daita,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.55,4.80,0.00,999,93,125,-3.55,0.0%,0.0%,0.0%,0.0%,24,R,DeNA BayStars,EL
Mori Yuito,24,0,2,0,0,0,137,30.0,37,3,18,10,0,1,1,19,17,5.10,4.75,4.22,1.57,63,124,110,0.35,2.2%,13.1%,7.3%,5.8%,33,R,DeNA BayStars,EL
Morihara Kohei,17,0,2,1,0,0,75,18.0,16,1,11,3,0,0,0,5,3,1.50,3.55,3.73,1.06,215,93,97,-2.05,1.3%,14.7%,4.0%,10.7%,33,R,DeNA BayStars,EL
Morishita Ryudai,3,0,1,0,0,0,44,9.0,11,0,6,6,0,2,0,7,7,7.00,4.88,4.80,1.89,46,128,125,2.12,0.0%,13.6%,13.6%,0.0%,20,L,DeNA BayStars,EL
Nakagawa Hayate,1,0,0,0,0,0,3,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.45,-1.87,0.00,999,-12,-48,0.45,0.0%,66.7%,0.0%,66.7%,26,R,DeNA BayStars,EL
Nakagawa Koh,10,0,0,0,0,0,45,10.0,12,0,13,2,0,0,1,4,1,0.90,1.55,2.36,1.40,358,41,61,-0.65,0.0%,28.9%,4.4%,24.4%,25,R,DeNA BayStars,EL
Ohnuki Shinichi,2,0,1,0,0,0,34,8.0,10,0,5,0,0,0,0,3,2,2.25,2.30,3.33,1.25,143,60,86,-0.05,0.0%,14.7%,0.0%,14.7%,31,R,DeNA BayStars,EL
Sakamoto Yuya,12,3,1,0,0,0,55,12.0,14,1,11,3,0,2,0,10,8,6.00,4.05,3.35,1.42,54,106,87,1.95,1.8%,20.0%,5.5%,14.5%,27,L,DeNA BayStars,EL
Sasaki Chihaya,20,2,0,0,0,0,105,24.0,30,0,19,5,0,0,0,8,6,2.25,2.59,3.47,1.46,143,68,90,-0.34,0.0%,18.1%,4.8%,13.3%,31,R,DeNA BayStars,EL
Shimizu Manato,2,0,0,0,0,0,10,1.1,5,0,1,1,0,0,0,3,3,20.25,4.30,4.80,4.50,16,112,125,15.95,0.0%,10.0%,10.0%,0.0%,19,R,DeNA BayStars,EL
Shinogi Kentaro,22,0,2,2,0,0,112,26.0,17,3,27,16,0,2,1,10,9,3.12,5.05,3.82,1.27,103,132,99,-1.93,2.7%,24.1%,14.3%,9.8%,23,R,DeNA BayStars,EL
Shoji Haruto,16,2,6,0,0,0,329,74.1,77,9,45,30,0,5,2,40,31,3.75,5.33,4.34,1.44,86,139,113,-1.58,2.7%,13.7%,9.1%,4.6%,24,L,DeNA BayStars,EL
Taira Kentaro,6,1,3,0,0,0,120,28.0,33,2,23,4,0,1,0,13,9,2.89,3.37,3.22,1.32,112,88,84,-0.48,1.7%,19.2%,3.3%,15.8%,29,R,DeNA BayStars,EL
Takeda Riku,10,0,0,0,0,0,101,24.0,20,1,17,10,0,1,0,11,8,3.00,4.05,4.11,1.25,108,106,107,-1.05,1.0%,16.8%,9.9%,6.9%,20,L,DeNA BayStars,EL
Takeda Yu,12,1,5,0,0,0,225,50.0,62,4,34,12,0,1,3,32,20,3.60,4.01,3.82,1.48,90,105,99,-0.41,1.8%,15.1%,5.3%,9.8%,25,R,DeNA BayStars,EL
Tokuyama Souma,20,0,1,0,0,0,95,19.2,18,0,10,20,0,3,1,7,7,3.20,6.04,5.85,1.93,101,158,152,-2.84,0.0%,10.5%,21.1%,-10.5%,26,R,DeNA BayStars,EL
Wakamatsu Naoki,22,1,1,0,0,0,130,32.0,31,2,28,6,0,1,0,10,10,2.81,3.27,3.11,1.16,115,85,81,-0.46,1.5%,21.5%,4.6%,16.9%,25,R,DeNA BayStars,EL
Wick Rowan,4,0,1,0,0,0,18,4.0,4,0,7,2,0,0,0,3,2,4.50,1.55,2.02,1.50,72,41,53,2.95,0.0%,38.9%,11.1%,27.8%,32,R,DeNA BayStars,EL
Yamasaki Yasuaki,14,1,2,2,0,0,81,17.2,22,2,18,6,0,1,0,12,11,5.60,4.17,3.32,1.58,58,109,86,1.43,2.5%,22.2%,7.4%,14.8%,32,R,DeNA BayStars,EL
Yoshino Teruki,11,4,4,0,1,1,238,56.0,56,3,42,14,0,2,2,33,29,4.66,3.60,3.62,1.25,69,94,94,1.06,1.3%,17.6%,5.9%,11.8%,26,R,DeNA BayStars,EL
Yoshioka Haru,1,0,1,0,0,0,6,0.1,4,0,1,1,0,0,2,3,3,81.00,6.55,4.80,15.00,4,171,125,74.45,0.0%,16.7%,16.7%,0.0%,18,R,DeNA BayStars,EL
Akahoshi Yuji,2,1,0,0,0,0,11,3.0,1,0,2,1,0,0,0,0,0,0.00,3.22,3.89,0.67,999,80,101,-3.22,0.0%,18.2%,9.1%,9.1%,25,R,Yomiuri Giants,EL
Baba Kosuke,22,0,0,10,0,0,87,22.2,12,2,17,8,0,0,2,5,5,1.99,4.26,3.77,0.88,170,106,98,-2.27,2.3%,19.5%,9.2%,10.3%,30,R,Yomiuri Giants,EL
Baldonado Alberto,14,2,0,1,0,0,58,13.0,12,0,14,7,0,0,1,6,5,3.46,3.01,3.59,1.46,98,75,93,0.45,0.0%,24.1%,12.1%,12.1%,32,L,Yomiuri Giants,EL
Griffin Foster,1,0,0,0,0,0,11,3.0,3,0,3,0,0,0,0,0,0,0.00,1.55,2.07,1.00,999,39,54,-1.55,0.0%,27.3%,0.0%,27.3%,29,L,Yomiuri Giants,EL
Heinai Ryuta,14,1,0,3,0,0,55,14.2,10,0,9,0,0,0,1,2,2,1.23,2.32,3.16,0.68,275,58,82,-1.09,0.0%,16.4%,0.0%,16.4%,26,R,Yomiuri Giants,EL
Hotta Kenshin,10,2,0,3,0,0,107,29.0,18,1,18,3,0,0,0,3,3,0.93,3.07,3.40,0.72,364,76,88,-2.14,0.9%,16.8%,2.8%,14.0%,24,R,Yomiuri Giants,EL
Imamura Nobutaka,24,3,1,3,0,0,106,26.1,23,1,27,5,0,3,0,5,4,1.37,2.91,2.72,1.06,247,72,71,-1.54,0.9%,25.5%,4.7%,20.8%,31,L,Yomiuri Giants,EL
Inoue Haruto,1,0,0,0,0,0,10,3.0,2,0,1,0,0,0,0,0,0,0.00,2.88,3.80,0.67,999,72,99,-2.88,0.0%,10.0%,0.0%,10.0%,24,L,Yomiuri Giants,EL
Izumi Keisuke,9,3,0,0,0,0,39,8.2,7,0,9,6,0,0,0,3,3,3.12,3.55,4.03,1.50,109,88,105,-0.43,0.0%,23.1%,15.4%,7.7%,28,R,Yomiuri Giants,EL
Keller Kyle,5,0,0,0,0,0,17,5.0,2,0,6,0,0,0,0,0,0,0.00,1.15,1.27,0.40,999,29,33,-1.15,0.0%,35.3%,0.0%,35.3%,32,R,Yomiuri Giants,EL
Kikuchi Taiki,10,3,2,1,0,0,143,34.0,29,2,38,8,0,0,1,15,10,2.65,2.79,2.70,1.09,128,69,70,-0.14,1.4%,26.6%,5.6%,21.0%,26,R,Yomiuri Giants,EL
Kyomoto Makoto,5,0,4,0,0,0,96,21.2,27,4,13,9,0,0,1,17,16,6.65,6.00,4.38,1.66,51,149,114,0.65,4.2%,13.5%,9.4%,4.2%,21,R,Yomiuri Giants,EL
Mataki Teppei,11,3,2,0,1,0,255,65.1,57,4,46,12,0,2,0,19,18,2.48,3.58,3.47,1.06,137,89,90,-1.10,1.6%,18.0%,4.7%,13.3%,26,L,Yomiuri Giants,EL
Matsui Hayate,10,2,2,0,0,0,99,24.2,18,1,20,6,0,3,2,7,7,2.55,3.55,3.39,0.97,133,88,88,-1.00,1.0%,20.2%,6.1%,14.1%,24,R,Yomiuri Giants,EL
Miyahara Shunsuke,21,0,0,0,0,0,96,23.2,22,0,16,8,0,2,1,6,5,1.90,3.47,3.97,1.27,178,86,103,-1.57,0.0%,16.7%,8.3%,8.3%,22,L,Yomiuri Giants,EL
Morita Shunya,14,6,5,0,0,0,308,72.2,74,2,52,20,0,7,1,33,29,3.59,3.59,3.76,1.29,94,89,98,-0.00,0.6%,16.9%,6.5%,10.4%,28,L,Yomiuri Giants,EL
Nakagawa Kota,6,0,1,0,0,0,21,6.0,3,1,5,0,0,0,0,2,2,3.00,4.05,2.42,0.50,113,101,63,-1.05,4.8%,23.8%,0.0%,23.8%,31,L,Yomiuri Giants,EL
Nishidate Yuhi,8,3,0,0,0,0,133,34.0,25,0,40,7,0,0,2,5,4,1.06,1.82,2.32,0.94,319,45,60,-0.76,0.0%,30.1%,5.3%,24.8%,23,R,Yomiuri Giants,EL
Ohe Ryusei,11,0,0,0,0,0,63,14.1,15,1,16,4,0,1,1,8,7,4.40,3.27,2.90,1.33,77,81,75,1.13,1.6%,25.4%,6.3%,19.0%,26,L,Yomiuri Giants,EL
