Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Maekawa Seita,71,261,226,23,63,7,2,0,74,20,2,2,8,4,21,23,0,0,9,0.279,0.340,0.327,0.667,104,0.048,0.301,16.9%,8.0%,8.8%,1.10,-0.4,22,4,R,Hiroshima Carp,WL
Matsuyama Ryuhei,46,97,86,4,21,4,0,1,28,10,0,1,0,1,13,10,0,0,0,0.244,0.320,0.326,0.646,97,0.082,0.274,24.7%,13.4%,10.3%,0.77,-0.4,39,DH,L,Hiroshima Carp,WL
Mochimaru Taiki,46,113,106,3,11,1,0,0,12,3,1,0,3,0,31,3,0,1,1,0.104,0.136,0.113,0.249,-25,0.009,0.147,30.1%,27.4%,2.7%,0.10,0.1,23,2,L,Hiroshima Carp,WL
Montero Elehuris,2,8,8,1,2,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0.250,0.250,0.625,0.875,164,0.375,0.167,25.0%,12.5%,0.0%,0.00,-0.0,26,DH,R,Hiroshima Carp,WL
Nabara Norihiko,40,73,65,11,17,1,1,0,20,5,5,1,1,2,5,5,0,0,1,0.262,0.306,0.308,0.614,87,0.046,0.274,13.7%,6.8%,6.8%,1.00,0.5,25,8,R,Hiroshima Carp,WL
Nakada Yuto,76,243,227,10,49,6,0,0,55,18,0,0,1,2,63,11,0,2,10,0.216,0.256,0.242,0.498,51,0.026,0.295,30.5%,25.9%,4.5%,0.17,-0.1,19,3,R,Hiroshima Carp,WL
Nakamura Kento,71,248,219,25,63,9,2,5,91,20,2,0,4,0,54,23,0,2,10,0.288,0.361,0.416,0.777,137,0.128,0.362,33.1%,21.8%,9.3%,0.43,0.2,28,8,R,Hiroshima Carp,WL
Nakamura Shosei,11,30,28,3,10,2,0,0,12,3,2,1,0,0,4,2,0,0,1,0.357,0.400,0.429,0.829,153,0.072,0.417,20.0%,13.3%,6.7%,0.50,-0.0,26,8,R,Hiroshima Carp,WL
Nakamura Takahiro,77,279,248,27,68,15,0,5,98,37,4,4,0,3,61,24,1,4,9,0.274,0.344,0.395,0.739,125,0.121,0.341,32.3%,21.9%,8.6%,0.39,-0.8,25,9,L,Hiroshima Carp,WL
Nirasawa Yuya,46,109,103,8,22,3,2,1,32,7,0,1,3,0,13,3,0,0,2,0.214,0.236,0.311,0.547,66,0.097,0.236,15.6%,11.9%,2.8%,0.23,-0.4,24,UTL,L,Hiroshima Carp,WL
