Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Sugisawa Ryu,25,9,123.0,0.5,5.2,0.7,-0.3,,0.1,-0.5,,,ORIX Buffaloes,WL
Sugisawa Ryu,25,DH,37.1,,,,,,,-0.4,,,ORIX Buffaloes,WL
Shoji Yudai,22,4,221.0,4.8,28.0,2.4,,0.1,2.2,0.6,,,SoftBank Hawks,WL
Shoji Yudai,22,6,280.2,0.1,0.5,1.7,,0.0,-1.6,2.3,,,SoftBank Hawks,WL
Mochimaru Taiki,23,2,280.2,2.2,10.1,,1.8,,0.4,3.9,0.9,-0.4,Hiroshima Carp,WL
Mochimaru Taiki,23,DH,3.0,,,,,,,0.0,,,Hiroshima Carp,WL
Acevedo Stiven,22,3,44.0,-0.3,-8.8,-0.5,,0.0,0.2,-0.5,,,Lotte Marines,EL
Acevedo Stiven,22,7,312.1,1.1,4.5,3.5,-1.1,,-1.4,-3.0,,,Lotte Marines,EL
Acevedo Stiven,22,8,29.1,0.4,17.6,0.4,0.0,,0.0,0.1,,,Lotte Marines,EL
Acevedo Stiven,22,9,5.0,-1.3,-334.6,-1.5,0.2,,0.0,0.0,,,Lotte Marines,EL
Acevedo Stiven,22,DH,168.0,,,,,,,-2.0,,,Lotte Marines,EL
Sakaguchi Uta,22,3,330.0,-3.8,-14.8,-4.2,,0.1,0.3,-3.7,,,Nipponham Fighters,EL
Sakaguchi Uta,22,7,87.0,-3.4,-50.3,-2.7,-0.8,,0.1,-0.8,,,Nipponham Fighters,EL
Sakaguchi Uta,22,8,17.0,1.0,75.7,0.0,1.0,,0.0,0.1,,,Nipponham Fighters,EL
Sakaguchi Uta,22,9,44.0,-0.4,-11.7,-0.1,-0.3,,0.0,-0.2,,,Nipponham Fighters,EL
Sakaguchi Uta,22,DH,8.0,,,,,,,-0.1,,,Nipponham Fighters,EL
Funakoshi Hidetora,23,7,15.0,-0.5,-42.9,-0.1,-0.3,,0.0,-0.1,,,Yomiuri Giants,EL
Funakoshi Hidetora,23,8,23.0,1.0,56.0,0.9,0.1,,0.0,0.1,,,Yomiuri Giants,EL
Funakoshi Hidetora,23,9,2.0,0.1,64.4,0.1,0.0,,0.0,0.0,,,Yomiuri Giants,EL
Hiruma Takuya,24,7,196.2,1.9,12.4,1.5,0.1,,0.2,-1.9,,,Seibu Lions,EL
Hiruma Takuya,24,8,168.0,4.9,37.5,5.0,-0.2,,0.1,0.6,,,Seibu Lions,EL
Hiruma Takuya,24,9,252.1,2.4,12.2,1.6,1.4,,-0.7,-1.0,,,Seibu Lions,EL
Hiruma Takuya,24,DH,6.0,,,,,,,-0.1,,,Seibu Lions,EL
Tsuchida Ryuku,22,4,166.0,0.5,3.9,0.6,,-0.2,0.0,0.4,,,Chunichi Dragons,WL
Tsuchida Ryuku,22,6,250.2,6.5,33.4,5.4,,-0.1,1.2,2.0,,,Chunichi Dragons,WL
Tsuchida Ryuku,22,DH,8.0,,,,,,,-0.1,,,Chunichi Dragons,WL
Yamada Shuya,19,4,31.0,2.1,87.2,2.3,,0.1,-0.3,0.1,,,Hanshin Tigers,WL
Yamada Shuya,19,6,590.0,1.0,2.2,5.3,,-1.3,-3.0,4.8,,,Hanshin Tigers,WL
Noguchi Kyosuke,24,7,189.0,-2.2,-15.0,-2.1,-0.3,,0.2,-1.8,,,Hanshin Tigers,WL
Noguchi Kyosuke,24,8,15.0,0.6,51.5,0.0,0.6,,0.0,0.1,,,Hanshin Tigers,WL
Noguchi Kyosuke,24,9,246.0,1.6,8.4,0.6,0.9,,0.2,-1.0,,,Hanshin Tigers,WL
Noguchi Kyosuke,24,DH,62.0,,,,,,,-0.7,,,Hanshin Tigers,WL
Yamaguchi Ataru,26,7,140.2,-4.5,-41.2,-3.8,-0.8,,0.1,-1.3,,,Nipponham Fighters,EL
Yamaguchi Ataru,26,8,53.0,0.6,14.6,0.1,0.5,,0.0,0.2,,,Nipponham Fighters,EL
Yamaguchi Ataru,26,9,86.1,-0.1,-1.5,0.1,-0.3,,0.1,-0.3,,,Nipponham Fighters,EL
Yamaguchi Ataru,26,DH,52.0,,,,,,,-0.6,,,Nipponham Fighters,EL
Nakashima Daisuke,24,7,72.0,2.3,41.1,2.8,-0.5,,0.1,-0.7,,,Rakuten Eagles,EL
Nakashima Daisuke,24,8,28.0,-2.5,-114.9,-2.3,-0.2,,0.0,0.1,,,Rakuten Eagles,EL
Nakashima Daisuke,24,9,8.0,-0.3,-48.3,-0.4,0.1,,0.0,0.0,,,Rakuten Eagles,EL
Nakashima Daisuke,24,DH,9.0,,,,,,,-0.1,,,Rakuten Eagles,EL
Diaz Jordan,24,3,20.0,-0.1,-6.4,-0.4,,0.2,0.0,-0.2,,,ORIX Buffaloes,WL
Diaz Jordan,24,DH,74.0,,,,,,,-0.9,,,ORIX Buffaloes,WL
Hosokawa Ryohei,23,3,15.0,1.3,111.5,1.0,,0.0,0.3,-0.2,,,Nipponham Fighters,EL
Hosokawa Ryohei,23,4,101.1,-0.1,-1.3,0.0,,0.7,-0.8,0.3,,,Nipponham Fighters,EL
Hosokawa Ryohei,23,5,34.1,1.4,52.5,1.4,,0.0,0.0,-0.1,,,Nipponham Fighters,EL
Hosokawa Ryohei,23,6,329.2,-2.7,-10.5,-2.5,,-0.8,0.5,2.7,,,Nipponham Fighters,EL
Hosokawa Ryohei,23,8,26.0,1.2,59.4,1.4,-0.2,,0.0,0.1,,,Nipponham Fighters,EL
Hosokawa Ryohei,23,9,25.0,2.2,113.3,1.5,0.6,,0.0,-0.1,,,Nipponham Fighters,EL
Konishi Keiji,27,3,558.2,-5.1,-11.7,-8.3,,0.9,2.2,-6.3,,,Oisix Albirex,EL
Konishi Keiji,27,5,71.0,-0.9,-16.3,1.7,,-0.6,-2.0,-0.3,,,Oisix Albirex,EL
Kawakami Rii,24,3,507.2,6.6,16.7,5.0,,0.1,1.5,-5.7,,,Chunichi Dragons,WL
Kawakami Rii,24,4,159.2,-5.7,-45.9,-3.6,,0.3,-2.4,0.4,,,Chunichi Dragons,WL
Kawakami Rii,24,5,21.0,1.8,110.3,1.3,,0.0,0.5,-0.1,,,Chunichi Dragons,WL
Maekawa Seita,22,3,27.0,0.4,19.1,0.2,,0.0,0.2,-0.3,,,Hiroshima Carp,WL
Maekawa Seita,22,4,463.0,-2.1,-5.8,-1.7,,-1.3,0.9,1.2,,,Hiroshima Carp,WL
Maekawa Seita,22,6,9.0,-0.3,-42.9,-0.3,,-0.1,0.1,0.1,,,Hiroshima Carp,WL
Maekawa Seita,22,DH,35.0,,,,,,,-0.4,,,Hiroshima Carp,WL
Eguchi Soichiro,21,7,16.0,-1.0,-80.4,-0.9,-0.1,,0.0,-0.2,,,HAYATE Ventures,WL
Eguchi Soichiro,21,DH,12.0,,,,,,,-0.1,,,HAYATE Ventures,WL
Nakagawa Hayato,21,2,4.0,0.4,128.7,,0.4,,0.0,0.1,0.2,0.0,Hanshin Tigers,WL
Nakagawa Hayato,21,5,5.0,0.3,77.2,0.2,,0.0,0.1,0.0,,,Hanshin Tigers,WL
Nakagawa Hayato,21,7,97.0,1.2,15.9,1.4,-0.3,,0.1,-0.9,,,Hanshin Tigers,WL
Nakagawa Hayato,21,9,12.0,1.1,118.0,1.1,0.0,,0.0,0.0,,,Hanshin Tigers,WL
Nakagawa Hayato,21,DH,109.0,,,,,,,-1.3,,,Hanshin Tigers,WL
Endoh Joh,23,3,65.0,-1.2,-23.8,-1.2,,-0.1,0.1,-0.7,,,ORIX Buffaloes,WL
