Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Nakagawa Koh,2,0,0,0,0,0,6,2.0,0,0,4,0,0,0,1,0,0,0.00,-0.95,-1.87,0.00,999,-27,-61,0.95,0.0%,66.7%,0.0%,66.7%,DeNA BayStars,CL
Kuri Allen,1,0,0,0,0,0,18,4.0,4,0,2,2,0,0,0,0,0,0.00,3.55,4.80,1.50,999,107,157,-3.55,0.0%,11.1%,11.1%,0.0%,ORIX Buffaloes,PL
Ise Hiromu,3,0,0,0,0,0,12,3.0,1,0,3,2,0,0,0,1,1,3.00,3.05,3.97,1.00,96,88,129,-0.05,0.0%,25.0%,16.7%,8.3%,DeNA BayStars,CL
Itoh Yusuke,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.05,1.47,0.00,999,31,48,-1.05,0.0%,33.3%,0.0%,33.3%,SoftBank Hawks,PL
Itoh Hiromi,2,2,0,0,0,0,58,15.0,9,0,20,4,0,0,0,0,0,0.00,1.19,2.04,0.87,999,33,67,-1.19,0.0%,34.5%,6.9%,27.6%,Nipponham Fighters,PL
Sasaki Chihaya,3,0,1,0,0,0,13,2.1,4,1,1,3,2,0,0,3,3,11.57,11.62,6.34,3.00,25,335,207,-0.05,7.7%,7.7%,23.1%,-15.4%,DeNA BayStars,CL
Irie Taisei,1,0,0,0,0,0,3,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.95,-1.87,0.00,999,-27,-61,0.95,0.0%,66.7%,0.0%,66.7%,DeNA BayStars,CL
Kitayama Koki,1,0,0,0,0,0,16,4.0,4,2,3,0,0,0,0,4,4,9.00,8.05,2.92,1.00,33,226,95,0.95,12.5%,18.8%,0.0%,18.8%,Nipponham Fighters,PL
Ota Taisei,1,0,0,0,0,0,4,1.0,0,0,1,1,1,0,1,0,0,0.00,4.05,4.80,1.00,999,123,157,-4.05,0.0%,25.0%,25.0%,0.0%,Yomiuri Giants,CL
Miyagi Daita,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.95,-5.20,0.00,999,-85,-170,2.95,0.0%,100.0%,0.0%,100.0%,DeNA BayStars,CL
Yamashita Shunpeita,1,0,1,0,0,0,22,6.0,6,1,5,0,0,0,1,2,2,3.00,3.55,2.53,1.00,92,107,82,-0.55,4.5%,22.7%,0.0%,22.7%,ORIX Buffaloes,PL
Yamasaki Iori,1,0,1,0,0,0,24,6.0,5,2,6,0,0,1,0,4,4,6.00,5.89,2.30,0.83,46,179,75,0.11,8.3%,25.0%,0.0%,25.0%,Yomiuri Giants,CL
Yamazaki Soichiro,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.95,-5.20,0.00,999,-88,-170,2.95,0.0%,100.0%,0.0%,100.0%,ORIX Buffaloes,PL
Iwasaki Sho,2,0,1,0,0,0,9,1.2,4,0,2,0,0,0,0,2,2,10.80,0.65,2.58,2.40,26,20,84,10.15,0.0%,22.2%,0.0%,22.2%,ORIX Buffaloes,PL
Taira Kentaro,1,0,0,0,0,0,6,2.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,0.50,999,88,157,-3.05,0.0%,0.0%,0.0%,0.0%,DeNA BayStars,CL
Togo Shosei,1,0,0,0,0,0,14,3.0,6,2,0,1,0,0,0,5,5,15.00,12.72,5.51,2.33,18,386,180,2.28,14.3%,0.0%,7.1%,-7.1%,Yomiuri Giants,CL
Saiki Hiroto,1,0,0,0,0,0,22,5.0,6,1,7,1,0,0,0,3,3,5.40,3.45,2.07,1.40,50,106,68,1.95,4.5%,31.8%,4.5%,27.3%,Hanshin Tigers,CL
Arihara Kohei,1,0,0,0,0,0,26,6.0,4,0,2,3,0,1,0,0,0,0.00,4.39,5.18,1.17,999,127,169,-4.39,0.0%,7.7%,11.5%,-3.8%,SoftBank Hawks,PL
Kimura Hikaru,1,0,0,0,0,0,2,0.1,1,0,1,0,0,0,0,0,0,0.00,-2.95,-0.20,3.00,999,-85,-7,2.95,0.0%,50.0%,0.0%,50.0%,SoftBank Hawks,PL
Sugiyama Kazuki,2,0,0,1,0,0,8,2.0,2,0,3,0,0,0,0,0,0,0.00,0.05,1.05,1.00,999,2,34,-0.05,0.0%,37.5%,0.0%,37.5%,SoftBank Hawks,PL
Sugiura Toshihiro,1,0,0,0,0,0,3,0.2,1,0,1,0,0,0,0,0,0,0.00,0.05,1.47,1.50,999,1,48,-0.05,0.0%,33.3%,0.0%,33.3%,Nipponham Fighters,PL
Murakami Shoki,1,0,0,0,0,0,24,5.0,5,0,5,2,0,1,0,0,0,0.00,2.85,3.55,1.40,999,88,116,-2.85,0.0%,20.8%,8.3%,12.5%,Hanshin Tigers,CL
Matsumoto Yuki,2,1,0,0,0,0,9,2.0,2,1,2,0,0,0,0,1,1,4.50,7.55,2.58,1.00,63,219,84,-3.05,11.1%,22.2%,0.0%,22.2%,SoftBank Hawks,PL
Morihara Kohei,3,0,0,0,0,0,11,3.0,1,0,2,1,0,0,0,0,0,0.00,2.72,3.89,0.67,999,78,127,-2.72,0.0%,18.2%,9.1%,9.1%,DeNA BayStars,CL
Mukunoki Ren,1,0,0,0,0,0,3,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,92,157,-3.05,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,PL
Yuasa Atsuki,1,0,0,0,0,0,7,1.2,2,0,1,0,0,0,0,0,0,0.00,1.85,3.37,1.20,999,57,110,-1.85,0.0%,14.3%,0.0%,14.3%,Hanshin Tigers,CL
Tamai Taisho,2,0,0,0,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,3.00,999,86,157,-3.05,0.0%,0.0%,0.0%,0.0%,Nipponham Fighters,PL
Tanaka Seigi,2,0,0,0,0,0,7,1.2,2,1,1,0,0,0,0,1,1,5.40,9.65,3.37,1.20,55,271,110,-4.25,14.3%,14.3%,0.0%,14.3%,Nipponham Fighters,PL
Tanaka Eito,2,0,1,0,0,0,14,2.2,5,0,0,0,0,1,0,2,2,6.75,4.18,4.80,1.88,40,127,157,2.57,0.0%,0.0%,0.0%,0.0%,Yomiuri Giants,CL
Hatake Seishu,1,0,0,0,0,0,4,1.0,0,0,1,1,0,0,0,0,0,0.00,4.05,4.80,1.00,999,125,157,-4.05,0.0%,25.0%,25.0%,0.0%,Hanshin Tigers,CL
Ishii Daichi,3,0,0,0,0,0,9,2.2,1,0,4,0,0,0,0,0,0,0.00,0.05,0.36,0.38,999,2,12,-0.05,0.0%,44.4%,0.0%,44.4%,Hanshin Tigers,CL
Ishida Yutaro,3,0,0,0,0,0,25,7.0,4,0,6,1,0,0,0,0,0,0.00,1.77,2.80,0.71,999,51,91,-1.77,0.0%,24.0%,4.0%,20.0%,DeNA BayStars,CL
Fukushima Ren,1,0,1,0,0,0,27,7.1,3,0,10,2,0,0,0,2,2,2.45,1.14,1.84,0.68,120,32,60,1.31,0.0%,37.0%,7.4%,29.6%,Nipponham Fighters,PL
Takeda Yu,1,0,0,0,0,0,21,5.0,6,0,5,1,0,0,0,2,2,3.60,1.65,2.90,1.40,80,48,94,1.95,0.0%,23.8%,4.8%,19.0%,DeNA BayStars,CL
Funabasama Hiromasa,2,0,0,0,0,0,3,1.0,0,0,0,1,0,0,0,0,0,0.00,6.05,8.13,1.00,999,184,265,-6.05,0.0%,0.0%,33.3%,-33.3%,Yomiuri Giants,CL
Fujii Kouya,1,1,0,0,0,0,5,1.0,1,0,1,1,0,0,0,0,0,0.00,4.05,4.80,2.00,999,118,157,-4.05,0.0%,20.0%,20.0%,0.0%,SoftBank Hawks,PL
Nishidate Yuhi,1,0,0,0,0,0,6,1.2,1,0,1,0,0,0,0,0,0,0.00,1.85,3.13,0.60,999,56,102,-1.85,0.0%,16.7%,0.0%,16.7%,Yomiuri Giants,CL
Tatsu Kota,1,0,0,0,0,0,26,6.0,6,0,6,1,1,1,0,0,0,0.00,2.05,2.88,1.17,999,58,94,-2.05,0.0%,23.1%,3.8%,19.2%,Nipponham Fighters,PL
Kanemura Shoma,2,0,1,0,0,0,12,2.0,3,0,1,2,1,1,0,1,1,4.50,6.55,5.63,2.50,66,184,184,-2.05,0.0%,8.3%,16.7%,-8.3%,Nipponham Fighters,PL
Saito Yukiya,3,0,0,2,0,0,10,3.0,0,0,4,1,0,0,1,0,0,0.00,1.39,1.80,0.33,999,39,59,-1.39,0.0%,40.0%,10.0%,30.0%,Nipponham Fighters,PL
