Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Matsumoto Ryoto,4,0,0,0,0,0,0,19,3.2,5,0,1,4,0,0,1,3,3,7.36,5.69,6.38,2.45,41,170,178,1.67,0.0%,5.3%,21.1%,-15.8%,61.5%,4.7%,83.3%,6.2%,25.0%,93.5,23,R,DeNA BayStars,CL
Mishima Kazuki,6,0,0,0,0,0,0,39,6.2,13,1,4,6,2,0,1,10,8,10.80,6.41,5.31,2.85,28,192,149,4.39,2.6%,10.3%,15.4%,-5.1%,45.5%,9.0%,92.2%,2.8%,22.9%,90.0,35,R,DeNA BayStars,CL
Miyagi Daita,45,3,1,0,13,0,0,198,47.1,37,1,39,22,2,0,2,13,10,1.90,2.99,3.94,1.25,160,89,110,-1.09,0.5%,19.7%,11.1%,8.6%,49.6%,13.6%,78.1%,9.8%,28.8%,91.4,24,R,DeNA BayStars,CL
Mori Yuito,1,1,0,0,0,0,0,18,5.0,4,1,3,0,0,0,0,2,2,3.60,4.36,3.13,0.80,85,131,88,-0.76,5.6%,16.7%,0.0%,16.7%,53.3%,9.9%,80.0%,7.0%,39.4%,86.8,33,R,DeNA BayStars,CL
Morihara Kohei,25,0,2,0,7,0,0,93,23.0,19,1,22,3,1,1,0,9,8,3.13,2.14,2.76,0.96,97,64,77,0.99,1.1%,23.7%,3.2%,20.4%,46.3%,13.6%,76.4%,12.0%,29.9%,90.9,33,R,DeNA BayStars,CL
Nakagawa Hayate,27,0,1,0,2,0,0,105,23.1,26,1,16,8,2,2,0,6,5,1.93,3.44,4.04,1.46,158,103,113,-1.51,1.0%,15.2%,7.6%,7.6%,52.0%,8.9%,80.2%,10.2%,23.9%,83.3,26,R,DeNA BayStars,CL
Nakagawa Koh,28,0,1,0,3,0,0,99,23.2,23,3,25,7,2,0,1,9,9,3.42,3.39,2.98,1.27,89,101,83,0.03,3.0%,25.3%,7.1%,18.2%,41.4%,16.0%,67.7%,14.7%,34.0%,91.3,25,R,DeNA BayStars,CL
Ohnuki Shinichi,11,2,6,0,0,1,1,274,67.0,67,4,44,13,1,3,0,24,23,3.09,3.14,3.67,1.19,99,94,103,-0.05,1.5%,16.1%,4.7%,11.3%,55.5%,13.1%,82.5%,8.3%,28.2%,89.0,31,R,DeNA BayStars,CL
Sakamoto Yuya,32,3,1,0,3,0,0,148,34.1,33,2,32,10,2,1,1,13,12,3.15,2.82,3.31,1.25,97,84,93,0.33,1.4%,21.6%,6.8%,14.9%,47.1%,17.5%,74.4%,12.4%,29.6%,90.7,27,L,DeNA BayStars,CL
Sasaki Chihaya,16,2,1,0,2,0,0,79,18.2,17,1,16,8,1,1,0,8,8,3.86,3.39,3.79,1.34,79,102,106,0.47,1.3%,20.3%,10.1%,10.1%,54.9%,10.3%,74.6%,9.3%,33.1%,87.8,31,R,DeNA BayStars,CL
Shinogi Kentaro,2,0,0,0,1,0,0,10,1.1,2,0,0,3,0,1,0,4,4,27.00,11.96,7.80,3.75,11,358,218,15.04,0.0%,0.0%,30.0%,-30.0%,50.0%,10.0%,88.9%,4.0%,14.0%,91.1,23,R,DeNA BayStars,CL
Taira Kentaro,10,3,3,0,0,1,1,199,48.0,48,5,43,9,0,1,0,17,16,3.00,3.15,3.09,1.19,102,94,86,-0.15,2.5%,21.6%,4.5%,17.1%,45.9%,16.3%,78.5%,9.6%,29.8%,88.2,29,R,DeNA BayStars,CL
Takeda Yu,4,3,1,0,0,0,0,93,24.1,16,2,19,8,1,1,0,5,5,1.85,3.58,3.62,0.99,165,107,101,-1.73,2.2%,20.4%,8.6%,11.8%,58.5%,10.1%,81.7%,8.4%,28.9%,91.6,25,R,DeNA BayStars,CL
