Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Tajima Daiki,16,5,7,0,0,2,2,392,95.1,95,8,66,20,0,0,2,41,35,3.30,3.30,3.63,1.21,89,102,101,0.00,2.0%,16.8%,5.1%,11.7%,47.7%,11.3%,81.3%,8.8%,26.1%,89.6,28,L,ORIX Buffaloes,PL
Takashima Taito,21,2,1,0,0,0,0,247,57.1,63,1,31,16,2,4,2,23,23,3.61,3.16,4.19,1.38,81,98,117,0.45,0.4%,12.6%,6.5%,6.1%,46.8%,13.9%,83.0%,8.1%,24.1%,91.9,25,R,ORIX Buffaloes,PL
Teranishi Naruki,8,2,3,0,0,0,0,153,32.2,46,2,17,14,0,0,0,22,21,5.79,4.00,4.60,1.84,51,124,129,1.79,1.3%,11.1%,9.2%,2.0%,46.7%,14.3%,81.8%,8.4%,24.6%,91.2,22,R,ORIX Buffaloes,PL
Tomiyama Ryoga,5,0,0,0,0,0,0,23,4.0,6,1,1,4,0,1,0,4,4,9.00,9.46,6.10,2.50,33,293,171,-0.46,4.3%,4.3%,17.4%,-13.0%,35.3%,14.3%,81.2%,7.8%,16.9%,87.8,28,L,ORIX Buffaloes,PL
Toumatsu Kaisei,5,0,2,0,0,0,0,44,8.0,15,0,8,5,0,0,0,12,11,12.38,2.84,4.12,2.50,24,88,115,9.54,0.0%,18.2%,11.4%,6.8%,48.4%,10.8%,71.6%,12.7%,29.5%,91.9,20,L,ORIX Buffaloes,PL
Yamada Nobuyoshi,26,2,2,0,9,0,0,94,20.2,21,1,20,10,0,0,0,11,10,4.35,3.11,3.74,1.50,68,96,104,1.24,1.1%,21.3%,10.6%,10.6%,50.0%,10.7%,76.8%,10.4%,27.0%,87.6,33,L,ORIX Buffaloes,PL
Yamaoka Taisuke,38,4,3,0,13,0,0,146,33.0,39,1,29,8,1,2,0,17,17,4.64,2.51,3.36,1.42,63,78,94,2.13,0.7%,19.9%,5.5%,14.4%,43.0%,14.2%,79.5%,9.7%,27.6%,90.0,29,R,ORIX Buffaloes,PL
Yamashita Shunpeita,1,0,0,0,0,0,0,22,5.0,3,1,11,4,0,0,1,2,2,3.60,3.56,1.62,1.40,82,110,45,0.04,4.5%,50.0%,18.2%,31.8%,0.0%,18.7%,60.5%,18.7%,36.3%,96.5,22,R,ORIX Buffaloes,PL
Yamazaki Soichiro,21,1,1,0,1,0,0,89,20.1,18,5,23,10,0,2,2,12,11,4.87,5.67,3.34,1.38,60,176,93,-0.80,5.6%,25.8%,11.2%,14.6%,35.2%,15.7%,64.7%,17.5%,29.8%,93.9,27,R,ORIX Buffaloes,PL
Yokoyama Kaede,11,2,0,0,1,0,0,50,13.1,9,0,14,4,0,0,0,2,2,1.35,1.76,2.80,0.98,218,55,78,-0.41,0.0%,28.0%,8.0%,20.0%,38.7%,15.5%,68.5%,16.0%,29.1%,92.7,27,R,ORIX Buffaloes,PL
Azuma Yusuke,6,0,0,0,1,0,0,28,5.1,10,0,4,3,0,0,0,4,4,6.75,3.15,4.44,2.44,45,94,124,3.60,0.0%,14.3%,10.7%,3.6%,57.1%,13.4%,71.4%,12.4%,26.8%,89.3,29,R,Lotte Marines,PL
Guerrero Tayron,20,1,3,1,5,0,0,86,18.2,22,4,15,8,0,1,1,14,14,6.75,5.59,3.99,1.61,45,166,111,1.16,4.7%,17.4%,9.3%,8.1%,46.8%,12.3%,78.7%,10.4%,24.5%,97.9,34,R,Lotte Marines,PL
Hayasaka Oto,9,0,0,0,0,0,0,51,11.0,12,1,4,8,0,0,2,9,9,7.36,5.60,5.58,1.82,42,167,156,1.76,2.0%,7.8%,15.7%,-7.8%,41.0%,17.3%,86.9%,5.8%,15.7%,92.2,19,R,Lotte Marines,PL
Hirohata Atsuya,7,0,0,0,0,0,0,36,7.2,7,1,5,6,0,0,0,4,4,4.70,5.70,5.08,1.70,65,170,142,-1.00,2.8%,13.9%,16.7%,-2.8%,52.0%,10.7%,82.3%,7.3%,27.3%,93.2,27,R,Lotte Marines,PL
Hiroike Koshiro,15,0,3,0,2,0,0,74,17.1,18,4,19,5,0,0,0,11,11,5.71,4.64,2.91,1.33,54,138,81,1.07,5.4%,25.7%,6.8%,18.9%,28.0%,13.5%,83.1%,8.8%,28.2%,92.3,22,R,Lotte Marines,PL
Ichijo Rikima,1,0,0,0,0,0,0,6,1.0,1,0,1,2,0,0,1,1,1,9.00,6.96,6.47,3.00,34,207,181,2.04,0.0%,16.7%,33.3%,-16.7%,0.0%,3.6%,60.0%,14.3%,25.0%,93.8,22,R,Lotte Marines,PL
Ishikawa Shuta,17,4,6,0,0,0,0,403,91.0,99,9,48,33,0,5,4,52,50,4.95,4.45,4.43,1.45,62,132,124,0.50,2.2%,11.9%,8.2%,3.7%,46.2%,10.4%,85.7%,6.3%,26.3%,89.7,33,R,Lotte Marines,PL
Karakawa Yuki,1,0,1,0,0,0,0,14,2.0,7,0,1,1,1,0,0,4,4,18.00,3.46,4.80,4.00,17,103,134,14.54,0.0%,7.1%,7.1%,0.0%,33.3%,18.9%,76.9%,11.3%,30.2%,90.4,35,R,Lotte Marines,PL
Kawamura Tokito,2,1,1,0,0,0,0,40,8.2,11,1,8,3,0,0,0,6,5,5.19,3.66,3.55,1.62,59,109,99,1.53,2.5%,20.0%,7.5%,12.5%,27.6%,13.4%,69.9%,15.1%,30.1%,89.3,28,R,Lotte Marines,PL
Kikuchi Riku,18,0,1,0,0,0,0,88,19.1,18,5,18,12,0,0,1,10,10,4.66,6.33,4.12,1.55,66,188,115,-1.67,5.7%,20.5%,13.6%,6.8%,27.6%,13.1%,78.5%,9.3%,26.2%,89.5,25,R,Lotte Marines,PL
Kimura Yuto,20,2,1,1,5,1,0,225,54.0,47,6,39,15,0,2,0,27,20,3.33,3.91,3.73,1.15,92,116,104,-0.58,2.7%,17.3%,6.7%,10.7%,47.9%,12.6%,79.2%,9.6%,28.9%,91.8,20,R,Lotte Marines,PL
Masuda Naoya,22,1,4,5,2,0,0,89,20.2,19,1,17,8,1,1,2,10,10,4.35,3.25,3.79,1.31,70,97,106,1.10,1.1%,19.1%,9.0%,10.1%,36.2%,11.8%,79.0%,9.5%,25.3%,90.9,35,R,Lotte Marines,PL
Nakamori Shunsuke,25,2,2,5,10,0,0,111,29.1,19,1,36,4,0,1,0,4,4,1.23,1.46,1.92,0.78,249,44,54,-0.23,0.9%,32.4%,3.6%,28.8%,30.0%,15.6%,74.3%,13.0%,29.3%,93.6,23,R,Lotte Marines,PL
Nakamura Toshiya,14,0,0,0,0,0,0,86,19.2,18,2,8,10,1,0,0,7,6,2.75,5.00,5.03,1.42,111,149,141,-2.25,2.3%,9.3%,11.6%,-2.3%,48.5%,11.3%,79.0%,9.6%,26.5%,88.3,28,L,Lotte Marines,PL
Nishimura Takahiro,1,0,0,0,0,0,0,8,0.2,4,0,1,2,0,0,0,3,3,40.50,8.96,6.05,9.00,8,267,169,31.54,0.0%,12.5%,25.0%,-12.5%,40.0%,15.0%,68.4%,15.0%,22.5%,90.0,32,R,Lotte Marines,PL
Nishino Yuji,9,0,4,0,0,0,0,207,49.2,49,3,29,11,0,2,0,17,17,3.08,3.37,3.93,1.21,99,100,110,-0.29,1.4%,14.0%,5.3%,8.7%,46.7%,14.1%,81.3%,8.6%,27.3%,89.7,34,R,Lotte Marines,PL
Ojima Kazuya,21,8,8,0,0,0,0,534,126.1,121,17,77,46,0,3,2,55,51,3.63,4.66,4.22,1.32,84,139,118,-1.03,3.2%,14.4%,8.6%,5.8%,46.1%,13.7%,80.1%,9.0%,26.3%,89.6,28,L,Lotte Marines,PL
Ono Fumiya,43,2,2,0,9,0,0,166,37.2,38,1,35,13,0,2,1,15,12,2.87,2.65,3.47,1.35,107,79,97,0.22,0.6%,21.1%,7.8%,13.3%,44.8%,13.3%,77.7%,11.1%,25.9%,94.5,28,R,Lotte Marines,PL
Sakamoto Koshiro,8,1,2,0,2,0,0,28,5.2,6,0,3,4,0,2,0,4,4,6.35,5.08,5.16,1.76,48,151,144,1.27,0.0%,10.7%,14.3%,-3.6%,26.3%,13.0%,85.1%,7.0%,22.0%,92.2,30,L,Lotte Marines,PL
Sammons Bryan,14,5,5,0,0,0,0,327,76.0,63,12,64,35,0,5,3,34,29,3.43,4.91,3.91,1.29,89,146,109,-1.48,3.7%,19.6%,10.7%,8.9%,37.2%,12.4%,79.9%,8.6%,25.9%,89.4,30,L,Lotte Marines,PL
Sawada Keisuke,25,1,1,1,0,0,0,101,23.2,24,3,19,8,0,0,0,12,12,4.56,4.02,3.71,1.35,67,120,104,0.54,3.0%,18.8%,7.9%,10.9%,33.8%,12.5%,78.9%,10.8%,24.9%,92.8,31,R,Lotte Marines,PL
Sawamura Hirokazu,17,0,1,0,3,0,0,74,15.2,14,0,9,13,0,1,1,8,8,4.60,4.50,5.34,1.72,67,134,149,0.10,0.0%,12.2%,17.6%,-5.4%,39.2%,15.8%,80.7%,9.0%,20.0%,95.0,37,R,Lotte Marines,PL
Suzuki Shota,29,1,3,5,14,0,0,122,28.0,32,1,27,8,0,2,2,15,15,4.82,2.57,3.24,1.43,64,77,91,2.25,0.8%,22.1%,6.6%,15.6%,37.6%,12.7%,76.8%,10.4%,28.7%,90.3,26,L,Lotte Marines,PL
Takano Shuta,30,5,2,0,11,0,0,187,46.1,35,3,53,12,2,2,4,9,9,1.75,2.42,2.61,1.01,175,72,73,-0.67,1.6%,28.3%,6.4%,21.9%,49.6%,18.2%,67.2%,15.3%,32.2%,89.4,26,L,Lotte Marines,PL
Tanaka Haruya,13,3,5,0,0,0,0,316,76.1,63,4,77,27,1,1,6,24,21,2.48,2.73,3.22,1.18,123,81,90,-0.25,1.3%,24.4%,8.5%,15.8%,47.4%,13.3%,72.1%,12.7%,30.8%,93.0,21,R,Lotte Marines,PL
Taneichi Atsuki,21,7,7,0,0,1,0,592,139.2,125,12,133,46,0,6,9,53,45,2.90,3.29,3.33,1.22,106,98,93,-0.39,2.0%,22.5%,7.8%,14.7%,50.4%,15.1%,75.0%,12.1%,28.1%,92.3,26,R,Lotte Marines,PL
Voth Austin,21,2,9,0,0,0,0,507,119.0,124,8,90,26,0,7,5,57,55,4.16,3.16,3.54,1.26,74,94,99,1.00,1.6%,17.8%,5.1%,12.6%,39.8%,12.3%,77.5%,10.6%,28.6%,91.2,33,R,Lotte Marines,PL
Yagi Akira,22,0,1,0,4,0,0,99,21.0,28,3,21,6,1,3,0,17,17,7.29,4.11,3.28,1.62,42,122,92,3.18,3.0%,21.2%,6.1%,15.2%,53.7%,15.6%,75.3%,11.5%,31.0%,92.8,28,R,Lotte Marines,PL
Yokoyama Rikuto,41,2,3,7,19,0,0,192,48.0,32,3,38,12,1,5,2,13,12,2.25,3.26,3.45,0.92,136,97,96,-1.01,1.6%,19.8%,6.2%,13.5%,44.5%,14.1%,75.4%,12.0%,27.3%,93.7,23,R,Lotte Marines,PL
Yoshikawa Yuto,2,1,0,0,0,0,0,41,9.0,5,1,6,6,0,2,1,7,6,6.00,5.74,4.80,1.22,51,171,134,0.26,2.4%,14.6%,14.6%,0.0%,29.6%,13.5%,82.5%,6.4%,22.4%,88.5,20,L,Lotte Marines,PL
Arihara Kohei,23,12,8,0,0,1,1,645,154.0,151,8,104,38,1,5,2,63,56,3.27,3.13,3.78,1.23,93,94,106,0.14,1.2%,16.1%,5.9%,10.2%,52.8%,15.6%,76.4%,11.4%,27.5%,91.6,32,R,SoftBank Hawks,PL
Fujii Kouya,47,2,3,2,17,0,0,181,46.0,31,2,68,13,0,2,2,9,8,1.57,1.55,1.76,0.96,194,46,49,0.02,1.1%,37.6%,7.2%,30.4%,38.8%,17.7%,65.5%,18.4%,32.4%,93.6,28,R,SoftBank Hawks,PL
Hernandez Darwinzon,34,1,2,0,8,0,0,134,32.2,30,0,34,9,0,3,1,13,13,3.58,1.98,2.93,1.19,85,59,82,1.60,0.0%,25.4%,6.7%,18.7%,48.9%,14.4%,77.0%,12.2%,26.1%,94.3,28,L,SoftBank Hawks,PL
Higashihama Nao,6,3,2,0,0,0,0,120,30.0,25,2,17,4,0,0,0,11,9,2.70,3.10,3.72,0.97,113,93,104,-0.40,1.7%,14.2%,3.3%,10.8%,42.4%,12.1%,84.3%,7.6%,25.3%,89.7,35,R,SoftBank Hawks,PL
Itoh Yusuke,2,0,0,0,0,0,0,10,2.0,2,0,1,2,0,0,0,0,0,0.00,4.96,5.80,2.00,999,149,162,-4.96,0.0%,10.0%,20.0%,-10.0%,57.1%,6.7%,72.7%,13.3%,20.0%,92.6,28,R,SoftBank Hawks,PL
Iwai Shunsuke,7,0,0,0,1,0,0,36,8.1,10,1,3,1,0,1,0,3,3,3.24,4.52,4.24,1.32,94,135,119,-1.28,2.8%,8.3%,2.8%,5.6%,16.1%,8.1%,90.9%,4.5%,17.1%,93.9,23,R,SoftBank Hawks,PL
Iwasaki Shunsuke,1,0,0,0,0,0,0,8,1.0,4,0,2,1,0,0,0,3,3,27.00,1.96,3.55,5.00,11,59,99,25.04,0.0%,25.0%,12.5%,12.5%,40.0%,12.1%,55.6%,24.2%,33.3%,91.7,22,R,SoftBank Hawks,PL
Kamichatani Taiga,5,0,0,0,0,0,0,38,9.0,9,2,8,2,0,0,0,6,5,5.00,4.74,3.22,1.22,61,142,90,0.26,5.3%,21.1%,5.3%,15.8%,46.4%,9.9%,79.3%,9.2%,29.8%,91.6,28,R,SoftBank Hawks,PL
Kawaguchi Toya,5,0,0,0,0,0,0,21,6.0,3,0,7,1,0,0,0,0,0,0.00,1.13,1.94,0.67,999,34,54,-1.13,0.0%,33.3%,4.8%,28.6%,50.0%,20.4%,72.5%,14.3%,28.6%,91.6,25,R,SoftBank Hawks,PL
Kimura Hikaru,8,0,0,0,0,0,0,42,11.2,5,1,12,4,0,0,0,2,2,1.54,3.05,2.90,0.77,198,91,81,-1.51,2.4%,28.6%,9.5%,19.0%,46.2%,12.6%,67.1%,14.8%,30.1%,93.5,24,R,SoftBank Hawks,PL
Maeda Jun,10,2,2,0,0,0,0,213,49.0,44,3,31,17,0,6,0,18,17,3.12,3.90,4.14,1.24,98,117,116,-0.78,1.4%,14.6%,8.0%,6.6%,31.4%,10.7%,81.3%,8.5%,26.1%,86.7,25,L,SoftBank Hawks,PL
Maeda Yugo,3,1,1,0,0,0,0,46,11.1,14,3,12,1,0,0,0,7,5,3.97,4.55,2.41,1.32,77,136,67,-0.58,6.5%,26.1%,2.2%,23.9%,45.5%,17.3%,72.8%,13.1%,32.7%,89.5,19,L,SoftBank Hawks,PL
Matsumoto Haru,26,6,5,0,1,0,0,359,83.2,89,6,86,21,3,5,2,31,26,2.80,2.77,2.99,1.31,109,83,84,0.03,1.7%,24.0%,5.8%,18.1%,51.0%,12.1%,77.6%,10.9%,29.5%,91.1,24,L,SoftBank Hawks,PL
Matsumoto Yuki,46,4,1,0,36,0,0,170,45.2,25,2,51,12,2,2,1,5,5,0.99,2.22,2.51,0.81,308,66,70,-1.23,1.2%,30.0%,7.1%,22.9%,47.6%,13.3%,74.9%,12.0%,32.0%,94.0,29,R,SoftBank Hawks,PL
Miyazaki Hayato,2,0,0,0,0,0,0,9,2.0,3,0,2,0,0,0,0,0,0,0.00,0.96,2.58,1.50,999,29,72,-0.96,0.0%,22.2%,0.0%,22.2%,57.1%,6.2%,85.7%,6.2%,21.9%,91.7,25,L,SoftBank Hawks,PL
Moinelo Livan,22,10,3,0,0,3,2,595,155.0,106,9,162,40,0,3,1,27,25,1.45,2.46,2.75,0.94,210,74,77,-1.01,1.5%,27.2%,6.7%,20.5%,42.8%,15.7%,72.3%,14.0%,30.6%,93.0,29,L,SoftBank Hawks,PL
Ogata Shuto,34,1,1,0,5,0,0,131,29.2,29,5,38,11,1,0,2,16,13,3.94,3.71,2.74,1.35,77,111,77,0.23,3.8%,29.0%,8.4%,20.6%,31.7%,7.7%,74.1%,13.4%,30.0%,95.6,26,R,SoftBank Hawks,PL
Ohe Ryusei,14,0,0,0,0,0,0,57,14.2,6,0,15,7,0,2,0,1,1,0.61,2.76,3.40,0.89,499,83,95,-2.15,0.0%,26.3%,12.3%,14.0%,39.4%,13.7%,74.3%,11.6%,30.0%,85.8,26,L,SoftBank Hawks,PL
Ohno Kazuo,4,0,0,0,0,0,0,17,4.1,4,0,1,2,0,0,0,0,0,0.00,3.89,5.39,1.38,999,116,151,-3.89,0.0%,5.9%,11.8%,-5.9%,50.0%,10.3%,84.4%,6.5%,22.4%,91.0,20,L,SoftBank Hawks,PL
Ohtsu Ryosuke,9,4,2,0,0,0,0,200,48.2,53,5,25,8,1,2,0,16,13,2.40,3.89,3.95,1.25,127,116,110,-1.49,2.5%,12.5%,4.0%,8.5%,51.2%,14.0%,82.8%,8.6%,25.7%,90.7,26,R,SoftBank Hawks,PL
Ohyama Ryo,26,1,1,1,3,0,0,134,30.2,30,1,21,12,2,1,0,9,8,2.35,3.29,4.13,1.37,130,98,115,-0.94,0.7%,15.7%,9.0%,6.7%,44.1%,14.7%,75.8%,11.6%,27.2%,92.2,23,R,SoftBank Hawks,PL
Ohzeki Tomohisa,22,12,5,0,0,0,0,544,137.2,96,11,92,31,1,5,0,35,26,1.70,3.45,3.68,0.92,179,103,103,-1.75,2.0%,16.9%,5.7%,11.2%,43.0%,11.1%,81.8%,8.5%,26.5%,88.6,27,L,SoftBank Hawks,PL
Osuna Roberto,25,3,1,8,6,0,0,103,25.0,23,2,15,6,1,3,0,12,12,4.32,3.88,3.93,1.16,71,116,110,0.44,1.9%,14.6%,5.8%,8.7%,42.9%,11.0%,81.6%,9.9%,21.0%,94.6,30,R,SoftBank Hawks,PL
Sugiyama Kazuki,59,3,3,26,10,0,0,244,58.0,45,3,79,20,0,7,4,15,11,1.71,2.31,2.38,1.12,178,69,67,-0.60,1.2%,32.4%,8.2%,24.2%,44.2%,18.9%,64.1%,18.2%,33.9%,95.1,27,R,SoftBank Hawks,PL
Tsumori Yuki,21,1,1,1,3,0,0,96,19.1,27,2,24,7,2,4,1,8,8,3.72,3.53,3.03,1.76,82,106,85,0.19,2.1%,25.0%,7.3%,17.7%,32.1%,12.2%,73.2%,13.5%,28.5%,91.8,27,R,SoftBank Hawks,PL
Uwasawa Naoyuki,20,11,6,0,0,1,0,516,128.2,100,11,97,35,1,5,0,46,38,2.66,3.50,3.60,1.05,115,105,101,-0.84,2.1%,18.8%,6.8%,12.0%,48.4%,14.4%,77.2%,10.9%,29.1%,90.7,31,R,SoftBank Hawks,PL
Ehara Masahiro,23,0,1,0,1,0,0,109,25.0,25,1,13,13,1,0,0,4,3,1.08,4.00,4.80,1.52,259,131,134,-2.92,0.9%,11.9%,11.9%,0.0%,42.5%,12.3%,85.8%,6.3%,20.8%,93.8,24,R,Rakuten Eagles,PL
Fujihira Shoma,55,2,2,9,18,0,0,212,52.2,40,6,58,19,2,0,1,16,14,2.39,3.32,2.96,1.12,117,109,83,-0.93,2.8%,27.4%,9.0%,18.4%,49.2%,15.2%,70.1%,14.5%,30.5%,94.4,26,R,Rakuten Eagles,PL
Fujii Masaru,20,6,5,0,0,0,0,459,106.0,108,9,57,43,0,6,0,37,35,2.97,4.38,4.49,1.42,94,143,126,-1.41,2.0%,12.4%,9.4%,3.1%,40.2%,11.9%,82.5%,7.4%,25.3%,86.9,28,L,Rakuten Eagles,PL
Hayakawa Takahisa,12,2,8,0,0,0,0,290,68.1,67,10,62,20,0,1,3,35,33,4.35,3.97,3.35,1.27,64,130,94,0.38,3.4%,21.4%,6.9%,14.5%,33.8%,14.4%,76.5%,11.6%,28.5%,89.5,26,L,Rakuten Eagles,PL
Howard Spencer,6,4,0,0,0,0,0,141,35.1,30,0,27,8,0,0,0,6,6,1.53,2.11,3.45,1.08,183,69,97,-0.58,0.0%,19.1%,5.7%,13.5%,42.5%,9.0%,81.2%,9.7%,26.6%,91.5,28,R,Rakuten Eagles,PL
Kajiya Ren,50,2,1,1,18,0,0,174,40.1,39,4,33,19,1,1,2,17,17,3.79,4.10,4.00,1.44,74,134,112,-0.31,2.3%,19.0%,10.9%,8.0%,54.7%,13.3%,72.0%,12.8%,28.4%,91.6,33,R,Rakuten Eagles,PL
Karashima Wataru,2,0,2,0,0,0,0,32,6.0,15,1,1,1,0,0,0,7,7,10.50,5.30,4.80,2.67,27,173,134,5.20,3.1%,3.1%,3.1%,0.0%,40.0%,8.0%,87.2%,4.8%,28.8%,84.2,34,L,Rakuten Eagles,PL
Kishi Takayuki,17,6,5,0,0,0,0,408,95.0,109,10,48,20,0,2,0,46,45,4.26,4.02,4.11,1.36,66,131,115,0.24,2.5%,11.8%,4.9%,6.9%,34.0%,12.1%,85.0%,6.8%,26.7%,87.8,40,R,Rakuten Eagles,PL
Koja Tatsuki,16,6,6,0,0,1,1,402,92.2,107,6,68,23,0,2,1,43,41,3.98,3.15,3.68,1.40,70,103,103,0.83,1.5%,16.9%,5.7%,11.2%,48.2%,12.6%,80.0%,9.9%,26.3%,90.1,23,L,Rakuten Eagles,PL
Konno Ryuta,42,1,2,0,5,0,0,181,42.1,33,4,22,18,1,3,2,17,17,3.61,4.64,4.58,1.20,77,151,128,-1.03,2.2%,12.2%,9.9%,2.2%,39.4%,11.5%,79.9%,9.4%,24.2%,89.5,30,R,Rakuten Eagles,PL
Matsuda Takuma,1,0,0,0,0,0,0,3,1.0,0,0,0,1,0,0,0,0,0,0.00,5.96,8.13,1.00,999,195,227,-5.96,0.0%,0.0%,33.3%,-33.3%,50.0%,0.0%,100.0%,0.0%,16.7%,86.5,23,R,Rakuten Eagles,PL
Matsui Tomotaka,13,1,3,0,1,0,0,127,27.0,31,4,25,19,2,1,1,18,18,6.00,5.26,4.33,1.85,47,172,121,0.74,3.1%,19.7%,15.0%,4.7%,34.2%,10.3%,79.1%,8.4%,27.7%,91.3,25,R,Rakuten Eagles,PL
Miyamori Satoshi,10,1,0,0,0,0,0,63,12.0,18,1,9,8,1,3,0,14,14,10.50,5.30,4.64,2.17,27,173,130,5.20,1.6%,14.3%,12.7%,1.6%,40.5%,7.4%,80.2%,9.2%,21.8%,92.3,27,R,Rakuten Eagles,PL
Nakagomi Haruto,5,0,0,0,0,0,0,20,4.1,3,0,1,4,1,0,0,0,0,0.00,5.27,6.30,1.62,999,172,176,-5.27,0.0%,5.0%,20.0%,-15.0%,25.0%,10.3%,92.6%,2.9%,20.6%,90.6,23,R,Rakuten Eagles,PL
Nishigaki Masaya,58,6,0,0,12,0,0,224,55.0,36,4,57,21,2,5,2,12,11,1.80,3.25,3.19,1.04,155,106,89,-1.45,1.8%,25.4%,9.4%,16.1%,54.4%,13.9%,77.2%,10.3%,28.6%,92.8,26,R,Rakuten Eagles,PL
Nishiguchi Naoto,47,3,0,1,29,0,0,175,45.2,27,1,65,13,1,0,2,4,4,0.79,1.26,1.83,0.88,353,41,51,-0.47,0.6%,37.1%,7.4%,29.7%,42.6%,14.9%,65.7%,17.9%,31.2%,93.3,28,R,Rakuten Eagles,PL
Norimoto Takahiro,52,3,4,16,10,0,0,219,50.1,50,4,41,18,0,2,0,14,14,2.50,3.56,3.75,1.35,112,116,105,-1.06,1.8%,18.7%,8.2%,10.5%,54.8%,14.3%,77.0%,11.3%,24.9%,92.6,34,R,Rakuten Eagles,PL
Ohuchi Seiya,1,0,0,0,0,0,0,15,4.0,1,0,3,2,0,0,0,0,0,0.00,2.96,4.13,0.75,999,97,116,-2.96,0.0%,20.0%,13.3%,6.7%,30.0%,16.4%,81.0%,6.6%,27.9%,90.1,19,R,Rakuten Eagles,PL
Shibata Daichi,6,1,0,0,0,0,0,38,8.2,8,1,6,6,0,0,0,2,2,2.08,5.16,4.80,1.62,134,168,134,-3.08,2.6%,15.8%,15.8%,0.0%,51.9%,12.9%,76.3%,10.0%,27.1%,92.7,27,R,Rakuten Eagles,PL
Shoji Kosei,10,3,3,0,0,0,0,226,54.1,46,2,56,19,0,3,3,22,22,3.64,2.60,3.16,1.20,77,85,88,1.04,0.9%,24.8%,8.4%,16.4%,53.4%,16.2%,72.5%,13.3%,28.5%,92.9,24,R,Rakuten Eagles,PL
Sung Chia-Hao,6,1,0,1,1,0,0,21,5.2,5,1,3,1,0,0,0,2,2,3.18,4.73,3.85,1.06,88,154,108,-1.55,4.8%,14.3%,4.8%,9.5%,35.3%,14.9%,86.0%,8.1%,20.3%,91.8,32,R,Rakuten Eagles,PL
Suzuki Sora,41,2,3,5,17,0,0,155,38.0,30,2,47,14,0,0,1,10,10,2.37,2.28,2.67,1.16,118,74,75,0.09,1.3%,30.3%,9.0%,21.3%,44.1%,13.9%,70.3%,14.9%,29.1%,91.3,28,L,Rakuten Eagles,PL
Tai Katsutoshi,1,0,0,0,0,0,0,6,1.0,3,0,1,0,0,0,0,1,0,0.00,0.96,3.13,3.00,999,31,88,-0.96,0.0%,16.7%,0.0%,16.7%,40.0%,23.8%,69.2%,19.0%,33.3%,92.3,21,L,Rakuten Eagles,PL
Takinaka Ryota,14,4,9,0,0,1,1,339,77.2,79,9,44,20,0,4,0,41,32,3.71,4.26,4.09,1.27,75,139,114,-0.55,2.7%,13.0%,5.9%,7.1%,39.3%,12.3%,83.6%,7.3%,25.3%,88.6,30,R,Rakuten Eagles,PL
Tsurusaki Taisei,10,0,0,0,0,0,0,79,16.2,23,2,19,6,0,0,1,13,10,5.40,3.32,3.15,1.74,52,108,88,2.08,2.5%,24.1%,7.6%,16.5%,44.4%,18.1%,72.1%,13.7%,30.8%,92.8,27,R,Rakuten Eagles,PL
Turley Nik,2,0,0,0,0,0,0,7,1.1,2,0,1,1,0,0,0,1,1,6.75,3.71,4.80,2.25,41,121,134,3.04,0.0%,14.3%,14.3%,0.0%,20.0%,6.9%,76.9%,10.3%,24.1%,92.9,35,L,Rakuten Eagles,PL
Uchi Seiryu,24,3,5,1,1,0,0,328,76.1,77,7,38,23,1,3,1,29,26,3.07,4.18,4.34,1.31,91,137,121,-1.11,2.1%,11.6%,7.0%,4.6%,40.2%,11.7%,85.5%,7.0%,22.9%,91.5,23,R,Rakuten Eagles,PL
Watanabe Shota,26,1,0,1,7,0,0,119,25.2,29,1,20,14,1,0,1,11,11,3.86,3.55,4.30,1.68,72,116,120,0.31,0.8%,16.8%,11.8%,5.0%,43.0%,10.8%,75.6%,11.1%,26.8%,92.7,24,R,Rakuten Eagles,PL
Yajure Miguel,13,2,5,0,0,0,0,276,61.0,74,1,29,23,0,3,1,33,27,3.98,3.50,4.58,1.59,70,114,128,0.48,0.4%,10.5%,8.3%,2.2%,56.6%,11.2%,81.4%,8.1%,26.9%,91.7,27,R,Rakuten Eagles,PL
Aoyama Minato,1,0,0,0,0,0,0,5,1.0,0,0,0,2,0,0,0,0,0,0.00,8.96,8.80,2.00,999,271,246,-8.96,0.0%,0.0%,40.0%,-40.0%,33.3%,9.1%,88.9%,4.5%,13.6%,90.0,24,R,Seibu Lions,PL
Hada Shinnosuke,24,1,1,0,2,0,0,98,21.1,20,0,25,14,0,3,1,7,7,2.95,3.01,3.68,1.59,102,91,103,-0.06,0.0%,25.5%,14.3%,11.2%,78.2%,10.6%,76.6%,9.6%,31.1%,96.3,21,L,Seibu Lions,PL
Hamaya Shota,9,0,0,0,0,0,0,35,8.1,8,0,8,5,0,0,0,5,4,4.32,2.84,3.94,1.56,70,86,110,1.48,0.0%,22.9%,14.3%,8.6%,54.5%,15.1%,78.1%,10.1%,25.9%,90.9,26,L,Seibu Lions,PL
