#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/71775151.html>Onodera Dan</a>,57,217,187,24,46,13,1,2,67,20,4,1,1,1,37,27,0,1,6,0.246,0.343,0.358,0.701,120,0.112,0.295,17.1%,12.4%,0.73,0.3,30.4%,27,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51055153.html>Sakaeda Yuki</a>,21,76,66,10,22,6,1,2,36,14,3,0,1,0,9,7,0,2,4,0.333,0.413,0.545,0.958,203,0.212,0.364,11.8%,9.2%,0.78,0.5,23.7%,27,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91095150.html>Sano Taiyo</a>,91,348,308,34,82,11,1,0,95,23,5,1,8,0,48,28,0,4,7,0.266,0.335,0.308,0.643,102,0.042,0.315,13.8%,8.0%,0.58,0.4,21.8%,23,UTL,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91995136.html>Shimada Kairi</a>,55,166,145,18,44,3,2,0,51,11,8,4,3,1,21,16,0,1,3,0.303,0.374,0.352,0.726,129,0.049,0.352,12.7%,9.6%,0.76,-0.0,22.3%,29,9,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31235150.html>Shimamura Rinshiro</a>,58,154,139,14,37,5,0,1,45,22,0,2,1,3,18,11,0,0,4,0.266,0.314,0.324,0.638,100,0.058,0.293,11.7%,7.1%,0.61,-0.7,19.5%,21,2,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41245153.html>Takatera Nozomu</a>,10,45,42,6,17,4,2,0,25,9,2,1,1,0,7,2,0,0,0,0.405,0.432,0.595,1.027,225,0.190,0.486,15.6%,4.4%,0.29,-0.0,20.0%,22,UTL,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11215157.html>Toi Reiji</a>,86,207,173,25,29,3,0,2,38,15,2,1,6,5,36,23,1,0,6,0.168,0.259,0.220,0.479,48,0.052,0.193,17.4%,11.1%,0.64,-0.1,29.5%,20,UTL,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,0.0%,0.0%,,0.0,0.0%,23,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31435155.html>Toyoda Hiroshi</a>,33,119,103,11,29,1,1,0,32,8,1,3,4,1,14,10,0,1,6,0.282,0.348,0.311,0.659,107,0.029,0.322,11.8%,8.4%,0.71,-0.9,20.2%,28,7,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01305130.html>Ueda Kai</a>,1,4,2,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,274,0.000,0.500,0.0%,25.0%,1.00,0.2,25.0%,29,4,S,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81685139.html>Watanabe Ryo</a>,63,221,188,20,50,11,0,1,64,20,1,0,0,0,37,31,2,2,5,0.266,0.376,0.340,0.716,126,0.074,0.327,16.7%,14.0%,0.84,0.1,31.2%,30,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/63365159.html>Yamada Shuya</a>,100,306,258,29,51,9,0,3,69,36,8,7,11,2,52,35,0,0,8,0.198,0.292,0.267,0.559,74,0.069,0.234,17.0%,11.4%,0.67,-1.0,29.4%,19,6,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31135134.html>Aduwa Makoto</a>,15,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-23,0.000,0.000,50.0%,25.0%,0.50,-0.0,75.0%,26,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/31135133.html>Akiyama Shogo</a>,5,13,11,2,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0.364,0.462,0.364,0.826,154,0.000,0.364,0.0%,15.4%,1.00,-0.0,15.4%,37,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61965131.html>Dohbayashi Shota</a>,31,91,81,8,20,8,0,1,31,5,0,0,1,1,15,8,0,0,2,0.247,0.311,0.383,0.694,111,0.136,0.288,16.5%,8.8%,0.53,-0.0,26.4%,33,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/33735150.html>Dominguez Johan</a>,18,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.000,0.000,0.000,0.000,-103,0.000,0.000,25.0%,0.0%,0.00,0.0,25.0%,29,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375136.html>Endoh Atsushi</a>,25,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,,0.0,0.0%,26,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91895153.html>Futamata Shoichi</a>,33,116,98,11,23,1,0,3,33,12,1,0,1,3,24,13,0,1,6,0.235,0.322,0.337,0.659,101,0.102,0.270,20.7%,11.2%,0.54,0.1,34.5%,22,6,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71475138.html>Hatsuki Ryutaro</a>,9,23,17,7,5,1,0,0,6,0,3,0,1,0,2,5,0,0,0,0.294,0.455,0.353,0.808,148,0.059,0.333,8.7%,21.7%,2.50,0.5,30.4%,25,UTL,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405138.html>Hayashi Kota</a>,71,274,225,25,64,12,0,8,100,32,0,3,0,5,63,35,0,9,4,0.284,0.394,0.444,0.838,156,0.160,0.352,23.0%,12.8%,0.56,-1.1,38.7%,24,7,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41645157.html>Hidaka Atsumi</a>,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,20,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21125151.html>Ishihara Tomoki</a>,7,18,17,1,5,1,0,0,6,1,0,1,1,0,3,0,0,0,3,0.294,0.294,0.353,0.647,97,0.059,0.357,16.7%,0.0%,0.00,-0.3,16.7%,27,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/81185133.html>Isomura Yoshitaka</a>,28,90,76,8,23,3,0,0,26,10,1,1,1,3,8,8,0,2,4,0.303,0.371,0.342,0.713,118,0.039,0.324,8.9%,8.9%,1.00,-0.2,17.8%,32,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/81585157.html>Kubo Shu</a>,85,247,220,27,51,7,0,1,61,15,9,4,5,1,41,16,0,5,5,0.232,0.298,0.277,0.575,75,0.045,0.279,16.6%,6.5%,0.39,0.1,23.5%,24,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41845155.html>Maekawa Seita</a>,71,261,226,23,63,7,2,0,74,20,2,2,8,4,21,23,0,0,9,0.279,0.340,0.327,0.667,104,0.048,0.301,8.0%,8.8%,1.10,-0.4,16.9%,22,4,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405116.html>Matsuyama Ryuhei</a>,53,109,98,5,26,6,0,1,35,14,0,1,0,1,14,10,0,0,0,0.265,0.330,0.357,0.687,110,0.092,0.298,12.8%,9.2%,0.71,-0.4,22.9%,39,DH,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/81885151.html>Mochimaru Taiki</a>,50,126,118,4,14,1,0,0,15,5,1,0,3,0,33,4,0,1,1,0.119,0.154,0.127,0.281,-15,0.008,0.165,26.2%,3.2%,0.12,0.1,29.4%,23,2,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/53955150.html>Montero Elehuris</a>,2,8,8,1,2,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0.250,0.250,0.625,0.875,164,0.375,0.167,12.5%,0.0%,0.00,-0.0,25.0%,26,DH,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
