,Player,Link,Year,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,HP,SO,GDP,AVG,SLG,OBP,ParkF,OPS,ISO,K%,BB%,BB/K,TTO%,BABIP,OPS+,wSB,Pos,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%
40,Gotoh Shunta,https://npb.jp/bis/players/81785133.html,2014,ORIX Buffaloes,127,277,246,30,69,11,3,5,101,30,5,3,12,0,17,2,55,3,0.28,0.411,0.332,0.985,0.743,0.13099999999999995,0.19855595667870035,0.061371841155234655,0.3090909090909091,0.2779783393501805,0.34408602150537637,109.33967313453682,-0.24066485753052902,,,,,,
41,Sobue Daisuke,https://npb.jp/bis/players/91995139.html,2014,Chunichi Dragons,54,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0.935,1.334,0.0,0.0,0.0,,0.0,0.6666666666666666,295.2761288623373,-0.0029178219574066415,,,,,,
42,Takahashi Shuhei,https://npb.jp/bis/players/91095135.html,2014,Chunichi Dragons,61,156,144,14,37,8,1,6,65,14,0,0,2,2,8,0,29,2,0.257,0.451,0.292,0.935,0.743,0.194,0.1858974358974359,0.05128205128205128,0.27586206896551724,0.27564102564102566,0.27927927927927926,113.271825988324,-0.04376732936109962,,,,,,
43,Nakata Sho,https://npb.jp/bis/players/61065116.html,2014,Nipponham Fighters,144,602,531,64,143,18,0,27,242,100,0,0,0,7,58,6,89,12,0.269,0.456,0.344,0.985,0.8,0.187,0.1478405315614618,0.09634551495016612,0.651685393258427,0.28903654485049834,0.27488151658767773,124.90411237370571,-0.23634357854993795,,,,,,
44,Matsuba Takahiro,https://npb.jp/bis/players/21225137.html,2014,ORIX Buffaloes,21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.985,0.0,0.0,0.5,0.0,0.0,0.5,,-101.5228426395939,0.0,,,,,,
45,Wakui Hideaki,https://npb.jp/bis/players/31635110.html,2014,Lotte Marines,26,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,-98.52216748768471,0.0,,,,,,
46,Ishikawa Ryo,https://npb.jp/bis/players/81185139.html,2014,Nipponham Fighters,1,4,4,1,1,0,1,0,3,3,0,0,0,0,0,0,1,0,0.25,0.75,0.25,0.985,1.0,0.5,0.25,0.0,0.0,0.25,0.3333333333333333,173.33126399712071,0.0,,,,,,
47,Kuri Allen,https://npb.jp/bis/players/71775139.html,2014,Hiroshima Carp,20,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.9650000000000001,0.0,0.0,0.7368421052631579,0.0,0.0,0.7368421052631579,0.0,-103.62694300518133,0.0,,,,,,
48,Hirano Yoshihisa,https://npb.jp/bis/players/81285112.html,2014,ORIX Buffaloes,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.985,0.0,0.0,,,,,,-101.5228426395939,0.0,,,,,,
49,Mori Tomoya,https://npb.jp/bis/players/91495139.html,2014,Seibu Lions,41,92,80,14,22,6,0,6,46,15,0,0,0,0,12,0,22,1,0.275,0.575,0.37,1.03,0.945,0.29999999999999993,0.2391304347826087,0.13043478260869565,0.5454545454545454,0.43478260869565216,0.3076923076923077,157.1143622856939,-0.03209604153147306,,,,,,
50,Ishikawa Shingo,https://npb.jp/bis/players/01105135.html,2014,Nipponham Fighters,44,93,83,11,19,3,0,1,25,11,0,1,4,0,5,1,25,1,0.229,0.301,0.281,0.985,0.5820000000000001,0.07199999999999998,0.26881720430107525,0.053763440860215055,0.2,0.3333333333333333,0.3157894736842105,64.59965884576728,-0.36063713055276975,,,,,,
51,Ishikawa Ayumu,https://npb.jp/bis/players/41145139.html,2014,Lotte Marines,25,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,1.0150000000000001,0.5,0.0,0.75,0.0,0.0,0.75,1.0,40.355381602161486,-0.0014589109787033208,,,,,,
52,Ogino Takashi,https://npb.jp/bis/players/71575131.html,2014,Lotte Marines,40,155,142,26,37,10,2,3,60,12,15,1,5,0,8,0,14,1,0.261,0.423,0.3,1.0150000000000001,0.723,0.16199999999999998,0.09032258064516129,0.05161290322580645,0.5714285714285714,0.16129032258064516,0.272,99.58267796879932,2.1762326706389006,,,,,,
53,Oka Hiromi,https://npb.jp/bis/players/11515139.html,2014,Nipponham Fighters,15,39,35,3,4,0,0,0,4,0,1,1,1,0,3,0,8,0,0.114,0.114,0.184,0.985,0.298,0.0,0.20512820512820512,0.07692307692307693,0.375,0.28205128205128205,0.14814814814814814,-14.640403357824434,-0.17021237685092325,,,,,,
54,Kakunaka Katsuya,https://npb.jp/bis/players/41545114.html,2014,Lotte Marines,133,544,451,62,125,22,5,8,181,57,9,1,7,4,76,6,66,4,0.277,0.401,0.385,1.0150000000000001,0.786,0.124,0.1213235294117647,0.13970588235294118,1.1515151515151516,0.2757352941176471,0.30708661417322836,119.44054741782236,0.9490673116630288,,,,,,
55,Karakawa Yuki,https://npb.jp/bis/players/21525116.html,2014,Lotte Marines,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,,,,,,-98.52216748768471,0.0,,,,,,
56,Kuniyoshi Yuki,https://npb.jp/bis/players/01705131.html,2014,DeNA BayStars,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1.0899999999999999,0.0,0.0,1.0,0.0,0.0,1.0,,-91.74311926605506,0.0,,,,,,
57,Sawamura Hirokazu,https://npb.jp/bis/players/81985133.html,2014,Yomiuri Giants,12,24,18,1,2,1,0,0,3,1,0,0,5,0,1,0,10,0,0.111,0.167,0.158,0.995,0.325,0.05600000000000001,0.4166666666666667,0.041666666666666664,0.1,0.4583333333333333,0.25,-8.62005961914369,-0.0029178219574066415,,,,,,
58,Tamura Tatsuhiro,https://npb.jp/bis/players/41945137.html,2014,Lotte Marines,50,148,128,5,20,4,1,0,26,10,0,0,9,0,10,1,27,2,0.156,0.203,0.223,1.0150000000000001,0.42600000000000005,0.047000000000000014,0.18243243243243243,0.06756756756756757,0.37037037037037035,0.25,0.19801980198019803,20.242494666528255,-0.03793168544628634,,,,,,
59,Nishino Yuji,https://npb.jp/bis/players/01205118.html,2014,Lotte Marines,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,,,,,,-98.52216748768471,0.0,,,,,,
60,Masuda Naoya,https://npb.jp/bis/players/71675135.html,2014,Lotte Marines,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,,,,,,-98.52216748768471,0.0,,,,,,
61,Mima Manabu,https://npb.jp/bis/players/01605133.html,2014,Rakuten Eagles,14,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,-98.52216748768471,0.0,,,,,,
62,Imamiya Kenta,https://npb.jp/bis/players/31335131.html,2014,SoftBank Hawks,144,662,551,61,132,26,1,3,169,42,10,5,62,4,41,4,104,10,0.24,0.307,0.295,0.9550000000000001,0.602,0.067,0.15709969788519637,0.061933534743202415,0.3942307692307692,0.22356495468277945,0.28794642857142855,72.72055971724826,-0.1644599138693881,,,,,,
63,Uwasawa Naoyuki,https://npb.jp/bis/players/51355135.html,2014,Nipponham Fighters,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.985,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-101.5228426395939,0.0,,,,,,
64,Kondoh Kensuke,https://npb.jp/bis/players/41745135.html,2014,Nipponham Fighters,89,291,264,24,68,20,1,4,102,28,3,4,10,2,15,0,45,4,0.258,0.386,0.295,0.985,0.681,0.128,0.15463917525773196,0.05154639175257732,0.3333333333333333,0.21993127147766323,0.29493087557603687,91.32171228254353,-0.8946168367647926,,,,,,
65,Takeda Shota,https://npb.jp/bis/players/01005135.html,2014,SoftBank Hawks,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9550000000000001,0.0,0.0,,,,,,-104.71204188481674,0.0,,,,,,
66,Nakamura Akira,https://npb.jp/bis/players/11215116.html,2014,SoftBank Hawks,143,638,571,75,176,22,4,4,218,61,10,2,3,2,59,3,61,4,0.308,0.382,0.375,0.9550000000000001,0.757,0.07400000000000001,0.09561128526645768,0.09247648902821316,0.9672131147540983,0.19435736677115986,0.33858267716535434,118.59461429030833,0.7365465164297094,,,,,,
67,Higashihama Nao,https://npb.jp/bis/players/01005137.html,2014,SoftBank Hawks,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9550000000000001,0.0,0.0,,,,,,-104.71204188481674,0.0,,,,,,
68,Makihara Taisei,https://npb.jp/bis/players/61465133.html,2014,SoftBank Hawks,11,15,13,1,1,0,0,0,1,0,0,1,2,0,0,0,6,0,0.077,0.077,0.077,0.9550000000000001,0.154,0.0,0.4,0.0,0.0,0.4,0.14285714285714285,-59.25036712411756,-0.33145891097870334,,,,,,
69,Matayoshi Katsuki,https://npb.jp/bis/players/61265139.html,2014,Chunichi Dragons,67,4,4,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0.75,0.75,0.75,0.935,1.5,0.0,0.25,0.0,0.0,0.25,1.0,345.3284887471463,-0.0043767329361099625,,,,,,
70,Minei Hiroki,https://npb.jp/bis/players/71475139.html,2014,DeNA BayStars,10,14,11,1,3,0,1,0,5,3,0,0,1,0,2,0,2,0,0.273,0.455,0.385,1.0899999999999999,0.8400000000000001,0.182,0.14285714285714285,0.14285714285714285,1.0,0.2857142857142857,0.3333333333333333,124.08016381823346,-0.005835643914813283,,,,,,
71,Yanagita Yuki,https://npb.jp/bis/players/31835133.html,2014,SoftBank Hawks,144,615,524,91,166,18,4,15,237,70,33,6,0,3,72,16,131,8,0.317,0.452,0.413,0.9550000000000001,0.865,0.135,0.21300813008130082,0.11707317073170732,0.549618320610687,0.3544715447154472,0.3963254593175853,149.72691331343242,3.3134163176213796,,,,,,
