#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Aduwa Makoto,19,3,5,0,0,1,0,404,91.2,101,14,52,27,0,4,2,52,44,4.32,5.23,4.18,1.40,89,122,113,-0.91,3.5%,12.9%,6.7%,6.2%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,20,R,CL
,Endo Atsushi,34,1,1,1,6,0,0,188,42.2,36,1,38,25,1,1,3,19,15,3.16,3.72,4.11,1.43,122,87,111,-0.56,0.5%,20.2%,13.3%,6.9%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,,,CL
,Franzua Geronimo,67,8,6,12,18,0,0,308,71.2,55,8,94,32,5,7,1,29,22,2.76,3.83,2.79,1.21,139,89,76,-1.07,2.6%,30.5%,10.4%,20.1%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,L,CL
,Fujii Koya,4,0,0,0,0,0,0,41,6.1,13,0,8,9,0,0,0,10,10,14.21,5.10,5.04,3.47,27,119,137,9.11,0.0%,19.5%,22.0%,-2.4%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,R,CL
,Hellweg Johnny,5,1,0,0,1,0,0,13,3.2,2,0,2,1,0,0,0,0,0,0.00,3.10,4.03,0.82,999,72,109,-3.10,0.0%,15.4%,7.7%,7.7%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,30,R,CL
,Horie Atsuya,11,0,1,0,0,0,0,95,20.2,20,4,23,14,0,1,0,14,14,6.10,5.84,3.85,1.65,63,136,104,0.26,4.2%,24.2%,14.7%,9.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,L,CL
,Ichioka Ryuji,33,0,0,0,16,0,0,133,31.0,29,1,18,10,0,2,2,11,10,2.90,3.79,4.20,1.26,133,88,114,-0.89,0.8%,13.5%,7.5%,6.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,28,R,CL
,Imamura Takeru,27,3,1,1,4,0,0,101,25.1,18,2,17,9,1,1,0,10,10,3.55,4.24,4.01,1.07,108,99,109,-0.69,2.0%,16.8%,8.9%,7.9%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,28,R,CL
,Johnson Kris,27,11,8,0,0,1,1,650,156.2,132,12,132,58,2,4,3,50,45,2.59,3.87,3.66,1.21,148,90,99,-1.28,1.8%,20.3%,8.9%,11.4%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,34,L,CL
,Kemna Makoto,1,0,0,0,0,0,0,5,1.0,1,0,1,1,0,0,0,0,0,0.00,4.37,4.80,2.00,999,102,130,-4.37,0.0%,20.0%,20.0%,0.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,CL
,Kikuchi Yasunori,58,1,3,0,15,0,0,240,61.0,39,4,43,23,2,0,4,21,19,2.80,3.94,3.97,1.02,137,92,108,-1.14,1.7%,17.9%,9.6%,8.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,29,R,CL
,Kuri Aren,27,8,8,0,3,1,1,498,118.0,107,11,96,41,0,4,1,50,46,3.51,4.10,3.70,1.25,110,96,100,-0.59,2.2%,19.3%,8.2%,11.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,R,CL
,Lawrence Casey,1,0,1,0,0,0,0,23,5.0,4,1,3,4,1,0,0,6,6,10.80,7.17,5.23,1.60,36,167,142,3.63,4.3%,13.0%,17.4%,-4.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,31,R,CL
,Montilla Emailin,2,0,2,0,0,0,0,29,4.1,11,1,8,4,0,0,1,8,7,14.54,5.44,3.42,3.46,26,127,93,9.10,3.4%,27.6%,13.8%,13.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,23,L,CL
,Nagakawa Katsuhiro,1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0.00,3.37,4.80,0.00,999,79,130,-3.37,0.0%,0.0%,0.0%,0.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,38,R,CL
