#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Higa Motoki,45,3,2,1,8,0,0,141,33.1,32,5,36,11,2,2,0,19,17,4.59,4.33,3.03,1.29,84,101,82,0.26,3.5%,25.5%,7.8%,17.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,36,R,PL
,Iwamoto Akira,9,0,2,0,1,0,0,43,7.1,9,2,5,11,3,0,2,12,12,14.73,10.05,6.20,2.73,26,234,168,4.68,4.7%,11.6%,25.6%,-14.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,PL
,Kaida Tomoyuki,55,1,2,0,22,0,0,196,49.0,41,1,33,11,1,2,1,15,10,1.84,3.08,3.68,1.06,210,72,100,-1.24,0.5%,16.8%,5.6%,11.2%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,31,L,PL
,Kambe Fumiya,19,0,0,0,5,0,0,85,21.0,17,4,19,5,0,2,0,10,9,3.86,5.03,3.15,1.05,100,117,85,-1.17,4.7%,22.4%,5.9%,16.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,R,PL
,Kaneda Kazuyuki,6,1,0,0,0,0,0,36,7.1,12,0,4,3,0,0,1,4,4,4.91,3.50,4.52,2.05,79,81,123,1.41,0.0%,11.1%,8.3%,2.8%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,PL
,Kishida Mamoru,1,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.63,-5.20,0.00,999,-61,-141,2.63,0.0%,100.0%,0.0%,100.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,38,R,PL
,Kobayashi Keisuke,20,0,2,0,3,0,0,82,17.1,23,4,17,5,1,0,3,15,11,5.71,5.27,3.34,1.62,68,123,90,0.44,4.9%,20.7%,6.1%,14.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,PL
,Kondo Taisuke,52,4,6,1,22,0,0,209,49.2,39,4,61,22,3,1,3,19,19,3.44,3.35,2.93,1.23,112,78,80,0.09,1.9%,29.2%,10.5%,18.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,PL
,Masui Hirotoshi,53,1,4,18,14,0,0,230,50.1,51,5,64,24,3,1,1,29,27,4.83,3.61,3.06,1.49,80,84,83,1.22,2.2%,27.8%,10.4%,17.4%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,35,R,PL
,Matsuba Takahiro,5,0,4,0,0,0,0,104,22.2,26,3,13,9,1,3,0,16,14,5.56,5.53,4.42,1.54,69,129,120,0.03,2.9%,12.5%,8.7%,3.8%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,L,PL
,Naruse Yoshihisa,6,0,1,0,0,0,0,90,19.2,24,3,13,8,0,1,0,16,16,7.32,5.40,4.24,1.63,53,126,115,1.92,3.3%,14.4%,8.9%,5.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,33,L,PL
,Saito Koki,11,0,0,0,1,0,0,46,7.0,14,0,8,9,0,0,0,10,8,10.29,4.94,5.02,3.29,38,115,136,5.35,0.0%,17.4%,19.6%,-2.2%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,L,PL
,Sakakibara Tsubasa,13,3,4,0,0,1,0,333,79.1,64,5,59,37,0,5,6,29,24,2.72,4.29,4.14,1.27,142,100,112,-1.57,1.5%,17.7%,11.1%,6.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,PL
,Sawada Keisuke,28,2,2,0,17,0,0,122,26.0,28,3,19,15,4,0,0,14,14,4.85,5.14,4.47,1.65,80,119,121,-0.29,2.5%,15.6%,12.3%,3.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,R,PL
,Suzuki Kohei,19,4,6,0,0,0,0,451,102.1,100,15,88,49,0,3,4,56,49,4.31,5.08,3.94,1.46,90,118,107,-0.77,3.3%,19.5%,10.9%,8.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,PL
,Suzuki Yu,1,0,0,0,0,0,0,9,2.0,1,0,2,3,0,0,0,1,1,4.50,5.87,5.91,2.00,86,136,160,-1.37,0.0%,22.2%,33.3%,-11.1%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,R,PL
,Tajima Daiki,10,3,4,0,0,0,0,219,49.2,48,4,40,20,0,1,1,26,19,3.44,4.07,3.89,1.37,112,95,105,-0.63,1.8%,18.3%,9.1%,9.1%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,L,PL
,Takeyasu Daichi,10,3,2,0,0,1,1,234,54.0,63,5,37,17,0,5,1,28,27,4.50,4.42,3.95,1.48,86,103,107,0.08,2.1%,15.8%,7.3%,8.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,24,R,PL
,Tomei Daiki,7,1,1,0,0,0,0,91,19.0,20,5,9,16,0,1,0,15,15,7.11,8.53,5.57,1.89,54,198,151,-1.42,5.5%,9.9%,17.6%,-7.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,30,R,PL
,Tomiyama Ryoga,1,0,0,0,0,0,0,6,2.0,0,0,2,0,0,0,0,0,0,0.00,1.37,1.47,0.00,999,32,40,-1.37,0.0%,33.3%,0.0%,33.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,L,PL
,Yamada Nobuyoshi,40,0,0,0,5,0,0,172,43.0,31,6,44,18,1,0,1,17,17,3.56,4.39,3.29,1.14,109,102,89,-0.83,3.5%,25.6%,10.5%,15.1%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,27,L,PL
,Yamamoto Yoshinobu,20,8,6,0,0,1,1,553,143.0,101,8,127,36,0,3,3,37,31,1.95,3.14,3.15,0.96,198,73,86,-1.19,1.4%,23.0%,6.5%,16.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,PL
,Yamaoka Taisuke,26,13,4,0,0,2,0,699,170.0,154,16,154,45,1,4,2,77,70,3.71,3.64,3.24,1.17,104,85,88,0.07,2.3%,22.0%,6.4%,15.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,23,R,PL
,Yamasaki Sachiya,36,2,3,0,1,0,0,236,54.0,49,6,37,28,3,3,2,27,27,4.50,5.16,4.42,1.43,86,120,120,-0.66,2.5%,15.7%,11.9%,3.8%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,L,PL
,Yoshida Kazumasa,33,1,1,0,6,0,0,156,37.2,33,3,28,14,1,1,1,17,17,4.06,4.11,3.90,1.25,95,96,106,-0.05,1.9%,17.9%,9.0%,9.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,29,R,PL
,Yoshida Ryo,4,0,0,0,0,0,0,21,4.1,7,2,2,3,0,0,0,4,4,8.31,10.52,5.28,2.31,46,245,143,-2.21,9.5%,9.5%,14.3%,-4.8%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,R,PL
,Abe Kazunari,4,0,0,0,2,0,0,14,4.0,1,0,2,2,0,0,0,0,0,0.00,3.87,4.80,0.75,999,93,130,-3.87,0.0%,14.3%,14.3%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,30,R,PL
,Ariyoshi Yuki,2,0,2,0,0,0,0,37,7.1,12,4,2,5,0,0,0,11,11,13.50,11.96,5.61,2.32,28,287,152,1.54,10.8%,5.4%,13.5%,-8.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,R,PL
,Azuma Yusuke,24,3,2,0,7,0,0,92,21.0,19,2,16,13,2,0,2,11,11,4.71,4.94,4.47,1.52,80,118,121,-0.23,2.2%,17.4%,14.1%,3.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,23,R,PL
,Bolsinger Mike,20,4,6,0,0,0,0,465,103.0,105,14,86,52,0,5,3,61,53,4.63,5.13,4.07,1.52,81,123,110,-0.50,3.0%,18.5%,11.2%,7.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,31,R,PL
,Chen Kuan-Yu,44,1,1,0,5,0,0,253,57.0,54,2,45,27,3,2,2,28,23,3.63,3.77,4.09,1.42,103,90,111,-0.14,0.8%,17.8%,10.7%,7.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,L,PL
,Dohi Seiya,6,1,0,0,0,0,0,137,31.2,35,4,28,12,0,0,1,12,11,3.13,4.38,3.63,1.48,120,105,98,-1.25,2.9%,20.4%,8.8%,11.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,23,L,PL
,Futaki Kota,22,7,10,0,0,1,0,538,128.2,127,16,115,30,0,6,3,68,63,4.41,4.04,3.22,1.22,85,97,87,0.37,3.0%,21.4%,5.6%,15.8%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,23,R,PL
,Ishikawa Ayumu,27,8,5,0,5,0,0,503,118.2,129,9,81,28,1,4,2,50,48,3.64,3.80,3.75,1.32,103,91,102,-0.16,1.8%,16.1%,5.6%,10.5%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,31,R,PL
,Ishizaki Tsuyoshi,2,0,0,0,0,0,0,10,2.0,4,0,0,1,0,0,1,2,2,9.00,4.87,5.80,2.50,42,117,157,4.13,0.0%,0.0%,10.0%,-10.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,R,PL
,Iwashita Daiki,21,5,3,0,1,0,0,406,96.1,80,14,74,47,1,2,2,44,39,3.64,5.25,4.13,1.32,103,126,112,-1.61,3.4%,18.2%,11.6%,6.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,22,R,PL
,Karakawa Yuki,40,5,3,0,14,0,0,168,37.2,47,7,30,6,0,1,0,25,22,5.26,4.75,3.37,1.41,71,114,91,0.51,4.2%,17.9%,3.6%,14.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,PL
,Mann Brandon,14,0,2,0,3,0,0,75,16.0,16,1,20,12,1,1,0,9,7,3.94,4.12,3.73,1.75,95,99,101,-0.18,1.3%,26.7%,16.0%,10.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,35,L,PL
,Masuda Naoya,60,4,5,27,12,0,0,229,58.2,36,5,56,22,2,2,1,15,14,2.15,3.79,3.32,0.99,174,91,90,-1.64,2.2%,24.5%,9.6%,14.8%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,PL
,Matsunaga Takahiro,46,2,3,0,25,0,0,144,34.2,25,3,32,17,1,3,1,13,10,2.60,4.38,3.76,1.21,144,105,102,-1.78,2.1%,22.2%,11.8%,10.4%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,31,L,PL
,Minami Masaki,4,0,1,0,0,0,0,18,3.2,4,1,3,4,1,0,0,5,5,12.27,8.55,5.36,2.18,31,205,145,3.72,5.6%,16.7%,22.2%,-5.6%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,30,R,PL
,Nagano Shoji,5,0,1,0,3,0,0,15,4.0,3,0,2,2,0,1,0,2,2,4.50,4.62,4.80,1.25,83,111,130,-0.12,0.0%,13.3%,13.3%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,26,L,PL
,Nakamura Toshiya,10,1,1,0,3,0,0,103,25.0,23,2,21,8,0,1,3,12,12,4.32,3.81,3.54,1.24,87,91,96,0.51,1.9%,20.4%,7.8%,12.6%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,22,L,PL
,Nishino Yuji,37,2,3,2,5,1,1,277,70.0,56,6,64,23,0,0,1,23,23,2.96,3.64,3.32,1.13,127,87,90,-0.68,2.2%,23.1%,8.3%,14.8%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,R,PL
,Ojima Kazuya,10,3,5,0,0,0,0,232,54.1,55,5,45,20,0,1,0,28,26,4.31,4.07,3.72,1.38,87,97,101,0.24,2.2%,19.4%,8.6%,10.8%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,22,L,PL
,Otani Tomohisa,2,0,2,0,0,0,0,10,1.2,2,0,1,2,0,0,0,3,2,10.80,5.77,5.80,2.40,35,138,157,5.03,0.0%,10.0%,20.0%,-10.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,34,R,PL
,Ravin Josh,2,0,0,0,0,0,0,12,1.2,3,1,1,3,0,1,0,5,5,27.00,17.17,6.47,3.60,14,411,175,9.83,8.3%,8.3%,25.0%,-16.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,31,R,PL
,Sakai Tomohito,54,5,4,0,20,0,0,248,57.2,51,9,60,25,4,1,1,28,28,4.37,4.67,3.39,1.32,86,112,92,-0.30,3.6%,24.2%,10.1%,14.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,26,R,PL
,Sasaki Chihaya,7,2,1,0,0,0,0,130,32.0,26,2,22,12,0,1,0,11,9,2.53,4.02,4.03,1.19,148,96,109,-1.49,1.5%,16.9%,9.2%,7.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,25,R,PL
,Takano Keisuke,2,0,0,0,0,0,0,8,1.1,3,2,0,1,0,0,0,2,2,13.50,25.12,6.05,3.00,28,602,164,-11.62,25.0%,0.0%,12.5%,-12.5%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,27,R,PL
,Tanaka Yasuhiro,44,4,1,0,2,0,0,166,39.2,42,2,29,12,2,3,0,12,12,2.72,3.70,3.78,1.36,138,89,102,-0.98,1.2%,17.5%,7.2%,10.2%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,32,R,PL
,Taneichi Atsuki,26,8,2,0,2,0,0,506,116.2,114,11,135,51,1,2,5,47,42,3.24,3.64,3.14,1.41,116,87,85,-0.40,2.2%,26.7%,10.1%,16.6%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,20,R,PL
,Tojo Taiki,58,1,0,0,16,0,0,232,52.1,52,7,53,21,1,7,1,26,22,3.78,4.69,3.42,1.39,99,112,93,-0.91,3.0%,22.8%,9.1%,13.8%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,27,R,PL
,Wakui Hideaki,18,3,7,0,0,2,1,462,104.0,121,14,87,27,1,6,3,58,52,4.50,4.40,3.50,1.42,83,105,95,0.10,3.0%,18.8%,5.8%,13.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,33,R,PL
,Higashihama Nao,7,2,2,0,0,0,0,158,35.1,36,5,26,23,0,1,2,26,25,6.37,5.77,4.61,1.67,61,134,125,0.60,3.2%,16.5%,14.6%,1.9%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,R,PL
,Ishikawa Shuta,2,0,0,0,1,0,0,11,3.0,2,0,3,0,0,0,1,0,0,0.00,1.37,2.07,0.67,999,32,56,-1.37,0.0%,27.3%,0.0%,27.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,R,PL
,Iwasaki Sho,2,0,0,0,0,0,0,8,2.0,1,0,2,1,0,0,0,1,1,4.50,2.87,3.55,1.00,86,67,96,1.63,0.0%,25.0%,12.5%,12.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,R,PL
,Izumi Keisuke,14,2,0,0,3,0,0,80,18.1,17,1,18,8,0,1,0,5,4,1.96,3.59,3.55,1.36,197,83,96,-1.63,1.2%,22.5%,10.0%,12.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,R,PL
,Kaino Hiroshi,65,2,5,8,26,0,0,253,58.2,49,6,73,34,1,4,3,28,27,4.14,4.15,3.26,1.41,93,97,88,-0.01,2.4%,28.9%,13.4%,15.4%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,R,PL
,Kajiya Ren,30,3,1,0,6,0,0,169,36.0,42,4,23,22,1,2,1,26,24,6.00,5.53,4.74,1.78,64,129,129,0.47,2.4%,13.6%,13.0%,0.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,R,PL
,Kasaya Shunsuke,2,0,0,0,0,0,0,26,5.0,6,1,7,7,0,0,1,4,4,7.20,7.37,4.80,2.60,54,171,130,-0.17,3.8%,26.9%,26.9%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,L,PL
,Kawahara Hiroyuki,19,0,0,0,1,0,0,105,23.2,22,1,10,14,0,1,1,10,7,2.66,4.97,5.18,1.52,145,116,140,-2.31,1.0%,9.5%,13.3%,-3.8%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,L,PL
,Kayama Shinya,54,2,2,1,19,0,0,128,31.0,29,1,26,5,0,4,0,13,9,2.61,2.98,3.16,1.10,148,69,86,-0.37,0.8%,20.3%,3.9%,16.4%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,L,PL
,Matsuda Ryoma,51,2,4,0,5,0,0,230,52.0,41,8,57,32,0,3,0,23,22,3.81,5.19,3.71,1.40,101,121,101,-1.38,3.5%,24.8%,13.9%,10.9%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,25,R,PL
,Matsumoto Yuki,7,1,1,0,0,0,0,146,33.2,35,2,32,11,0,0,1,18,15,4.01,3.22,3.36,1.37,96,75,91,0.79,1.4%,21.9%,7.5%,14.4%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,23,R,PL
,Miranda Ariel,18,7,5,0,0,0,0,382,86.0,80,13,58,48,0,2,3,44,40,4.19,5.73,4.54,1.49,92,133,123,-1.54,3.4%,15.2%,12.6%,2.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,30,L,PL
,Moinelo Livan,60,3,1,4,34,0,0,245,59.1,37,4,86,25,1,6,3,13,10,1.52,2.91,2.31,1.04,254,68,63,-1.39,1.6%,35.1%,10.2%,24.9%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,23,L,PL
,Mori Yuito,54,2,3,35,7,0,0,213,53.0,40,5,59,13,1,2,1,13,13,2.21,3.22,2.64,1.00,175,75,72,-1.01,2.3%,27.7%,6.1%,21.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,R,PL
,Nakata Kenichi,1,0,0,0,0,0,0,20,4.2,3,0,2,3,0,1,0,1,1,1.93,5.08,5.30,1.29,200,118,144,-3.15,0.0%,10.0%,15.0%,-5.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,37,R,PL
,Niho Akira,8,1,4,0,0,0,0,165,38.1,40,6,15,16,0,0,0,19,17,3.99,5.87,4.86,1.46,97,136,132,-1.88,3.6%,9.1%,9.7%,-0.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,R,PL
,Okumura Masato,12,0,1,0,3,0,0,58,12.1,13,3,10,7,1,3,2,12,12,8.76,7.34,4.28,1.62,44,171,116,1.42,5.2%,17.2%,12.1%,5.2%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,26,R,PL
,Otake Kotaro,17,5,4,0,0,1,0,442,106.0,111,13,72,20,1,4,0,47,45,3.82,4.28,3.62,1.24,101,100,98,-0.46,2.9%,16.3%,4.5%,11.8%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,24,L,PL
,Senga Kodai,26,13,8,0,0,2,2,752,180.1,134,19,227,75,1,8,4,60,56,2.79,3.60,2.78,1.16,138,84,75,-0.81,2.5%,30.2%,10.0%,20.2%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,26,R,PL
,Shiino Arata,36,5,2,0,6,0,0,206,46.0,37,5,49,31,2,2,2,20,16,3.13,4.80,3.93,1.48,123,112,106,-1.67,2.4%,23.8%,15.0%,8.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,23,R,PL
,Suarez Robert,9,0,4,0,0,0,0,126,26.2,28,6,27,20,0,1,2,18,17,5.74,6.63,4.24,1.80,67,154,115,-0.89,4.8%,21.4%,15.9%,5.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,28,R,PL
,Sugiyama Kazuki,2,0,0,0,0,0,0,21,4.0,5,0,4,5,0,0,1,4,4,9.00,5.12,5.28,2.50,43,119,143,3.88,0.0%,19.0%,23.8%,-4.8%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,21,R,PL
,Takahashi Jumpei,45,3,2,0,17,0,0,205,51.0,36,4,58,17,2,5,2,17,15,2.65,3.41,2.80,1.04,146,79,76,-0.76,2.0%,28.3%,8.3%,20.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,R,PL
,Takahashi Rei,23,12,6,0,0,0,0,584,143.0,114,10,73,49,0,11,3,56,53,3.34,4.51,4.39,1.14,116,105,119,-1.17,1.7%,12.5%,8.4%,4.1%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,23,R,PL
,Takeda Shota,32,5,3,1,9,0,0,361,83.0,78,6,70,40,0,4,2,48,42,4.55,4.21,3.97,1.42,85,98,108,0.34,1.7%,19.4%,11.1%,8.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,26,R,PL
,Tanaka Seigi,1,0,0,0,0,0,0,5,0.2,1,0,0,2,0,0,0,0,0,0.00,12.37,8.80,4.50,999,287,239,-12.37,0.0%,0.0%,40.0%,-40.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,24,R,PL
,Taura Fumimaru,8,0,0,0,0,0,0,41,10.0,8,1,6,6,0,0,0,5,5,4.50,5.27,4.80,1.40,86,122,130,-0.77,2.4%,14.6%,14.6%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,19,L,PL
,van den Hurk Rick,3,2,0,0,0,0,0,66,17.1,13,2,22,2,0,0,0,7,6,3.12,2.68,1.77,0.87,124,62,48,0.44,3.0%,33.3%,3.0%,30.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,34,R,PL
,Wada Tsuyoshi,12,4,4,0,0,0,0,240,57.2,56,11,45,14,0,2,0,26,25,3.90,5.12,3.51,1.21,99,119,95,-1.22,4.6%,18.8%,5.8%,12.9%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,38,L,PL
,Anraku Tomohiro,9,0,2,0,0,0,0,137,32.1,30,5,19,11,0,3,1,22,17,4.73,5.50,4.22,1.27,83,126,114,-0.77,3.6%,13.9%,8.0%,5.8%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,22,R,PL
,Aoyama Koji,62,2,4,0,16,0,0,208,53.1,37,8,36,18,4,0,1,16,16,2.70,4.98,3.93,1.03,145,114,107,-2.28,3.8%,17.3%,8.7%,8.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,35,R,PL
,Busenitz Alan,54,4,3,0,28,0,0,220,51.0,46,1,45,20,0,5,1,15,11,1.94,3.33,3.66,1.29,202,76,99,-1.39,0.5%,20.5%,9.1%,11.4%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,R,PL
,Fujihira Shoma,3,0,1,0,0,0,0,45,8.2,9,4,6,7,0,3,0,10,10,10.38,11.44,5.02,1.85,38,262,136,-1.06,8.9%,13.3%,15.6%,-2.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,20,R,PL
,Fukui Yuya,8,3,1,0,0,0,0,150,33.0,31,3,20,24,0,2,1,19,19,5.18,5.70,5.07,1.67,76,131,137,-0.52,2.0%,13.3%,16.0%,-2.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,31,R,PL
,Fukuyama Hiroyuki,7,0,0,0,1,0,0,38,8.2,8,0,4,1,0,3,0,5,5,5.19,3.83,4.01,1.04,76,88,109,1.36,0.0%,10.5%,2.6%,7.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,30,R,PL
,Furukawa Yuri,8,1,2,0,0,0,0,170,38.1,37,6,31,21,0,0,1,27,27,6.34,5.43,4.21,1.51,62,124,114,0.91,3.5%,18.2%,12.4%,5.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,23,R,PL
,Herrmann Frank,50,5,3,0,21,0,0,184,47.1,31,5,49,16,2,0,2,16,16,3.04,3.68,3.01,0.99,129,84,82,-0.64,2.7%,26.6%,8.7%,17.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,35,R,PL
,Ishibashi Ryota,28,8,7,0,0,0,0,535,127.1,116,20,71,35,0,6,5,60,54,3.82,5.26,4.13,1.19,103,120,112,-1.44,3.7%,13.3%,6.5%,6.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,R,PL
,Kamata Yoshinao,5,1,1,0,0,0,0,102,21.2,25,4,15,12,0,1,1,13,13,5.40,6.18,4.51,1.71,73,142,122,-0.78,3.9%,14.7%,11.8%,2.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,R,PL
,Karashima Wataru,27,9,6,0,2,0,0,518,117.1,119,14,84,57,3,0,1,59,54,4.14,4.94,4.28,1.50,95,113,116,-0.80,2.7%,16.2%,11.0%,5.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,L,PL
,Kishi Takayuki,15,3,5,0,0,0,0,381,93.2,80,12,86,25,1,1,1,37,37,3.56,4.03,3.20,1.12,110,92,87,-0.47,3.1%,22.6%,6.6%,16.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,34,R,PL
,Kondo Hiroki,2,0,2,0,0,0,0,44,9.1,14,2,3,2,0,1,0,9,9,8.68,6.48,4.57,1.71,45,148,124,2.20,4.5%,6.8%,4.5%,2.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,R,PL
,Konno Ryuta,4,1,0,0,0,0,0,44,9.0,13,1,7,3,0,1,1,10,10,10.00,4.59,3.89,1.78,39,105,105,5.41,2.3%,15.9%,6.8%,9.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,R,PL
