Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Matsuba Takahiro,1,0,0,0,0,0,13,3.0,4,1,2,0,0,0,0,2,2,6.00,6.62,3.26,1.33,53,162,87,-0.62,7.7%,15.4%,0.0%,15.4%,Chunichi Dragons,35,L,C
Matsukihira Yuta,3,0,1,0,0,0,53,11.0,17,3,4,5,0,0,0,12,10,8.18,7.80,4.99,2.00,39,191,132,0.38,5.7%,7.5%,9.4%,-1.9%,Chunichi Dragons,23,R,C
Miura Mizuki,2,2,0,0,0,0,37,9.0,11,0,1,3,0,0,0,3,3,3.00,4.40,5.34,1.56,105,108,142,-1.40,0.0%,2.7%,8.1%,-5.4%,Chunichi Dragons,26,L,C
Moriyama Akio,2,1,0,0,0,0,47,12.0,12,1,7,0,0,0,0,6,6,4.50,3.54,3.31,1.00,70,87,88,0.96,2.1%,14.9%,0.0%,14.9%,Chunichi Dragons,21,L,C
Muller Kyle,1,0,0,0,0,0,16,3.0,4,0,2,2,0,0,0,0,0,0.00,4.29,4.80,2.00,999,105,127,-4.29,0.0%,12.5%,12.5%,0.0%,Chunichi Dragons,28,L,C
Nakachi Reia,2,2,0,0,0,0,47,11.2,8,1,7,7,0,0,0,1,1,0.77,5.34,4.80,1.29,411,131,127,-4.57,2.1%,14.9%,14.9%,0.0%,Chunichi Dragons,25,R,C
Saitoh Kohki,2,0,0,0,0,0,6,2.0,0,0,4,0,0,0,0,0,0,0.00,-0.38,-1.87,0.00,999,-9,-50,0.38,0.0%,66.7%,0.0%,66.7%,Chunichi Dragons,29,L,C
Takahashi Kosuke,2,0,1,0,0,0,23,4.0,11,1,1,1,0,0,0,6,6,13.50,7.12,4.80,3.00,23,175,127,6.38,4.3%,4.3%,4.3%,0.0%,Chunichi Dragons,19,L,C
Umeno Yugo,1,0,0,0,0,0,3,1.0,1,0,1,0,0,0,0,0,0,0.00,1.62,1.47,1.00,999,40,39,-1.62,0.0%,33.3%,0.0%,33.3%,Chunichi Dragons,27,R,C
Wakui Hideaki,2,0,2,0,0,0,46,11.0,13,0,2,3,0,0,0,7,6,4.91,4.08,5.02,1.45,64,100,133,0.83,0.0%,4.3%,6.5%,-2.2%,Chunichi Dragons,40,R,C
Yoshida Seiya,3,1,0,0,0,0,38,8.2,10,0,3,4,0,1,0,5,5,5.19,4.66,5.06,1.62,61,114,134,0.53,0.0%,7.9%,10.5%,-2.6%,Chunichi Dragons,24,L,C
Abe Shota,6,0,0,0,0,0,23,5.0,5,1,1,0,0,3,0,1,1,1.80,7.62,4.37,1.00,156,211,116,-5.82,4.3%,4.3%,0.0%,4.3%,ORIX Buffaloes,33,R,W
Ashida Taketo,4,0,0,0,0,0,25,6.1,5,0,5,1,0,0,0,0,0,0.00,2.52,3.20,0.95,999,70,85,-2.52,0.0%,20.0%,4.0%,16.0%,ORIX Buffaloes,26,R,W
Espinoza Anderson,1,1,0,0,0,0,22,5.0,6,0,6,1,0,0,0,2,2,3.60,1.82,2.53,1.40,78,50,67,1.78,0.0%,27.3%,4.5%,22.7%,ORIX Buffaloes,28,R,W
Gonda Ryusei,5,2,0,1,0,0,25,6.0,3,1,9,1,0,2,0,2,1,1.50,4.29,1.60,0.67,187,119,42,-2.79,4.0%,36.0%,4.0%,32.0%,ORIX Buffaloes,26,R,W
Hjelle Sean,1,0,0,0,0,0,9,2.0,2,0,5,1,0,0,0,0,0,0.00,0.12,0.36,1.50,999,3,9,-0.12,0.0%,55.6%,11.1%,44.4%,ORIX Buffaloes,29,R,W
Inui Kento,1,1,0,0,0,0,5,1.0,4,0,0,0,0,0,0,1,1,9.00,3.62,4.80,4.00,31,100,127,5.38,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,20,R,W
Iriyama Kaito,7,1,0,2,0,0,32,6.2,9,1,3,3,0,0,0,7,7,9.45,6.02,4.80,1.80,30,167,127,3.43,3.1%,9.4%,9.4%,0.0%,ORIX Buffaloes,26,R,W
Iwasaki Sho,2,0,1,0,0,0,11,1.1,7,0,0,0,0,0,0,4,4,27.00,3.62,4.80,5.25,10,100,127,23.38,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,36,R,W
Katayama Raiku,2,0,0,0,0,0,29,7.0,7,0,6,0,0,1,0,1,1,1.29,2.34,2.73,1.00,217,65,72,-1.05,0.0%,20.7%,0.0%,20.7%,ORIX Buffaloes,23,R,W
Kawase Kento,5,0,0,1,0,0,33,5.2,10,1,7,5,0,1,1,7,7,11.12,6.62,4.19,2.65,25,184,111,4.50,3.0%,21.2%,15.2%,6.1%,ORIX Buffaloes,24,R,W
Kotajima Seiryu,1,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,27,R,W
Machado Andres,1,0,0,0,0,0,5,1.0,2,0,2,0,0,0,0,1,1,9.00,-0.38,0.80,2.00,31,-11,21,9.38,0.0%,40.0%,0.0%,40.0%,ORIX Buffaloes,33,R,W
Miyaguni Riku,3,1,1,0,0,0,68,16.2,15,0,7,6,0,0,0,8,6,3.24,3.86,4.65,1.26,86,107,123,-0.62,0.0%,10.3%,8.8%,1.5%,ORIX Buffaloes,20,R,W
Mukunoki Ren,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,45,39,-1.62,0.0%,33.3%,0.0%,33.3%,ORIX Buffaloes,26,R,W
Satoh Kazuma,2,0,0,0,0,0,18,4.2,3,0,5,1,0,0,0,3,3,5.79,2.12,2.58,0.86,48,59,68,3.67,0.0%,27.8%,5.6%,22.2%,ORIX Buffaloes,25,L,W
Shapiro Matthewichiro,1,0,0,0,0,0,4,1.0,2,0,0,0,0,0,0,1,0,0.00,3.62,4.80,2.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,23,R,W
Sotani Ryuhei,1,0,1,0,0,0,12,2.1,5,1,1,0,0,0,0,3,3,11.57,8.34,3.97,2.14,24,231,105,3.23,8.3%,8.3%,0.0%,8.3%,ORIX Buffaloes,25,L,W
Suga Hiroto,1,0,0,0,0,0,3,1.0,2,0,0,0,0,0,0,0,0,0.00,3.62,4.80,2.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,21,L,W
Suzuki Hiroshi,3,0,1,0,0,0,31,5.1,12,1,1,3,0,0,0,11,10,16.88,7.37,5.45,2.81,17,204,144,9.51,3.2%,3.2%,9.7%,-6.5%,ORIX Buffaloes,29,R,W
Tajima Daiki,1,0,1,0,0,0,29,6.0,6,1,4,4,0,0,0,2,2,3.00,6.45,4.80,1.67,93,179,127,-3.45,3.4%,13.8%,13.8%,0.0%,ORIX Buffaloes,29,L,W
Takaya Shu,1,0,0,0,0,0,8,2.0,1,0,2,0,0,0,0,0,0,0.00,1.62,2.30,0.50,999,45,61,-1.62,0.0%,25.0%,0.0%,25.0%,ORIX Buffaloes,22,R,W
Teranishi Naruki,1,0,0,0,0,0,7,2.0,1,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.50,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,23,R,W
Tomiyama Ryoga,4,0,0,0,0,0,17,5.0,2,0,4,0,0,0,0,0,0,0.00,2.02,2.45,0.40,999,56,65,-2.02,0.0%,23.5%,0.0%,23.5%,ORIX Buffaloes,29,L,W
Toumatsu Kaisei,1,0,0,0,0,0,4,1.0,0,0,0,2,0,0,0,0,0,0.00,9.62,9.80,2.00,999,267,260,-9.62,0.0%,0.0%,50.0%,-50.0%,ORIX Buffaloes,21,L,W
Yamada Nobuyoshi,4,0,0,0,0,0,16,4.1,2,0,5,1,0,0,0,0,0,0.00,2.01,2.30,0.69,999,56,61,-2.01,0.0%,31.2%,6.2%,25.0%,ORIX Buffaloes,34,L,W
Yamaguchi Reo,2,0,2,0,0,0,29,4.1,12,1,2,4,0,0,0,13,13,27.00,8.47,5.49,3.69,10,235,146,18.53,3.4%,6.9%,13.8%,-6.9%,ORIX Buffaloes,20,R,W
Yamaoka Taisuke,2,0,1,0,0,0,50,11.0,13,0,10,4,0,0,1,8,4,3.27,2.89,3.60,1.55,86,80,95,0.38,0.0%,20.0%,8.0%,12.0%,ORIX Buffaloes,30,R,W
Yamazaki Soichiro,1,0,0,0,0,0,6,1.0,2,0,2,0,0,1,0,1,1,9.00,2.62,1.47,2.00,31,73,39,6.38,0.0%,33.3%,0.0%,33.3%,ORIX Buffaloes,28,R,W
Yokoyama Kaede,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,ORIX Buffaloes,28,R,W
Yoshida Kosei,2,0,0,0,0,0,8,2.0,1,0,3,1,0,0,0,0,0,0.00,2.12,2.30,1.00,999,59,61,-2.12,0.0%,37.5%,12.5%,25.0%,ORIX Buffaloes,25,R,W
Akiyama Seiun,2,0,1,0,0,0,31,7.0,10,1,7,1,0,0,0,4,4,5.14,3.91,2.86,1.57,63,94,76,1.23,3.2%,22.6%,3.2%,19.4%,Lotte Marines,23,L,E
Azuma Yusuke,5,1,1,0,0,0,23,5.1,5,0,6,3,1,0,0,3,2,3.38,3.06,3.50,1.50,95,74,93,0.32,0.0%,26.1%,13.0%,13.0%,Lotte Marines,30,R,E
Fuji Hayato,1,1,0,0,0,0,9,2.0,3,0,0,1,0,0,0,0,0,0.00,5.12,5.91,2.00,999,123,157,-5.12,0.0%,0.0%,11.1%,-11.1%,Lotte Marines,24,R,E
Ishikawa Shuta,2,0,1,0,0,0,42,9.2,8,1,12,5,0,0,0,6,5,4.66,4.03,3.13,1.34,69,97,83,0.63,2.4%,28.6%,11.9%,16.7%,Lotte Marines,34,R,E
Karakawa Yuki,2,0,2,0,0,0,41,10.0,11,2,7,0,0,0,0,7,7,6.30,4.82,3.09,1.10,51,116,82,1.48,4.9%,17.1%,0.0%,17.1%,Lotte Marines,36,R,E
Kawamura Tokito,3,1,1,0,0,0,70,15.2,19,2,9,7,0,0,1,7,6,3.45,5.47,4.51,1.66,93,132,120,-2.02,2.9%,12.9%,10.0%,2.9%,Lotte Marines,29,R,E
Kikuchi Riku,4,0,0,0,0,0,25,5.1,3,0,5,2,0,1,2,4,0,0.00,3.43,3.60,0.94,999,83,95,-3.43,0.0%,20.0%,8.0%,12.0%,Lotte Marines,26,R,E
Kimura Yuto,1,0,0,0,0,0,15,4.0,2,0,4,1,0,0,0,0,0,0.00,2.37,2.80,0.75,999,57,74,-2.37,0.0%,26.7%,6.7%,20.0%,Lotte Marines,21,R,E
Miyazaki Hayato,1,0,0,0,0,0,7,2.0,1,0,2,0,0,0,1,0,0,0.00,1.62,1.94,0.50,999,39,52,-1.62,0.0%,28.6%,0.0%,28.6%,Lotte Marines,26,L,E
Mori Ryotaro,2,1,1,0,0,0,39,9.1,8,1,12,3,0,0,0,4,4,3.86,3.41,2.49,1.18,84,82,66,0.45,2.6%,30.8%,7.7%,23.1%,Lotte Marines,27,R,E
Motomae Fumiya,3,0,0,0,0,0,15,4.0,1,0,4,1,0,1,0,1,1,2.25,3.12,2.80,0.50,143,75,74,-0.87,0.0%,26.7%,6.7%,20.0%,Lotte Marines,28,L,E
Nagashima Kosuke,3,0,0,0,0,0,22,4.2,7,1,4,3,0,0,1,5,5,9.64,6.62,4.35,2.14,33,159,115,3.02,4.5%,18.2%,13.6%,4.5%,Lotte Marines,23,R,E
Nakamori Shunsuke,2,0,0,0,0,0,7,2.0,1,0,0,1,0,0,0,0,0,0.00,5.12,6.23,1.00,999,123,165,-5.12,0.0%,0.0%,14.3%,-14.3%,Lotte Marines,24,R,E
Nakamura Ryota,2,0,0,0,0,0,39,9.0,12,0,6,0,0,0,1,3,3,3.00,2.29,3.26,1.33,107,55,87,0.71,0.0%,15.4%,0.0%,15.4%,Lotte Marines,28,R,E
Nishino Yuji,1,0,0,0,0,0,18,5.0,3,0,5,1,0,0,0,0,0,0.00,2.22,2.58,0.80,999,53,68,-2.22,0.0%,27.8%,5.6%,22.2%,Lotte Marines,35,R,E
Ono Fumiya,2,0,0,0,0,0,8,2.0,4,0,0,0,0,0,0,0,0,0.00,3.62,4.80,2.00,999,87,127,-3.62,0.0%,0.0%,0.0%,0.0%,Lotte Marines,29,R,E
Sakai Haru,3,0,0,0,0,0,15,3.0,3,0,2,3,0,0,0,2,2,6.00,5.29,5.47,2.00,54,127,145,0.71,0.0%,13.3%,20.0%,-6.7%,Lotte Marines,20,R,E
Sakamoto Koshiro,4,1,0,0,0,0,18,5.0,2,0,3,3,0,1,0,0,0,0.00,4.82,4.80,1.00,999,116,127,-4.82,0.0%,16.7%,16.7%,0.0%,Lotte Marines,31,L,E
Takahashi Kaishu,4,0,0,1,0,0,18,4.0,2,0,1,3,0,0,0,1,0,0.00,5.37,5.91,1.25,999,129,157,-5.37,0.0%,5.6%,16.7%,-11.1%,Lotte Marines,20,R,E
Yagi Akira,4,0,0,0,0,0,43,9.2,11,0,9,2,0,0,0,3,3,2.79,2.38,3.17,1.34,116,57,84,0.41,0.0%,20.9%,4.7%,16.3%,Lotte Marines,29,R,E
Fujiwara Haruto,2,1,0,0,0,0,44,11.0,8,0,10,2,0,0,2,3,3,2.45,2.35,2.98,0.91,123,61,79,0.10,0.0%,22.7%,4.5%,18.2%,SoftBank Hawks,20,R,W
Higashihama Nao,2,2,0,0,0,0,51,11.0,16,0,6,3,0,0,0,6,6,4.91,3.35,4.21,1.73,61,86,112,1.56,0.0%,11.8%,5.9%,5.9%,SoftBank Hawks,36,R,W
Hsu Jo-Hsi,1,1,0,0,0,0,19,5.0,3,0,3,1,0,0,0,1,1,1.80,3.02,3.75,0.80,167,78,99,-1.22,0.0%,15.8%,5.3%,10.5%,SoftBank Hawks,25,R,W
Itoh Yusuke,1,0,0,1,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.62,-0.20,0.00,999,16,-5,-0.62,0.0%,50.0%,0.0%,50.0%,SoftBank Hawks,29,R,W
Kamichatani Taiga,1,1,0,0,0,0,24,7.0,1,0,5,1,0,1,0,0,0,0.00,3.05,3.13,0.29,999,79,83,-3.05,0.0%,20.8%,4.2%,16.7%,SoftBank Hawks,29,R,W
Kimura Taisei,3,1,0,0,0,0,14,3.1,1,0,0,4,0,0,0,1,1,2.70,7.22,7.66,1.50,112,186,203,-4.52,0.0%,0.0%,28.6%,-28.6%,SoftBank Hawks,22,L,W
Maeda Jun,1,0,1,0,0,0,19,4.2,5,1,6,0,0,0,1,3,1,1.93,3.84,1.64,1.07,156,99,44,-1.91,5.3%,31.6%,0.0%,31.6%,SoftBank Hawks,26,L,W
Maeda Yugo,2,0,0,1,0,0,24,6.0,5,0,8,0,0,0,0,1,1,1.50,0.95,1.47,0.83,201,25,39,0.55,0.0%,33.3%,0.0%,33.3%,SoftBank Hawks,20,L,W
Nagamizu Keishin,1,0,1,0,1,0,20,5.0,5,0,2,2,0,0,1,2,2,3.60,4.02,4.80,1.40,84,104,127,-0.42,0.0%,10.0%,10.0%,0.0%,SoftBank Hawks,20,L,W
Nakamura Toshiya,1,0,0,0,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.62,-0.20,0.00,999,16,-5,-0.62,0.0%,50.0%,0.0%,50.0%,SoftBank Hawks,29,L,W
Ogata Shuto,2,1,1,0,0,0,50,11.2,10,0,10,5,0,0,0,4,2,1.54,3.19,3.80,1.29,196,82,101,-1.65,0.0%,20.0%,10.0%,10.0%,SoftBank Hawks,27,R,W
Ohe Ryusei,2,0,0,0,0,0,12,2.0,3,0,2,2,0,0,0,1,0,0.00,4.62,4.80,2.50,999,119,127,-4.62,0.0%,16.7%,16.7%,0.0%,SoftBank Hawks,27,L,W
Ohno Kazuo,1,1,0,0,0,0,25,6.2,3,0,4,3,0,0,0,0,0,0.00,3.77,4.40,0.90,999,97,117,-3.77,0.0%,16.0%,12.0%,4.0%,SoftBank Hawks,21,L,W
Ohtake Fuga,2,0,0,0,0,0,7,2.0,1,0,1,0,0,0,0,0,0,0.00,2.62,3.37,0.50,999,68,89,-2.62,0.0%,14.3%,0.0%,14.3%,SoftBank Hawks,26,R,W
Ohtsu Ryosuke,2,1,0,0,0,0,33,8.1,7,1,7,3,0,0,0,3,3,3.24,4.58,3.59,1.20,93,118,95,-1.34,3.0%,21.2%,9.1%,12.1%,SoftBank Hawks,27,R,W
Ohyama Ryo,1,0,0,0,0,0,8,2.0,1,0,2,1,0,0,0,0,0,0.00,3.12,3.55,1.00,999,80,94,-3.12,0.0%,25.0%,12.5%,12.5%,SoftBank Hawks,24,R,W
Ohzeki Tomohisa,1,0,0,0,0,0,13,4.0,1,0,3,0,0,0,1,0,0,0.00,2.12,2.49,0.25,999,55,66,-2.12,0.0%,23.1%,0.0%,23.1%,SoftBank Hawks,28,L,W
Okada Koichiro,1,0,0,0,0,0,6,1.2,2,0,1,0,0,0,0,0,0,0.00,2.42,3.13,1.20,999,62,83,-2.42,0.0%,16.7%,0.0%,16.7%,SoftBank Hawks,24,R,W
Rodriguez Luis,3,0,1,0,0,0,8,1.2,3,0,3,0,0,0,0,1,1,5.40,0.02,1.05,1.80,56,1,28,5.38,0.0%,37.5%,0.0%,37.5%,SoftBank Hawks,24,R,W
Suzuki Gota,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,93,127,-3.62,0.0%,0.0%,0.0%,0.0%,SoftBank Hawks,22,R,W
Tsumori Yuki,2,0,0,1,0,0,11,3.0,0,0,4,1,0,1,0,0,0,0.00,2.95,2.07,0.33,999,76,55,-2.95,0.0%,36.4%,9.1%,27.3%,SoftBank Hawks,28,R,W
Zhang Jun-Wei,3,0,0,0,0,0,24,6.1,4,0,6,0,0,1,0,0,0,0.00,2.20,2.30,0.63,999,57,61,-2.20,0.0%,25.0%,0.0%,25.0%,SoftBank Hawks,20,R,W
Ehara Masahiro,3,0,0,0,0,0,11,3.0,1,0,2,1,0,0,0,0,0,0.00,3.29,3.89,0.67,999,85,103,-3.29,0.0%,18.2%,9.1%,9.1%,Rakuten Eagles,25,R,E
Fujii Masaru,3,2,1,0,0,0,61,16.0,13,0,9,4,0,0,0,2,2,1.13,3.25,3.98,1.06,265,84,106,-2.12,0.0%,14.8%,6.6%,8.2%,Rakuten Eagles,29,L,E
Hayakawa Takahisa,2,1,1,0,1,0,52,14.1,9,0,15,1,0,0,0,3,1,0.63,1.74,2.11,0.70,476,45,56,-1.11,0.0%,28.8%,1.9%,26.9%,Rakuten Eagles,27,L,E
Hayashi Yuki,4,0,0,0,0,0,14,3.2,4,1,2,0,0,0,0,3,3,7.36,6.08,3.37,1.09,41,157,89,1.28,7.1%,14.3%,0.0%,14.3%,Rakuten Eagles,24,L,E
Hinata Naoki,5,1,0,3,0,0,21,5.0,2,0,7,3,0,1,0,0,0,0.00,3.22,2.90,1.00,999,83,77,-3.22,0.0%,33.3%,14.3%,19.0%,Rakuten Eagles,20,R,E
Itoh Taisei,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,42,39,-1.62,0.0%,33.3%,0.0%,33.3%,Rakuten Eagles,18,L,E
Itoh Tatsuki,2,0,0,0,0,0,46,10.0,10,0,6,6,0,1,0,3,3,2.70,4.52,4.80,1.60,111,117,127,-1.82,0.0%,13.0%,13.0%,0.0%,Rakuten Eagles,22,R,E
Kishi Takayuki,2,0,0,0,0,0,24,6.0,4,0,3,2,0,0,0,0,0,0.00,3.62,4.38,1.00,999,94,116,-3.62,0.0%,12.5%,8.3%,4.2%,Rakuten Eagles,41,R,E
Koga Kosei,2,0,0,0,0,0,41,9.0,10,2,11,4,0,0,0,7,7,7.00,5.40,3.09,1.56,43,140,82,1.60,4.9%,26.8%,9.8%,17.1%,Rakuten Eagles,21,L,E
Koja Tatsuki,1,1,0,0,0,0,20,5.0,2,0,3,2,0,0,0,1,0,0.00,3.62,4.30,0.80,999,94,114,-3.62,0.0%,15.0%,10.0%,5.0%,Rakuten Eagles,24,L,E
Konno Ryuta,4,0,0,0,0,0,17,4.0,6,0,4,1,0,0,0,1,0,0.00,2.37,3.04,1.75,999,61,81,-2.37,0.0%,23.5%,5.9%,17.6%,Rakuten Eagles,31,R,E
Maeda Kenta,1,0,1,0,0,0,14,2.1,6,0,2,1,0,0,0,6,6,23.14,3.19,4.09,3.00,13,83,108,19.95,0.0%,14.3%,7.1%,7.1%,Rakuten Eagles,38,R,E
Matsuda Takuma,2,0,1,0,0,0,17,4.0,4,0,2,1,0,0,0,2,2,4.50,3.37,4.21,1.25,67,87,112,1.13,0.0%,11.8%,5.9%,5.9%,Rakuten Eagles,24,R,E
Nakagomi Haruto,4,0,1,0,0,0,14,3.2,2,0,4,0,0,0,0,1,0,0.00,1.44,1.94,0.55,999,37,52,-1.44,0.0%,28.6%,0.0%,28.6%,Rakuten Eagles,24,R,E
Nakazawa Takuma,3,1,0,1,0,0,10,2.2,2,1,2,0,0,0,0,2,2,6.75,7.00,2.80,0.75,44,181,74,-0.25,10.0%,20.0%,0.0%,20.0%,Rakuten Eagles,22,R,E
Ohuchi Seiya,2,1,0,0,0,0,39,10.0,9,1,6,4,0,0,2,3,3,2.70,4.92,4.29,1.30,111,127,114,-2.22,2.6%,15.4%,10.3%,5.1%,Rakuten Eagles,20,R,E
Sakai Haruto,2,0,0,0,0,0,31,8.0,2,0,8,5,0,0,0,0,0,0.00,3.50,3.83,0.88,999,91,102,-3.50,0.0%,25.8%,16.1%,9.7%,Rakuten Eagles,21,R,E
Sakai Tomohito,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,94,127,-3.62,0.0%,0.0%,0.0%,0.0%,Rakuten Eagles,33,R,E
Shibata Daichi,2,0,0,0,0,0,8,2.0,3,0,1,0,0,0,0,2,1,4.50,2.62,3.55,1.50,67,68,94,1.88,0.0%,12.5%,0.0%,12.5%,Rakuten Eagles,28,R,E
Sung Chia-Hao,1,0,0,0,0,0,3,1.0,0,0,0,1,0,0,0,0,0,0.00,6.62,8.13,1.00,999,172,216,-6.62,0.0%,0.0%,33.3%,-33.3%,Rakuten Eagles,33,R,E
Urena Jose,1,0,0,0,0,0,18,5.0,2,0,8,2,0,0,1,1,1,1.80,1.62,1.47,0.80,167,42,39,0.18,0.0%,44.4%,11.1%,33.3%,Rakuten Eagles,34,R,E
Watanabe Shota,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,42,39,-1.62,0.0%,33.3%,0.0%,33.3%,Rakuten Eagles,25,R,E
Aoyama Minato,3,0,0,0,0,0,20,4.0,5,2,4,3,0,0,0,5,4,9.00,10.37,4.30,2.00,35,252,114,-1.37,10.0%,20.0%,15.0%,5.0%,Seibu Lions,25,R,C
Gonzalez Jorge,2,0,0,0,0,0,8,2.0,0,0,2,2,0,0,1,1,1,4.50,4.62,4.80,1.00,71,112,127,-0.12,0.0%,25.0%,25.0%,0.0%,Seibu Lions,23,R,C
Hada Shinnosuke,5,0,0,1,0,0,19,5.0,1,1,5,3,0,0,0,4,4,7.20,6.02,3.75,0.80,44,146,99,1.18,5.3%,26.3%,15.8%,10.5%,Seibu Lions,22,L,C
Hamaya Shota,1,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,39,61,-1.62,0.0%,25.0%,0.0%,25.0%,Seibu Lions,27,L,C
Kariu Shoma,1,0,0,0,0,0,24,5.0,6,0,2,3,0,0,1,2,1,1.80,4.62,5.22,1.80,177,112,138,-2.82,0.0%,8.3%,12.5%,-4.2%,Seibu Lions,19,R,C
Kawashimo Masahiro,2,1,1,0,0,0,45,10.0,12,1,7,4,0,1,0,7,7,6.30,5.02,4.13,1.60,51,122,110,1.28,2.2%,15.6%,8.9%,6.7%,Seibu Lions,21,L,C
Mameda Taishi,4,0,0,0,0,0,17,5.0,1,0,3,1,0,0,0,0,0,0.00,3.02,3.62,0.40,999,73,96,-3.02,0.0%,17.6%,5.9%,11.8%,Seibu Lions,23,R,C
Matsumoto Wataru,2,0,2,0,0,0,49,8.0,18,3,8,4,0,2,1,16,14,15.75,8.75,3.98,2.75,20,213,106,7.00,6.1%,16.3%,8.2%,8.2%,Seibu Lions,29,R,C
Miura Daiki,3,0,0,0,0,0,17,3.0,6,0,2,3,0,0,0,5,5,15.00,5.29,5.39,3.00,21,129,143,9.71,0.0%,11.8%,17.6%,-5.9%,Seibu Lions,26,R,C
Miyazawa Taisei,5,0,0,0,0,0,19,4.1,2,0,2,2,0,2,0,1,1,2.08,5.47,4.80,0.92,154,133,127,-3.39,0.0%,10.5%,10.5%,0.0%,Seibu Lions,27,R,C
Moriwaki Ryosuke,5,0,1,0,0,0,21,4.1,2,0,5,3,1,0,0,2,0,0.00,3.39,3.85,1.15,999,82,102,-3.39,0.0%,23.8%,14.3%,9.5%,Seibu Lions,33,R,C
Nakamura Yuta,3,0,0,3,0,0,11,3.0,1,0,3,1,0,0,0,0,0,0.00,2.62,2.98,0.67,999,64,79,-2.62,0.0%,27.3%,9.1%,18.2%,Seibu Lions,30,R,C
Narita Haruse,3,0,0,0,0,0,11,3.0,1,0,2,2,0,1,0,0,0,0.00,5.29,4.80,1.00,999,129,127,-5.29,0.0%,18.2%,18.2%,0.0%,Seibu Lions,20,R,C
Sato Shunsuke,2,0,0,0,0,0,6,2.0,0,0,2,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,39,39,-1.62,0.0%,33.3%,0.0%,33.3%,Seibu Lions,26,L,C
Satoh Sou,2,2,0,0,0,0,49,11.0,9,0,6,5,0,0,0,2,2,1.64,3.89,4.60,1.27,195,95,122,-2.25,0.0%,12.2%,10.2%,2.0%,Seibu Lions,23,L,C
Sugai Shinya,2,0,1,0,0,0,44,10.0,9,0,5,6,0,0,0,4,3,2.70,4.42,5.03,1.50,118,107,133,-1.72,0.0%,11.4%,13.6%,-2.3%,Seibu Lions,23,L,C
Sugiyama Haruki,1,1,0,0,0,0,19,5.0,3,0,2,1,0,1,0,0,0,0.00,4.02,4.27,0.80,999,98,113,-4.02,0.0%,10.5%,5.3%,5.3%,Seibu Lions,20,L,C
Takahashi Kona,1,0,1,0,0,0,23,5.0,8,0,4,0,0,0,0,3,3,5.40,2.02,3.06,1.60,59,49,81,3.38,0.0%,17.4%,0.0%,17.4%,Seibu Lions,29,R,C
Takahashi Rei,4,0,0,0,0,0,16,5.0,2,0,1,0,0,0,0,0,0,0.00,3.22,4.17,0.40,999,78,111,-3.22,0.0%,6.2%,0.0%,6.2%,Seibu Lions,30,R,C
Ueda Taiga,3,2,1,0,0,0,73,18.2,18,2,20,3,0,0,0,5,5,2.41,3.35,2.47,1.13,133,82,66,-0.94,2.7%,27.4%,4.1%,23.3%,Seibu Lions,24,R,C
Asari Tamon,2,0,1,0,0,0,41,10.0,5,0,6,6,0,0,2,3,3,2.70,4.22,4.80,1.10,122,100,127,-1.52,0.0%,14.6%,14.6%,0.0%,Nipponham Fighters,23,R,E
Fujita Ryusei,2,0,0,0,0,0,21,6.0,1,0,8,2,0,1,1,0,0,0.00,2.45,1.94,0.50,999,58,52,-2.45,0.0%,38.1%,9.5%,28.6%,Nipponham Fighters,19,L,E
Fukuda Suguru,3,1,0,0,0,0,25,6.1,3,0,8,2,0,0,0,0,0,0.00,2.04,2.40,0.79,999,48,64,-2.04,0.0%,32.0%,8.0%,24.0%,Nipponham Fighters,29,L,E
