Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Mombetsu Keito,2,1,0,0,0,0,18,5.0,3,1,6,0,0,0,0,1,1,1.80,3.82,1.47,0.60,156,106,39,-2.02,5.6%,33.3%,0.0%,33.3%,Hanshin Tigers,21,L,W
Nishi Yuki,1,1,0,0,0,0,18,5.0,3,0,3,0,0,0,0,0,0,0.00,2.42,3.13,0.60,999,67,83,-2.42,0.0%,16.7%,0.0%,16.7%,Hanshin Tigers,35,R,W
Noto Syuto,2,0,0,0,0,0,35,9.0,8,0,5,3,0,0,2,1,0,0.00,3.51,4.23,1.22,999,97,112,-3.51,0.0%,14.3%,8.6%,5.7%,Hanshin Tigers,24,R,W
Ogawa Ippei,1,0,0,0,0,0,5,1.0,2,0,1,0,0,0,0,0,0,0.00,1.62,2.80,2.00,999,45,74,-1.62,0.0%,20.0%,0.0%,20.0%,Hanshin Tigers,29,R,W
Ohtake Koutaro,3,1,2,0,0,0,73,17.0,21,2,11,0,0,3,0,11,9,4.76,4.39,3.29,1.24,59,122,87,0.37,2.7%,15.1%,0.0%,15.1%,Hanshin Tigers,31,L,W
Ragsdale Carson,2,0,0,0,0,0,41,8.2,6,0,9,9,0,0,1,4,2,2.08,4.66,4.80,1.73,135,129,127,-2.58,0.0%,22.0%,22.0%,0.0%,Hanshin Tigers,28,R,W
Saiki Hiroto,1,1,0,0,0,0,17,5.0,3,0,2,0,0,0,0,1,1,1.80,2.82,3.62,0.60,156,78,96,-1.02,0.0%,11.8%,0.0%,11.8%,Hanshin Tigers,27,R,W
Shiiba Tsuyoshi,6,0,0,1,0,0,20,6.1,3,0,6,0,0,0,0,0,0,0.00,1.73,1.80,0.47,999,48,48,-1.73,0.0%,30.0%,0.0%,30.0%,Hanshin Tigers,24,R,W
Tomida Ren,3,0,1,0,0,0,36,7.1,13,1,3,1,0,0,0,6,5,6.14,4.98,4.24,1.91,46,138,113,1.16,2.8%,8.3%,2.8%,5.6%,Hanshin Tigers,24,L,W
Tsuda Junya,4,0,0,2,0,0,15,3.2,2,0,4,1,0,0,0,0,0,0.00,2.26,2.80,0.82,999,63,74,-2.26,0.0%,26.7%,6.7%,20.0%,Hanshin Tigers,24,R,W
Aduwa Makoto,2,0,0,0,0,0,12,2.1,4,0,0,1,0,0,0,1,1,3.86,4.91,5.63,2.14,76,129,149,-1.05,0.0%,0.0%,8.3%,-8.3%,Hiroshima Carp,27,R,W
Aria Develson,2,0,1,0,0,0,11,1.2,4,0,0,4,0,0,0,5,5,27.00,10.82,8.44,4.80,11,285,224,16.18,0.0%,0.0%,36.4%,-36.4%,Hiroshima Carp,25,L,W
Endoh Atsushi,1,0,1,0,0,0,21,4.0,6,0,0,3,0,0,0,4,4,9.00,5.87,6.23,2.25,33,154,165,3.13,0.0%,0.0%,14.3%,-14.3%,Hiroshima Carp,27,R,W
Hasebe Ginji,4,0,1,0,0,0,19,4.0,7,0,4,1,0,0,0,3,2,4.50,2.37,3.22,2.00,66,62,85,2.13,0.0%,21.1%,5.3%,15.8%,Hiroshima Carp,27,L,W
Hidaka Atsumi,2,0,0,0,0,0,9,2.0,2,1,3,1,0,0,0,2,2,9.00,8.62,2.58,1.50,33,227,68,0.38,11.1%,33.3%,11.1%,22.2%,Hiroshima Carp,21,R,W
Horie Atsuya,4,0,1,0,0,0,35,8.2,6,0,8,2,0,0,0,3,1,1.04,2.47,3.09,0.92,284,65,82,-1.43,0.0%,22.9%,5.7%,17.1%,Hiroshima Carp,29,L,W
Kawano Kei,4,0,0,0,0,0,41,10.0,11,0,5,3,0,0,0,1,1,0.90,3.52,4.31,1.40,328,93,114,-2.62,0.0%,12.2%,7.3%,4.9%,Hiroshima Carp,24,R,W
Kemna Makoto,5,1,1,0,0,0,26,7.0,6,0,3,2,0,1,0,2,2,2.57,4.05,4.42,1.14,115,107,117,-1.48,0.0%,11.5%,7.7%,3.8%,Hiroshima Carp,31,R,W
