Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Nakayama Raito,3,10,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.000,0.100,0.000,0.100,-70,0.000,0.000,10.0%,10.0%,1.00,-0.0,12.5%,22.2%,100.0%,37.5%,5.0%,20.0%,24,9,L,Yomiuri Giants,CL
Sakamoto Hayato,3,10,9,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.111,0.200,0.111,0.311,-7,0.000,0.125,10.0%,10.0%,1.00,-0.0,12.5%,6.2%,90.0%,53.8%,7.7%,20.0%,37,5,R,Yomiuri Giants,CL
Sasaki Shunsuke,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,33.3%,66.7%,66.7%,16.7%,0.0%,26,7,L,Yomiuri Giants,CL
Takemaru Kazuyuki,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,0.0%,0.00,0.0,,75.0%,,37.5%,25.0%,100.0%,24,1,L,Yomiuri Giants,CL
Urata Shunsuke,2,7,7,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0.286,0.286,0.429,0.715,109,0.143,0.333,14.3%,0.0%,0.00,-0.0,0.0%,38.5%,100.0%,48.3%,3.4%,14.3%,23,4,L,Yomiuri Giants,CL
Wakabayashi Gakuto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,66.7%,100.0%,75.0%,0.0%,0.0%,28,,R,Yomiuri Giants,CL
Akahane Yoshihiro,3,5,5,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0.400,0.400,0.400,0.800,125,0.000,1.000,60.0%,0.0%,0.00,-0.0,0.0%,58.3%,100.0%,52.4%,23.8%,60.0%,26,7,R,Yakult Swallows,CL
Hashimoto Seiya,2,7,5,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.000,0.143,0.000,0.143,-51,0.000,0.000,14.3%,14.3%,1.00,-0.0,40.0%,30.8%,100.0%,33.3%,4.2%,28.6%,25,9,L,Yakult Swallows,CL
Itoh Ryui,3,12,12,1,2,0,0,1,5,2,0,0,0,0,5,0,0,0,1,0.167,0.167,0.417,0.584,60,0.250,0.167,41.7%,0.0%,0.00,-0.0,28.6%,19.0%,80.0%,45.3%,15.1%,50.0%,23,4,R,Yakult Swallows,CL
Iwata Yukihiro,3,12,12,2,3,0,0,0,3,1,1,0,0,0,4,0,0,0,0,0.250,0.250,0.250,0.500,43,0.000,0.375,33.3%,0.0%,0.00,0.2,0.0%,40.9%,72.7%,46.5%,16.3%,33.3%,28,8,L,Yakult Swallows,CL
Koga Yudai,2,9,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,89,0.000,0.333,0.0%,0.0%,,-0.0,11.1%,50.0%,100.0%,66.7%,0.0%,0.0%,27,2,R,Yakult Swallows,CL
Maruyama Kazuya,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,42.9%,0.0%,0.0%,26,9,L,Yakult Swallows,CL
Masuda Shu,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.250,0.000,0.250,-19,0.000,0.000,0.0%,25.0%,1.00,-0.0,0.0%,0.0%,100.0%,42.9%,0.0%,25.0%,27,9,R,Yakult Swallows,CL
