#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
,Fujiwara Haruto,2,1,0,0,0,0,44,11.0,8,0,10,2,0,0,2,3,3,2.45,2.35,2.98,0.91,123,61,79,0.10,0.0%,22.7%,4.5%,18.2%,SoftBank Hawks,20,R,W
,Higashihama Nao,2,2,0,0,0,0,51,11.0,16,0,6,3,0,0,0,6,6,4.91,3.35,4.21,1.73,61,86,112,1.56,0.0%,11.8%,5.9%,5.9%,SoftBank Hawks,36,R,W
,Ogata Shuto,2,1,1,0,0,0,50,11.2,10,0,10,5,0,0,0,4,2,1.54,3.19,3.80,1.29,196,82,101,-1.65,0.0%,20.0%,10.0%,10.0%,SoftBank Hawks,27,R,W
,Fujii Masaru,3,2,1,0,0,0,61,16.0,13,0,9,4,0,0,0,2,2,1.13,3.25,3.98,1.06,265,84,106,-2.12,0.0%,14.8%,6.6%,8.2%,Rakuten Eagles,29,L,E
,Hayakawa Takahisa,2,1,1,0,1,0,52,14.1,9,0,15,1,0,0,0,3,1,0.63,1.74,2.11,0.70,476,45,56,-1.11,0.0%,28.8%,1.9%,26.9%,Rakuten Eagles,27,L,E
,Satoh Sou,2,2,0,0,0,0,49,11.0,9,0,6,5,0,0,0,2,2,1.64,3.89,4.60,1.27,195,95,122,-2.25,0.0%,12.2%,10.2%,2.0%,Seibu Lions,23,L,C
,Ueda Taiga,3,2,1,0,0,0,73,18.2,18,2,20,3,0,0,0,5,5,2.41,3.35,2.47,1.13,133,82,66,-0.94,2.7%,27.4%,4.1%,23.3%,Seibu Lions,24,R,C
,Matsumoto Ryodai,2,0,0,0,0,0,46,11.0,9,0,6,3,0,2,0,2,2,1.64,3.89,4.15,1.09,200,92,110,-2.25,0.0%,13.0%,6.5%,6.5%,Nipponham Fighters,24,R,E
,Ajiro Kenta,3,0,0,0,0,0,47,9.0,19,2,6,2,0,1,0,14,12,12.00,6.18,3.95,2.33,23,172,105,5.82,4.3%,12.8%,4.3%,8.5%,Oisix Albirex,,,E
,Kasahara Shotaro,2,1,1,0,0,0,49,12.1,11,1,5,1,0,1,0,3,3,2.19,4.35,3.98,0.97,127,121,106,-2.16,2.0%,10.2%,2.0%,8.2%,Oisix Albirex,,,E
,Miyamori Satoshi,2,0,1,0,0,0,44,10.2,7,0,6,5,0,0,2,3,2,1.69,3.90,4.57,1.13,165,109,121,-2.21,0.0%,13.6%,11.4%,2.3%,Oisix Albirex,,,E
,Takada Takuto,2,1,1,0,0,0,41,10.0,12,1,2,1,0,0,0,7,4,3.60,4.82,4.56,1.30,77,134,121,-1.22,2.4%,4.9%,2.4%,2.4%,Oisix Albirex,,,E
,Takano Yu,2,0,1,0,0,0,49,10.2,11,0,7,10,0,0,1,3,3,2.53,5.12,5.41,1.97,110,143,144,-2.59,0.0%,14.3%,20.4%,-6.1%,Oisix Albirex,,,E
,Kasashima Naoki,2,1,1,0,0,0,46,10.2,12,0,8,0,0,0,2,6,4,3.38,2.12,3.06,1.13,94,52,81,1.26,0.0%,17.4%,0.0%,17.4%,HAYATE Ventures,,,C
,Nozato Keishiro,2,1,1,0,0,0,42,11.0,6,0,6,3,0,0,1,2,2,1.64,3.35,4.09,0.82,194,82,108,-1.71,0.0%,14.3%,7.1%,7.1%,HAYATE Ventures,,,C
,Satoh Hiroki,3,0,2,0,0,0,64,16.0,8,1,7,14,0,0,0,5,5,2.81,6.18,5.89,1.38,113,151,156,-3.37,1.6%,10.9%,21.9%,-10.9%,HAYATE Ventures,,,C
