Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
Hasegawa Shinya,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.250,0.000,0.250,-18,0.000,0.000,25.0%,25.0%,1.00,-0.0,50.0%,24,3,R,Seibu Lions,C
Hirasawa Taiga,9,35,26,4,8,0,0,1,11,6,0,1,0,2,6,7,0,0,0,0.308,0.429,0.423,0.852,158,0.115,0.333,17.1%,20.0%,1.17,-0.4,40.0%,28,UTL,L,Seibu Lions,C
Hiruma Takuya,6,22,20,2,6,2,1,1,13,7,0,0,0,1,1,1,0,0,1,0.300,0.318,0.650,0.968,189,0.350,0.263,4.5%,4.5%,1.00,-0.0,13.6%,25,9,L,Seibu Lions,C
Kaneko Koji,5,14,14,0,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0.143,0.143,0.143,0.286,-10,0.000,0.167,14.3%,0.0%,0.00,-0.3,14.3%,22,5,L,Seibu Lions,C
Kawada Yushin,9,27,21,6,8,0,0,0,8,1,3,1,0,1,4,5,0,0,0,0.381,0.481,0.381,0.862,162,0.000,0.444,14.8%,18.5%,1.25,0.1,33.3%,24,8,L,Seibu Lions,C
Kishi Junichiro,4,17,15,5,6,2,0,1,11,6,1,0,0,0,2,2,0,0,1,0.400,0.471,0.733,1.204,260,0.333,0.417,11.8%,11.8%,1.00,0.2,29.4%,29,5,R,Seibu Lions,C
Kodama Ryosuke,11,27,25,2,6,0,0,0,6,2,0,1,1,0,1,1,0,0,0,0.240,0.269,0.240,0.509,57,0.000,0.250,3.7%,3.7%,1.00,-0.3,7.4%,27,5,R,Seibu Lions,C
Koga Yuto,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.500,0.000,0.500,59,0.000,,50.0%,50.0%,1.00,-0.0,100.0%,26,2,R,Seibu Lions,C
Koresawa Ryosuke,6,17,15,4,5,1,0,0,6,0,0,0,0,0,0,2,0,0,1,0.333,0.412,0.400,0.812,146,0.067,0.333,0.0%,11.8%,1.00,-0.0,11.8%,26,2,R,Seibu Lions,C
Kuriyama Takumi,6,16,11,1,5,1,0,0,6,4,0,0,0,0,0,5,0,0,0,0.455,0.625,0.545,1.170,253,0.090,0.455,0.0%,31.2%,1.00,-0.0,31.2%,42,DH,L,Seibu Lions,C
Lin Kuan-Chen,10,33,31,3,8,0,0,0,8,1,0,0,0,0,10,2,0,0,1,0.258,0.303,0.258,0.561,72,0.000,0.381,30.3%,6.1%,0.20,-0.0,36.4%,23,7,R,Seibu Lions,C
Murata Reon,11,35,27,1,7,3,0,0,10,4,0,0,0,1,9,6,0,1,1,0.259,0.400,0.370,0.770,134,0.111,0.368,25.7%,17.1%,0.67,-0.0,42.9%,24,3,R,Seibu Lions,C
Nakami Yuta,3,8,7,2,3,1,0,2,10,3,0,0,0,0,0,1,0,0,1,0.429,0.500,1.429,1.929,468,1.000,0.200,0.0%,12.5%,1.00,-0.0,37.5%,23,DH,L,Seibu Lions,C
Nakamura Takeya,6,15,13,1,4,0,0,1,7,3,0,0,0,0,1,2,0,0,1,0.308,0.400,0.538,0.938,182,0.230,0.273,6.7%,13.3%,2.00,-0.0,26.7%,42,DH,R,Seibu Lions,C
Nakata Keisuke,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.333,0.000,0.333,8,0.000,0.000,0.0%,33.3%,1.00,-0.0,33.3%,26,4,S,Seibu Lions,C
Noda Kaito,4,14,13,0,4,0,0,0,4,1,0,0,0,0,5,1,0,0,0,0.308,0.357,0.308,0.665,103,0.000,0.500,35.7%,7.1%,0.20,-0.0,42.9%,21,2,R,Seibu Lions,C
Okumura Koichi,3,9,7,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0.143,0.333,0.143,0.476,49,0.000,0.167,11.1%,22.2%,2.00,-0.3,33.3%,26,7,R,Seibu Lions,C
Saito Hiroto,10,39,33,4,5,0,0,0,5,2,1,0,1,0,3,4,0,1,5,0.152,0.263,0.152,0.415,30,0.000,0.167,7.7%,10.3%,1.33,0.1,17.9%,19,6,R,Seibu Lions,C
Sato Taiyo,8,24,22,3,2,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0.091,0.167,0.091,0.258,-17,0.000,0.100,8.3%,8.3%,1.00,0.2,16.7%,24,6,L,Seibu Lions,C
Sumitani Ginjiro,5,13,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.000,0.083,0.000,0.083,-69,0.000,0.000,7.7%,0.0%,0.00,-0.0,7.7%,38,2,R,Seibu Lions,C
Takamatsu Wataru,3,4,4,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,50.0%,0.0%,0.00,0.2,50.0%,26,9,L,Seibu Lions,C
Tsuge Sena,2,7,7,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0.286,0.286,0.286,0.572,75,0.000,0.500,42.9%,0.0%,0.00,-0.0,42.9%,29,2,R,Seibu Lions,C
Yamamura Takayoshi,2,7,6,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.167,0.286,0.167,0.453,41,0.000,0.200,14.3%,14.3%,1.00,-0.0,28.6%,23,5,L,Seibu Lions,C
Yokota Sowa,2,7,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0.143,0.143,0.143,0.286,-10,0.000,0.167,14.3%,0.0%,0.00,-0.0,14.3%,18,5,L,Seibu Lions,C
Arizono Naoki,11,46,36,15,15,6,1,0,23,3,1,0,0,0,6,9,0,1,0,0.417,0.543,0.639,1.182,248,0.222,0.500,13.0%,19.6%,1.50,0.1,32.6%,23,5,R,Nipponham Fighters,E
Asama Daiki,8,32,28,7,13,3,1,1,21,6,1,0,0,1,5,3,0,0,0,0.464,0.500,0.750,1.250,266,0.286,0.522,15.6%,9.4%,0.60,0.1,28.1%,30,8,L,Nipponham Fighters,E
Edokpolo Kane,9,33,28,3,6,3,0,1,12,3,0,0,0,0,10,5,0,0,1,0.214,0.333,0.429,0.762,127,0.215,0.294,30.3%,15.2%,0.50,-0.0,48.5%,22,8,R,Nipponham Fighters,E
Fujimori Kaito,6,11,11,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0.091,0.091,0.091,0.182,-40,0.000,0.143,36.4%,0.0%,0.00,-0.0,36.4%,19,2,L,Nipponham Fighters,E
Fujita Taisei,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-92,0.000,0.000,0.0%,0.0%,,0.0,0.0%,21,7,L,Nipponham Fighters,E
Hamada Taiki,7,20,19,1,4,2,0,0,6,1,0,1,0,0,5,1,0,0,1,0.211,0.250,0.316,0.566,71,0.105,0.286,25.0%,5.0%,0.20,-0.3,30.0%,20,UTL,R,Nipponham Fighters,E
Handa Minato,6,13,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-92,0.000,0.000,38.5%,0.0%,0.00,0.0,38.5%,19,6,L,Nipponham Fighters,E
