                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
10           Itoh Masashi  23  10   7   0    1   1    0  557  140.1  119  15   79  34    3   3   1  42  38   2.44   4.21   3.99  1.09  142  110    109   -1.77   2.7%   14.2%    6.1%     8.1%  54.6%  23.8%  85.8%   6.4%  25.3%     87.1      Hanshin Tigers            CL
11           Iwasada Yuta  46   4   0   0   12   0    0  174   38.2   42   4   33  14    2   3   1  21  20   4.66   4.11   3.71  1.45   75  108    102    0.55   2.3%   19.0%    8.0%    10.9%  44.9%  29.1%  78.0%  10.5%  26.5%     90.5      Hanshin Tigers  29  L     CL
12           Iwata Minoru   3   0   0   0    0   0    0   13    3.0    3   0    3   0    0   1   1   0   0   0.00   2.15   2.49  1.00  999   56     68   -2.15   0.0%   23.1%    0.0%    23.1%  66.7%  26.3%  81.2%   7.5%  32.5%     89.2      Hanshin Tigers  37  L     CL
13         Iwazaki Suguru  62   3   4   1   41   0    0  230   57.2   47   6   51  15    2   0   3  21  17   2.65   3.52   3.23  1.08  131   92     89   -0.87   2.6%   22.2%    6.5%    15.7%  46.2%  26.3%  78.5%  10.5%  28.4%     87.7      Hanshin Tigers  30  L     CL
14             Kajiya Ren   7   1   2   0    1   0    0   29    5.2    7   1    3   1    0   1   0   6   5   7.94   5.45   4.11  1.41   44  143    113    2.49   3.4%   10.3%    3.4%     6.9%  66.7%  38.2%  80.3%  10.4%  23.2%     90.5      Hanshin Tigers            CL
15      Kobayashi Keisuke  22   0   1   0    4   0    0   86   20.0   17   1   16  11    1   0   0   8   5   2.25   3.85   4.22  1.40  154  101    116   -1.60   1.2%   18.6%   12.8%     5.8%  44.8%  26.6%  78.3%  10.8%  22.7%     91.2      Hanshin Tigers            CL
16       Kuwahara Kentaro   7   0   0   0    0   0    0   33    7.0    8   2    7   4    0   1   1   7   7   9.00   7.01   3.89  1.71   39  184    107    1.99   6.1%   21.2%   12.1%     9.1%  47.6%  24.6%  66.1%  16.3%  27.6%     87.6      Hanshin Tigers  35  R     CL
17           Moriya Kouki   2   0   0   0    0   0    0   16    3.0    5   1    3   1    0   1   0   4   4  12.00   7.49   3.55  2.00   29  196     97    4.51   6.2%   18.8%    6.2%    12.5%  45.5%  20.6%  69.6%  11.3%  30.6%     90.6      Hanshin Tigers            CL
18         Murakami Shoki   2   0   1   0    0   0    0   30    5.1    9   3    0   5    0   0   1  10  10  16.88  13.28   6.47  2.63   21  348    177    3.60  10.0%    0.0%   16.7%   -16.7%  40.0%  17.2%  85.4%   5.9%  19.5%     87.4      Hanshin Tigers            CL
19             Niho Akira   4   1   1   0    0   0    0   70   15.1   17   3    9   7    0   1   1  10   9   5.28   6.09   4.51  1.57   66  159    124   -0.81   4.3%   12.9%   10.0%     2.9%  50.9%  27.2%  86.2%   6.2%  21.2%     90.2      Hanshin Tigers            CL
20            Nishi Junya   2   1   1   0    0   0    0   34    8.0    4   0    2   7    0   0   0   3   3   3.38   5.28   6.27  1.38  103  138    172   -1.90   0.0%    5.9%   20.6%   -14.7%  60.0%  12.3%  84.7%   6.0%  22.8%     89.2      Hanshin Tigers            CL
21             Nishi Yuki  24   6   9   0    0   2    0  610  143.2  143  12   95  40    6   4   2  68  60   3.76   3.84   3.90  1.27   92  100    107   -0.08   2.0%   15.6%    6.6%     9.0%  50.6%  27.5%  79.7%   9.4%  27.3%     88.3      Hanshin Tigers  30  R     CL
22            Ogawa Ippei  19   1   0   0    2   0    0   83   21.1   15   2   19   7    0   0   0   7   7   2.95   3.57   3.35  1.03  118   94     92   -0.62   2.4%   22.9%    8.4%    14.5%  42.1%  26.3%  84.9%   7.4%  23.1%     91.7      Hanshin Tigers            CL
23              Ono Taiki  12   0   0   0    0   0    0   71   14.2   17   1   14   8    0   1   0  13  13   7.98   3.97   3.95  1.70   44  104    108    4.01   1.4%   19.7%   11.3%     8.5%  56.2%  26.4%  79.9%  10.1%  20.2%     93.9      Hanshin Tigers  27  R     CL
24         Oyokawa Masaki  39   2   3   0   10   0    0  169   39.0   31   4   38  24    4   2   4  18  16   3.69   4.54   3.97  1.41   94  119    109   -0.85   2.4%   22.5%   14.2%     8.3%  58.2%  24.6%  77.8%   9.2%  28.1%     91.3      Hanshin Tigers            CL
25          Saitoh Yukiya  19   1   1   0    1   0    0  103   23.1   23   1   26  12    0   0   3  14  12   4.63   3.02   3.44  1.50   75   79     94    1.61   1.0%   25.2%   11.7%    13.6%  60.0%  27.3%  75.9%  11.9%  25.2%     94.1      Hanshin Tigers            CL
26          Suarez Robert  62   1   1  42    0   0    0  229   62.1   40   0   58   8    2   0   1   9   8   1.16   1.68   2.62  0.77  300   44     72   -0.52   0.0%   25.3%    3.5%    21.8%  58.6%  32.1%  77.4%  12.8%  25.7%     97.5      Hanshin Tigers            CL
27       Takahashi Haruto   7   4   2   0    0   2    2  181   49.0   30   1   55   5    0   0   0  10   9   1.65   1.48   2.04  0.71  211   39     56    0.17   0.6%   30.4%    2.8%    27.6%  57.0%  34.4%  70.4%  14.6%  33.3%     91.3      Hanshin Tigers  25  L     CL
28           Yuasa Atsuki   3   0   0   0    0   0    0   21    3.0   10   0    2   2    0   0   2   7   6  18.00   3.82   4.80  4.00   19  100    132   14.18   0.0%    9.5%    9.5%     0.0%  35.3%  25.7%  69.2%  12.9%  25.8%     92.2      Hanshin Tigers  21  R     CL
29              Bird Kyle  33   0   0   0   11   0    0   98   21.2   21   0   21  13    0   2   0  11  11   4.57   3.29   3.98  1.57   75   87    109    1.28   0.0%   21.4%   13.3%     8.2%  49.2%  19.8%  74.1%  10.8%  26.3%     92.8      Hiroshima Carp            CL
30         Corniel Robert  50   1   2   0   10   0    0  269   61.1   56   8   79  28    0   3   1  31  26   3.82   3.79   2.90  1.37   90  100     80    0.03   3.0%   29.4%   10.4%    19.0%  56.3%  27.7%  74.0%  12.8%  27.3%     96.5      Hiroshima Carp  26  R     CL
31          Endoh Atsushi   2   0   0   0    0   0    0   36    6.2    9   2   11   6    0   1   0   6   5   6.75   6.90   3.41  2.25   51  183     94   -0.15   5.6%   30.6%   16.7%    13.9%  50.0%  17.3%  77.2%   8.2%  29.6%     86.4      Hiroshima Carp  22  R     CL
32       Franzua Geronimo   8   1   2   0    1   0    0   31    5.2    9   1    5   5    1   0   0   6   6   9.53   6.33   4.80  2.47   36  167    132    3.20   3.2%   16.1%   16.1%     0.0%  29.4%  31.3%  68.8%  16.1%  25.8%     91.7      Hiroshima Carp  27  L     CL
