                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
95            Mercedes CC  17   7   5   0    0   0    0  369   86.0   96   5   74  22    1   5   0  36  36   3.77   3.13   3.39  1.37  100   76     93    0.64   1.4%   20.1%    6.0%    14.1%  50.8%  23.5%  80.4%   8.3%  28.1%     89.1      Yomiuri Giants            CL
96          Nakagawa Kota  58   4   3   1   25   0    0  220   54.2   47   2   49  10    1   5   0  17  15   2.47   2.66   3.03  1.04  152   64     83   -0.19   0.9%   22.3%    4.5%    17.7%  52.9%  17.9%  81.7%   8.4%  27.2%     91.0      Yomiuri Giants  27  L     CL
97           Naoe Daisuke   4   0   1   1    0   0    0   51   11.0   15   1    4   4    0   2   0   6   6   4.91   5.24   4.80  1.73   77  127    132   -0.33   2.0%    7.8%    7.8%     0.0%  48.8%  18.9%  93.3%   3.0%  20.7%     88.3      Yomiuri Giants  21  R     CL
98           Nogami Ryoma   9   0   1   1    4   0    0   63   16.1    8   1   15   6    1   0   0   3   3   1.65   3.21   3.37  0.86  228   78     92   -1.56   1.6%   23.8%    9.5%    14.3%  38.1%  18.9%  73.5%  11.6%  26.4%     87.3      Yomiuri Giants  34  R     CL
99          Numata Shohei   2   0   0   0    0   0    0   11    2.1    3   1    3   1    1   0   0   2   2   7.71   7.44   2.98  1.71   49  180     82    0.27   9.1%   27.3%    9.1%    18.2%   0.0%  18.8%  58.8%  18.9%  35.1%     89.3      Yomiuri Giants  21  R     CL
100            Ohe Ryusei  47   0   0   0   13   0    0  145   33.0   29   2   23  17    1   2   0  16  15   4.09   4.27   4.39  1.39   92  103    120   -0.18   1.4%   15.9%   11.7%     4.1%  49.5%  17.8%  78.0%   8.8%  28.7%     85.6      Yomiuri Giants  22  L     CL
101            Ohtake Kan   4   0   0   0    1   0    0   11    2.1    5   0    0   0    0   0   0   1   1   3.86   3.15   4.80  2.14   97   76    132    0.71   0.0%    0.0%    0.0%     0.0%  45.5%  22.2%  93.3%   2.9%  20.0%     88.7      Yomiuri Giants  38  R     CL
102       Sakurai Toshiki  29   1   0   0    6   0    0  145   33.1   35   7   20  16    1   1   4  20  20   5.40   6.21   4.52  1.53   70  150    124   -0.81   4.8%   13.8%   11.0%     2.8%  49.5%  20.5%  81.7%   7.8%  25.7%     89.7      Yomiuri Giants  27  R     CL
103         Sanchez Angel  14   5   5   0    0   0    0  317   73.0   82  13   54  23    0   3   2  40  38   4.68   5.06   3.82  1.44   80  122    105   -0.38   4.1%   17.0%    7.3%     9.8%  51.3%  24.1%  79.7%   9.5%  25.7%     91.9      Yomiuri Giants  31  R     CL
104       Sugano Tomoyuki  19   6   7   0    0   2    1  465  115.2   90  15  102  25    1   7   1  41  41   3.19   3.91   3.14  0.99  118   95     86   -0.72   3.2%   21.9%    5.4%    16.6%  51.5%  28.6%  77.7%  10.7%  27.3%     91.6      Yomiuri Giants  31  R     CL
105        Takagi Kyosuke  15   1   0   0    1   0    0   81   18.1   22   1   15   7    0   0   0   9   9   4.42   3.37   3.81  1.58   85   82    105    1.05   1.2%   18.5%    8.6%     9.9%  48.3%  29.1%  82.1%   8.2%  27.5%     88.9      Yomiuri Giants  31  L     CL
106        Takahashi Yuki  27  11   9   0    0   0    0  598  140.2  125  18   76  61    2   2   2  57  53   3.39   5.08   4.55  1.32  111  123    125   -1.69   3.0%   12.7%   10.2%     2.5%  47.7%  19.8%  83.7%   6.9%  24.1%     88.0      Yomiuri Giants  24  L     CL
107       Takanashi Yuhei  55   2   2   1   20   0    0  171   39.0   34   2   47  21    4   5   2  17  16   3.69   3.41   3.28  1.41  102   83     90    0.28   1.2%   27.5%   12.3%    15.2%  57.8%  21.1%  72.5%  11.2%  30.2%     89.3      Yomiuri Giants            CL
108         Tanaka Toyoki  39   0   0   0    2   0    0  152   38.0   22   5   37  20    2   1   3  13  12   2.84   4.57   3.68  1.11  132  111    101   -1.73   3.3%   24.3%   13.2%    11.2%  40.4%  25.6%  76.8%  10.2%  25.6%     91.9      Yomiuri Giants  27  R     CL
109          Toda Natsuki   3   0   0   0    0   0    0   12    3.0    3   0    0   1    0   0   0   0   0   0.00   4.15   5.63  1.33  999  101    154   -4.15   0.0%    0.0%    8.3%    -8.3%  36.4%  29.2%  91.7%   4.3%  15.2%     88.8      Yomiuri Giants            CL
110           Togo Shosei  26   9   8   0    0   1    0  639  151.2  130  19  138  58    2   6   3  75  72   4.27   4.23   3.55  1.24   88  102     97    0.04   3.0%   21.6%    9.1%    12.5%  45.5%  26.0%  72.6%  12.8%  29.2%     91.5      Yomiuri Giants  21  R     CL
111           Tone Chiaki  29   2   0   1    0   0    0  161   37.1   25   4   36  24    0   3   3  20  20   4.82   4.79   4.05  1.31   78  116    111    0.03   2.5%   22.4%   14.9%     7.5%  45.9%  20.9%  83.0%   6.4%  27.2%     89.9      Yomiuri Giants  28  L     CL
112         Vieira Thyago  56   0   3  19    1   0    0  228   55.1   38   3   64  26    0   1   0  18  18   2.93   3.01   3.13  1.16  128   73     86   -0.08   1.3%   28.1%   11.4%    16.7%  43.0%  25.2%  68.4%  15.5%  29.5%     97.6      Yomiuri Giants  28  R     CL
113        Yamaguchi Shun  15   2   8   0    0   0    0  337   78.1   66   6   83  37    1   3   0  34  31   3.56   3.56   3.44  1.31  106   86     94   -0.00   1.8%   24.6%   11.0%    13.6%  52.1%  27.1%  72.7%  12.2%  29.6%     90.3      Yomiuri Giants            CL
114          Yokogawa Kai   2   0   1   0    0   0    0   37    8.0    9   2    9   2    0   0   0   4   3   3.38   4.90   2.91  1.38  111  119     80   -1.52   5.4%   24.3%    5.4%    18.9%  53.8%  18.5%  80.6%   8.7%  28.0%     85.8      Yomiuri Giants  20  L     CL
115             Hara Juri   9   3   1   0    0   0    0  198   47.0   45   0   25  12    2   4   1  14  12   2.30   3.11   4.14  1.21  160   77    114   -0.81   0.0%   12.6%    6.1%     6.6%  52.3%  26.8%  84.6%   7.4%  26.7%     90.0     Yakult Swallows  27  R     CL
116       Hasegawa Hiroki   4   1   0   0    0   0    0   18    3.1    4   2    3   3    0   0   0   5   4  10.80  11.85   4.80  2.10   34  292    132   -1.05  11.1%   16.7%   16.7%     0.0%  25.0%  24.3%  71.0%  13.2%  25.0%     91.1     Yakult Swallows  22  L     CL
117          Hoshi Tomoya  25   0   0   1    7   0    0  108   24.1   23   2   28  11    0   0   0  14  13   4.81   3.28   3.23  1.40   77   81     88    1.53   1.9%   25.9%   10.2%    15.7%  37.7%  28.9%  71.4%  13.1%  29.2%     90.5     Yakult Swallows  27  R     CL
118     Ishikawa Masanori  17   4   5   0    0   1    0  335   82.0   81  10   54  16    1   3   1  31  28   3.07   4.12   3.67  1.18  120  102    101   -1.05   3.0%   16.1%    4.8%    11.3%  46.5%  30.0%  83.5%   7.3%  28.1%     82.5     Yakult Swallows  41  L     CL
119       Ishiyama Taichi  58   0   5  10    9   0    0  226   55.0   54   6   64  10    0   0   1  23  22   3.60   2.79   2.41  1.16  102   69     66    0.81   2.7%   28.3%    4.4%    23.9%  42.1%  30.6%  76.8%  12.0%  28.9%     91.5     Yakult Swallows  32  R     CL
120         Kanakubo Yuto  10   4   1   0    0   0    0  180   42.2   39   3   34  16    0   2   0  14  13   2.74   3.74   3.80  1.29  135   92    104   -1.00   1.7%   18.9%    8.9%    10.0%  45.3%  19.6%  83.1%   7.4%  26.4%     90.4     Yakult Swallows  21  R     CL
121         Kondoh Hiroki  22   0   1   0   11   0    0   67   18.2   15   1   17   2    0   0   0   2   2   0.96   2.35   2.56  0.91  384   58     70   -1.39   1.5%   25.4%    3.0%    22.4%  66.0%  30.6%  79.2%  11.3%  25.2%     93.8     Yakult Swallows            CL
122           Konno Ryuta  64   7   1   0   28   0    0  268   62.0   55   1   63  25    0   3   2  19  19   2.76   2.69   3.38  1.29  134   66     93    0.07   0.4%   23.5%    9.3%    14.2%  37.9%  24.3%  78.4%  10.3%  27.3%     89.9     Yakult Swallows  26  R     CL
123         McGough Scott  66   3   2  31   14   0    0  259   64.1   43   7   76  23    2   3   3  19  18   2.52   3.42   2.75  1.03  146   84     76   -0.90   2.7%   29.3%    8.9%    20.5%  42.5%  32.6%  70.3%  15.4%  30.7%     93.8     Yakult Swallows  31  R     CL
124        Ogawa Yasuhiro  23   9   6   0    0   2    1  529  128.1  132  15   97  30    3   1   2  64  59   4.14   3.89   3.53  1.26   89   96     97    0.25   2.8%   18.3%    5.7%    12.7%  48.1%  27.2%  80.5%   9.3%  27.7%     89.2     Yakult Swallows  31  R     CL
125        Ohnishi Hiroki  33   3   0   0    7   0    0  159   38.1   36   4   24  12    1   2   3  12  12   2.82   4.35   4.05  1.25  131  107    111   -1.53   2.5%   15.1%    7.5%     7.5%  63.2%  23.9%  81.0%   8.9%  25.3%     91.5     Yakult Swallows  23  R     CL
126          Ohshita Yuma  30   1   0   0    1   0    0  159   38.2   34   5   32   8    2   2   1  16  16   3.72   3.95   3.29  1.09   99   98     90   -0.23   3.1%   20.1%    5.0%    15.1%  47.0%  23.8%  75.5%  11.4%  27.8%     88.6     Yakult Swallows  28  R     CL
127      Okugawa Yasunobu  18   9   4   0    0   0    0  413  105.0   99  11   91  10    0   2   3  38  38   3.26   3.12   2.84  1.04  113   77     78    0.14   2.7%   22.0%    2.4%    19.6%  50.3%  32.5%  78.2%  10.9%  30.4%     91.4     Yakult Swallows  20  R     CL
128      Sakamoto Koshiro  36   1   2   0    7   0    0  148   33.1   29   4   25  17    1   3   2  17  15   4.05   5.01   4.26  1.38   91  124    117   -0.96   2.7%   16.9%   11.5%     5.4%  33.7%  23.5%  81.2%   9.2%  22.7%     90.6     Yakult Swallows  26  L     CL
129        Shimizu Noboru  72   3   6   1   50   0    0  272   67.2   55  12   74  18    5   2   2  23  18   2.39   4.16   2.74  1.08  154  103     75   -1.77   4.4%   27.2%    6.6%    20.6%  45.8%  31.1%  68.7%  15.4%  31.5%     90.3     Yakult Swallows  24  R     CL
130              Sneed Cy  13   6   2   0    0   0    0  279   68.2   60   9   69  23    0   2   0  29  26   3.41   3.94   3.15  1.21  108   97     86   -0.53   3.2%   24.7%    8.2%    16.5%  35.7%  28.5%  78.0%  10.3%  28.2%     91.6     Yakult Swallows            CL
131         Suarez Albert  24   5   3   1    3   0    0  339   77.0   82   9   70  32    0   5   1  32  31   3.62   4.30   3.68  1.48  102  106    101   -0.68   2.7%   20.6%    9.4%    11.2%  50.2%  26.1%  74.8%  11.7%  28.7%     94.1     Yakult Swallows  31  R     CL
132         Sugiyama Koki   4   0   0   0    0   0    0   30    6.1    9   2    4   2    0   1   0   7   7   9.95   7.42   4.13  1.74   37  183    113    2.53   6.7%   13.3%    6.7%     6.7%  47.8%   6.7%  85.7%   5.8%  24.0%     89.5     Yakult Swallows  24  R     CL
133        Taguchi Kazuto  33   5   9   0    4   0    0  449  100.2  126  10   81  28    3   2   1  59  45   4.02   3.73   3.62  1.53   92   92     99    0.29   2.2%   18.0%    6.2%    11.8%  51.9%  26.6%  80.0%   8.6%  29.1%     87.1     Yakult Swallows            CL
134       Takahashi Keiji  14   4   1   0    0   0    0  320   78.1   59   9   80  25    3   6   4  25  25   2.87   3.79   3.08  1.07  128   94     85   -0.92   2.8%   25.0%    7.8%    17.2%  46.4%  26.9%  75.1%  12.1%  29.3%     91.5     Yakult Swallows  24  L     CL
135   Takanashi Hirotoshi  12   4   1   0    0   0    0  264   62.0   62  11   56  15    1   3   1  28  25   3.63   4.52   3.25  1.24  102  112     89   -0.89   4.2%   21.2%    5.7%    15.5%  41.6%  27.1%  80.2%   9.2%  26.6%     88.6     Yakult Swallows  30  R     CL
136      Terashima Naruki   1   0   0   0    0   0    0   10    2.0    5   0    0   0    0   0   0   1   1   4.50   3.15   4.80  2.50   82   78    132    1.35   0.0%    0.0%    0.0%     0.0%  40.0%  30.0%  80.0%  10.3%  23.1%     86.4     Yakult Swallows  22  L     CL
137            Umeno Yugo  29   0   0   0    8   0    0  106   25.1   22   4   29   9    0   2   1   7   7   2.49   4.22   2.91  1.22  148  104     80   -1.73   3.8%   27.4%    8.5%    18.9%  25.8%  29.4%  70.5%  14.6%  28.7%     90.4     Yakult Swallows  22  R     CL
138       Vandenhurk Rick   2   0   1   0    0   0    0   28    4.2   11   2    4   2    0   1   0   8   8  15.43   8.94   4.09  2.79   24  221    112    6.49   7.1%   14.3%    7.1%     7.1%  38.1%  27.7%  83.3%   8.1%  25.3%     92.5     Yakult Swallows            CL
139         Yamano Taichi   1   0   0   0    0   0    0   12    1.1    5   0    3   2    0   1   0   7   7  47.25   5.40   3.97  5.25    8  133    109   41.85   0.0%   25.0%   16.7%     8.3%   0.0%  10.0%  78.3%  10.2%  26.5%     89.8     Yakult Swallows            CL
140         Yoshida Daiki  16   1   1   0    0   0    0  111   23.1   31   5   26  12    1   0   3  17  16   6.17   5.25   3.54  1.84   60  130     97    0.92   4.5%   23.4%   10.8%    12.6%  47.0%  22.2%  73.2%  12.1%  28.7%     89.7     Yakult Swallows  23  R     CL
141       Fujishima Kento  48   1   0   0    5   0    0  200   51.0   35   3   38  13    0   0   1   9   9   1.59   3.19   3.55  0.94  210   87     97   -1.60   1.5%   19.0%    6.5%    12.5%  36.2%  26.8%  78.1%   9.9%  26.5%     88.3    Chunichi Dragons  23  R     CL
142           Fuku Hiroto  57   2   2   0   20   0    0  185   45.1   37   4   38  15    2   3   1  16  16   3.18   3.81   3.56  1.15  105  104     98   -0.63   2.2%   20.5%    8.1%    12.4%  41.5%  21.3%  81.8%   9.1%  24.7%     87.8    Chunichi Dragons  29  L     CL
143         Fukutani Koji  18   5  10   0    0   1    0  432  103.1  112  10   73  17    1   1   3  55  52   4.53   3.52   3.50  1.25   74   96     96    1.01   2.3%   16.9%    3.9%    13.0%  51.0%  22.6%  83.4%   7.5%  26.6%     90.5    Chunichi Dragons  30  R     CL
144        Hashimoto Yuki  28   0   0   0    1   0    0  112   26.2   26   0   28   8    1   1   0  11  11   3.71   2.07   3.01  1.28   90   56     83    1.64   0.0%   25.0%    7.1%    17.9%  56.0%  26.5%  75.6%  10.9%  30.4%     90.8    Chunichi Dragons  23  L     CL
145      Kasahara Shotaro   4   0   2   0    0   0    0   94   20.0   20   4   13  17    1   0   1  14  14   6.30   7.00   5.23  1.85   53  191    143   -0.70   4.3%   13.8%   18.1%    -4.3%  34.4%  21.3%  79.2%   8.4%  23.4%     85.8    Chunichi Dragons  26  L     CL
146      Katsuno Akiyoshi  17   3   6   0    0   0    0  391   91.1   92   9   67  31    3   2   1  38  38   3.74   4.05   3.88  1.35   89  111    106   -0.31   2.3%   17.1%    7.9%     9.2%  50.2%  25.4%  79.6%   9.0%  26.2%     89.3    Chunichi Dragons  24  R     CL
147             Kondo Ren   2   0   0   0    0   0    0   10    2.0    1   0    2   3    0   0   1   1   1   4.50   5.65   5.80  2.00   74  154    159   -1.15   0.0%   20.0%   30.0%   -10.0%  40.0%  13.0%  75.0%   9.3%  25.6%     88.7    Chunichi Dragons            CL
148       Martinez Raidel  49   1   4  23    0   0    0  178   48.0   26   1   59  10    1   1   1  11  11   2.06   1.65   2.05  0.75  162   45     56    0.41   0.6%   33.1%    5.6%    27.5%  62.9%  33.6%  66.4%  17.4%  34.2%     95.6    Chunichi Dragons  24  R     CL
149     Matayoshi Katsuki  66   3   2   8   33   0    0  245   63.1   47   2   41  22    2   1   0  11   9   1.28   3.36   4.02  1.09  260   92    110   -2.08   0.8%   16.7%    9.0%     7.8%  53.9%  21.8%  80.0%   9.3%  24.5%     90.4    Chunichi Dragons  30  R     CL
150      Matsuba Takahiro  14   6   5   0    0   0    0  309   76.0   74   7   41  15    0   2   3  30  27   3.20   3.94   3.96  1.17  104  108    109   -0.74   2.3%   13.3%    4.9%     8.4%  52.0%  24.7%  82.9%   7.7%  28.0%     87.3    Chunichi Dragons  30  L     CL
151        Mitsuma Takuya   5   0   0   0    0   0    0   28    5.1   10   1    6   1    0   0   1   5   4   6.75   3.90   3.01  2.06   49  107     83    2.85   3.6%   21.4%    3.6%    17.9%  57.1%  18.9%  80.8%   8.3%  29.2%     89.4    Chunichi Dragons  28  R     CL
152           Mori Hiroto  10   0   0   0    0   0    0   58   12.0   11   0   15   9    0   3   2   4   4   3.00   3.65   3.77  1.67  111  100    103   -0.65   0.0%   25.9%   15.5%    10.3%  48.4%  19.0%  83.9%   7.0%  23.3%     89.8    Chunichi Dragons            CL
153  Ogasawara Shinnosuke  25   8  10   0    0   0    0  615  143.1  141  16  115  51    1   4   4  60  58   3.64   4.15   3.76  1.34   92  113    103   -0.51   2.6%   18.7%    8.3%    10.4%  44.4%  22.4%  77.3%  10.2%  27.6%     89.4    Chunichi Dragons  23  L     CL
154            Ohno Yudai  22   7  11   0    0   1    0  566  143.1  121  12  118  26    1   2   1  48  47   2.95   3.18   3.17  1.03  113   87     87   -0.23   2.1%   20.8%    4.6%    16.3%  46.4%  26.3%  75.9%  12.0%  28.4%     90.1    Chunichi Dragons  32  L     CL
155         Okada Toshiya  19   0   1   0    0   0    0   74   16.2   23   1   10   6    0   0   0   9   9   4.86   3.81   4.26  1.74   69  104    117    1.05   1.4%   13.5%    8.1%     5.4%  52.6%  17.9%  78.0%  10.0%  25.3%     88.2    Chunichi Dragons  29  L     CL
156        Okano Yuichiro   2   0   2   0    0   0    0   40    8.0   13   0    3   2    1   1   0  10   8   9.00   3.53   4.55  1.88   37   96    125    5.47   0.0%    7.5%    5.0%     2.5%  41.4%  16.7%  90.9%   3.9%  22.9%     87.8    Chunichi Dragons  27  R     CL
157      Rodriguez Yariel  12   1   4   0    0   0    0  275   61.2   56   8   61  38    2   5   6  29  25   3.65   4.95   3.96  1.52   91  135    109   -1.30   2.9%   22.2%   13.8%     8.4%  59.1%  22.6%  77.8%   8.9%  27.4%     93.4    Chunichi Dragons  24  R     CL
158         Rosario Randy   9   0   0   0    0   0    0   40    9.0    8   1    3   6    0   2   1   4   3   3.00   6.60   5.55  1.56  111  180    152   -3.60   2.5%    7.5%   15.0%    -7.5%  69.0%  18.5%  80.9%   8.0%  25.2%     92.0    Chunichi Dragons            CL
159              Satoh Yu   4   0   0   0    0   0    0   32    5.1   13   1    4   2    0   0   1  11   8  13.50   5.22   4.17  2.81   25  142    115    8.28   3.1%   12.5%    6.2%     6.2%  50.0%  16.9%  83.0%   7.6%  21.8%     91.3    Chunichi Dragons  28  R     CL
160       Shimizu Tatsuya   1   0   1   0    0   0    0   19    4.0    5   0    1   4    0   0   0   1   1   2.25   5.65   6.38  2.25  148  154    175   -3.40   0.0%    5.3%   21.1%   -15.8%  57.1%  21.7%  95.6%   2.1%  14.9%     89.7    Chunichi Dragons  21  R     CL
161         Sobue Daisuke  55   1   2   5   19   0    0  208   48.2   59   1   30   9    0   1   0  18  14   2.59   2.80   3.79  1.40  129   77    104   -0.21   0.5%   14.4%    4.3%    10.1%  51.8%  26.0%  81.0%   9.2%  27.3%     90.7    Chunichi Dragons  33  R     CL
162        Suzuki Hiroshi  18   2   0   0    0   0    0   91   20.1   22   2   11   5    0   2   0  12  12   5.31   4.38   4.14  1.33   63  120    114    0.93   2.2%   12.1%    5.5%     6.6%  54.2%  23.1%  76.8%  11.6%  24.1%     91.5    Chunichi Dragons  24  R     CL
163         Tajima Shinji  22   2   1   0    8   0    0   74   18.1   15   0   22   6    0   0   1   5   5   2.45   1.73   2.64  1.15  136   47     72    0.72   0.0%   29.7%    8.1%    21.6%  45.7%  23.4%  72.5%  12.1%  29.8%     89.5    Chunichi Dragons  31  R     CL
164      Tanimoto Keisuke  32   1   1   0   14   0    0   92   22.1   23   3   18   1    0   1   0   6   5   2.01   3.56   2.95  1.07  166   97     81   -1.55   3.3%   19.6%    1.1%    18.5%  44.4%  26.2%  79.2%  10.1%  26.6%     89.6    Chunichi Dragons  36  R     CL
165          Umetsu Kodai   3   0   1   0    0   0    0   51   11.1    6   0    7  10    0   2   1   3   2   1.59   5.09   5.39  1.41  210  139    148   -3.50   0.0%   13.7%   19.6%    -5.9%  71.9%   6.7%  85.7%   4.0%  25.8%     91.3    Chunichi Dragons  24  R     CL
166         Yamai Daisuke   1   0   0   0    0   0    0    1    0.1    0   0    1   0    0   0   0   0   0   0.00  -2.85  -5.20  0.00  999  -78   -143    2.85   0.0%  100.0%    0.0%   100.0%   0.0%  33.3%  50.0%  20.0%  40.0%     88.3    Chunichi Dragons  43  R     CL
167       Yamamoto Takumi   9   1   0   0    0   0    0   67   14.0   16   1   12   8    0   1   0  10  10   6.43   4.30   4.20  1.71   52  117    115    2.13   1.5%   17.9%   11.9%     6.0%  39.1%  22.5%  79.6%   8.4%  26.0%     90.5    Chunichi Dragons  21  R     CL
168           Yanagi Yuya  26  11   6   0    0   2    2  676  172.0  133  11  168  41    1   3   3  47  42   2.20   2.80   2.92  1.01  151   76     80   -0.60   1.6%   24.9%    6.1%    18.8%  50.0%  27.8%  73.3%  11.7%  30.6%     88.9    Chunichi Dragons  27  R     CL
169             Abe Shota   4   0   0   0    0   0    0   16    3.2    4   1    3   1    0   0   0   3   3   7.36   5.88   3.55  1.36   47  156     97    1.48   6.2%   18.8%    6.2%    12.5%  41.7%  33.3%  65.7%  17.6%  27.9%     89.8      ORIX Buffaloes            PL
170              Cho Yaku   8   0   1   0    3   0    0   54   10.1   21   4   15   2    0   0   0  15  15  13.06   5.86   2.39  2.23   26  155     66    7.20   7.4%   27.8%    3.7%    24.1%  27.0%  19.3%  68.6%  15.6%  30.7%     93.4      ORIX Buffaloes  27  R     PL
171           Higa Motoki  32   1   0   0   11   0    0   75   20.1   14   2   15   4    4   0   0   4   4   1.77   3.55   3.33  0.89  194   94     91   -1.78   2.7%   20.0%    5.3%    14.7%  49.0%  37.3%  76.1%  12.5%  30.1%     89.1      ORIX Buffaloes  38  R     PL
172         Higgins Tyler  49   1   2   2   28   0    0  195   46.1   37   3   36  19    0   1   1  14  13   2.53   3.74   3.93  1.21  136   99    108   -1.21   1.5%   18.5%    9.7%     8.7%  37.4%  20.9%  75.0%  11.8%  28.0%     93.6      ORIX Buffaloes  30  R     PL
173      Hirano Yoshihisa  46   1   3  29    3   0    0  163   43.0   30   4   37   9    0   0   1  11  11   2.30   3.27   3.08  0.91  150   86     85   -0.97   2.5%   22.7%    5.5%    17.2%  41.4%  31.9%  72.8%  13.5%  28.2%     90.8      ORIX Buffaloes            PL
174          Honda Hitomi   2   0   1   0    0   0    0   45    9.2   13   2    4   5    0   0   0   8   8   7.45   6.57   5.02  1.86   46  174    138    0.88   4.4%    8.9%   11.1%    -2.2%  27.8%  23.3%  85.9%   6.3%  25.9%     93.3      ORIX Buffaloes  21  R     PL
175        Kaida Tomoyuki  16   0   1   0    5   0    0   43   10.1    8   0    5   4    1   0   0   3   3   2.61   3.35   4.57  1.16  132   89    125   -0.74   0.0%   11.6%    9.3%     2.3%  40.0%  16.9%  82.6%   8.7%  23.8%     87.8      ORIX Buffaloes  33  L     PL
176       Kaneda Kazuyuki   9   0   0   0    0   0    0   45   10.1    8   3    6   5    0   2   0   5   5   4.35   7.80   4.58  1.26   79  206    126   -3.45   6.7%   13.3%   11.1%     2.2%  50.0%  28.8%  74.4%  12.0%  24.5%     92.9      ORIX Buffaloes  30  R     PL
177       Masui Hirotoshi  15   3   6   0    1   0    0  309   71.0   77   8   45  29    0   2   2  47  39   4.94   4.66   4.28  1.49   70  123    117    0.28   2.6%   14.6%    9.4%     5.2%  46.1%  21.5%  78.3%   9.5%  26.1%     90.5      ORIX Buffaloes  37  R     PL
178         Miyagi Hiroya  23  13   4   0    0   0    0  594  147.0  118   9  131  39    1   9   0  44  41   2.51   3.15   3.25  1.07  137   83     89   -0.64   1.5%   22.1%    6.6%    15.5%  50.1%  23.8%  77.6%   9.9%  30.8%     89.8      ORIX Buffaloes  19  L     PL
179       Muranishi Ryota  18   1   0   1    5   0    0   62   12.0   15   1    7   9    0   2   0   7   5   3.75   5.82   5.12  2.00   92  154    140   -2.07   1.6%   11.3%   14.5%    -3.2%  59.1%  23.1%  78.5%   8.9%  24.5%     91.1      ORIX Buffaloes  24  R     PL
180       Nakagawa Hayate   1   0   0   0    0   0    0    5    1.0    2   0    0   0    0   0   0   0   0   0.00   3.15   4.80  2.00  999   83    132   -3.15   0.0%    0.0%    0.0%     0.0%  20.0%  30.8%  83.3%   8.3%  20.8%     82.9      ORIX Buffaloes            PL
181         Nohmi Atsushi  26   0   0   2    5   0    0  103   22.1   26   2   19  11    2   3   0  11  10   4.03   4.50   4.02  1.66   85  119    110   -0.47   1.9%   18.4%   10.7%     7.8%  55.9%  26.5%  78.2%   9.5%  24.1%     88.4      ORIX Buffaloes            PL
182           Saitoh Koki   4   0   0   0    0   0    0   12    2.2    2   1    3   2    0   0   0   3   3  10.13   8.03   3.97  1.50   34  212    109    2.10   8.3%   25.0%   16.7%     8.3%  57.1%  28.6%  70.6%  10.4%  31.2%     85.8      ORIX Buffaloes  24  L     PL
183    Sakakibara Tsubasa   1   0   0   0    0   0    0   16    2.1    4   0    2   5    0   0   0   4   4  15.43   7.87   6.67  3.86   22  208    183    7.56   0.0%   12.5%   31.2%   -18.8%  22.2%  16.7%  81.0%   5.2%  26.0%     90.6      ORIX Buffaloes  22  R     PL
184        Sawada Keisuke  14   0   0   0    6   0    0   59   14.0   15   0   14   3    0   1   0   6   6   3.86   2.01   2.94  1.29   89   53     81    1.85   0.0%   23.7%    5.1%    18.6%  56.1%  24.6%  82.6%   9.3%  22.0%     92.1      ORIX Buffaloes  27  R     PL
185        Sparkman Glenn   6   0   1   0    0   0    0   73   17.0   15   4   14   8    0   1   0  13  13   6.88   6.15   3.98  1.35   50  163    109    0.73   5.5%   19.2%   11.0%     8.2%  68.0%  28.5%  74.0%  12.8%  28.8%     92.3      ORIX Buffaloes            PL
186          Suzuki Kohei  34   1   0   2    2   0    0  164   38.2   34   2   28  14    2   1   3  15  13   3.03   3.54   3.95  1.24  114   94    108   -0.51   1.2%   17.1%    8.5%     8.5%  37.4%  24.3%  76.3%  11.9%  24.6%     93.9      ORIX Buffaloes  27  R     PL
187             Suzuki Yu  11   0   0   0    0   0    0   45   10.0    9   4   10   5    0   2   1  10  10   9.00   8.45   3.69  1.40   38  224    101    0.55   8.9%   22.2%   11.1%    11.1%  46.4%  10.7%  74.6%  10.4%  26.0%     90.2      ORIX Buffaloes  24  R     PL
188          Tajima Daiki  24   8   8   0    0   0    0  608  143.1  137  10  135  48    1   5   4  62  57   3.58   3.29   3.37  1.29   96   87     92    0.29   1.6%   22.2%    7.9%    14.3%  48.6%  25.1%  77.2%  10.3%  28.3%     88.8      ORIX Buffaloes  24  L     PL
189       Takeyasu Daichi  17   3   2   0    0   0    0  207   48.2   48   4   26  19    0   1   0  26  24   4.44   4.39   4.46  1.38   77  116    122    0.05   1.9%   12.6%    9.2%     3.4%  45.6%  23.5%  79.6%   9.2%  24.7%     89.8      ORIX Buffaloes  26  R     PL
190        Tomiyama Ryoga  51   2   1   0   20   0    0  189   46.1   37   2   34  17    0   0   0  16  14   2.72   3.35   3.90  1.17  126   89    107   -0.63   1.1%   18.0%    9.0%     9.0%  51.5%  21.9%  80.6%   8.7%  24.8%     87.7      ORIX Buffaloes  24  L     PL
191     Urushihara Taisei  34   2   2   2    4   0    0  148   35.2   30   4   23  14    1   1   1  13  12   3.03   4.58   4.19  1.23  114  121    115   -1.55   2.7%   15.5%    9.5%     6.1%  45.3%  23.5%  82.5%   8.5%  21.4%     92.0      ORIX Buffaloes  24  R     PL
