PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
36,塹江　敦哉,https://npb.jp/bis/players/21625130.html,1997.02.21,178,90,左,左,,Hiroshima Carp
39,長谷部　銀次,https://npb.jp/bis/players/51655157.html,1998.07.29,184,84,左,左,,Hiroshima Carp
41,矢崎　拓也,https://npb.jp/bis/players/71575134.html,1994.12.31,176,99,右,右,,Hiroshima Carp
42,ハッチ,https://npb.jp/bis/players/93995159.html,1994.09.29,185,88,右,右,,Hiroshima Carp
43,島内　颯太郎,https://npb.jp/bis/players/31935138.html,1996.10.14,180,84,右,右,,Hiroshima Carp
45,松本　竜也,https://npb.jp/bis/players/73175155.html,1999.09.18,178,103,右,右,,Hiroshima Carp
46,河野　佳,https://npb.jp/bis/players/71575157.html,2001.08.23,175,86,右,右,,Hiroshima Carp
47,斉藤　優汰,https://npb.jp/bis/players/61765157.html,2004.05.27,189,94,右,左,,Hiroshima Carp
48,アドゥワ　誠,https://npb.jp/bis/players/31135134.html,1998.10.02,196,84,右,右,,Hiroshima Carp
49,戸根　千明,https://npb.jp/bis/players/21225130.html,1992.10.17,174,102,左,左,,Hiroshima Carp
53,小林　樹斗,https://npb.jp/bis/players/61965153.html,2003.01.16,182,88,右,右,,Hiroshima Carp
65,玉村　昇悟,https://npb.jp/bis/players/41245151.html,2001.04.16,179,85,左,左,,Hiroshima Carp
66,遠藤　淳志,https://npb.jp/bis/players/71375136.html,1999.04.08,186,89,右,右,,Hiroshima Carp
67,内間　拓馬,https://npb.jp/bis/players/71575153.html,1998.11.21,179,86,右,右,,Hiroshima Carp
68,ハーン,https://npb.jp/bis/players/73975159.html,1994.08.30,198,104,左,左,,Hiroshima Carp
70,日髙　暖己,https://npb.jp/bis/players/41645157.html,2004.09.16,183,74,右,左,,Hiroshima Carp
93,岡田　明丈,https://npb.jp/bis/players/91595132.html,1993.10.18,184,96,右,左,7/30 育成選手から支配下選手へ移行,Hiroshima Carp
98,コルニエル,https://npb.jp/bis/players/53955151.html,1995.06.23,194,103,右,右,,Hiroshima Carp
27,會澤　翼,https://npb.jp/bis/players/31135114.html,1988.04.13,175,95,右,右,,Hiroshima Carp
31,坂倉　将吾,https://npb.jp/bis/players/11915134.html,1998.05.29,177,89,右,左,,Hiroshima Carp
32,石原　貴規,https://npb.jp/bis/players/21125151.html,1998.02.03,173,85,右,右,,Hiroshima Carp
40,磯村　嘉孝,https://npb.jp/bis/players/81185133.html,1992.11.01,178,91,右,右,,Hiroshima Carp
57,持丸　泰輝,https://npb.jp/bis/players/81885151.html,2001.10.26,177,90,右,左,,Hiroshima Carp
62,清水　叶人,https://npb.jp/bis/players/91995157.html,2004.07.06,176,91,右,左,,Hiroshima Carp
64,髙木　翔斗,https://npb.jp/bis/players/11215155.html,2003.08.12,188,93,右,右,,Hiroshima Carp
00,曽根　海成,https://npb.jp/bis/players/51955139.html,1995.04.24,175,73,右,左,,Hiroshima Carp
0,上本　崇司,https://npb.jp/bis/players/31335137.html,1990.08.22,170,76,右,右,,Hiroshima Carp
2,田中　広輔,https://npb.jp/bis/players/61965139.html,1989.07.03,171,85,右,左,,Hiroshima Carp
7,堂林　翔太,https://npb.jp/bis/players/61965131.html,1991.08.17,184,96,右,右,,Hiroshima Carp
10,レイノルズ,https://npb.jp/bis/players/93095159.html,1990.12.03,185,95,右,右,7/5 自由契約,Hiroshima Carp
33,菊池　涼介,https://npb.jp/bis/players/61565135.html,1990.03.11,171,71,右,右,,Hiroshima Carp
44,林　晃汰,https://npb.jp/bis/players/01405138.html,2000.11.16,181,100,右,左,,Hiroshima Carp
51,小園　海斗,https://npb.jp/bis/players/01705138.html,2000.06.07,178,91,右,左,,Hiroshima Carp
54,韮澤　雄也,https://npb.jp/bis/players/01405151.html,2001.05.20,175,85,右,左,,Hiroshima Carp
58,仲田　侑仁,https://npb.jp/bis/players/41445159.html,2005.07.31,187,105,右,右,,Hiroshima Carp
61,矢野　雅哉,https://npb.jp/bis/players/93395153.html,1998.12.16,171,71,右,左,,Hiroshima Carp
63,内田　湘大,https://npb.jp/bis/players/51355157.html,2004.09.22,183,97,右,右,,Hiroshima Carp
69,羽月　隆太郎,https://npb.jp/bis/players/71475138.html,2000.04.19,168,73,右,左,,Hiroshima Carp
94,佐藤　啓介,https://npb.jp/bis/players/71975159.html,2001.05.24,182,95,右,左,6/7 育成選手から支配下選手へ移行,Hiroshima Carp
95,シャイナー,https://npb.jp/bis/players/23725159.html,1995.08.13,185,90,右,右,,Hiroshima Carp
