Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/41845136.html>Murakami Munetaka</a>,24,1,L,143,610,500,82,122,13,1,33,236,86,10,5,0,1,180,105,9,4,6,0.244,0.379,0.472,0.851,149,0.228,0.309,52.1%,29.5%,17.2%,0.58,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455151.html>Nagaoka Hideki</a>,22,1,L,143,611,566,63,163,25,1,6,208,58,4,1,10,3,70,29,2,3,6,0.288,0.324,0.367,0.691,104,0.079,0.318,17.2%,11.5%,4.7%,0.41,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/23525153.html>Osuna Jose</a>,31,1,R,141,585,539,54,144,28,0,17,223,72,0,3,0,3,91,40,3,3,24,0.267,0.320,0.414,0.734,116,0.147,0.293,25.3%,15.6%,6.8%,0.44,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/53755153.html>Santana Domingo</a>,31,1,R,122,484,419,57,132,29,0,17,212,70,2,1,0,4,101,57,1,4,8,0.315,0.399,0.506,0.905,165,0.191,0.377,36.2%,20.9%,11.8%,0.56,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/31835134.html>Hosokawa Seiya</a>,25,1,R,143,600,534,59,156,30,0,23,255,67,0,1,0,1,159,60,3,5,13,0.292,0.368,0.478,0.846,172,0.186,0.377,40.3%,26.5%,10.0%,0.38,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585151.html>Okabayashi Yuki</a>,22,1,L,123,460,425,34,109,10,3,0,125,12,10,7,6,0,62,29,2,0,2,0.256,0.304,0.294,0.598,92,0.038,0.300,19.8%,13.5%,6.3%,0.47,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995151.html>Kurebayashi Kotaro</a>,22,1,R,136,523,465,32,115,25,0,2,146,38,0,4,8,8,74,37,0,5,12,0.247,0.305,0.314,0.619,94,0.067,0.285,21.6%,14.1%,7.1%,0.50,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91495139.html>Mori Tomoya</a>,28,1,L,117,457,395,46,111,24,1,9,164,46,6,1,0,5,61,50,2,7,4,0.281,0.368,0.415,0.783,145,0.134,0.309,26.3%,13.3%,10.9%,0.82,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/71475132.html>Nishikawa Ryoma</a>,29,1,L,138,553,519,42,134,25,0,7,180,46,11,1,2,4,97,27,1,1,11,0.258,0.294,0.347,0.641,100,0.089,0.303,23.7%,17.5%,4.9%,0.28,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/63065155.html>Polanco Gregory</a>,32,1,L,118,468,416,47,101,21,0,23,191,60,0,0,0,4,86,46,2,2,5,0.243,0.318,0.459,0.777,135,0.216,0.251,33.1%,18.4%,9.8%,0.53,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075151.html>Satoh Toshiya</a>,26,1,L,116,452,410,41,114,20,0,5,149,45,4,1,4,6,51,29,2,3,10,0.278,0.326,0.363,0.689,110,0.085,0.303,18.8%,11.3%,6.4%,0.57,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
