Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/71675138.html>Makino Shoya</a>,23,2,L,10,20,20,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0.050,0.050,0.050,0.100,-70,0.000,0.100,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21825134.html>Matsubara Seiya</a>,29,9,L,24,72,65,5,8,2,1,0,12,5,1,0,2,0,23,5,0,0,0,0.123,0.186,0.185,0.371,15,0.062,0.190,38.9%,31.9%,6.9%,0.22,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/33335153.html>Motoyama Hiyu</a>,25,3,L,33,81,77,2,11,2,0,1,16,7,0,0,1,0,21,2,0,1,2,0.143,0.175,0.208,0.383,18,0.065,0.182,29.6%,25.9%,2.5%,0.10,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/93395159.html>Murata Reon</a>,22,DH,R,4,13,13,0,3,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0.231,0.231,0.231,0.462,43,0.000,0.333,30.8%,30.8%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81085115.html>Nakamura Takeya</a>,40,DH,R,58,205,188,13,36,13,0,7,70,14,1,0,0,1,55,14,3,2,3,0.191,0.254,0.372,0.626,93,0.181,0.228,37.1%,26.8%,6.8%,0.25,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455136.html>Nishikawa Manaya</a>,25,8,L,104,335,313,30,71,11,2,6,104,31,8,2,4,2,57,15,1,1,6,0.227,0.263,0.332,0.595,84,0.105,0.258,23.3%,17.0%,4.5%,0.26,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/11415138.html>Nomura Daiju</a>,23,3,R,57,204,178,15,40,10,4,5,73,22,1,1,1,3,44,19,0,3,6,0.225,0.305,0.410,0.715,121,0.185,0.265,33.3%,21.6%,9.3%,0.43,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/31535139.html>Okada Masatoshi</a>,35,2,R,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,819,1.000,1.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555159.html>Okumura Koichi</a>,24,7,R,45,84,79,3,14,2,0,0,16,3,2,3,1,0,12,2,0,2,1,0.177,0.217,0.203,0.420,31,0.026,0.209,16.7%,14.3%,2.4%,0.17,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81785138.html>Satoh Ryusei</a>,27,5,R,93,345,295,25,72,20,1,7,115,34,0,4,3,6,70,37,1,4,10,0.244,0.330,0.390,0.720,123,0.146,0.290,33.0%,20.3%,10.7%,0.53,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075155.html>Sugai Shinya</a>,21,1,L,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21025155.html>Sumida Chihiro</a>,24,1,L,26,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,60.0%,60.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/91995112.html>Sumitani Ginjiro</a>,36,2,R,49,103,85,1,16,2,1,0,20,6,0,0,10,1,20,6,0,1,2,0.188,0.247,0.235,0.482,51,0.047,0.242,25.2%,19.4%,5.8%,0.30,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/31035134.html>Suzuki Shohei</a>,26,7,L,33,76,68,2,13,3,0,0,16,4,1,2,3,1,10,3,0,1,1,0.191,0.233,0.235,0.468,45,0.044,0.220,17.1%,13.2%,3.9%,0.30,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075136.html>Takagi Wataru</a>,24,DH,L,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.125,0.000,0.125,-60,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075130.html>Takahashi Kona</a>,27,1,R,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21025136.html>Takamatsu Wataru</a>,24,7,L,35,6,6,7,0,0,0,0,0,0,8,2,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255159.html>Takeuchi Natsuki</a>,22,1,L,21,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,20,5,L,68,137,118,15,22,1,2,0,27,4,3,1,10,0,30,8,0,1,0,0.186,0.244,0.229,0.473,47,0.043,0.250,27.7%,21.9%,5.8%,0.27,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41245130.html>Tonosaki Shuta</a>,31,4,R,127,500,436,41,99,25,1,7,147,41,11,3,6,3,88,45,4,10,15,0.227,0.312,0.337,0.649,102,0.110,0.267,28.0%,17.6%,9.0%,0.51,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/61265151.html>Tsuge Sena</a>,27,2,R,42,45,42,1,7,1,0,0,8,1,0,0,1,0,10,1,0,1,0,0.167,0.205,0.190,0.395,23,0.023,0.219,24.4%,22.2%,2.2%,0.10,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/91295153.html>Tysinger Brandon Taiga</a>,26,5,R,4,18,16,0,3,0,0,0,3,0,0,0,0,0,7,2,0,0,0,0.188,0.278,0.188,0.466,46,0.000,0.333,50.0%,38.9%,11.1%,0.29,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/53555153.html>Wakabayashi Gakuto</a>,26,9,R,19,66,62,3,8,0,0,3,17,5,2,1,2,0,12,1,1,1,4,0.129,0.156,0.274,0.430,31,0.145,0.106,24.2%,18.2%,1.5%,0.08,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/73575153.html>Watanabe Kento</a>,25,3,R,11,38,33,0,1,0,0,0,1,0,0,0,0,0,18,5,0,0,0,0.030,0.158,0.030,0.188,-39,0.000,0.067,60.5%,47.4%,13.2%,0.28,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/53155138.html>Watanabe Yutaro</a>,23,1,R,14,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/83385153.html>Yamamura Takayoshi</a>,21,UTL,L,58,223,201,14,44,5,1,2,57,23,1,2,3,4,38,13,0,2,2,0.219,0.268,0.284,0.552,72,0.065,0.255,23.8%,17.0%,5.8%,0.34,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
