Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/71175132.html>Aoyagi Koyo</a>,30,1,R,12,18,12,0,0,0,0,0,0,2,0,0,4,1,5,1,0,0,0,0.000,0.071,0.000,0.071,-79,0.000,0.000,33.3%,27.8%,5.6%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,28,1,R,14,23,21,2,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0.000,0.045,0.000,0.045,-88,0.000,0.000,52.2%,47.8%,4.3%,0.09,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,29,8,L,141,639,562,71,160,16,5,6,204,45,19,9,0,4,93,68,5,5,7,0.285,0.365,0.363,0.728,130,0.078,0.330,26.1%,14.6%,10.6%,0.73,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/61065131.html>Haraguchi Fumihito</a>,32,3,R,52,65,58,5,14,1,0,2,21,9,1,0,0,0,14,5,0,2,0,0.241,0.323,0.362,0.685,115,0.121,0.286,32.3%,21.5%,7.7%,0.36,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335151.html>Inoue Kouta</a>,22,7,R,23,55,52,5,11,2,0,3,22,8,1,1,0,0,20,3,0,0,0,0.212,0.255,0.423,0.678,110,0.211,0.276,47.3%,36.4%,5.5%,0.15,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,28,1,L,18,22,18,2,1,0,0,0,1,0,0,0,4,0,11,0,0,0,0,0.056,0.056,0.056,0.112,-67,0.000,0.143,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185134.html>Itohara Kento</a>,31,5,L,89,128,111,8,24,2,0,0,26,9,0,0,0,1,20,15,0,1,3,0.216,0.313,0.234,0.547,73,0.018,0.261,27.3%,15.6%,11.7%,0.75,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735138.html>Kinami Seiya</a>,30,6,L,116,409,359,27,77,13,1,1,95,35,1,0,13,1,64,32,4,4,17,0.214,0.285,0.265,0.550,73,0.051,0.258,23.7%,15.6%,7.8%,0.50,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585136.html>Kumagai Takahiro</a>,28,5,R,32,9,8,2,1,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-23,0.000,0.167,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825155.html>Maegawa Ukyo</a>,21,7,L,116,362,324,25,87,16,0,4,115,42,0,0,0,1,50,27,0,10,7,0.269,0.343,0.355,0.698,120,0.086,0.306,22.4%,13.8%,7.5%,0.54,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/73075157.html>Mieses Johan</a>,28,DH,R,14,19,18,1,2,0,0,0,2,0,0,0,0,0,5,1,0,0,1,0.111,0.158,0.111,0.269,-16,0.000,0.154,31.6%,26.3%,5.3%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,19,1,L,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,23,9,R,129,526,458,64,126,24,2,16,202,73,0,2,0,3,78,53,1,12,13,0.275,0.363,0.441,0.804,153,0.166,0.300,27.9%,14.8%,10.1%,0.68,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,26,1,L,25,48,44,0,5,0,0,0,5,3,0,0,3,0,24,1,0,0,0,0.114,0.133,0.114,0.247,-24,0.000,0.250,52.1%,50.0%,2.1%,0.04,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495134.html>Nagasaka Kenya</a>,30,2,R,5,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,28,4,L,143,634,547,63,127,20,2,1,154,32,6,7,35,1,97,46,0,5,10,0.232,0.297,0.282,0.579,82,0.050,0.280,22.7%,15.3%,7.3%,0.47,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/73975157.html>Neuse Sheldon</a>,29,7,R,49,149,134,8,31,5,0,1,39,8,1,0,0,1,16,14,1,0,9,0.231,0.302,0.291,0.593,87,0.060,0.254,20.8%,10.7%,9.4%,0.88,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,33,1,R,21,39,38,1,7,1,0,0,8,4,0,0,1,0,13,0,0,0,0,0.184,0.184,0.211,0.395,23,0.027,0.280,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405157.html>Noguchi Kyosuke</a>,23,9,R,26,61,53,6,10,0,0,0,10,5,0,0,0,1,12,5,0,2,1,0.189,0.279,0.189,0.468,48,0.000,0.238,27.9%,19.7%,8.2%,0.42,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31535138.html>Obata Ryuhei</a>,23,6,L,50,135,116,12,28,3,1,1,36,9,2,3,7,0,27,12,1,0,1,0.241,0.313,0.310,0.623,96,0.069,0.307,29.6%,20.0%,8.9%,0.44,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41345136.html>Ohtake Koutaro</a>,29,1,L,24,51,46,2,8,1,0,0,9,3,0,0,5,0,22,0,0,0,2,0.174,0.174,0.196,0.370,14,0.022,0.333,43.1%,43.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,29,3,R,130,545,483,63,125,18,0,14,185,68,0,4,0,3,88,52,3,7,19,0.259,0.338,0.383,0.721,127,0.124,0.289,28.3%,16.1%,9.5%,0.59,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71775151.html>Onodera Dan</a>,26,7,R,25,29,27,3,4,0,1,0,6,0,0,0,1,0,10,0,0,1,0,0.148,0.179,0.222,0.401,25,0.074,0.235,34.5%,34.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91795151.html>Oyokawa Masaki</a>,23,1,L,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,216,0.000,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,25,1,R,25,52,40,1,3,1,0,0,4,1,0,0,7,0,25,5,0,0,1,0.075,0.178,0.100,0.278,-12,0.025,0.200,57.7%,48.1%,9.6%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915132.html>Sakamoto Seishiro</a>,30,2,R,64,218,193,11,43,3,0,0,46,12,0,0,10,1,38,12,0,2,6,0.223,0.274,0.238,0.512,61,0.015,0.276,22.9%,17.4%,5.5%,0.32,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045153.html>Sato Teruaki</a>,25,5,L,120,496,451,58,121,21,4,16,198,70,0,2,0,4,133,36,2,5,11,0.268,0.327,0.439,0.766,139,0.171,0.343,37.3%,26.8%,7.3%,0.27,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995136.html>Shimada Kairi</a>,28,7,L,62,94,80,8,22,2,0,0,24,2,5,3,3,0,16,10,0,1,2,0.275,0.363,0.300,0.663,110,0.025,0.344,27.7%,17.0%,10.6%,0.62,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,28,1,L,5,12,9,0,2,0,0,0,2,0,0,0,2,0,5,1,0,0,0,0.222,0.300,0.222,0.522,65,0.000,0.500,50.0%,41.7%,8.3%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31435155.html>Toyoda Hiroshi</a>,27,9,R,11,19,19,1,4,1,0,0,5,0,0,0,0,0,5,0,0,0,2,0.211,0.211,0.263,0.474,47,0.052,0.286,26.3%,26.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305130.html>Ueda Kai</a>,28,7,S,59,11,11,11,3,0,1,0,5,3,4,1,0,0,3,0,0,0,0,0.273,0.273,0.455,0.728,126,0.182,0.375,27.3%,27.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325139.html>Umeno Ryutaro</a>,33,2,R,95,318,268,18,56,9,0,0,65,15,0,1,17,2,84,30,3,1,6,0.209,0.289,0.243,0.532,68,0.034,0.301,35.8%,26.4%,9.4%,0.36,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81685139.html>Watanabe Ryo</a>,29,5,R,67,137,123,7,32,5,0,2,43,11,0,1,0,2,34,11,0,1,2,0.260,0.321,0.350,0.671,111,0.090,0.337,34.3%,24.8%,8.0%,0.32,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135134.html>Aduwa Makoto</a>,25,1,R,20,32,29,1,1,0,0,0,1,0,0,0,3,0,14,0,0,0,0,0.034,0.034,0.034,0.068,-78,0.000,0.067,43.8%,43.8%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135114.html>Aizawa Tsubasa</a>,36,2,R,57,159,150,9,28,6,0,0,34,13,0,0,0,0,43,7,1,2,6,0.187,0.233,0.227,0.460,43,0.040,0.262,31.4%,27.0%,4.4%,0.16,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135133.html>Akiyama Shogo</a>,36,8,L,138,587,547,60,158,20,1,4,192,30,6,5,2,4,96,29,3,5,6,0.289,0.328,0.351,0.679,109,0.062,0.341,22.0%,16.4%,4.9%,0.30,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61965131.html>Dohbayashi Shota</a>,32,3,R,87,273,244,15,56,13,0,1,72,17,0,2,9,3,67,16,0,1,4,0.230,0.277,0.295,0.572,76,0.065,0.307,30.8%,24.5%,5.9%,0.24,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/91895153.html>Futamata Shoichi</a>,21,UTL,R,80,122,107,7,21,4,0,1,28,7,1,0,6,0,26,8,0,1,3,0.196,0.259,0.262,0.521,60,0.066,0.250,28.7%,21.3%,6.6%,0.31,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93995159.html>Hatch Thomas</a>,29,1,R,5,7,6,1,1,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0.167,0.167,0.167,0.334,4,0.000,0.500,57.1%,57.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/71475138.html>Hatsuki Ryutaro</a>,24,5,L,53,25,22,12,5,1,0,0,6,1,12,7,2,0,8,1,0,0,0,0.227,0.261,0.273,0.534,64,0.046,0.357,36.0%,32.0%,4.0%,0.12,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405138.html>Hayashi Kota</a>,23,3,L,27,64,60,4,11,4,0,0,15,2,0,0,0,0,20,4,1,0,3,0.183,0.234,0.250,0.484,50,0.067,0.275,37.5%,31.2%,6.2%,0.20,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125151.html>Ishihara Tomoki</a>,26,2,R,56,139,122,11,28,6,0,3,43,11,0,0,5,2,22,5,1,5,1,0.230,0.284,0.352,0.636,95,0.122,0.253,21.6%,15.8%,3.6%,0.23,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185133.html>Isomura Yoshitaka</a>,31,1,R,10,10,9,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.000,0.100,0.000,0.100,-66,0.000,0.000,50.0%,40.0%,10.0%,0.25,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575157.html>Kawano Kei</a>,22,1,R,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61565135.html>Kikuchi Ryosuke</a>,34,4,R,136,497,453,27,109,19,0,9,155,38,2,2,17,1,69,25,3,1,9,0.241,0.281,0.342,0.623,91,0.101,0.266,20.7%,13.9%,5.0%,0.36,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705138.html>Kozono Kaito</a>,24,5,L,143,588,540,52,151,15,3,2,178,61,13,9,7,5,53,30,6,6,6,0.280,0.322,0.330,0.652,101,0.050,0.304,14.5%,9.0%,5.1%,0.57,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585157.html>Kubo Shu</a>,23,8,R,19,18,17,1,1,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0.059,0.111,0.059,0.170,-46,0.000,0.111,44.4%,44.4%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/71775139.html>Kuri Aren</a>,32,1,R,23,39,31,0,0,0,0,0,0,2,0,0,7,1,18,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,46.2%,46.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745155.html>Kurohara Takumi</a>,24,1,L,53,2,1,1,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1091,2.000,1.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405116.html>Matsuyama Ryuhei</a>,38,3,L,65,78,73,2,13,4,0,1,20,10,0,0,0,1,12,4,3,0,5,0.178,0.218,0.274,0.492,50,0.096,0.197,21.8%,15.4%,5.1%,0.33,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93395155.html>Mori Shohei</a>,26,1,L,5,8,6,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0.167,0.167,0.167,0.334,4,0.000,0.250,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/53155151.html>Morishita Masato</a>,26,1,R,23,52,47,5,11,1,0,0,12,3,0,0,3,0,12,1,0,1,0,0.234,0.265,0.255,0.520,60,0.021,0.314,25.0%,23.1%,1.9%,0.08,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445159.html>Nakada Yuto</a>,18,3,R,1,4,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,54,0.000,0.333,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405155.html>Nakamura Kento</a>,27,3,R,12,24,24,1,2,0,0,1,5,2,0,0,0,0,8,0,0,0,0,0.083,0.083,0.208,0.291,-12,0.125,0.067,37.5%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/81285136.html>Nakamura Shosei</a>,25,7,R,30,70,69,4,10,2,0,0,12,1,0,1,0,0,13,1,0,0,1,0.145,0.157,0.174,0.331,2,0.029,0.179,20.0%,18.6%,1.4%,0.08,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61265157.html>Nakamura Takahiro</a>,24,7,L,11,25,24,4,5,0,0,0,5,3,0,0,1,0,5,0,0,0,1,0.208,0.208,0.208,0.416,29,0.000,0.263,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405151.html>Nirasawa Yuya</a>,23,3,L,11,15,15,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0.133,0.133,0.133,0.266,-18,0.000,0.154,13.3%,13.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405130.html>Noma Takayoshi</a>,31,9,L,113,443,391,40,106,14,5,1,133,28,8,5,3,1,52,43,1,5,9,0.271,0.350,0.340,0.690,113,0.069,0.310,21.7%,11.7%,9.7%,0.83,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425135.html>Nomura Yusuke</a>,35,1,R,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325138.html>Ohmori Minoru</a>,27,9,L,74,35,31,7,7,2,0,0,9,4,2,1,2,0,10,2,0,0,0,0.226,0.273,0.290,0.563,73,0.064,0.333,34.3%,28.6%,5.7%,0.20,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,33,1,R,25,45,42,0,2,0,0,0,2,0,0,0,3,0,21,0,0,0,2,0.048,0.048,0.048,0.096,-69,0.000,0.095,46.7%,46.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93095159.html>Reynolds Matt</a>,33,5,R,2,6,4,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0.000,0.167,0.000,0.167,-45,0.000,0.000,50.0%,33.3%,16.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915134.html>Sakakura Shogo</a>,26,2,L,121,462,427,43,119,19,1,12,176,44,3,2,1,2,80,31,3,1,7,0.279,0.328,0.412,0.740,127,0.133,0.318,26.6%,17.3%,6.7%,0.39,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/71975159.html>Sato Keisuke</a>,23,3,L,7,17,15,1,2,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0.133,0.235,0.133,0.368,16,0.000,0.167,29.4%,17.6%,11.8%,0.67,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/23725159.html>Scheiner Jake</a>,28,3,R,12,31,30,1,4,1,0,1,8,5,0,0,0,0,9,1,0,0,1,0.133,0.161,0.267,0.428,31,0.134,0.150,35.5%,29.0%,3.2%,0.11,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51055155.html>Suekane Shota</a>,28,7,R,79,304,286,22,68,14,0,9,109,37,1,2,0,0,85,12,0,6,6,0.238,0.283,0.381,0.664,103,0.143,0.307,34.9%,28.0%,3.9%,0.14,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31235159.html>Takita Kazuki</a>,22,1,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245151.html>Tamamura Shogo</a>,23,1,L,15,19,18,1,3,0,0,0,3,2,0,0,1,0,9,0,0,0,1,0.167,0.167,0.167,0.334,4,0.000,0.333,47.4%,47.4%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61265155.html>Tamura Shunsuke</a>,20,9,L,37,106,101,4,20,3,2,0,27,5,1,1,1,0,27,3,1,1,2,0.198,0.229,0.267,0.496,52,0.069,0.270,28.3%,25.5%,2.8%,0.11,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61965139.html>Tanaka Kosuke</a>,34,3,L,66,108,96,5,15,2,0,2,23,7,1,1,0,2,26,9,0,1,2,0.156,0.231,0.240,0.471,46,0.084,0.186,34.3%,24.1%,8.3%,0.35,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,29,1,L,26,52,45,1,8,0,0,0,8,1,0,0,7,0,7,0,0,0,0,0.178,0.178,0.178,0.356,10,0.000,0.211,13.5%,13.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31435159.html>Tsunehiro Hayato</a>,22,1,R,2,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51355157.html>Uchida Shodai</a>,19,5,R,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,106,0.000,0.333,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335137.html>Uemoto Takashi</a>,33,7,R,62,146,129,16,27,2,0,0,29,7,0,2,9,0,24,4,0,4,3,0.209,0.255,0.225,0.480,49,0.016,0.257,19.2%,16.4%,2.7%,0.17,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/41345151.html>Ugusa Koki</a>,27,7,L,41,75,66,10,16,2,0,3,27,8,3,1,3,0,22,4,0,2,1,0.242,0.306,0.409,0.715,119,0.167,0.317,38.7%,29.3%,5.3%,0.18,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93395153.html>Yano Masaya</a>,25,6,L,137,495,430,45,112,13,6,2,143,38,13,10,20,4,109,38,1,3,8,0.260,0.322,0.333,0.655,102,0.073,0.341,30.1%,22.0%,7.7%,0.35,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375151.html>Austin Tyler</a>,32,3,R,106,445,396,66,125,34,2,25,238,69,0,1,0,4,88,45,2,0,12,0.316,0.382,0.601,0.983,197,0.285,0.348,35.5%,19.8%,10.1%,0.51,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155151.html>Azuma Junpei</a>,22,7,R,3,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,348,0.500,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,28,1,L,26,63,51,3,5,0,0,0,5,1,0,0,8,0,16,4,0,0,1,0.098,0.164,0.098,0.262,-17,0.000,0.143,31.7%,25.4%,6.3%,0.25,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095138.html>Chino Naoto</a>,25,UTL,R,24,22,18,3,2,1,0,0,3,2,1,0,0,0,4,4,0,0,1,0.111,0.273,0.167,0.440,37,0.056,0.143,36.4%,18.2%,18.2%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,26,8,R,76,253,223,28,57,13,0,3,79,17,3,7,6,1,51,17,1,6,1,0.256,0.324,0.354,0.678,108,0.098,0.318,28.1%,20.2%,6.7%,0.33,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/03205159.html>Ford Mike</a>,31,3,L,6,22,20,1,4,0,0,1,7,2,0,0,0,0,2,2,0,0,0,0.200,0.273,0.350,0.623,90,0.150,0.176,22.7%,9.1%,9.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
