Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Keller Kyle,34,3,2,3,5,0,0,128,32.2,25,2,46,5,0,2,0,12,12,3.31,1.73,1.60,0.92,97,48,44,1.58,1.6%,35.9%,3.9%,32.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kirishiki Takuma,7,0,3,0,0,0,0,65,14.1,20,2,16,4,2,0,0,8,8,5.02,3.52,2.95,1.67,64,99,82,1.50,3.1%,24.6%,6.2%,18.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kobayashi Keisuke,10,0,0,0,0,0,0,47,11.1,12,1,9,4,1,0,0,2,2,1.59,3.72,3.74,1.41,201,104,104,-2.13,2.1%,19.1%,8.5%,10.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Moriki Daichi,2,0,2,0,0,0,0,37,8.2,9,0,6,3,2,0,0,8,6,6.23,2.76,3.99,1.38,51,77,111,3.47,0.0%,16.2%,8.1%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Junya,14,6,3,0,0,1,0,309,77.1,67,7,60,19,0,1,2,24,23,2.68,3.50,3.47,1.11,119,98,96,-0.82,2.3%,19.4%,6.1%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,23,9,9,0,0,2,2,599,148.1,132,8,93,26,3,5,2,40,36,2.18,3.18,3.68,1.07,147,89,102,-1.00,1.3%,15.5%,4.3%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ogawa Ippei,6,0,2,0,0,0,0,100,24.2,16,3,22,9,2,3,1,12,12,4.38,4.36,3.50,1.01,73,122,97,0.02,3.0%,22.0%,9.0%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Onaka Yuya,1,0,0,0,0,0,0,11,2.0,4,0,2,1,1,0,0,2,2,9.00,2.60,3.89,2.50,36,73,108,6.40,0.0%,18.2%,9.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ono Taiki,5,0,0,0,0,0,0,25,5.0,7,1,7,3,0,0,0,3,1,1.80,4.70,3.20,2.00,178,132,89,-2.90,4.0%,28.0%,12.0%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Oyokawa Masaki,1,0,0,0,0,0,0,4,1.0,1,1,0,0,0,0,0,1,1,9.00,16.10,4.80,1.00,36,451,133,-7.10,25.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Saiki Hiroto,9,4,1,0,0,1,1,186,47.0,40,4,43,11,1,0,0,10,8,1.53,3.08,3.08,1.09,209,86,86,-1.55,2.2%,23.1%,5.9%,17.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Saitoh Yukiya,20,0,1,0,0,0,0,107,23.1,23,2,27,10,0,3,0,14,13,5.01,3.57,3.21,1.41,64,100,89,1.44,1.9%,25.2%,9.3%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Shimamoto Hiroya,15,0,0,0,2,0,0,56,14.0,12,1,11,2,0,0,0,4,4,2.57,2.89,3.19,1.00,125,81,89,-0.32,1.8%,19.6%,3.6%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Watanabe Yuta,32,3,1,0,10,0,0,72,18.1,16,2,18,4,1,1,0,5,5,2.45,3.38,2.86,1.09,131,95,79,-0.93,2.8%,25.0%,5.6%,19.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Wilkerson Aaron,14,5,5,0,0,0,0,292,70.2,70,4,54,21,1,1,0,32,32,4.08,3.24,3.67,1.29,78,91,102,0.84,1.4%,18.5%,7.2%,11.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Yuasa Atsuki,59,2,3,0,43,0,0,221,58.0,38,1,67,12,0,0,2,7,7,1.09,1.64,2.31,0.86,294,46,64,-0.55,0.5%,30.3%,5.4%,24.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Anderson Drew,13,3,4,0,0,0,0,293,70.0,61,9,59,23,0,3,0,32,28,3.60,4.20,3.57,1.20,88,119,99,-0.60,3.1%,20.1%,7.8%,12.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Corniel Robert,12,0,0,0,0,0,0,66,15.1,15,2,19,4,0,1,0,6,6,3.52,3.30,2.53,1.24,90,94,70,0.22,3.0%,28.8%,6.1%,22.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Endoh Atsushi,20,4,7,0,0,0,0,434,105.1,104,17,78,18,1,3,0,47,42,3.59,4.32,3.42,1.16,88,123,95,-0.73,3.9%,18.0%,4.1%,13.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Franzua Geronimo,3,0,0,0,0,0,0,18,3.1,2,0,4,5,0,1,1,3,3,8.10,6.10,5.36,2.10,39,173,149,2.00,0.0%,22.2%,27.8%,-5.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Fujii Reira,12,0,1,0,0,0,0,62,14.0,10,1,15,9,1,1,1,6,6,3.86,4.03,3.83,1.36,82,115,106,-0.17,1.6%,24.2%,14.5%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Horie Atsuya,26,3,2,0,6,0,0,73,17.1,13,1,8,8,1,1,5,6,6,3.12,4.49,4.80,1.21,101,128,133,-1.37,1.4%,11.0%,11.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ichioka Ryuji,10,1,0,0,1,0,0,41,8.2,15,0,7,1,0,0,0,2,2,2.08,1.83,3.34,1.85,152,52,93,0.25,0.0%,17.1%,2.4%,14.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kemna Makoto,43,4,0,0,14,0,0,172,39.1,37,1,37,18,1,3,1,21,14,3.20,3.15,3.70,1.40,99,90,103,0.05,0.6%,21.5%,10.5%,11.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kikuchi Yasunori,8,0,0,0,2,0,0,39,8.0,10,2,6,4,1,1,0,5,5,5.63,6.73,4.29,1.75,56,191,119,-1.10,5.1%,15.4%,10.3%,5.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kobayashi Tatsuto,1,0,0,0,0,0,0,5,1.0,2,0,0,1,0,0,0,1,1,9.00,6.10,6.80,3.00,35,173,189,2.90,0.0%,0.0%,20.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kuri Aren,26,6,9,0,0,0,0,609,140.1,147,13,121,53,3,8,1,55,52,3.33,3.89,3.68,1.43,95,111,102,-0.56,2.1%,19.9%,8.7%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kuribayashi Ryoji,48,0,2,31,6,0,0,185,48.1,22,0,59,15,2,2,1,8,8,1.49,1.72,2.42,0.77,212,49,67,-0.23,0.0%,31.9%,8.1%,23.8%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kurohara Takumi,12,0,0,0,1,0,0,44,9.2,11,0,11,4,0,1,0,7,7,6.52,2.38,3.21,1.55,48,68,89,4.14,0.0%,25.0%,9.1%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Matsumoto Ryuya,50,4,2,0,4,0,0,240,55.2,58,5,54,15,1,3,0,23,22,3.56,3.30,3.18,1.31,89,94,88,0.26,2.1%,22.5%,6.2%,16.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Mori Shohei,8,1,0,0,1,0,0,87,19.0,22,1,10,8,0,1,2,5,4,1.89,4.16,4.57,1.58,167,118,127,-2.27,1.1%,11.5%,9.2%,2.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Morishita Masato,27,10,8,0,0,3,2,764,178.2,195,13,133,44,0,8,3,67,63,3.17,3.43,3.64,1.34,99,98,101,-0.26,1.7%,17.4%,5.8%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Moriura Daisuke,51,3,6,0,24,0,0,201,46.1,47,4,48,16,3,3,1,17,17,3.30,3.38,3.21,1.36,96,96,89,-0.08,2.0%,23.9%,8.0%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nakazaki Shota,28,2,5,0,7,0,0,108,23.2,27,6,18,10,3,1,0,19,17,6.46,6.27,4.06,1.56,49,178,113,0.19,5.6%,16.7%,9.3%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nomura Yusuke,9,2,3,0,0,0,0,191,41.1,55,4,18,14,1,0,0,27,24,5.23,4.51,4.59,1.67,60,128,127,0.72,2.1%,9.4%,7.3%,2.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohmichi Haruki,3,0,1,0,0,0,0,53,12.0,16,5,8,3,0,1,1,9,9,6.75,8.19,3.86,1.58,47,233,107,-1.44,9.4%,15.1%,5.7%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohsera Daichi,23,8,9,0,0,3,2,583,135.1,156,18,97,27,2,2,0,73,71,4.72,4.04,3.60,1.35,67,115,100,0.68,3.1%,16.6%,4.6%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Shimauchi Sotaro,22,0,3,0,7,0,0,91,19.0,21,2,20,11,1,1,2,13,8,3.79,4.26,3.81,1.68,83,121,106,-0.47,2.2%,22.0%,12.1%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tamamura Shogo,9,2,2,0,0,0,0,188,43.2,46,2,21,13,0,1,0,19,19,3.92,3.70,4.37,1.35,80,105,121,0.22,1.1%,11.2%,6.9%,4.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tokoda Hiroki,17,8,6,0,0,1,1,446,114.0,87,10,74,28,2,4,2,36,36,2.84,3.79,3.77,1.01,111,108,105,-0.95,2.2%,16.6%,6.3%,10.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Turley Nik,45,2,4,0,14,0,0,155,37.2,26,7,32,16,2,2,2,14,13,3.11,5.25,3.77,1.12,101,149,105,-2.14,4.5%,20.6%,10.3%,10.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Yabuta Kazuki,18,1,0,0,1,0,0,103,24.0,19,2,16,14,0,1,1,11,11,4.13,4.73,4.61,1.38,76,134,128,-0.60,1.9%,15.5%,13.6%,1.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Yasaki Takuya,47,2,0,1,17,0,0,204,49.1,35,2,51,25,1,0,2,12,10,1.82,3.08,3.53,1.22,173,88,98,-1.26,1.0%,25.0%,12.3%,12.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ariyoshi Yuki,1,0,1,0,0,0,0,18,4.0,4,0,1,1,0,1,0,3,3,6.75,4.10,4.80,1.25,50,109,133,2.65,0.0%,5.6%,5.6%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Azuma Katsuki,12,1,6,0,0,0,0,229,50.2,67,5,41,10,0,2,1,30,26,4.62,3.48,3.45,1.52,73,92,96,1.14,2.2%,17.9%,4.4%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Escobar Edwin,70,4,2,2,34,0,0,268,63.1,48,4,51,29,2,5,0,17,17,2.42,3.92,3.98,1.22,140,104,111,-1.50,1.5%,19.0%,10.8%,8.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Gsellman Robert,4,1,1,0,0,0,0,81,20.1,15,1,12,6,0,2,0,6,6,2.66,3.74,4.06,1.03,127,99,113,-1.08,1.2%,14.8%,7.4%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hamaguchi Haruhiro,19,8,7,0,0,0,0,464,112.1,104,8,88,33,1,2,3,42,42,3.36,3.40,3.61,1.22,101,90,100,-0.04,1.7%,19.0%,7.1%,11.9%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hirata Shingo,47,4,3,0,10,0,0,180,42.0,47,5,39,8,0,2,0,21,20,4.29,3.51,3.08,1.31,79,93,86,0.78,2.8%,21.7%,4.4%,17.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ikeya Sota,6,1,0,0,0,0,0,26,5.1,3,1,7,7,0,0,0,2,2,3.38,6.85,4.80,1.88,100,182,133,-3.47,3.8%,26.9%,26.9%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Imanaga Shota,21,11,4,0,0,3,2,560,143.2,106,14,132,29,1,3,3,37,36,2.26,3.20,2.96,0.94,150,85,82,-0.94,2.5%,23.6%,5.2%,18.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Irie Taisei,57,5,1,0,10,0,0,262,63.0,49,4,69,26,2,1,2,23,21,3.00,3.02,3.16,1.19,113,80,88,-0.02,1.5%,26.3%,9.9%,16.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ise Hiromu,71,3,3,1,39,0,0,269,68.0,52,1,69,17,4,5,2,14,13,1.72,2.24,2.87,1.01,197,59,80,-0.52,0.4%,25.7%,6.3%,19.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ishida Kenta,15,7,4,0,0,0,0,337,82.1,67,8,68,26,3,1,3,30,27,2.95,3.70,3.55,1.13,115,98,99,-0.75,2.4%,20.2%,7.7%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ishikawa Tatsuya,3,0,0,0,0,0,0,28,5.1,4,1,3,7,0,1,0,5,5,8.44,8.92,6.23,2.06,40,236,173,-0.48,3.6%,10.7%,25.0%,-14.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kamichatani Taiga,13,3,6,0,0,1,1,278,66.2,65,8,49,17,3,2,0,40,35,4.73,4.05,3.65,1.23,71,107,101,0.68,2.9%,17.6%,6.1%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kriske Brooks,18,1,1,1,4,0,0,89,21.0,15,2,26,13,0,0,3,7,6,2.57,3.72,3.34,1.33,132,99,93,-1.15,2.2%,29.2%,14.6%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kyoyama Masaya,17,2,2,0,1,0,0,254,55.2,56,4,39,30,0,5,7,24,20,3.23,4.52,4.45,1.54,105,120,124,-1.29,1.6%,15.4%,11.8%,3.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mikami Tomoya,19,0,0,0,0,0,0,106,24.2,28,3,19,8,2,1,0,10,10,3.65,4.24,3.76,1.46,93,112,104,-0.59,2.8%,17.9%,7.5%,10.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mishima Kazuki,13,2,2,1,5,0,0,50,12.2,8,1,11,6,1,0,0,4,4,2.84,3.81,3.80,1.11,119,101,106,-0.97,2.0%,22.0%,12.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miura Ginji,6,0,0,0,0,0,0,42,8.1,16,2,8,1,0,0,0,10,10,10.80,4.66,3.13,2.04,31,124,87,6.14,4.8%,19.0%,2.4%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyaguni Ryosuke,17,0,0,0,2,0,0,103,20.2,35,6,13,5,0,1,1,20,20,8.71,6.49,4.02,1.94,39,172,112,2.22,5.8%,12.6%,4.9%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Morihara Kohei,6,0,0,0,0,0,0,24,6.0,6,2,8,0,0,0,0,4,4,6.00,4.77,1.47,1.00,56,126,41,1.23,8.3%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Nakagawa Koh,8,0,0,0,0,0,0,46,10.1,8,1,11,7,0,1,0,5,5,4.35,4.55,3.93,1.45,78,121,109,-0.20,2.2%,23.9%,15.2%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ohnuki Shinichi,24,11,8,0,0,0,0,562,136.2,126,13,118,36,2,8,4,48,42,2.77,3.58,3.34,1.19,122,95,93,-0.81,2.3%,21.0%,6.4%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Peoples Michael,3,0,2,0,0,0,0,18,3.0,9,0,4,1,0,0,0,5,5,15.00,1.44,3.13,3.33,23,38,87,13.56,0.0%,22.2%,5.6%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Romero Fernando,23,6,8,0,0,0,0,420,92.1,100,8,54,35,1,9,5,59,50,4.87,4.49,4.35,1.46,69,119,121,0.38,1.9%,12.9%,8.3%,4.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sakaguchi Kousuke,1,0,0,0,0,0,0,14,3.0,4,1,2,1,0,0,0,3,3,9.00,7.10,4.09,1.67,38,188,114,1.90,7.1%,14.3%,7.1%,7.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sakamoto Yuya,15,0,5,0,0,0,0,212,48.0,52,9,28,21,0,3,1,33,33,6.19,5.87,4.47,1.52,55,156,124,0.32,4.2%,13.2%,9.9%,3.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sunada Yoshiki,15,0,0,0,0,0,0,62,12.2,17,2,8,5,1,1,0,9,8,5.68,5.31,4.32,1.74,60,141,120,0.37,3.2%,12.9%,8.1%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Tanaka Kenjiro,47,3,0,0,13,0,0,160,37.2,31,5,25,14,2,2,1,14,11,2.63,4.78,4.11,1.19,129,127,114,-2.15,3.1%,15.6%,8.8%,6.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Yamasaki Yasuaki,56,0,2,37,3,0,0,197,54.1,29,4,42,9,1,0,1,9,8,1.33,3.01,3.12,0.70,254,80,87,-1.68,2.0%,21.3%,4.6%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Akahoshi Yuji,31,5,5,0,5,0,0,347,78.0,81,8,52,32,1,4,0,50,35,4.04,4.49,4.22,1.45,83,120,117,-0.45,2.3%,15.0%,9.2%,5.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Andriese Matt,5,0,2,0,0,0,0,87,18.2,28,3,18,4,0,1,0,11,10,4.82,4.07,3.19,1.71,69,109,89,0.75,3.4%,20.7%,4.6%,16.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
De La Rosa Rubby,30,0,0,1,11,0,0,108,27.1,18,2,24,10,0,2,0,9,7,2.30,3.62,3.50,1.02,146,97,97,-1.32,1.9%,22.2%,9.3%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Hatake Seishu,27,3,0,1,5,0,0,122,28.2,22,3,22,14,2,0,1,11,10,3.14,4.39,4.14,1.26,107,117,115,-1.25,2.5%,18.0%,11.5%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Heinai Ryuta,53,4,4,0,13,0,0,213,50.0,53,4,39,13,0,3,2,26,24,4.32,3.54,3.58,1.32,78,95,99,0.78,1.9%,18.3%,6.1%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Hotta Kenshin,8,2,3,0,0,0,0,150,34.1,38,5,24,16,1,1,0,24,24,6.29,5.08,4.27,1.57,53,136,119,1.21,3.3%,16.0%,10.7%,5.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Imamura Nobutaka,55,2,4,0,21,0,0,227,53.0,45,3,34,22,1,4,1,24,21,3.57,4.03,4.27,1.26,94,108,119,-0.46,1.3%,15.0%,9.7%,5.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Inoh Shoichi,7,1,0,0,1,0,0,22,5.0,5,0,4,2,0,0,1,1,1,1.80,2.70,3.89,1.40,186,72,108,-0.90,0.0%,18.2%,9.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Inoue Haruto,7,1,1,0,0,0,0,106,24.0,28,4,27,7,0,0,0,18,16,6.00,3.89,2.91,1.46,56,104,81,2.11,3.8%,25.5%,6.6%,18.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Kagiya Yohei,21,2,0,0,3,0,0,74,17.0,21,4,9,5,0,0,0,8,7,3.71,5.99,4.26,1.53,90,160,118,-2.28,5.4%,12.2%,6.8%,5.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Kikuchi Taiki,16,0,2,0,0,0,0,82,17.2,16,2,21,13,0,1,2,13,11,5.60,4.57,3.82,1.64,60,122,106,1.03,2.4%,25.6%,15.9%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Krol Ian,21,1,1,1,5,0,0,89,21.0,17,1,15,10,0,1,2,10,9,3.86,3.86,4.24,1.29,87,103,118,0.00,1.1%,16.9%,11.2%,5.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Kuwahara Takuya,49,3,2,0,13,0,0,194,45.1,50,3,30,12,2,1,1,26,26,5.16,3.50,3.87,1.37,65,94,108,1.66,1.5%,15.5%,6.2%,9.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Mercedes CC,20,5,7,0,0,0,0,458,110.1,107,7,74,31,1,3,1,44,39,3.18,3.51,3.86,1.25,105,94,107,-0.33,1.5%,16.2%,6.8%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Naoe Daisuke,9,1,1,0,0,0,0,79,18.2,12,2,16,8,0,3,1,9,7,3.38,4.55,3.79,1.07,99,122,105,-1.17,2.5%,20.3%,10.1%,10.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Ohe Ryusei,3,0,0,0,0,0,0,26,5.1,5,1,5,3,0,1,0,2,1,1.69,5.92,4.03,1.50,198,158,112,-4.23,3.8%,19.2%,11.5%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Ota Taisei,57,1,3,37,8,0,0,221,57.0,38,7,60,13,0,3,1,17,13,2.05,3.44,2.67,0.89,163,92,74,-1.39,3.2%,27.1%,5.9%,21.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Sakurai Toshiki,8,2,0,0,0,0,0,46,8.1,13,3,9,6,0,2,1,13,13,14.04,8.50,4.15,2.28,24,227,115,5.54,6.5%,19.6%,13.0%,6.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
