                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K                Team League
96   Tsutsugoh Yoshitomo  10  28  26   2   7   2   0   1  12    7   0   0   0   1   8   1    0   0    1  0.269  0.286  0.462  0.747   126  0.192  0.333   35.7%   28.6%    3.6%  0.12       DeNA BayStars     CL
97         Itohara Kento   2   2   2   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  0.500  0.500  0.500  1.000   218  0.000  0.500    0.0%    0.0%    0.0%            Hanshin Tigers     CL
98            Ogata Riku   2   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%            SoftBank Hawks     PL
99         Ogino Takashi   2   8   6   0   1   0   0   0   1    1   0   0   0   1   1   1    0   0    1  0.167  0.250  0.167  0.417    31  0.000  0.167   25.0%   12.5%   12.5%  1.00       Lotte Marines     PL
100      Sugano Tomoyuki   2   2   1   0   0   0   0   0   0    0   0   0   1   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%    0.0%            Yomiuri Giants     CL
101       Fujiwara Kyota   3  10   9   0   3   0   0   0   3    0   0   0   1   0   0   0    0   0    0  0.333  0.333  0.333  0.667   105  0.000  0.333    0.0%    0.0%    0.0%             Lotte Marines     PL
102        Fujioka Yudai   3  12  11   0   3   0   0   0   3    0   0   0   1   0   2   0    0   0    0  0.273  0.273  0.273  0.545    68  0.000  0.333   16.7%   16.7%    0.0%  0.00       Lotte Marines     PL
103         Ebina Tatsuo   8   5   4   0   0   0   0   0   0    0   0   0   0   0   2   1    0   0    1  0.000  0.200  0.000  0.200   -32  0.000  0.000   60.0%   40.0%   20.0%  0.50       DeNA BayStars     CL
104     Kakunaka Katsuya   2   6   4   1   1   0   0   1   4    1   0   0   0   0   0   2    0   0    0  0.250  0.500  1.000  1.500   346  0.750  0.000   50.0%    0.0%   33.3%  1.00       Lotte Marines     PL
105       Chikamoto Koji   2   9   9   1   1   0   0   0   1    0   0   0   0   0   3   0    0   0    0  0.111  0.111  0.111  0.222   -32  0.000  0.167   33.3%   33.3%    0.0%  0.00      Hanshin Tigers     CL
106       Kondoh Kensuke   8  28  24   3  11   4   0   1  18    4   0   0   0   0   6   3    1   1    0  0.458  0.536  0.750  1.286   289  0.292  0.588   35.7%   21.4%   10.7%  0.50      SoftBank Hawks     PL
107           Gunji Yuya   6  18  16   1   0   0   0   0   0    0   0   0   0   0   2   2    0   0    2  0.000  0.111  0.000  0.111   -61  0.000  0.000   22.2%   11.1%   11.1%  1.00  Nipponham Fighters     PL
108      Chono Hisayoshi   3   8   7   1   1   0   0   0   1    1   0   0   0   0   1   1    0   0    1  0.143  0.250  0.143  0.393    25  0.000  0.167   25.0%   12.5%   12.5%  1.00      Yomiuri Giants     CL
109      Kadowaki Makoto   6  23  17   1   4   1   0   0   5    0   1   0   1   0   2   5    1   0    0  0.235  0.409  0.294  0.703   123  0.059  0.267   30.4%    8.7%   21.7%  2.50      Yomiuri Giants     CL
110     Takahashi Haruto   1   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000         100.0%  100.0%    0.0%  0.00      Hanshin Tigers     CL
