     Player  Age  Pos     Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
67      NaN   33  NaN     9.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN      ORIX Buffaloes     PL
68      NaN   23  7.0    94.0  -0.8    -11.0  -0.9  0.1  NaN   0.1     -0.9      NaN       NaN      Yomiuri Giants     CL
69      NaN   23  8.0   109.0   0.3      3.5   0.8 -0.4  NaN   0.0      0.4      NaN       NaN      Yomiuri Giants     CL
70      NaN   23  9.0   116.2   2.1     23.2   1.8  0.3  NaN   0.0     -0.5      NaN       NaN      Yomiuri Giants     CL
71      NaN   29  7.0    17.0   1.7    128.7   1.7  0.0  NaN   0.0     -0.2      NaN       NaN      Yomiuri Giants     CL
72      NaN   29  9.0    17.1   0.6     44.6   0.7 -0.1  NaN   0.0     -0.1      NaN       NaN      Yomiuri Giants     CL
73      NaN   23  6.0   878.2   2.1      3.1   4.1  NaN  1.5  -3.5      7.2      NaN       NaN  Nipponham Fighters     PL
74      NaN   32  6.0  1071.2  11.7     14.1   9.4  NaN -0.1   2.4      8.7      NaN       NaN      SoftBank Hawks     PL
75      NaN   32  7.0   152.0  -5.3    -44.9  -6.3  0.8  NaN   0.1     -1.4      NaN       NaN       Lotte Marines     PL
76      NaN   32  8.0   325.1  -5.2    -20.6  -4.6 -0.7  NaN   0.0      1.1      NaN       NaN       Lotte Marines     PL
77      NaN   32  9.0   324.1  -2.5     -9.9  -3.4  0.8  NaN   0.1     -1.3      NaN       NaN       Lotte Marines     PL
78      NaN   27  7.0    63.2   1.7     34.3   1.5  0.1  NaN   0.1     -0.6      NaN       NaN       Lotte Marines     PL
79      NaN   27  8.0    41.0  -3.1    -97.3  -2.8 -0.4  NaN   0.0      0.1      NaN       NaN       Lotte Marines     PL
80      NaN   27  9.0    80.2   2.9     46.2   2.3  0.5  NaN   0.0     -0.3      NaN       NaN       Lotte Marines     PL
81      NaN   27  NaN     4.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN       Lotte Marines     PL
82      NaN   34  3.0   237.2   0.8      4.3   1.5  NaN  0.2  -0.9     -2.7      NaN       NaN      SoftBank Hawks     PL
83      NaN   34  7.0    15.0  -0.6    -51.5  -0.6  0.0  NaN   0.0     -0.1      NaN       NaN      SoftBank Hawks     PL
84      NaN   34  9.0    13.0  -2.1   -207.9  -1.8 -0.3  NaN   0.0     -0.1      NaN       NaN      SoftBank Hawks     PL
85      NaN   34  NaN    52.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.6      NaN       NaN      SoftBank Hawks     PL
86      NaN   26  7.0    23.0   1.2     67.1   1.3 -0.1  NaN   0.0     -0.2      NaN       NaN     Yakult Swallows     CL
87      NaN   26  8.0   310.2  -1.5     -6.2   0.0 -1.6  NaN   0.0      1.0      NaN       NaN     Yakult Swallows     CL
88      NaN   26  9.0    10.0  -0.2    -25.7  -0.3  0.1  NaN   0.0      0.0      NaN       NaN     Yakult Swallows     CL
89      NaN   33  4.0    18.0  -0.3    -21.4   0.2  NaN  0.1  -0.6      0.0      NaN       NaN      Hiroshima Carp     CL
90      NaN   33  5.0    34.0   1.1     41.6   0.8  NaN  0.0   0.3     -0.1      NaN       NaN      Hiroshima Carp     CL
91      NaN   33  7.0   180.0   7.8     55.8   6.9  0.7  NaN   0.2     -1.7      NaN       NaN      Hiroshima Carp     CL
92      NaN   33  8.0    17.1   0.8     59.5   0.8  0.0  NaN   0.0      0.1      NaN       NaN      Hiroshima Carp     CL
93      NaN   33  9.0    17.2   0.1      7.3  -0.1  0.1  NaN   0.0     -0.1      NaN       NaN      Hiroshima Carp     CL
94      NaN   29  3.0    47.0   0.0      0.0  -0.4  NaN  0.2   0.1     -0.5      NaN       NaN  Nipponham Fighters     PL
95      NaN   29  4.0    17.0  -0.8    -60.6  -0.8  NaN -0.2   0.1      0.0      NaN       NaN  Nipponham Fighters     PL
96      NaN   29  5.0     1.0   0.0      0.0   0.0  NaN  0.0   0.0      0.0      NaN       NaN  Nipponham Fighters     PL
97      NaN   29  NaN    35.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.4      NaN       NaN  Nipponham Fighters     PL
98      NaN   31  6.0  1237.0   1.9      2.0  -1.3  NaN -0.3   3.6     10.1      NaN       NaN         Seibu Lions     PL
99      NaN   34  3.0   110.1   1.0     11.7   0.6  NaN  0.0   0.3     -1.2      NaN       NaN      Hiroshima Carp     CL
100     NaN   34  5.0    89.1   2.3     33.1   2.0  NaN  0.0   0.2     -0.3      NaN       NaN      Hiroshima Carp     CL
101     NaN   23  NaN     8.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN      Rakuten Eagles     PL
102     NaN   34  7.0    76.0   1.1     18.6   1.2 -0.2  NaN   0.1     -0.7      NaN       NaN      Rakuten Eagles     PL
103     NaN   34  NaN   240.2   NaN      NaN   NaN  NaN  NaN   NaN     -2.9      NaN       NaN      Rakuten Eagles     PL
104     NaN   29  4.0  1257.2  15.9     16.3  11.9  NaN -0.6   4.6      3.4      NaN       NaN      Yomiuri Giants     CL
105     NaN   30  4.0    13.2  -1.3   -122.1   0.3  NaN -0.3  -1.4      0.0      NaN       NaN       DeNA BayStars     CL
106     NaN   30  5.0   140.1  -1.6    -14.7  -1.1  NaN  0.1  -0.6     -0.5      NaN       NaN       DeNA BayStars     CL
107     NaN   30  6.0     2.0   0.5    321.8   0.4  NaN  0.1   0.0      0.0      NaN       NaN       DeNA BayStars     CL
108     NaN   24  2.0   757.2   1.0      1.7   NaN  2.1  NaN  -1.1     10.8     -9.5      -0.8  Nipponham Fighters     PL
109     NaN   24  7.0     1.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN  Nipponham Fighters     PL
110     NaN   24  NaN    36.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.4      NaN       NaN  Nipponham Fighters     PL
111     NaN   24  3.0     6.1   0.4     81.7   0.4  NaN  0.0   0.0     -0.1      NaN       NaN         Seibu Lions     PL
112     NaN   24  4.0     1.0   0.2    257.4   0.2  NaN  0.0   0.0      0.0      NaN       NaN         Seibu Lions     PL
113     NaN   24  7.0     9.0   1.1    157.3   1.1  0.0  NaN   0.0     -0.1      NaN       NaN         Seibu Lions     PL
114     NaN   24  9.0     1.0  -0.3   -386.1  -0.1 -0.3  NaN   0.0      0.0      NaN       NaN         Seibu Lions     PL
115     NaN   24  NaN     8.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN         Seibu Lions     PL
116     NaN   22  3.0    15.0  -0.3    -25.7  -0.3  NaN  0.0   0.0     -0.2      NaN       NaN  Nipponham Fighters     PL
117     NaN   22  4.0    58.0  -1.7    -37.7  -1.3  NaN  0.0  -0.4      0.2      NaN       NaN  Nipponham Fighters     PL
118     NaN   22  5.0    16.1  -0.2    -15.8  -0.3  NaN  0.0   0.2     -0.1      NaN       NaN  Nipponham Fighters     PL
119     NaN   22  6.0     7.0   0.0      0.0   0.1  NaN -0.1   0.0      0.1      NaN       NaN  Nipponham Fighters     PL
120     NaN   22  7.0    87.2   4.5     66.0   3.8  0.6  NaN   0.1     -0.8      NaN       NaN  Nipponham Fighters     PL
121     NaN   22  9.0    10.1   0.5     62.5   0.5  0.0  NaN   0.0      0.0      NaN       NaN  Nipponham Fighters     PL
122     NaN   27  9.0  1276.2  -2.7     -2.7  -5.0  2.5  NaN  -0.2     -5.0      NaN       NaN      Rakuten Eagles     PL
123     NaN   31  7.0    46.0   1.2     33.6   1.6 -0.4  NaN   0.0     -0.4      NaN       NaN      Yomiuri Giants     CL
124     NaN   31  8.0     7.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN      Yomiuri Giants     CL
125     NaN   31  9.0     5.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN      Yomiuri Giants     CL
126     NaN   26  2.0    38.0  -1.0    -33.9   NaN -1.1  NaN   0.1      0.5      0.4      -0.4  Nipponham Fighters     PL
127     NaN   26  3.0    69.0   0.8     14.9   0.4  NaN  0.2   0.2     -0.8      NaN       NaN  Nipponham Fighters     PL
128     NaN   26  4.0     5.0  -0.5   -128.7  -0.5  NaN  0.0   0.0      0.0      NaN       NaN  Nipponham Fighters     PL
129     NaN   26  5.0   790.1 -10.9    -17.8  -7.6  NaN -0.4  -2.9     -3.0      NaN       NaN  Nipponham Fighters     PL
130     NaN   26  7.0    58.1  -2.1    -46.4  -2.1 -0.1  NaN   0.0     -0.6      NaN       NaN  Nipponham Fighters     PL
131     NaN   26  NaN     8.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN  Nipponham Fighters     PL
132     NaN   24  7.0    13.0  -1.1   -108.9  -1.1  0.0  NaN   0.0     -0.1      NaN       NaN      ORIX Buffaloes     PL
133     NaN   24  8.0   172.2   2.5     18.6   2.3  0.1  NaN   0.0      0.6      NaN       NaN      ORIX Buffaloes     PL
134     NaN   24  9.0    54.0   2.3     54.8   2.3  0.0  NaN   0.0     -0.2      NaN       NaN      ORIX Buffaloes     PL
135     NaN   29  7.0   124.0  -0.2     -2.1  -0.2 -0.1  NaN   0.1     -1.2      NaN       NaN         Seibu Lions     PL
136     NaN   29  NaN    25.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN         Seibu Lions     PL
137     NaN   30  6.0   963.0  -8.8    -11.8  -8.0  NaN -0.7  -0.2      7.8      NaN       NaN      Hanshin Tigers     CL
138     NaN   23  6.0   949.0  11.2     15.2  15.2  NaN -2.0  -2.0      7.7      NaN       NaN       Lotte Marines     PL
139     NaN   31  4.0  1066.1   5.4      6.5   0.7  NaN  0.4   4.4      2.9      NaN       NaN         Seibu Lions     PL
140     NaN   31  NaN    18.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN         Seibu Lions     PL
141     NaN   32  7.0   101.2   3.6     45.6   3.2  0.4  NaN   0.1     -1.0      NaN       NaN     Yakult Swallows     CL
142     NaN   32  8.0   446.1 -14.3    -41.2 -12.3 -2.1  NaN   0.0      1.5      NaN       NaN     Yakult Swallows     CL
143     NaN   32  9.0   136.1   1.3     12.3   0.0  1.3  NaN   0.0     -0.5      NaN       NaN     Yakult Swallows     CL
144     NaN   36  7.0   127.1   2.5     25.3   1.4  0.9  NaN   0.1     -1.2      NaN       NaN      Hiroshima Carp     CL
145     NaN   36  8.0  1040.1   5.0      6.2   4.3  0.6  NaN   0.1      3.5      NaN       NaN      Hiroshima Carp     CL
146     NaN   25  7.0     1.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN         Seibu Lions     PL
147     NaN   25  8.0   760.2   9.3     15.7   5.0  4.2  NaN   0.1      2.5      NaN       NaN         Seibu Lions     PL
148     NaN   22  7.0    31.0  -0.1     -4.2  -0.9  0.8  NaN   0.0     -0.3      NaN       NaN         Seibu Lions     PL
149     NaN   22  8.0   175.0   5.7     41.9   5.1  0.6  NaN   0.0      0.6      NaN       NaN         Seibu Lions     PL
150     NaN   22  9.0   306.1   0.2      0.8   3.3 -3.2  NaN   0.2     -1.2      NaN       NaN         Seibu Lions     PL
151     NaN   26  7.0    62.2   1.2     24.6  -0.3  1.4  NaN   0.0     -0.6      NaN       NaN      Yomiuri Giants     CL
152     NaN   26  8.0   244.0   5.5     29.0   4.8  0.7  NaN   0.0      0.8      NaN       NaN      Yomiuri Giants     CL
153     NaN   26  9.0    13.1  -2.3   -222.6  -2.1 -0.2  NaN   0.0     -0.1      NaN       NaN      Yomiuri Giants     CL
154     NaN   22  8.0   733.0  -1.6     -2.8  -5.8  4.1  NaN   0.1      2.4      NaN       NaN    Chunichi Dragons     CL
155     NaN   22  9.0   221.0  -7.8    -45.4  -5.4 -2.5  NaN   0.1     -0.9      NaN       NaN    Chunichi Dragons     CL
156     NaN   31  2.0   331.0   0.6      2.3   NaN  0.9  NaN  -0.3      4.7     -1.3       0.4      Yomiuri Giants     CL
157     NaN   31  3.0   262.1  -0.3     -1.5  -0.1  NaN -0.2   0.0     -2.9      NaN       NaN      Yomiuri Giants     CL
158     NaN   31  NaN    43.1   NaN      NaN   NaN  NaN  NaN   NaN     -0.5      NaN       NaN      Yomiuri Giants     CL
159     NaN   23  4.0     3.0  -0.3   -128.7  -0.3  NaN  0.0   0.0      0.0      NaN       NaN      Yomiuri Giants     CL
160     NaN   23  5.0    61.0   3.1     65.4   3.5  NaN -0.1  -0.4     -0.2      NaN       NaN      Yomiuri Giants     CL
161     NaN   23  6.0   863.1   6.0      8.9   9.0  NaN -0.3  -2.7      7.0      NaN       NaN      Yomiuri Giants     CL
162     NaN   28  2.0   408.0  -1.6     -5.0   NaN -1.9  NaN   0.3      5.8      8.8       0.1      ORIX Buffaloes     PL
