                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB%     GB% Chase%    Con% SwStr%   CSW%  FB Velo                Team League
52       Tsunehiro Hayato   2   1   0   0    0   0    0   52   11.0   15   0    7   4    0   1   1   3   3    2.45   3.18   4.22   1.73  122   94    116   -0.73   0.0%  13.5%   7.7%    5.8%   53.2%  23.4%   82.0%   7.8%  29.2%     89.7      Hiroshima Carp     CL
53          Yasaki Takuya  26   1   1   0   10   0    0  108   25.0   22   2   17  13    0   1   0  10  10    3.60   4.45   4.43   1.40   83  131    122   -0.85   1.9%  15.7%  12.0%    3.7%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
54          Azuma Katsuki  26  13   4   0    0   2    2  731  183.0  166  11  140  27    2   6   0  45  44    2.16   2.88   3.25   1.05  140   84     89   -0.72   1.5%  19.2%   3.7%   15.5%   46.3%  32.2%   79.8%   9.9%  30.7%     88.7       DeNA BayStars     CL
55            Diaz Yofrec   7   0   0   0    4   0    0   19    4.2    2   0    1   3    0   0   3   0   0    0.00   4.59   5.85   1.07  999  134    161   -4.59   0.0%   5.3%  15.8%  -10.5%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
56     Hamaguchi Haruhiro  11   2   4   0    0   1    0  229   52.2   47   3   45  29    0   1   0  26  19    3.25   3.83   4.10   1.44   93  112    113   -0.58   1.3%  19.7%  12.7%    7.0%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
57         Horioka Hayato   6   0   0   0    1   0    0   24    6.0    5   0    6   1    1   0   0   0   0    0.00   1.59   2.72   1.00  999   46     75   -1.59   0.0%  25.0%   4.2%   20.8%   54.3%  26.1%   64.5%  15.0%  30.9%     93.2       DeNA BayStars     CL
58             Ise Hiromu  37   2   3   0   18   0    0  129   32.1   28   5   28   5    0   2   1  13  13    3.62   4.02   3.02   1.02   83  117     83   -0.40   3.9%  21.7%   3.9%   17.8%   40.8%  30.1%   74.7%  11.9%  32.2%     91.5       DeNA BayStars     CL
59           Ishida Kenta   6   2   3   0    0   0    0  126   32.0   28   5   24   6    0   0   0  13  12    3.38   4.18   3.37   1.06   89  122     93   -0.80   4.0%  19.0%   4.8%   14.3%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
60          Ishida Yutaro  12   4   3   0    0   1    1  260   59.0   76   4   39  12    1   0   1  27  26    3.97   3.26   3.76   1.49   76   95    103    0.71   1.5%  15.0%   4.6%   10.4%   46.5%  25.7%   77.5%   9.5%  32.3%     90.3       DeNA BayStars     CL
61       Ishikawa Tatsuya  15   0   0   0    2   0    0   58   14.0   15   1    8   3    0   1   0   3   3    1.93   3.73   3.94   1.29  157  109    108   -1.80   1.7%  13.8%   5.2%    8.6%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
62          Jackson Andre  25   8   7   0    0   0    0  587  143.0  109   8  121  51    3   6   9  53  46    2.90   3.32   3.61   1.12  104   97     99   -0.42   1.4%  20.6%   8.7%   11.9%   52.2%  26.0%   79.3%   9.7%  27.1%     94.2       DeNA BayStars     CL
63      Kamichatani Taiga  18   2   2   0    1   0    0  110   22.2   32   3   16  11    2   1   0  14  11    4.37   4.99   4.35   1.90   69  146    119   -0.62   2.7%  14.5%  10.0%    4.5%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
64            Kay Anthony  24   6   9   0    0   1    0  590  136.2  130   6  119  53    5   7   4  61  52    3.42   3.23   3.68   1.34   88   95    101    0.19   1.0%  20.2%   9.0%   11.2%   57.8%  31.5%   75.6%  11.7%  29.1%     94.5       DeNA BayStars     CL
65           Kozono Kenta   1   0   1   0    0   0    0   18    2.2    7   0    3   3    0   0   0   5   5   16.88   4.21   4.80   3.75   18  123    132   12.67   0.0%  16.7%  16.7%    0.0%   53.8%  18.2%   83.8%   6.9%  23.0%     89.1       DeNA BayStars     CL
66         Kyoyama Masaya  23   2   1   0    5   0    0  103   22.1   18   0   20  18    4   0   3   7   5    2.01   3.71   4.61   1.61  150  109    127   -1.70   0.0%  19.4%  17.5%    1.9%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
67        Matsumoto Ryoto  10   0   0   0    1   0    0   50   10.2   10   0    3   6    1   2   0   7   7    5.91   4.78   5.40   1.50   51  140    148    1.13   0.0%   6.0%  12.0%   -6.0%   61.5%   9.7%   83.3%   6.2%  25.0%     93.5       DeNA BayStars     CL
68    Matsumoto Ryunosuke   1   0   0   0    0   0    0   22    5.0    6   0    4   3    0   0   0   2   2    3.60   3.29   4.35   1.80   84   96    119    0.31   0.0%  18.2%  13.6%    4.5%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
69         Mishima Kazuki   7   1   1   0    0   0    0   33    7.0    6   1    7   6    0   0   0   4   4    5.14   5.52   4.50   1.71   59  161    124   -0.38   3.0%  21.2%  18.2%    3.0%   45.5%  17.6%   92.2%   2.8%  22.9%     90.0       DeNA BayStars     CL
70           Miyagi Daita   1   0   0   0    0   0    0   12    2.0    3   0    4   3    0   0   0   3   3   13.50   3.59   3.97   3.00   22  105    109    9.91   0.0%  33.3%  25.0%    8.3%   49.3%  28.7%   76.8%  10.5%  29.3%     91.4       DeNA BayStars     CL
71             Mori Yuito  14   1   3   0    1   0    0  157   32.1   50   4   25   8    2   3   0  33  27    7.52   4.17   3.72   1.79   40  122    102    3.35   2.5%  15.9%   5.1%   10.8%   58.8%  25.7%   80.0%   7.1%  40.5%     87.0       DeNA BayStars     CL
72         Morihara Kohei  58   2   6  29   11   0    0  247   59.2   54   3   59  12    4   1   0  18  16    2.41   2.42   2.90   1.11  125   71     80   -0.01   1.2%  23.9%   4.9%   19.0%   45.0%  31.7%   77.8%  11.3%  29.8%     91.0       DeNA BayStars     CL
73        Nakagawa Hayate  29   3   0   1    5   0    0  250   57.0   65   3   36  13    0   6   0  30  28    4.42   3.51   3.88   1.37   68  103    107    0.91   1.2%  14.4%   5.2%    9.2%   52.0%  20.5%   80.2%  10.2%  23.9%     83.3       DeNA BayStars     CL
74           Nakagawa Koh  31   1   3   0   10   0    0  134   31.0   29   2   30  10    2   1   2  11  11    3.19   3.06   3.31   1.26   95   89     91    0.13   1.5%  22.4%   7.5%   14.9%   41.5%  32.8%   69.9%  14.0%  32.6%     91.3       DeNA BayStars     CL
75        Ohnuki Shinichi  15   6   7   0    0   0    0  370   88.1   78   6   58  24    0   4   0  35  28    2.85   3.61   3.88   1.15  106  105    107   -0.76   1.6%  15.7%   6.5%    9.2%   55.5%  28.8%   82.5%   8.3%  28.2%     89.0       DeNA BayStars     CL
76          Sakamoto Yuya  48   1   1   0   13   0    0  190   45.0   43   3   39  12    2   1   3  16  11    2.20   3.09   3.38   1.22  137   90     93   -0.89   1.6%  20.5%   6.3%   14.2%   45.5%  33.8%   74.6%  12.3%  29.3%     90.7       DeNA BayStars     CL
77         Sasaki Chihaya  28   0   1   1    6   0    0  158   37.0   30   3   28  17    2   2   0   9   8    1.95   4.17   4.10   1.27  155  122    113   -2.22   1.9%  17.7%  10.8%    7.0%   57.6%  20.9%   73.5%   9.9%  33.2%     87.8       DeNA BayStars     CL
78          Taira Kentaro   4   2   0   0    0   1    1  108   29.2   24   1   22   2    0   0   0   4   4    1.21   2.25   2.95   0.88  250   66     81   -1.04   0.9%  20.4%   1.9%   18.5%   47.6%  33.4%   79.4%   9.5%  28.8%     88.2       DeNA BayStars     CL
79         Tokuyama Souma  29   1   1   0    8   0    0  125   29.1   27   1   12  15    0   0   2  10   8    2.45   4.25   5.04   1.43  123  124    139   -1.80   0.8%   9.6%  12.0%   -2.4%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
