      Player  Age  Pos    Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
70       NaN   24  6.0  239.1   0.7      3.8  -0.4  NaN  0.6   0.4      2.0      NaN       NaN      ORIX Buffaloes     WL
71       NaN   24  8.0   29.0  -3.1   -137.6  -2.9 -0.2  NaN   0.0      0.1      NaN       NaN      ORIX Buffaloes     WL
72       NaN   24  9.0   46.0   0.8     22.4   0.5  0.3  NaN   0.0     -0.2      NaN       NaN      ORIX Buffaloes     WL
73       NaN   24  NaN   17.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN      ORIX Buffaloes     WL
74       NaN   23  7.0  381.0  -3.5    -11.8  -2.1 -1.6  NaN   0.2     -3.6      NaN       NaN      Hanshin Tigers     WL
75       NaN   23  9.0  125.2  -5.4    -55.3  -3.6 -1.9  NaN   0.1     -0.5      NaN       NaN      Hanshin Tigers     WL
76       NaN   23  NaN   99.1   NaN      NaN   NaN  NaN  NaN   NaN     -1.2      NaN       NaN      Hanshin Tigers     WL
77       NaN   22  7.0  114.1  -1.6    -18.0  -0.5 -1.2  NaN   0.1     -1.1      NaN       NaN      SoftBank Hawks     WL
78       NaN   22  8.0  507.0  -6.5    -16.5  -7.1  0.3  NaN   0.2      1.7      NaN       NaN      SoftBank Hawks     WL
79       NaN   22  9.0  335.0   1.0      3.8   0.5  1.2  NaN  -0.6     -1.3      NaN       NaN      SoftBank Hawks     WL
80       NaN   22  NaN    2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      SoftBank Hawks     WL
81       NaN   27  7.0  154.0  -0.8     -6.7  -0.2 -0.6  NaN   0.1     -1.5      NaN       NaN      Hanshin Tigers     WL
82       NaN   27  8.0   93.0  -2.0    -27.7  -2.0 -0.1  NaN   0.1      0.3      NaN       NaN      Hanshin Tigers     WL
83       NaN   27  9.0  247.2  -2.2    -11.4   0.4 -1.9  NaN  -0.7     -1.0      NaN       NaN      Hanshin Tigers     WL
84       NaN   27  NaN   75.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.9      NaN       NaN      Hanshin Tigers     WL
85       NaN   25  7.0   48.0  -0.8    -21.4  -1.1  0.3  NaN   0.0     -0.5      NaN       NaN     Yakult Swallows     EL
86       NaN   25  8.0   99.0   0.1      1.3   1.0 -0.9  NaN   0.1      0.3      NaN       NaN     Yakult Swallows     EL
87       NaN   25  9.0   26.0   1.1     54.4   1.4 -0.4  NaN   0.0     -0.1      NaN       NaN     Yakult Swallows     EL
88       NaN   25  NaN    9.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN     Yakult Swallows     EL
89       NaN   27  4.0    9.0   0.4     57.2   0.8  NaN  0.1  -0.5      0.0      NaN       NaN  Nipponham Fighters     EL
90       NaN   27  6.0   76.0   2.1     35.6   2.4  NaN -0.2  -0.1      0.6      NaN       NaN  Nipponham Fighters     EL
91       NaN   18  6.0  354.1 -10.0    -36.3  -6.8  NaN -0.9  -2.3      2.9      NaN       NaN  Nipponham Fighters     EL
92       NaN   18  NaN    9.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN  Nipponham Fighters     EL
93       NaN   18  4.0  283.2  -1.3     -5.9  -0.6  NaN  0.0  -0.6      0.8      NaN       NaN  Nipponham Fighters     EL
94       NaN   18  5.0   13.0   0.1      9.9   0.6  NaN -0.1  -0.4      0.0      NaN       NaN  Nipponham Fighters     EL
95       NaN   18  NaN   38.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.5      NaN       NaN  Nipponham Fighters     EL
96       NaN   25  4.0   81.0   4.6     73.1   3.3  NaN  0.2   1.1      0.2      NaN       NaN         Seibu Lions     EL
97       NaN   25  5.0    3.0   0.0      0.0   0.0  NaN  0.0   0.0      0.0      NaN       NaN         Seibu Lions     EL
98       NaN   25  6.0   40.0   2.1     67.6   1.5  NaN  0.0   0.7      0.3      NaN       NaN         Seibu Lions     EL
99       NaN   26  7.0   45.0   1.0     28.6   1.0  0.0  NaN   0.0     -0.4      NaN       NaN      Yomiuri Giants     EL
100      NaN   26  8.0   76.2  -0.4     -6.7   0.3 -0.7  NaN   0.0      0.3      NaN       NaN      Yomiuri Giants     EL
101      NaN   26  9.0   74.0  -0.4     -7.0  -0.1 -0.4  NaN   0.1     -0.3      NaN       NaN      Yomiuri Giants     EL
102      NaN   26  NaN   19.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN      Yomiuri Giants     EL
103      NaN   39  9.0    3.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN      Yomiuri Giants     EL
104      NaN   39  NaN   15.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN      Yomiuri Giants     EL
105      NaN   25  3.0  125.1  -2.4    -24.7  -2.6  NaN -0.1   0.3     -1.4      NaN       NaN       DeNA BayStars     EL
106      NaN   25  4.0  219.1  -1.7    -10.0  -2.8  NaN -0.3   1.4      0.6      NaN       NaN       DeNA BayStars     EL
107      NaN   25  5.0   52.0  -1.2    -29.7  -0.6  NaN -0.6   0.0     -0.2      NaN       NaN       DeNA BayStars     EL
108      NaN   25  6.0  123.0   1.3     13.6   1.4  NaN  0.5  -0.6      1.0      NaN       NaN       DeNA BayStars     EL
109      NaN   25  7.0   18.0  -0.9    -64.4  -0.8 -0.1  NaN   0.0     -0.2      NaN       NaN       DeNA BayStars     EL
110      NaN   25  8.0    6.0  -0.1    -21.4   0.1 -0.2  NaN   0.0      0.0      NaN       NaN       DeNA BayStars     EL
111      NaN   23  4.0  112.0   0.6      6.9  -0.7  NaN  0.1   1.2      0.3      NaN       NaN      Rakuten Eagles     EL
112      NaN   23  5.0   11.0   0.0      0.0  -0.1  NaN  0.0   0.1      0.0      NaN       NaN      Rakuten Eagles     EL
113      NaN   23  7.0   40.0  -0.4    -12.9  -0.6  0.1  NaN   0.0     -0.4      NaN       NaN      Rakuten Eagles     EL
114      NaN   23  8.0   36.0   3.9    139.4   3.1  0.8  NaN   0.0      0.1      NaN       NaN      Rakuten Eagles     EL
115      NaN   23  9.0   80.0   1.3     20.9   1.1  0.1  NaN   0.1     -0.3      NaN       NaN      Rakuten Eagles     EL
116      NaN   23  NaN    2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      Rakuten Eagles     EL
117      NaN   23  2.0  190.1  -1.7    -11.5   NaN -1.5  NaN  -0.2      2.7      3.3       0.1       DeNA BayStars     EL
118      NaN   23  3.0   20.2  -1.3    -80.8  -0.7  NaN  0.0  -0.6     -0.2      NaN       NaN       DeNA BayStars     EL
119      NaN   23  9.0    4.1   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN       DeNA BayStars     EL
