               Pitcher  G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB%            Team League
53          Tojo Taiki  2  1  0   0   0    0   8   1.2   3   0   2   0    0   0   0   0   0   0.00   0.64   2.30  1.80  999   19     62   -0.64   0.0%   25.0%   0.0%   25.0%   Lotte Marines     PL
54      Matsumoto Yuki  2  0  0   0   0    0   7   2.0   0   0   3   1    0   0   0   0   0   0.00   1.54   1.94  0.50  999   47     53   -1.54   0.0%   42.9%  14.3%   28.6%  SoftBank Hawks     PL
55   Kuribayashi Ryoji  3  0  1   1   0    0  14   2.2   4   0   3   2    1   0   0   1   1   3.38   3.04   4.09  2.25   94   96    110    0.34   0.0%   21.4%  14.3%    7.1%  Hiroshima Carp     CL
56    Kirishiki Takuma  5  1  0   0   0    0  24   6.0   5   0   7   2    0   0   0   2   1   1.50   1.70   2.72  1.17  217   53     73   -0.20   0.0%   29.2%   8.3%   20.8%  Hanshin Tigers     CL
57        Mori Ryotaro  1  0  0   0   0    0   8   2.0   2   0   1   0    0   0   0   1   1   4.50   2.04   3.55  1.00   75   60     96    2.46   0.0%   12.5%   0.0%   12.5%   Lotte Marines     PL
58    Morishita Masato  1  0  0   0   0    0  20   5.1   3   0   1   1    0   0   0   0   0   0.00   3.22   4.80  0.75  999  102    130   -3.22   0.0%    5.0%   5.0%    0.0%  Hiroshima Carp     CL
59      Morihara Kohei  1  0  0   0   0    0   1   0.1   0   0   1   0    0   0   0   0   0   0.00  -2.96  -5.20  0.00  999  -90   -141    2.96   0.0%  100.0%   0.0%  100.0%   DeNA BayStars     CL
60         Higa Motoki  2  0  0   0   0    0   7   1.1   3   0   1   0    0   0   0   1   1   6.75   1.54   3.37  2.25   47   48     91    5.21   0.0%   14.3%   0.0%   14.3%  ORIX Buffaloes     PL
61        Tsumori Yuki  2  0  0   0   0    0   6   1.0   4   1   0   0    0   0   0   3   3  27.00  16.04   4.80  4.00   12  486    130   10.96  16.7%    0.0%   0.0%    0.0%  SoftBank Hawks     PL
62        Yuasa Atsuki  2  1  0   0   0    0   4   1.1   0   0   2   0    0   0   0   0   0   0.00   0.04  -0.20  0.00  999    1     -5   -0.04   0.0%   50.0%   0.0%   50.0%  Hanshin Tigers     CL
63   Sawamura Hirokazu  4  0  0   0   0    0  18   3.2   5   0   3   2    0   0   0   3   3   7.36   3.04   4.24  1.91   46   90    115    4.33   0.0%   16.7%  11.1%    5.6%   Lotte Marines     PL
64      Sawada Keisuke  4  0  0   0   0    0  15   4.0   2   1   3   0    0   1   0   2   2   4.50   5.54   2.80  0.50   75  164     76   -1.04   6.7%   20.0%   0.0%   20.0%   Lotte Marines     PL
65        Tajima Daiki  2  0  0   0   0    0  49  13.0   8   0   6   5    1   0   0   4   4   2.77   3.27   4.60  1.00  115  103    124   -0.50   0.0%   12.2%  10.2%    2.0%  ORIX Buffaloes     PL
66        Masuda Naoya  2  0  0   1   0    0   7   2.0   0   0   3   1    0   0   0   0   0   0.00   1.54   1.94  0.50  999   45     53   -1.54   0.0%   42.9%  14.3%   28.6%   Lotte Marines     PL
67       Yasaki Takuya  2  0  0   0   0    0   8   1.1   1   0   0   3    1   0   0   1   1   6.75   9.79   8.55  3.00   47  308    231   -3.04   0.0%    0.0%  37.5%  -37.5%  Hiroshima Carp     CL
68        Ishii Daichi  6  0  0   0   0    0  17   4.0   4   0   4   1    0   0   0   0   0   0.00   1.79   3.04  1.25  999   55     82   -1.79   0.0%   23.5%   5.9%   17.6%  Hanshin Tigers     CL
69    Ishikawa Tatsuya  1  0  0   0   0    0   2   0.2   0   0   1   0    0   0   0   0   0   0.00   0.04  -0.20  0.00  999    1     -5   -0.04   0.0%   50.0%   0.0%   50.0%   DeNA BayStars     CL
