                   Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%    BB%  BB/K   wSB PullAIR%  Chase%  Z-Con%  Swing% SwStr%    TTO% Age  Pos  B                Team League
296      Matsuba Takahiro   11   15   13   0    0   0   0   0    0    1   0   0   2   0    9    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000   60.0%   0.0%  0.00   0.0     0.0%   27.3%   61.1%   40.7%  18.6%   60.0%  32    1  L    Chunichi Dragons     CL
297      Matsuyama Shinya   36    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000    0.0%   0.0%         0.0     0.0%    0.0%  100.0%   20.0%   0.0%    0.0%  23    1  R    Chunichi Dragons     CL
298        Mejia Humberto    8   17   15   0    1   1   0   0    2    1   0   0   2   0    6    0    0   0    0  0.067  0.067  0.133  0.200   -44  0.066  0.111   35.3%   0.0%  0.00   0.0    18.2%   40.7%   88.9%   46.0%  12.7%   35.3%        1       Chunichi Dragons     CL
299           Miya Taisei    6    7    7   2    2   0   0   0    2    0   0   0   0   0    1    0    0   0    0  0.286  0.286  0.286  0.572    78  0.000  0.333   14.3%   0.0%  0.00  -0.0    16.7%   37.5%   81.8%   66.7%  19.0%   14.3%  20    2  L    Chunichi Dragons     CL
300      Miyoshi Hironori   30   17   13   6    2   1   0   0    3    0   3   2   1   0    4    1    0   2    0  0.154  0.313  0.231  0.544    71  0.077  0.222   23.5%   5.9%  0.25  -0.2    16.7%   30.2%   91.3%   48.6%  13.5%   29.4%  25    7  L    Chunichi Dragons     CL
301       Mizowaki Hayato   59   45   40   5    7   2   0   0    9    3   1   0   2   0   12    2    0   1    0  0.175  0.233  0.225  0.458    41  0.050  0.250   26.7%   4.4%  0.17   0.2    16.7%   27.1%   74.6%   51.4%  16.6%   31.1%  29  UTL  L    Chunichi Dragons     CL
302       Muramatsu Kaito   98  304  275  20   57   4   1   1   66   20   1   2  10   2   49   15    0   2    2  0.207  0.252  0.240  0.492    52  0.033  0.247   16.1%   4.9%  0.31  -0.5     4.6%   24.8%   93.1%   46.5%   7.0%   21.4%  22    4  L    Chunichi Dragons     CL
303          Nakachi Reia    9   15   14   0    0   0   0   0    0    0   0   0   1   0    9    0    0   0    1  0.000  0.000  0.000  0.000  -107  0.000  0.000   60.0%   0.0%  0.00   0.0     0.0%   23.5%   70.0%   40.7%  11.9%   60.0%  22    1  R    Chunichi Dragons     CL
304             Neo Akira    2    5    5   0    1   0   0   0    1    0   0   0   0   0    2    0    0   0    0  0.200  0.200  0.200  0.400    22  0.000  0.333   40.0%   0.0%  0.00  -0.0    33.3%   38.5%   80.0%   50.0%  30.0%   40.0%  23    1  L    Chunichi Dragons     CL
305  Ogasawara Shinnosuke   25   52   47   1    5   1   0   0    6    2   0   0   3   0   28    1    0   1    0  0.106  0.143  0.128  0.271   -19  0.022  0.263   53.8%   1.9%  0.04  -0.0     4.5%   39.3%   75.4%   46.1%  18.1%   55.8%  25    1  L    Chunichi Dragons     CL
