Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Tamamura Shogo,6,1,3,0,0,0,.250,124,29,,30,5,8,0,2,23,1,0,16,15,4.66,Hiroshima Carp,
Tanaka Norihiko,26,4,1,3,0,0,.800,134,31,,28,1,19,0,1,24,3,0,19,19,5.52,Hiroshima Carp,
Toda Takaya,8,0,0,0,0,0,.000,38,6,.1,15,2,3,0,2,6,0,0,11,10,14.21,Hiroshima Carp,
Tokoda Hiroki,1,0,0,0,0,0,.000,25,6,,4,0,3,0,0,5,0,0,1,1,1.50,Hiroshima Carp,
Turley Nik,5,2,0,1,0,0,1.000,17,5,,1,0,1,0,0,7,0,2,0,0,0.00,Hiroshima Carp,
Yabuta Kazuki,21,7,1,3,0,0,.875,221,54,.1,39,1,22,0,4,44,4,0,14,14,2.32,Hiroshima Carp,
Yamaguchi Sho,14,0,1,1,0,0,.000,65,13,.2,17,0,8,0,1,6,0,0,11,8,5.27,Hiroshima Carp,
Yasaki Takuya,1,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Ariyoshi Yuki,17,6,1,0,0,0,.857,294,69,.2,78,5,13,0,1,32,2,0,24,19,2.45,DeNA BayStars,
Asada Sota,22,0,6,1,0,0,.000,152,25,.2,34,3,43,0,2,9,3,0,43,34,11.92,DeNA BayStars,
Azuma Katsuki,11,4,2,0,0,0,.667,185,46,.2,39,3,4,0,0,43,0,0,15,12,2.31,DeNA BayStars,
Cordero Starlin,28,1,7,0,0,0,.125,179,35,,38,3,34,0,7,34,5,0,38,35,9.00,DeNA BayStars,
Fukazawa Osuke,4,0,0,0,0,0,.000,20,4,.2,6,0,0,0,0,5,0,0,3,2,3.86,DeNA BayStars,
Gsellman Robert,3,0,0,0,0,0,.000,16,2,.2,5,0,1,0,0,3,0,0,6,1,3.38,DeNA BayStars,
Hamaguchi Haruhiro,2,0,0,0,0,0,.000,41,10,.1,5,1,6,0,0,9,0,0,2,2,1.74,DeNA BayStars,
Hirata Shingo,2,0,1,0,0,0,.000,10,2,,3,0,1,0,0,3,0,0,1,1,4.50,DeNA BayStars,
Ikeya Sota,31,2,2,0,0,0,.500,127,30,.1,26,2,14,0,1,26,3,0,13,9,2.67,DeNA BayStars,
Imanaga Shota,3,1,0,0,0,0,1.000,51,15,,5,0,3,0,0,19,0,0,0,0,0.00,DeNA BayStars,
Ishida Kenta,4,1,1,0,0,0,.500,77,18,.2,16,1,5,0,0,21,0,0,7,4,1.93,DeNA BayStars,
Ishikawa Tatsuya,22,2,1,2,0,0,.667,119,32,.2,17,1,9,0,0,41,0,0,4,4,1.10,DeNA BayStars,
Kamichatani Taiga,7,2,2,0,0,0,.500,120,29,,31,3,5,0,3,27,2,0,15,13,4.03,DeNA BayStars,
Kato Dai,3,0,1,0,0,0,.000,15,3,,5,0,3,0,1,3,2,0,3,3,9.00,DeNA BayStars,
Kozono Kenta,3,0,0,0,0,0,.000,19,4,.2,3,0,1,0,0,1,0,0,1,0,0.00,DeNA BayStars,
