#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/71075150.html>Sato Ryunosuke</a>,2,0,1,0,0,0,45,10.0,11,0,11,4,0,0,0,3,3,2.70,2.62,3.24,1.50,109,69,86,0.08,0.0%,24.4%,8.9%,15.6%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,23,L,W
,<a href=https://npb.jp/bis/eng/players/71075159.html>Sugihara Mirai</a>,2,0,0,0,0,0,6,2.0,0,0,0,1,0,0,0,0,0,0.00,5.12,6.47,0.50,999,135,172,-5.12,0.0%,0.0%,16.7%,-16.7%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,20,L,W
,<a href=https://npb.jp/bis/eng/players/51055159.html>Sugita Takeru</a>,3,0,0,0,0,0,16,5.0,1,0,3,0,0,0,0,0,0,0.00,2.42,2.92,0.20,999,64,78,-2.42,0.0%,18.8%,0.0%,18.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/41045159.html>Taka Taichi</a>,2,0,1,0,0,0,41,9.0,10,0,6,2,0,1,1,6,4,4.00,3.29,3.82,1.33,74,86,101,0.71,0.0%,14.6%,4.9%,9.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,L,W
,<a href=https://npb.jp/bis/eng/players/01005134.html>Takahashi Kouya</a>,5,0,0,1,0,0,20,5.0,2,0,4,3,0,0,0,1,1,1.80,3.82,4.30,1.00,164,101,114,-2.02,0.0%,20.0%,15.0%,5.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,L,W
,<a href=https://npb.jp/bis/eng/players/61265150.html>Takeshita Kaito</a>,2,0,1,0,0,0,11,1.0,5,0,0,1,0,0,0,4,0,0.00,6.62,5.71,6.00,999,174,151,-6.62,0.0%,0.0%,9.1%,-9.1%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,19,L,W
,<a href=https://npb.jp/bis/eng/players/41245151.html>Tamamura Shogo</a>,2,2,0,0,1,0,43,12.0,9,0,6,2,0,0,0,2,2,1.50,3.12,3.87,0.92,197,82,103,-1.62,0.0%,14.0%,4.7%,9.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/31435159.html>Tsunehiro Hayato</a>,1,0,0,0,0,0,4,1.0,0,0,0,1,0,0,0,0,0,0.00,6.62,7.30,1.00,999,174,194,-6.62,0.0%,0.0%,25.0%,-25.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/41445136.html>Baba Kosuke</a>,1,0,0,0,0,0,6,1.0,3,0,1,1,0,0,0,1,1,9.00,4.62,4.80,4.00,34,118,127,4.38,0.0%,16.7%,16.7%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,31,R,C
,<a href=https://npb.jp/bis/eng/players/13715150.html>Duplantier Jon</a>,1,1,0,0,0,0,19,5.0,1,0,2,2,0,1,0,0,0,0.00,4.62,4.80,0.60,999,118,127,-4.62,0.0%,10.5%,10.5%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,31,R,C
