Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Ohnishi Hiroki,Yakult,R,0.6666666667,2,87.6,0.0,0.0,0.0,66.66666667,100.0,0.0,100.0,100.0,,0.0,0.0,0.0,66.66666667,33.33333333,50.0,,66.66666667,50.0,0.0,50.0,0.0,0.0,50.0,0.0,,50.0,0.0,50.0,50.0,66.66666667,66.66666667,33.33333333,33.33333333,66.66666667,0.0,0.0,66.66666667
Kajiya Ren,Rakuten,R,0.3333333333,1,89.2,0.0,0.0,0.0,71.42857143,100.0,60.0,60.0,50.0,66.66666667,28.57142857,40.0,28.57142857,71.42857143,28.57142857,100.0,0.0,71.42857143,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,28.57142857,42.85714286,57.14285714,14.28571429,85.71428571,0.0,0.0,57.14285714
Katsuno Akiyoshi,Chunichi,R,0.3333333333,4,93.4,0.0,25.0,-25.0,23.07692308,0.0,27.27272727,66.66666667,,66.66666667,7.692307692,33.33333333,15.38461538,38.46153846,61.53846154,66.66666667,0.0,30.76923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.38461538,46.15384615,53.84615385,38.46153846,61.53846154,0.0,15.38461538,53.84615385
Ikeda Takahide,Nipponham,R,0.3333333333,1,89.5,0.0,0.0,0.0,100.0,100.0,,100.0,100.0,,0.0,0.0,0.0,100.0,0.0,100.0,,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Abreu Albert,Chunichi,R,0.3333333333,6,95.1,0.0,16.66666667,-16.66666667,37.5,70.0,14.28571429,88.88888889,100.0,50.0,4.166666667,11.11111111,16.66666667,50.0,50.0,50.0,0.0,33.33333333,40.0,40.0,20.0,0.0,40.0,60.0,0.0,0.0,20.0,20.0,60.0,0.0,41.66666667,45.83333333,54.16666667,29.16666667,70.83333333,4.166666667,29.16666667,37.5
Tanaka Chiharu,Rakuten,R,0.3333333333,4,92.2,25.0,0.0,25.0,50.0,50.0,50.0,66.66666667,100.0,33.33333333,16.66666667,33.33333333,41.66666667,75.0,25.0,25.0,100.0,50.0,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,0.0,33.33333333,66.66666667,0.0,50.0,41.66666667,58.33333333,25.0,75.0,0.0,0.0,50.0
Toumatsu Kaisei,ORIX,L,0.3333333333,3,92.8,33.33333333,66.66666667,-33.33333333,16.66666667,37.5,0.0,33.33333333,33.33333333,,11.11111111,66.66666667,38.88888889,44.44444444,55.55555556,66.66666667,10.0,44.44444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,44.44444444,44.44444444,55.55555556,11.11111111,88.88888889,0.0,5.555555556,22.22222222
Shimamoto Hiroya,Nipponham,L,0.3333333333,1,0.0,0.0,0.0,0.0,66.66666667,,66.66666667,100.0,,100.0,0.0,0.0,0.0,66.66666667,33.33333333,0.0,,66.66666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0,33.33333333,66.66666667,33.33333333,66.66666667,0.0,0.0,100.0
Akagi Seiya,Hiroshima,R,0.3333333333,6,91.8,0.0,16.66666667,-16.66666667,58.62068966,83.33333333,18.18181818,88.23529412,93.33333333,50.0,6.896551724,11.76470588,17.24137931,68.96551724,31.03448276,66.66666667,0.0,55.17241379,80.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,60.0,40.0,0.0,62.06896552,55.17241379,44.82758621,24.13793103,75.86206897,6.896551724,10.34482759,37.93103448
Fuji Yamato,Seibu,L,0.0,5,90.5,0.0,0.0,0.0,46.42857143,75.0,8.33333333,100.0,100.0,100.0,0.0,0.0,14.28571429,60.71428571,39.28571429,40.0,0.0,42.85714286,20.0,80.0,0.0,80.0,0.0,80.0,20.0,25.0,40.0,20.0,40.0,40.0,57.14285714,46.42857143,53.57142857,46.42857143,53.57142857,10.71428571,25.0,39.28571429
