Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Kinoshita Rito,Hanshin,R,2.333333333,12,95.7,8.33333333,0.0,8.33333333,46.80851064,70.83333333,21.73913043,72.72727273,88.23529412,20.0,12.76595745,27.27272727,25.53191489,61.70212766,38.29787234,66.66666667,8.333333333,51.06382979,63.63636364,27.27272727,9.090909091,27.27272727,0.0,36.36363636,16.66666667,66.66666667,9.090909091,54.54545455,36.36363636,9.090909091,51.06382978723404,59.57446808510638,40.42553191489361,25.53191489361702,74.46808510638297,8.51063829787234,8.51063829787234,23.404255319148938
Shimizu Noboru,Yakult,R,2.333333333,8,92.1,25.0,0.0,25.0,65.38461538,73.33333333,54.54545455,70.58823529,72.72727273,66.66666667,19.23076923,29.41176471,34.61538462,80.76923077,19.23076923,75.0,22.22222222,76.92307692,83.33333333,16.66666667,0.0,16.66666667,0.0,16.66666667,0.0,0.0,33.33333333,50.0,16.66666667,0.0,57.692307692307686,65.38461538461539,34.61538461538461,30.76923076923077,69.23076923076923,11.538461538461538,0.0,30.76923076923077
Hirano Yoshihisa,ORIX,R,2.0,9,86.5,11.11111111,0.0,11.11111111,60.71428571,78.57142857,42.85714286,82.35294118,90.90909091,66.66666667,10.71428571,17.64705882,21.42857143,71.42857143,28.57142857,66.66666667,16.66666667,60.71428571,62.5,25.0,12.5,25.0,0.0,37.5,11.11111111,50.0,50.0,37.5,12.5,0.0,50.0,67.85714285714286,32.142857142857146,28.57142857142857,71.42857142857143,3.571428571428571,10.714285714285714,50.0
Oyokawa Masaki,Hanshin,L,2.0,9,89.7,11.11111111,11.11111111,0.0,47.5,66.66666667,26.31578947,94.73684211,100.0,80.0,2.5,5.263157895,20.0,65.0,35.0,77.77777778,8.333333333,57.5,42.85714286,42.85714286,14.28571429,42.85714286,0.0,57.14285714,11.11111111,33.33333333,57.14285714,28.57142857,14.28571429,42.85714286,52.5,50.0,50.0,42.5,57.49999999999999,10.0,12.5,27.500000000000004
Mataki Teppei,Yomiuri,L,2.0,8,90.5,12.5,12.5,0.0,50.0,58.82352941,43.47826087,85.0,100.0,70.0,7.5,15.0,25.0,67.5,32.5,62.5,6.666666667,65.0,33.33333333,66.66666667,0.0,50.0,16.66666667,66.66666667,0.0,0.0,33.33333333,33.33333333,33.33333333,16.66666667,42.5,40.0,60.0,52.5,47.5,5.0,12.5,37.5
Izumi Keisuke,Yomiuri,R,2.0,8,91.7,12.5,12.5,0.0,38.88888889,61.11111111,16.66666667,92.85714286,100.0,66.66666667,2.777777778,7.142857143,22.22222222,58.33333333,41.66666667,50.0,11.11111111,52.77777778,33.33333333,50.0,16.66666667,33.33333333,16.66666667,66.66666667,0.0,0.0,33.33333333,66.66666667,0.0,16.66666667,50.0,25.0,75.0,38.88888888888889,61.11111111111112,5.555555555555555,19.444444444444446,11.11111111111111
Umeno Yugo,Chunichi,R,2.0,14,93.2,21.42857143,28.57142857,-7.14285714,34.32835821,42.30769231,29.26829268,82.60869565,90.90909091,75.0,5.970149254,17.39130435,26.86567164,56.71641791,43.28358209,50.0,15.0,50.74626866,42.85714286,57.14285714,0.0,57.14285714,0.0,57.14285714,0.0,0.0,42.85714286,0.0,57.14285714,28.57142857,38.80597014925373,41.7910447761194,58.2089552238806,32.83582089552239,67.16417910447761,4.477611940298507,19.402985074626866,49.25373134328358
Yagi Akira,Lotte,R,2.0,7,91.8,14.28571429,0.0,14.28571429,57.69230769,81.25,20.0,80.0,84.61538462,50.0,11.53846154,20.0,23.07692308,69.23076923,30.76923077,42.85714286,14.28571429,65.38461538,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,50.0,16.66666667,33.33333333,16.66666667,61.53846153846154,73.07692307692307,26.923076923076923,69.23076923076923,30.76923076923077,7.6923076923076925,15.384615384615383,11.538461538461538
Nakagawa Koh,DeNA,R,2.0,7,93.3,57.14285714,0.0,57.14285714,56.25,66.66666667,50.0,55.55555556,87.5,30.0,25.0,44.44444444,37.5,68.75,31.25,57.14285714,36.36363636,65.625,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,33.33333333,0.0,66.66666667,33.33333333,37.5,59.375,40.625,46.875,53.125,3.125,6.25,59.375
Ruiz Jose,DeNA,R,2.0,8,93.8,25.0,0.0,25.0,62.5,93.75,31.25,65.0,73.33333333,40.0,21.875,35.0,25.0,65.625,34.375,50.0,25.0,59.375,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,33.33333333,33.33333333,33.33333333,0.0,50.0,59.375,40.625,43.75,56.25,9.375,6.25,53.125
Fuji Yamato,Seibu,L,2.0,14,91.0,21.42857143,7.14285714,14.28571429,42.64705882,67.64705882,17.64705882,75.86206897,78.26086957,66.66666667,10.29411765,24.13793103,26.47058824,58.82352941,41.17647059,28.57142857,16.66666667,48.52941176,40.0,60.0,0.0,50.0,10.0,60.0,7.142857143,16.66666667,50.0,20.0,30.0,30.0,50.0,38.23529411764706,61.76470588235294,54.41176470588235,45.588235294117645,14.705882352941178,22.058823529411764,30.88235294117647
Tamai Taisho,Nipponham,R,2.0,5,90.1,20.0,0.0,20.0,41.66666667,50.0,35.71428571,80.0,100.0,60.0,8.333333333,20.0,29.16666667,62.5,37.5,0.0,12.5,62.5,75.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,75.0,0.0,0.0,41.66666666666667,37.5,62.5,29.166666666666668,70.83333333333334,0.0,4.166666666666666,12.5
Ishiguro Yuya,Hanshin,R,2.0,7,91.2,57.14285714,14.28571429,42.85714286,43.33333333,61.53846154,29.41176471,46.15384615,75.0,0.0,23.33333333,53.84615385,40.0,60.0,40.0,71.42857143,33.33333333,60.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,43.333333333333336,36.66666666666666,63.33333333333333,36.66666666666666,63.33333333333333,10.0,6.666666666666667,6.666666666666667
Yamashiro Kyohei,Yomiuri,L,1.666666667,13,90.4,7.69230769,23.07692308,-15.38461538,34.32835821,58.33333333,20.93023256,73.91304348,78.57142857,66.66666667,8.955223881,26.08695652,23.88059701,52.23880597,47.76119403,30.76923077,5.263157895,44.7761194,57.14285714,14.28571429,28.57142857,14.28571429,0.0,42.85714286,0.0,0.0,14.28571429,42.85714286,42.85714286,0.0,35.82089552238806,37.3134328358209,62.68656716417911,35.82089552238806,64.17910447761194,4.477611940298507,23.88059701492537,2.985074626865672
Suzuki Kenya,Hiroshima,R,1.666666667,10,81.6,10.0,10.0,0.0,51.51515152,78.57142857,31.57894737,88.23529412,100.0,66.66666667,6.060606061,11.76470588,15.15151515,60.60606061,39.39393939,33.33333333,16.66666667,48.48484848,50.0,0.0,50.0,0.0,0.0,50.0,10.0,,50.0,50.0,0.0,12.5,42.42424242424242,57.57575757575758,42.42424242424242,30.303030303030305,69.6969696969697,3.0303030303030303,15.151515151515152,36.36363636363637
Nakagawa Hayate,DeNA,R,1.666666667,10,83.7,10.0,10.0,0.0,55.55555556,86.66666667,16.66666667,86.66666667,92.30769231,50.0,7.407407407,13.33333333,14.81481481,62.96296296,37.03703704,60.0,50.0,44.44444444,62.5,12.5,25.0,12.5,0.0,37.5,0.0,0.0,37.5,37.5,25.0,0.0,55.55555555555556,62.96296296296296,37.03703703703704,14.814814814814811,85.18518518518519,3.7037037037037033,11.11111111111111,40.74074074074074
Sakamoto Koshiro,Lotte,L,1.333333333,5,93.2,40.0,0.0,40.0,52.63157895,63.63636364,37.5,50.0,57.14285714,33.33333333,26.31578947,50.0,47.36842105,73.68421053,26.31578947,80.0,40.0,68.42105263,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,0.0,66.66666667,33.33333333,0.0,57.89473684210527,36.84210526315789,63.1578947368421,47.368421052631575,52.63157894736842,5.263157894736842,15.789473684210526,36.84210526315789
Ohno Kazuo,SoftBank,L,1.333333333,8,90.2,12.5,12.5,0.0,42.30769231,73.33333333,0.0,90.90909091,90.90909091,,3.846153846,9.090909091,19.23076923,57.69230769,42.30769231,62.5,20.0,46.15384615,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,16.66666667,33.33333333,50.0,0.0,57.692307692307686,23.07692307692308,76.92307692307693,42.30769230769231,57.692307692307686,3.8461538461538463,11.538461538461538,46.15384615384615
Horioka Hayato,DeNA,R,1.0,5,93.0,20.0,20.0,0.0,60.86956522,88.88888889,42.85714286,78.57142857,100.0,50.0,13.04347826,21.42857143,17.39130435,65.2173913,34.7826087,80.0,10.0,60.86956522,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.66666667,33.33333333,0.0,0.0,39.130434782608695,43.47826086956522,56.52173913043478,39.130434782608695,60.86956521739131,8.695652173913043,8.695652173913043,21.73913043478261
Tajima Daiki,ORIX,L,1.0,6,88.5,0.0,0.0,0.0,36.84210526,60.0,11.11111111,71.42857143,83.33333333,0.0,10.52631579,28.57142857,26.31578947,57.89473684,42.10526316,33.33333333,0.0,42.10526316,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,83.33333333,16.66666667,0.0,52.63157894736842,63.1578947368421,36.84210526315789,52.63157894736842,47.368421052631575,0.0,15.789473684210526,36.84210526315789
Mameda Taishi,Seibu,R,1.0,4,91.4,0.0,0.0,0.0,54.54545455,71.42857143,25.0,100.0,100.0,100.0,0.0,0.0,18.18181818,72.72727273,27.27272727,100.0,0.0,63.63636364,75.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,50.0,25.0,0.0,63.63636363636363,45.45454545454545,54.54545454545454,36.36363636363637,63.63636363636363,18.181818181818183,9.090909090909092,9.090909090909092
Takaya Shu,ORIX,R,1.0,9,92.1,11.11111111,11.11111111,0.0,31.57894737,52.94117647,14.28571429,91.66666667,100.0,66.66666667,2.631578947,8.333333333,23.68421053,52.63157895,47.36842105,66.66666667,12.5,39.47368421,28.57142857,57.14285714,14.28571429,42.85714286,14.28571429,71.42857143,11.11111111,25.0,57.14285714,28.57142857,14.28571429,28.57142857,44.73684210526316,50.0,50.0,44.73684210526316,55.26315789473685,5.263157894736842,26.31578947368421,28.947368421052637
Miyagi Daita,DeNA,R,1.0,5,91.9,40.0,0.0,40.0,56.25,55.55555556,57.14285714,66.66666667,80.0,50.0,18.75,33.33333333,43.75,81.25,18.75,80.0,40.0,68.75,33.33333333,33.33333333,33.33333333,33.33333333,0.0,66.66666667,0.0,0.0,66.66666667,0.0,33.33333333,66.66666667,56.25,56.25,43.75,37.5,62.5,0.0,0.0,68.75
