Pitcher,G,W,L,SV,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Shimada Shunya,2,0,0,0,0,0,0,.000,21,5.2,2,0,3,0,0,3,1,0,0,0,0.00,DeNA BayStars,
Shimizu Manato,2,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Shinogi Kentaro,2,0,0,1,0,0,0,.000,16,4,1,0,3,0,1,3,0,0,2,2,4.50,DeNA BayStars,
Shoji Haruto,3,1,0,0,0,0,0,1.000,15,4,3,0,1,0,0,2,1,0,0,0,0.00,DeNA BayStars,
Taira Kentaro,1,1,0,0,0,0,0,1.000,20,5,5,0,0,0,0,5,0,0,0,0,0.00,DeNA BayStars,
Takeda Riku,2,0,1,1,0,0,0,.000,19,4,5,0,2,0,0,6,0,0,3,3,6.75,DeNA BayStars,
Takeda Yu,1,0,0,0,0,0,0,.000,20,4.2,4,0,1,0,0,4,0,0,3,1,1.93,DeNA BayStars,
Wakamatsu Naoki,5,1,0,0,0,0,0,1.000,19,5,1,0,2,0,0,3,0,0,0,0,0.00,DeNA BayStars,
Akahoshi Yuji,1,0,0,1,0,0,0,.000,19,4,3,1,2,0,1,5,0,0,4,3,6.75,Yomiuri Giants,
Bandoh Yugo,1,0,0,0,0,0,0,.000,4,1,1,1,0,0,0,0,0,0,1,1,9.00,Yomiuri Giants,
Heinai Ryuta,3,0,0,0,0,0,0,.000,13,3,2,0,2,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Horie Shotaro,1,0,0,0,0,0,0,.000,4,1,0,0,1,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Hotta Kenshin,3,0,0,0,0,0,0,.000,16,4,1,0,4,0,0,5,0,0,0,0,0.00,Yomiuri Giants,
Inoue Haruto,3,2,0,0,0,0,0,1.000,68,17,14,1,4,0,0,26,0,0,2,1,0.53,Yomiuri Giants,
Kohno Yusaku,4,0,0,0,0,0,0,.000,15,5,4,0,1,0,0,1,0,0,1,1,1.80,Yomiuri Giants,
Mataki Teppei,2,2,0,0,0,0,0,1.000,45,12,10,1,2,0,0,10,1,0,3,3,2.25,Yomiuri Giants,
Matsuura Keito,4,0,1,0,0,0,0,.000,22,5,7,0,1,0,0,6,0,0,3,3,5.40,Yomiuri Giants,
Miyahara Shunsuke,5,0,0,0,0,0,0,.000,24,5.1,5,0,2,0,0,8,1,1,4,3,5.06,Yomiuri Giants,
Morita Shunya,2,1,1,0,0,0,0,.500,34,9,4,0,3,0,0,4,1,0,4,1,1.00,Yomiuri Giants,
Ota Taisei,1,0,0,0,0,0,0,.000,4,1,0,0,0,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Shiroki Yamato,2,0,1,0,0,0,0,.000,19,5,4,0,0,0,0,3,0,0,1,1,1.80,Yomiuri Giants,
Sonoda Atsuki,2,0,1,0,0,0,0,.000,35,8,11,1,3,1,0,4,0,0,3,3,3.38,Yomiuri Giants,
Tamura Tomoki,1,0,0,0,0,0,0,.000,6,1,2,0,1,0,0,0,1,0,1,1,9.00,Yomiuri Giants,
Tanaka Masahiro,1,0,1,0,0,0,0,.000,17,3,5,0,3,0,0,1,0,0,2,2,6.00,Yomiuri Giants,
Tawa Ren,4,0,0,0,0,0,0,.000,15,4,2,0,1,0,1,2,0,0,0,0,0.00,Yomiuri Giants,
Togo Shosei,1,0,0,0,0,0,0,.000,25,6,6,1,2,0,0,8,0,0,3,3,4.50,Yomiuri Giants,
Tomishige Eijiro,4,1,1,0,0,0,0,.500,14,3.2,1,0,2,0,0,2,0,0,2,0,0.00,Yomiuri Giants,
Whitley Forrest,1,0,0,0,0,0,0,.000,16,4,4,0,1,0,0,4,0,0,0,0,0.00,Yomiuri Giants,
Yamada Ryusei,2,0,1,0,0,0,0,.000,38,8,9,1,6,0,0,3,2,0,7,7,7.88,Yomiuri Giants,
Yamashiro Kyohei,1,0,0,0,0,0,0,.000,24,5,3,0,5,0,2,3,1,0,0,0,0.00,Yomiuri Giants,
Hasegawa Hiroki,3,0,0,0,0,0,0,.000,17,3,4,1,3,0,1,3,1,0,3,3,9.00,Yakult Swallows,
Iida Ryuto,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Ishihara Yuki,2,1,0,0,0,0,0,1.000,23,5,5,0,3,0,0,9,0,0,3,3,5.40,Yakult Swallows,
Ishiyama Taichi,5,0,1,0,0,0,0,.000,19,5,4,1,1,0,0,5,0,0,4,4,7.20,Yakult Swallows,
Kozawa Reiji,2,0,1,0,0,0,0,.000,19,4.1,4,0,3,0,0,5,0,0,4,4,8.31,Yakult Swallows,
Maruyama Shota,4,0,0,1,0,0,0,.000,14,4,0,0,1,0,0,5,0,0,0,0,0.00,Yakult Swallows,
Masui Shohta,2,0,0,0,0,0,0,.000,41,10,8,0,3,0,0,5,0,0,2,2,1.80,Yakult Swallows,
Matsumoto Kengo,1,0,0,0,0,0,0,.000,20,4,7,0,1,0,0,3,0,0,2,2,4.50,Yakult Swallows,
Nishidate Kota,1,0,0,0,0,0,0,.000,4,1,1,1,0,0,0,1,0,0,1,1,9.00,Yakult Swallows,
Nishihama Yuusei,2,0,0,0,0,0,0,.000,8,2,0,0,1,0,1,1,0,0,0,0,0.00,Yakult Swallows,
Numata Shohei,2,0,0,0,0,0,0,.000,10,1,5,0,0,0,0,0,1,0,4,3,27.00,Yakult Swallows,
Ogawa Yasuhiro,1,0,1,0,0,0,0,.000,22,5,7,1,1,0,0,3,0,0,2,2,3.60,Yakult Swallows,
Ohmichi Haruki,2,0,0,1,0,0,0,.000,8,2,1,1,0,0,0,3,0,0,1,1,4.50,Yakult Swallows,
Okugawa Yasunobu,1,0,0,0,0,0,0,.000,23,6,4,1,1,0,0,4,0,0,2,2,3.00,Yakult Swallows,
Sakaguchi Kousuke,3,1,1,0,0,0,0,.500,15,3,4,1,1,0,1,1,0,0,2,1,3.00,Yakult Swallows,
Sakamoto Takumi,1,0,0,0,0,0,0,.000,8,2,0,0,2,0,0,2,1,0,0,0,0.00,Yakult Swallows,
Satoh Takuma,3,1,0,0,0,0,0,1.000,13,3.1,2,0,2,0,0,2,0,0,0,0,0.00,Yakult Swallows,
Shimokawa Shunsuke,3,1,1,0,0,0,0,.500,51,12.2,9,1,5,0,1,9,0,0,3,3,2.13,Yakult Swallows,
Taguchi Kazuto,1,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,2,0,0,0,0,0.00,Yakult Swallows,
Takahashi Keiji,2,0,0,0,0,0,0,.000,19,5,3,0,1,0,0,5,0,0,0,0,0.00,Yakult Swallows,
Takanashi Hirotoshi,1,0,0,0,0,0,0,.000,20,6,2,0,0,0,0,9,0,0,1,0,0.00,Yakult Swallows,
Takeyama Hyuga,3,0,0,0,0,0,0,.000,14,3,4,0,2,0,0,1,0,0,1,1,3.00,Yakult Swallows,
Walters Nash,2,0,1,0,0,0,0,.000,20,5,6,1,1,0,0,3,1,0,2,2,3.60,Yakult Swallows,
Yasaki Takuya,2,0,0,0,0,0,0,.000,8,2,1,0,2,0,0,0,0,0,0,0,0.00,Yakult Swallows,
Arima Keito,1,0,1,0,0,0,0,.000,9,2,2,0,1,0,0,1,0,0,2,2,9.00,Chunichi Dragons,
Fujishima Kento,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,Chunichi Dragons,
Fuku Hiroto,4,0,0,2,0,0,0,.000,13,4,1,0,0,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
Fukuda Konosuke,2,0,0,1,0,0,0,.000,17,4.1,3,0,2,0,0,2,1,0,0,0,0.00,Chunichi Dragons,
Habu Shohta,3,0,0,0,0,0,0,.000,13,3,2,0,2,0,1,0,0,0,0,0,0.00,Chunichi Dragons,
Hashimoto Yuki,2,0,0,0,0,0,0,.000,8,2,2,0,0,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
Inoue Kenya,4,0,0,0,0,0,0,.000,15,4,1,0,3,0,0,4,0,0,0,0,0.00,Chunichi Dragons,
Itoh Mao,3,0,0,0,0,0,0,.000,15,3,4,1,2,0,0,1,0,0,3,3,9.00,Chunichi Dragons,
Kanemaru Yumeto,1,0,1,0,0,0,0,.000,21,5,5,0,2,0,0,5,1,0,1,1,1.80,Chunichi Dragons,
Katsuno Akiyoshi,1,0,0,0,0,0,0,.000,2,0.1,1,0,0,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Kondo Ren,1,0,0,0,0,0,0,.000,5,1,0,0,2,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
Matsuba Takahiro,1,0,0,0,0,0,0,.000,13,3,4,1,0,0,0,2,0,0,2,2,6.00,Chunichi Dragons,
Matsukihira Yuta,3,0,1,0,0,0,0,.000,53,11,17,3,5,0,0,4,0,0,12,10,8.18,Chunichi Dragons,
Miura Mizuki,2,2,0,0,0,0,0,1.000,37,9,11,0,3,0,0,1,0,0,3,3,3.00,Chunichi Dragons,
Moriyama Akio,2,1,0,0,0,0,0,1.000,47,12,12,1,0,0,0,7,0,0,6,6,4.50,Chunichi Dragons,
Muller Kyle,1,0,0,0,0,0,0,.000,16,3,4,0,2,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
