Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Canario Alexander,Seibu,R,9,33.33333333,11.11111111,22.22222222,52.27272727,81.81818182,22.72727273,82.60869565,83.33333333,80.0,9.090909091,17.39130435,18.18181818,59.09090909,20.0,80.0,0.0,20.0,60.0,80.0,0.0,0.0,20.0,20.0,60.0,20.0
Koga Yudai,Yakult,R,9,0.0,0.0,0.0,66.66666667,72.22222222,50.0,100.0,100.0,100.0,0.0,0.0,20.83333333,75.0,77.77777778,22.22222222,0.0,0.0,22.22222222,22.22222222,0.0,0.0,44.44444444,33.33333333,22.22222222,11.11111111
Lin An-Ko,Seibu,L,9,11.11111111,0.0,11.11111111,48.38709677,68.75,26.66666667,80.0,90.90909091,50.0,9.677419355,20.0,25.80645161,58.06451613,42.85714286,42.85714286,14.28571429,28.57142857,14.28571429,57.14285714,0.0,0.0,42.85714286,28.57142857,28.57142857,28.57142857
Viciedo Dayan,DeNA,R,9,11.11111111,0.0,11.11111111,50.0,83.33333333,21.42857143,92.30769231,100.0,66.66666667,3.846153846,7.692307692,11.53846154,53.84615385,50.0,37.5,12.5,37.5,0.0,50.0,0.0,0.0,37.5,25.0,37.5,25.0
Ohta Hikaru,Rakuten,R,9,11.11111111,22.22222222,-11.11111111,33.33333333,52.94117647,15.78947368,66.66666667,66.66666667,66.66666667,11.11111111,33.33333333,33.33333333,47.22222222,33.33333333,50.0,16.66666667,50.0,0.0,66.66666667,0.0,0.0,33.33333333,66.66666667,0.0,33.33333333
Miyazaki Toshiro,DeNA,R,9,0.0,0.0,0.0,36.11111111,57.14285714,6.666666667,100.0,100.0,100.0,0.0,0.0,25.0,58.33333333,44.44444444,44.44444444,11.11111111,33.33333333,11.11111111,55.55555556,0.0,0.0,44.44444444,33.33333333,22.22222222,11.11111111
Tatsumi Ryosuke,Rakuten,L,9,33.33333333,11.11111111,22.22222222,44.73684211,82.35294118,14.28571429,70.58823529,78.57142857,33.33333333,13.15789474,29.41176471,21.05263158,44.73684211,60.0,40.0,0.0,40.0,0.0,40.0,0.0,0.0,40.0,40.0,20.0,0.0
Kurebayashi Kotaro,ORIX,R,9,11.11111111,0.0,11.11111111,51.85185185,64.28571429,38.46153846,78.57142857,88.88888889,60.0,11.11111111,21.42857143,29.62962963,59.25925926,50.0,37.5,12.5,12.5,25.0,50.0,11.11111111,33.33333333,37.5,37.5,25.0,12.5
Kojima Taiga,Seibu,L,8,0.0,0.0,0.0,61.9047619,69.23076923,50.0,76.92307692,88.88888889,50.0,14.28571429,23.07692308,33.33333333,66.66666667,25.0,50.0,25.0,25.0,25.0,75.0,0.0,0.0,37.5,12.5,50.0,12.5
Umino Takashi,SoftBank,R,8,12.5,0.0,12.5,66.66666667,78.94736842,37.5,77.77777778,80.0,66.66666667,14.81481481,22.22222222,25.92592593,70.37037037,28.57142857,42.85714286,28.57142857,42.85714286,0.0,71.42857143,0.0,0.0,28.57142857,14.28571429,57.14285714,28.57142857
Imamiya Kenta,SoftBank,R,8,25.0,0.0,25.0,51.72413793,62.5,38.46153846,73.33333333,100.0,20.0,13.79310345,26.66666667,34.48275862,68.96551724,50.0,50.0,0.0,16.66666667,33.33333333,50.0,0.0,0.0,50.0,16.66666667,33.33333333,16.66666667
Tonosaki Shuta,Seibu,R,8,12.5,12.5,0.0,40.90909091,57.14285714,12.5,66.66666667,75.0,0.0,13.63636364,33.33333333,31.81818182,63.63636364,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,33.33333333,50.0,16.66666667,0.0
Hayashi Takuma,DeNA,L,8,25.0,12.5,12.5,56.66666667,71.42857143,43.75,70.58823529,90.0,42.85714286,16.66666667,29.41176471,30.0,66.66666667,20.0,60.0,20.0,40.0,20.0,80.0,0.0,0.0,20.0,20.0,60.0,20.0
Matsukawa Kou,Lotte,R,8,12.5,0.0,12.5,43.33333333,62.5,21.42857143,92.30769231,100.0,66.66666667,3.333333333,7.692307692,23.33333333,53.33333333,42.85714286,42.85714286,14.28571429,42.85714286,0.0,57.14285714,0.0,0.0,14.28571429,57.14285714,28.57142857,0.0
Seymour Bob,ORIX,L,8,25.0,0.0,25.0,60.71428571,69.23076923,53.33333333,82.35294118,88.88888889,75.0,10.71428571,17.64705882,25.0,71.42857143,16.66666667,66.66666667,16.66666667,50.0,16.66666667,83.33333333,0.0,0.0,0.0,50.0,50.0,0.0
Urata Shunsuke,Yomiuri,L,7,14.28571429,0.0,14.28571429,48.27586207,56.25,38.46153846,92.85714286,100.0,80.0,3.448275862,7.142857143,27.5862069,65.51724138,83.33333333,0.0,16.66666667,0.0,0.0,16.66666667,0.0,,33.33333333,50.0,16.66666667,0.0
