Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Kawano Kei,8,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kikuchi Ryosuke,120,485,442,51,114,17,0,5,146,27,7,5,8,1,68,32,1,2,6,0.258,0.310,0.330,0.640,95,0.072,0.295,21.6%,14.0%,6.6%,0.47,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kozono Kaito,80,306,290,25,83,11,7,6,126,31,8,4,4,0,38,10,1,2,7,0.286,0.315,0.434,0.749,127,0.148,0.313,17.6%,12.4%,3.3%,0.26,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kuri Aren,26,54,45,1,2,0,0,0,2,0,0,0,9,0,25,0,0,0,0,0.044,0.044,0.044,0.088,-74,0.000,0.100,46.3%,46.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kurohara Takumi,5,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Matsuyama Ryuhei,79,156,143,5,36,9,0,0,45,27,0,0,0,2,27,10,0,1,4,0.252,0.301,0.315,0.616,88,0.063,0.305,23.7%,17.3%,6.4%,0.37,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
McBroom Ryan,70,259,226,21,50,12,0,6,80,31,1,0,0,4,56,28,1,1,9,0.221,0.305,0.354,0.659,100,0.133,0.262,34.7%,21.6%,10.8%,0.50,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Mori Shohei,12,15,10,1,2,0,0,0,2,1,0,0,3,0,2,2,0,0,0,0.200,0.333,0.200,0.533,65,0.000,0.250,26.7%,13.3%,13.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Morishita Masato,20,41,35,3,6,2,0,1,11,4,0,0,5,0,12,1,0,0,0,0.171,0.194,0.314,0.508,52,0.143,0.227,34.1%,29.3%,2.4%,0.08,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nakamura Shosei,18,20,20,2,3,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0.150,0.150,0.150,0.300,-9,0.000,0.231,35.0%,35.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
