Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Kemna Makoto,19,4,4,0,1,1,.500,346,80,.2,79,2,28,0,4,47,3,2,35,31,3.46,Hiroshima Carp,
Kuri Aren,1,1,0,0,0,0,1.000,22,7,,1,0,1,0,0,6,0,0,0,0,0.00,Hiroshima Carp,
Lawrence Casey,21,4,7,0,0,0,.364,462,105,.2,125,12,15,0,7,73,2,0,59,53,4.51,Hiroshima Carp,
Mena Alfredo,9,2,3,0,0,0,.400,130,28,.2,31,1,12,0,4,24,2,1,19,11,3.45,Hiroshima Carp,
Montilla Emailin,13,2,4,0,0,0,.333,285,64,.2,69,2,28,0,0,62,5,2,23,20,2.78,Hiroshima Carp,
Nagai Ryota,13,1,0,0,0,0,1.000,51,11,.2,8,0,7,0,0,7,4,0,6,5,3.86,Hiroshima Carp,
Nagakawa Katsuhiro,18,0,3,1,0,0,.000,68,16,,20,0,3,0,0,6,1,0,11,11,6.19,Hiroshima Carp,
Nakamura Kyohei,5,0,1,0,0,0,.000,26,6,,7,0,1,0,0,10,1,0,4,3,4.50,Hiroshima Carp,
Nakamura Yuta,25,4,4,0,0,0,.500,273,65,.1,62,6,17,0,1,40,2,0,33,29,3.99,Hiroshima Carp,
Nakata Ren,15,0,1,2,0,0,.000,57,15,,11,1,3,0,0,16,0,0,1,1,0.60,Hiroshima Carp,
Nakazaki Shota,10,1,0,0,0,0,1.000,45,10,,13,0,3,0,1,5,0,0,4,4,3.60,Hiroshima Carp,
Nomura Yusuke,4,1,0,0,1,1,1.000,103,25,.2,28,0,4,0,0,22,0,1,9,9,3.16,Hiroshima Carp,
Okada Akitake,23,1,2,1,0,0,.333,106,24,.1,20,0,11,0,3,16,1,0,9,8,2.96,Hiroshima Carp,
Regnault Kyle,8,0,0,1,0,0,.000,31,8,.1,3,0,2,0,0,12,0,0,0,0,0.00,Hiroshima Carp,
Shimauchi Sotaro,18,0,1,3,0,0,.000,82,21,,16,1,5,0,0,19,1,0,6,6,2.57,Hiroshima Carp,
Takahashi Mikiya,20,3,3,0,0,0,.500,111,21,.2,38,1,7,0,2,19,0,0,21,20,8.31,Hiroshima Carp,
Tanaka Norihiko,4,0,0,0,0,0,.000,19,4,,7,0,1,0,1,2,0,0,1,1,2.25,Hiroshima Carp,
Toda Takaya,21,0,0,0,0,0,.000,76,18,,18,2,5,0,0,10,0,0,8,7,3.50,Hiroshima Carp,
Yabuta Kazuki,20,6,8,1,0,0,.429,396,92,.2,91,9,37,0,5,51,8,0,44,41,3.98,Hiroshima Carp,
Yamaguchi Sho,16,6,6,0,0,0,.500,417,93,.2,102,9,42,0,1,57,5,0,53,46,4.42,Hiroshima Carp,
Yasaki Takuya,34,2,3,0,0,0,.400,149,35,.1,25,4,21,0,0,35,6,0,20,18,4.58,Hiroshima Carp,
Yokoyama Hiroki,11,0,0,0,0,0,.000,37,7,.2,9,1,6,0,0,2,0,0,3,2,2.35,Hiroshima Carp,
Akama Ken,38,1,0,2,0,0,1.000,163,40,.1,32,0,13,0,1,37,4,0,9,7,1.56,DeNA BayStars,
Ayabe Kakeru,3,0,0,0,0,0,.000,15,3,,3,1,4,0,0,3,0,0,2,2,6.00,DeNA BayStars,
Azuma Katsuki,9,4,1,0,0,0,.800,149,40,.2,20,3,9,0,2,47,0,0,11,9,1.99,DeNA BayStars,
Barrios Edison,22,1,2,1,0,0,.333,206,45,.2,61,0,11,0,3,39,3,1,36,25,4.93,DeNA BayStars,
Cordero Remy,14,0,0,0,0,0,.000,103,17,.1,24,2,28,0,2,14,4,1,28,24,12.46,DeNA BayStars,
Fujioka Yoshiaki,10,0,0,1,0,0,.000,41,9,.2,10,0,3,0,0,10,0,0,2,2,1.86,DeNA BayStars,
Hamaguchi Haruhiro,6,0,1,0,0,0,.000,94,24,,20,3,7,0,0,22,1,0,7,7,2.63,DeNA BayStars,
Hamaya Kodai,25,1,6,2,0,0,.143,268,59,,63,6,33,0,4,60,3,0,31,29,4.42,DeNA BayStars,
Hirata Shingo,41,2,4,6,0,0,.333,192,47,.1,38,0,15,0,4,53,2,0,21,17,3.23,DeNA BayStars,
Iizuka Satoshi,14,3,6,0,0,0,.333,217,46,.2,55,5,21,0,3,27,6,0,35,27,5.21,DeNA BayStars,
Ino Shoichi,9,3,6,0,0,0,.333,197,45,.2,58,5,8,0,2,42,1,0,27,25,4.93,DeNA BayStars,
Ishida Kenta,5,0,0,0,0,0,.000,19,4,.2,4,0,1,0,0,6,0,0,0,0,0.00,DeNA BayStars,
Kamichatani Taiga,1,0,0,0,0,0,.000,20,4,,7,0,1,0,0,1,1,0,3,3,6.75,DeNA BayStars,
Kasai Takamasa,22,2,0,1,0,0,1.000,115,29,,19,1,10,0,1,20,1,0,7,6,1.86,DeNA BayStars,
Katsumata Atsushi,17,2,3,0,0,0,.400,225,48,,46,4,38,0,1,37,3,0,45,38,7.13,DeNA BayStars,
Komura Toru,3,0,0,0,0,0,.000,20,4,,1,0,8,0,0,0,0,0,4,3,6.75,DeNA BayStars,
Kumabara Kento,3,0,1,0,0,0,.000,13,3,,4,0,0,0,0,1,0,0,1,1,3.00,DeNA BayStars,
Kyoyama Masaya,15,7,5,0,0,0,.583,375,90,,83,4,29,0,4,87,2,0,34,26,2.60,DeNA BayStars,
Mikami Tomoya,9,0,0,3,0,0,.000,41,9,.1,13,1,0,0,0,10,0,0,3,3,2.89,DeNA BayStars,
Miyagi Daita,16,3,6,0,0,0,.333,193,41,.1,43,5,27,0,5,28,3,0,34,28,6.10,DeNA BayStars,
Muto Yuta,15,0,1,4,0,0,.000,60,13,.2,14,0,5,0,0,14,2,0,6,4,2.63,DeNA BayStars,
Nakagawa Koo,20,11,3,1,0,0,.786,433,104,,81,4,50,0,2,93,14,2,33,26,2.25,DeNA BayStars,
Nakaushiro Yuhei,44,5,0,4,0,0,1.000,191,46,.1,24,0,27,1,4,47,1,0,8,6,1.17,DeNA BayStars,
Onuki Shinichi,9,3,1,0,0,0,.750,116,28,,23,2,10,0,1,21,2,0,13,10,3.21,DeNA BayStars,
Patton Spencer,2,0,0,0,0,0,.000,7,2,,1,0,0,0,0,3,0,0,0,0,0.00,DeNA BayStars,
Saito Shunsuke,25,2,0,1,0,0,1.000,131,31,,32,0,8,0,2,28,2,0,14,13,3.77,DeNA BayStars,
Sakaguchi Kosuke,20,4,6,0,1,0,.400,425,94,.1,93,5,60,0,5,69,7,0,56,49,4.67,DeNA BayStars,
Sakurai Shuto,22,3,2,0,0,0,.600,135,32,,24,0,17,0,1,24,2,0,10,8,2.25,DeNA BayStars,
Shindo Takuya,36,2,1,2,0,0,.667,177,42,.2,28,1,27,0,0,62,5,0,14,13,2.74,DeNA BayStars,
Solis Sammy,2,0,0,0,0,0,.000,9,2,,1,0,2,0,0,3,0,0,0,0,0.00,DeNA BayStars,
Sunada Yoshiki,28,1,1,5,0,0,.500,116,29,,22,0,5,0,1,32,1,0,3,3,0.93,DeNA BayStars,
Taira Kentaro,8,2,0,0,0,0,1.000,115,29,.2,24,1,3,0,1,25,0,1,9,6,1.82,DeNA BayStars,
Tamura Jo,22,3,1,0,0,0,.750,130,24,.1,29,3,22,0,7,17,2,0,35,34,12.58,DeNA BayStars,
Terada Koki,18,1,0,0,0,0,1.000,114,21,,34,2,11,0,6,16,4,0,28,23,9.86,DeNA BayStars,
Adames Samuel,37,1,3,0,0,0,.250,192,44,.2,51,2,9,0,2,30,1,2,19,15,3.02,Yomiuri Giants,
Cook Ryan,15,1,1,0,0,0,.500,111,25,.1,29,1,9,0,1,21,0,0,15,14,4.97,Yomiuri Giants,
De La Rosa Rubby,2,0,0,0,0,0,.000,6,2,,0,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Fujioka Takahiro,17,4,0,1,0,0,1.000,113,29,.1,18,3,12,0,3,16,3,0,11,9,2.76,Yomiuri Giants,
Furukawa Yuri,7,3,2,0,0,0,.600,136,31,.2,29,3,11,0,1,34,2,0,16,10,2.84,Yomiuri Giants,
Hashimoto Atsuro,4,0,0,0,0,0,.000,25,5,.2,6,0,4,0,0,4,0,0,2,2,3.18,Yomiuri Giants,
Hatake Seishu,7,1,3,0,0,0,.250,178,41,.2,40,6,10,0,3,32,1,0,25,16,3.46,Yomiuri Giants,
Hirai Kaisei,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Horioka Hayato,29,0,1,9,0,0,.000,137,34,.2,16,0,14,0,2,39,1,1,5,4,1.04,Yomiuri Giants,
Ikeda Shun,38,4,3,3,0,0,.571,226,55,,43,4,20,0,2,41,2,0,20,16,2.62,Yomiuri Giants,
Imamura Nobutaka,8,4,0,0,0,0,1.000,189,47,.2,34,2,18,0,1,31,1,0,9,7,1.32,Yomiuri Giants,
Iwakuma Hisashi,2,0,0,0,0,0,.000,7,2,,0,0,0,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Jungmann Taylor,15,5,2,0,0,0,.714,293,72,,56,4,30,0,4,52,3,0,20,13,1.63,Yomiuri Giants,
Kuwahara Takuya,40,3,2,3,0,0,.600,170,42,.2,31,2,14,0,1,50,1,0,15,14,2.95,Yomiuri Giants,
Mathieson Scott,7,1,0,0,0,0,1.000,27,7,,7,1,0,0,0,9,0,0,3,3,3.86,Yomiuri Giants,
Mercedes Cristopher Crisostomo,4,0,0,0,0,0,.000,68,18,,15,0,2,0,0,18,0,0,3,0,0.00,Yomiuri Giants,
Miyaguni Ryosuke,17,0,1,1,0,0,.000,65,17,,9,1,5,0,0,19,0,0,6,5,2.65,Yomiuri Giants,
Morifuku Masahiko,41,2,2,4,0,0,.500,146,39,.1,26,3,3,0,4,51,0,0,8,7,1.60,Yomiuri Giants,
Naoe Daisuke,3,0,1,0,0,0,.000,27,5,,8,1,4,0,0,2,0,0,6,6,10.80,Yomiuri Giants,
Nogami Ryoma,19,2,2,0,0,0,.500,195,47,.2,45,4,9,0,1,39,2,0,17,16,3.02,Yomiuri Giants,
Numata Shohei,3,0,0,0,0,0,.000,38,9,,7,0,4,0,0,8,0,0,2,2,2.00,Yomiuri Giants,
Oe Ryusei,23,2,4,0,0,0,.333,192,42,.2,48,6,16,0,3,46,1,0,25,24,5.06,Yomiuri Giants,
Otake Kan,10,0,1,0,0,0,.000,110,24,,31,2,4,0,2,10,3,0,18,14,5.25,Yomiuri Giants,
Ramos Reimin,4,1,0,0,0,0,1.000,28,6,,4,1,3,0,2,4,0,0,2,2,3.00,Yomiuri Giants,
Sakamoto Koki,23,4,5,0,0,0,.444,285,71,.1,50,10,20,0,5,70,2,0,29,26,3.28,Yomiuri Giants,
Sakurai Toshiki,3,0,0,0,0,0,.000,25,6,,4,0,3,0,0,5,0,0,2,2,3.00,Yomiuri Giants,
Sawamura Hirokazu,5,1,2,0,0,0,.333,98,24,.2,20,2,5,0,0,25,0,0,9,9,3.28,Yomiuri Giants,
Taguchi Kazuto,8,1,2,0,1,0,.333,157,37,,36,5,12,0,0,37,2,0,19,18,4.38,Yomiuri Giants,
Tahara Seiji,28,1,1,2,0,0,.500,113,24,.1,30,4,9,0,2,25,0,0,13,12,4.44,Yomiuri Giants,
Takagi Kyosuke,13,0,0,2,0,0,.000,48,12,.2,6,1,2,0,1,14,0,0,2,2,1.42,Yomiuri Giants,
Takahashi Yuki,9,2,2,0,0,0,.500,118,29,,21,1,11,0,1,25,0,0,11,9,2.79,Yomiuri Giants,
Takai Suguru,7,2,1,0,0,0,.667,34,7,.2,8,2,4,0,0,8,1,0,4,4,4.70,Yomiuri Giants,
Takata Hosei,20,6,6,0,0,0,.500,456,108,.1,119,4,20,0,6,87,3,1,44,36,2.99,Yomiuri Giants,
Tanaka Yudai,7,0,0,0,0,0,.000,40,9,,4,0,6,0,3,14,1,1,1,1,1.00,Yomiuri Giants,
Tatsumi Daisuke,1,0,1,0,0,0,.000,9,1,,3,0,1,0,0,0,0,0,5,1,9.00,Yomiuri Giants,
Togo Shosei,11,4,1,0,0,0,.800,169,42,,44,3,8,0,2,44,6,1,14,14,3.00,Yomiuri Giants,
Tone Chiaki,7,0,1,1,0,0,.000,22,5,.1,5,1,2,0,1,7,0,0,2,2,3.38,Yomiuri Giants,
Uehara Koji,9,0,0,0,0,0,.000,38,9,,11,2,1,0,0,10,0,0,4,4,4.00,Yomiuri Giants,
Yamaguchi Shun,2,1,0,0,0,0,1.000,45,11,,11,0,4,0,0,6,1,0,2,1,0.82,Yomiuri Giants,
Yamakami Shingo,1,0,1,0,0,0,.000,6,1,,2,0,0,0,1,0,0,0,2,2,18.00,Yomiuri Giants,
Yamakawa Tomohiro,21,2,1,1,0,0,.667,152,32,.1,39,5,16,0,1,28,1,0,14,12,3.34,Yomiuri Giants,
Yamashita Amon,2,0,0,0,0,0,.000,8,2,,1,0,1,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Yokogawa Kai,4,1,1,0,0,0,.500,55,12,,13,2,7,0,0,6,1,0,8,8,6.00,Yomiuri Giants,
Yonahara Hirotaka,2,0,0,0,0,0,.000,9,2,,3,1,1,0,0,0,0,0,1,1,4.50,Yomiuri Giants,
Yoshikawa Mitsuo,14,3,1,1,0,0,.750,98,23,.2,16,1,11,0,2,28,2,0,7,4,1.52,Yomiuri Giants,
Buchanan David,7,2,2,0,0,0,.500,138,31,,38,3,8,0,3,17,0,0,17,17,4.94,Yakult Swallows,
Hara Juri,3,1,0,0,0,0,1.000,45,11,.2,8,1,3,0,0,9,0,1,5,5,3.86,Yakult Swallows,
Higuma Julius,23,2,1,0,0,0,.667,284,62,.1,59,9,38,0,5,38,1,1,42,38,5.49,Yakult Swallows,
Hirai Ryo,15,1,0,1,0,0,1.000,58,14,.1,9,2,4,0,0,12,0,0,6,4,2.51,Yakult Swallows,
Hoshi Tomoya,10,0,2,0,0,0,.000,54,11,,14,3,8,0,1,9,0,0,14,14,11.45,Yakult Swallows,
Ichikawa Yuta,18,1,0,0,0,0,1.000,87,19,.1,13,1,13,0,3,22,1,0,8,6,2.79,Yakult Swallows,
Igarashi Ryota,6,1,0,1,0,0,1.000,29,5,.2,10,0,2,0,1,6,0,1,6,5,7.94,Yakult Swallows,
Ishikawa Masanori,1,0,0,0,0,0,.000,6,2,,0,0,0,0,0,3,0,0,0,0,0.00,Yakult Swallows,
Ishiyama Taichi,5,0,0,1,0,0,.000,18,5,,2,0,1,0,0,6,0,0,0,0,0.00,Yakult Swallows,
Iwahashi Keiji,15,2,4,0,0,0,.333,178,41,,44,5,13,0,1,28,2,0,28,17,3.73,Yakult Swallows,
Kanakubo Yuto,13,0,1,0,0,0,.000,86,16,.1,24,3,11,0,2,8,3,0,16,15,8.27,Yakult Swallows,
Kazahari Ren,31,2,1,11,0,0,.667,130,32,.1,25,1,8,0,1,33,0,0,6,4,1.11,Yakult Swallows,
Kondo Kazuki,2,0,0,0,0,0,.000,9,2,,2,0,1,0,0,3,0,0,1,0,0.00,Yakult Swallows,
Kubo Takuma,42,3,1,1,0,0,.750,189,45,.1,34,0,19,0,4,54,1,0,15,14,2.78,Yakult Swallows,
Kuramoto Harutaka,38,4,3,1,0,0,.571,168,39,,40,3,8,0,3,16,6,0,22,18,4.15,Yakult Swallows,
Muranaka Kyohei,17,4,1,0,0,0,.800,100,21,.1,21,1,19,0,4,18,2,0,13,11,4.64,Yakult Swallows,
Nakao Hikaru,36,2,1,0,0,0,.667,153,36,,32,7,14,0,0,48,8,0,21,18,4.50,Yakult Swallows,
Nakazawa Masato,43,1,4,3,0,0,.200,151,36,.2,29,1,9,0,5,37,3,1,11,11,2.70,Yakult Swallows,
Numata Takumi,17,0,0,0,0,0,.000,114,22,,25,1,21,0,3,20,5,2,22,15,6.14,Yakult Swallows,
Oshita Yuma,22,2,3,1,0,0,.400,92,23,.1,14,5,8,0,0,21,1,0,10,10,3.86,Yakult Swallows,
Sakamoto Koshiro,28,2,2,4,0,0,.500,154,35,.1,30,3,22,2,3,33,2,0,16,14,3.57,Yakult Swallows,
Shimizu Noboru,17,5,9,0,0,0,.357,391,90,.1,94,8,34,0,1,82,4,0,52,45,4.48,Yakult Swallows,
Suarez Albert,4,1,2,0,0,0,.333,49,11,,13,1,4,0,0,8,1,0,6,5,4.09,Yakult Swallows,
Suzuki Yuta,19,0,2,0,0,0,.000,108,19,.1,30,3,19,0,3,11,4,1,23,18,8.38,Yakult Swallows,
Tagawa Kengo,16,4,5,0,2,1,.444,340,82,.2,76,11,28,0,1,69,2,0,35,34,3.70,Yakult Swallows,
Takahashi Keiji,3,1,0,0,0,0,1.000,58,16,,8,0,4,0,0,17,0,0,2,2,1.13,Yakult Swallows,
Takanashi Hirotoshi,10,3,2,1,0,0,.600,214,51,.1,47,6,18,0,0,52,5,0,21,19,3.33,Yakult Swallows,
Tateyama Shohei,19,4,5,0,0,0,.444,393,92,,85,4,44,0,4,80,4,0,44,38,3.72,Yakult Swallows,
Terahara Hayato,14,2,4,0,0,0,.333,255,54,.2,68,9,32,1,4,31,0,0,41,39,6.42,Yakult Swallows,
Terashima Naruki,24,2,2,1,0,0,.500,185,43,.1,35,6,28,1,1,27,1,1,23,22,4.57,Yakult Swallows,
Yagi Shogo,41,4,3,1,0,0,.571,171,38,,50,6,16,1,5,23,6,0,20,20,4.74,Yakult Swallows,
Yamada Hiroki,12,0,1,0,0,0,.000,214,49,.2,50,3,14,0,3,63,1,0,17,17,3.08,Yakult Swallows,
Yamakawa Koji,1,0,0,0,0,0,.000,5,1,,0,0,1,0,1,1,0,0,0,0,0.00,Yakult Swallows,
Yamanaka Hirofumi,18,5,7,1,0,0,.417,407,96,,105,8,18,0,7,42,3,0,41,38,3.56,Yakult Swallows,
Achira Takuma,17,4,4,0,1,1,.500,296,72,.2,67,7,16,0,5,58,2,0,35,33,4.09,Chunichi Dragons,
Brito Sandy,10,0,0,0,0,0,.000,45,6,.2,7,0,18,0,0,1,7,0,11,8,10.80,Chunichi Dragons,
Fujishima Kento,3,1,0,0,0,0,1.000,12,4,,2,0,0,0,0,4,0,0,0,0,0.00,Chunichi Dragons,
Fuku Hiroto,12,0,0,1,0,0,.000,70,17,.1,9,1,9,0,1,18,0,0,3,3,1.56,Chunichi Dragons,
Fukutani Koji,11,3,2,0,0,0,.600,139,32,.2,38,1,6,0,0,29,2,0,17,14,3.86,Chunichi Dragons,
Hamada Tatsuro,15,1,2,0,0,0,.333,127,25,.2,33,3,19,0,3,18,3,0,28,25,8.77,Chunichi Dragons,
Hamada Tomohiro,17,0,1,0,0,0,.000,153,36,.2,35,4,12,0,2,19,3,0,19,16,3.93,Chunichi Dragons,
Ishida KentoMarc,18,0,1,0,0,0,.000,96,22,.2,14,1,15,0,1,21,1,0,8,5,1.99,Chunichi Dragons,
Ishikawa Sho,1,0,1,0,0,0,.000,24,4,,9,0,3,0,0,6,1,0,7,3,6.75,Chunichi Dragons,
Ito Junki,30,1,0,4,0,0,1.000,114,31,,14,0,11,0,0,24,0,0,1,1,0.29,Chunichi Dragons,
Kakigoshi Kenshin,15,3,2,0,0,0,.600,145,32,.2,34,4,16,0,4,16,1,0,14,13,3.58,Chunichi Dragons,
Kasahara Shotaro,7,1,0,1,0,0,1.000,76,18,,14,4,9,0,0,16,0,0,8,7,3.50,Chunichi Dragons,
Katsuno Akiyoshi,15,1,4,0,0,0,.200,243,53,.1,62,4,23,0,3,41,5,0,34,28,4.73,Chunichi Dragons,
Kinoshita Yusuke,22,1,3,1,0,0,.250,109,27,,26,4,7,0,0,27,2,0,14,11,3.67,Chunichi Dragons,
Martinez Raidel,9,3,0,1,0,0,1.000,44,11,.1,7,0,5,0,0,17,0,0,3,3,2.38,Chunichi Dragons,
Matayoshi Katsuki,18,1,0,3,0,0,1.000,77,21,.1,12,2,2,0,2,16,0,0,3,2,0.84,Chunichi Dragons,
Matsuba Takahiro,11,3,3,0,0,0,.500,181,45,.2,45,2,8,0,0,27,0,0,18,16,3.15,Chunichi Dragons,
Matsuzaka Daisuke,6,1,3,0,0,0,.250,118,28,,23,3,11,0,2,30,1,0,9,9,2.89,Chunichi Dragons,
Mitsuma Takuya,25,2,2,2,0,0,.500,122,28,.1,22,0,13,0,4,25,3,0,14,12,3.81,Chunichi Dragons,
Ogasawara Shinnosuke,5,2,1,0,0,0,.667,89,24,,17,1,2,0,0,16,2,0,4,4,1.50,Chunichi Dragons,
Oguma Ryosuke,27,0,1,3,0,0,.000,121,30,.2,27,2,2,0,2,23,1,0,12,12,3.52,Chunichi Dragons,
Okada Toshiya,13,0,3,2,0,0,.000,67,14,,17,3,3,0,1,10,0,0,16,9,5.79,Chunichi Dragons,
Ono Yudai,1,0,0,0,0,0,.000,19,4,,5,0,1,0,1,1,0,0,4,3,6.75,Chunichi Dragons,
Romero Enny,3,0,0,0,0,0,.000,53,14,,10,0,3,0,0,15,0,1,3,3,1.93,Chunichi Dragons,
Sato Yu,24,2,1,1,0,0,.667,184,45,,39,2,11,0,4,25,1,0,16,15,3.00,Chunichi Dragons,
Shimizu Tatsuya,18,3,1,0,0,0,.750,262,60,.2,54,3,21,0,5,53,4,2,24,18,2.67,Chunichi Dragons,
Sobue Daisuke,7,0,1,0,0,0,.000,31,7,.1,9,0,0,0,0,5,0,0,2,1,1.23,Chunichi Dragons,
Suzuki Hiroshi,23,1,1,1,0,0,.500,108,24,.1,28,1,9,0,1,29,4,2,14,12,4.44,Chunichi Dragons,
Suzuki Shota,22,1,4,0,0,0,.200,202,43,,38,4,34,0,6,33,6,0,24,23,4.81,Chunichi Dragons,
Tajima Shinji,23,0,3,1,0,0,.000,99,24,,18,2,7,0,2,27,2,0,11,7,2.63,Chunichi Dragons,
