Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,Unnamed: 12
大城 卓三,巨,1B,298.7,-0.5,0.2,-0.2,-,-0.5,-3.3,-,-,
大城 卓三,巨,DH,14.0,-,-,-,-,-,-0.2,-,-,
加藤 翔平,ロ,LF,34.7,-1.3,-1.8,-,0.5,0.0,-0.3,-,-,
加藤 翔平,ロ,CF,58.0,2.0,2.1,-,-0.1,0.0,0.2,-,-,
加藤 翔平,ロ,RF,162.0,1.6,2.4,-,-0.8,0.1,-0.6,-,-,
加藤 翔平,ロ,DH,6.0,-,-,-,-,-,-0.1,-,-,
坂本 勇人,巨,SS,1183.0,-3.0,-4.8,-0.6,-,2.4,9.5,-,-,
若林 晃弘,巨,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
若林 晃弘,巨,2B,487.7,-11.0,-7.9,0.5,-,-3.5,1.3,-,-,
若林 晃弘,巨,3B,81.7,0.5,-0.5,0.3,-,0.7,-0.3,-,-,
若林 晃弘,巨,SS,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
若林 晃弘,巨,LF,9.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
若林 晃弘,巨,CF,7.0,-0.1,-0.2,-,0.0,0.0,0.0,-,-,
若林 晃弘,巨,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
若林 晃弘,巨,DH,1.0,-,-,-,-,-,0.0,-,-,
上田 剛史,ヤ,LF,11.0,0.5,0.8,-,-0.3,0.0,-0.1,-,-,
上田 剛史,ヤ,CF,74.0,-0.1,-0.1,-,-0.1,0.0,0.2,-,-,
上田 剛史,ヤ,RF,15.7,-2.6,-2.1,-,-0.5,0.0,-0.1,-,-,
茂木 栄五郎,楽,3B,179.0,-0.2,-1.2,-0.5,-,1.4,-0.7,-,-,
茂木 栄五郎,楽,SS,1010.3,3.7,3.6,0.7,-,-0.6,8.1,-,-,
茂木 栄五郎,楽,DH,46.0,-,-,-,-,-,-0.5,-,-,
糸原 健斗,神,2B,950.0,-2.0,-6.4,1.5,-,2.8,2.5,-,-,
糸原 健斗,神,3B,124.0,-1.0,-1.2,0.0,-,0.1,-0.5,-,-,
糸原 健斗,神,SS,51.0,-4.5,-2.8,-0.6,-,-1.1,0.4,-,-,
増田 大輝,巨,2B,99.7,-1.1,-0.5,-0.4,-,-0.1,0.3,-,-,
増田 大輝,巨,3B,36.0,0.3,0.1,-0.1,-,0.2,-0.1,-,-,
増田 大輝,巨,SS,51.3,-2.6,-1.9,-0.2,-,-0.4,0.4,-,-,
増田 大輝,巨,LF,2.0,-0.5,-0.5,-,0.0,0.0,0.0,-,-,
増田 大輝,巨,CF,1.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
増田 大輝,巨,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
川島 慶三,ソ,1B,18.0,0.1,0.0,0.0,-,0.1,-0.2,-,-,
川島 慶三,ソ,2B,86.0,0.9,0.6,-0.2,-,0.5,0.2,-,-,
川島 慶三,ソ,LF,34.0,-1.9,-2.0,-,0.1,0.0,-0.3,-,-,
川島 慶三,ソ,DH,10.3,-,-,-,-,-,-0.1,-,-,
周東 佑京,ソ,2B,39.0,1.0,0.7,0.1,-,0.1,0.1,-,-,
周東 佑京,ソ,3B,5.0,1.0,0.7,0.1,-,0.2,0.0,-,-,
周東 佑京,ソ,LF,130.0,5.6,5.6,-,-0.1,0.1,-1.2,-,-,
周東 佑京,ソ,CF,10.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
周東 佑京,ソ,RF,139.0,1.8,2.2,-,-0.4,0.1,-0.5,-,-,
周東 佑京,ソ,DH,3.0,-,-,-,-,-,0.0,-,-,
山本 泰寛,巨,2B,342.0,-6.4,-4.9,-1.2,-,-0.2,0.9,-,-,
山本 泰寛,巨,3B,103.7,1.8,1.0,0.0,-,0.8,-0.4,-,-,
山本 泰寛,巨,SS,42.0,2.3,2.2,-0.4,-,0.4,0.3,-,-,
嶺井 博希,デ,C,330.3,-0.5,-,-,-0.6,0.1,4.6,-,-,
杉谷 拳士,日,1B,51.0,0.2,0.7,0.0,-,-0.5,-0.6,-,-,
杉谷 拳士,日,2B,38.0,2.4,2.0,0.1,-,0.3,0.1,-,-,
杉谷 拳士,日,3B,48.3,-1.2,0.1,-0.3,-,-1.0,-0.2,-,-,
杉谷 拳士,日,LF,94.3,-2.4,-1.7,-,-0.7,0.1,-0.9,-,-,
杉谷 拳士,日,CF,21.0,-0.1,-0.1,-,-0.1,0.0,0.1,-,-,
杉谷 拳士,日,RF,29.0,0.5,0.7,-,-0.2,0.0,-0.1,-,-,
杉谷 拳士,日,DH,8.7,-,-,-,-,-,-0.1,-,-,
足立 祐一,楽,C,121.3,0.3,-,-,0.3,0.0,1.7,-,-,
川端 慎吾,ヤ,1B,73.0,-1.1,-0.5,-0.1,-,-0.6,-0.8,-,-,
川端 慎吾,ヤ,3B,20.3,1.2,0.9,0.0,-,0.3,-0.1,-,-,
西浦 直亨,ヤ,SS,340.3,-9.4,-7.4,-1.4,-,-0.7,2.7,-,-,
嶋 基宏,楽,C,344.7,-6.1,-,-,-6.2,0.1,4.8,-,-,
釜元 豪,ソ,LF,65.0,3.7,2.1,-,1.6,0.0,-0.6,-,-,
釜元 豪,ソ,CF,379.0,-7.5,-5.2,-,-2.4,0.2,1.2,-,-,
釜元 豪,ソ,DH,3.0,-,-,-,-,-,0.0,-,-,
大和,デ,SS,1107.7,4.8,2.3,-0.2,-,2.7,8.9,-,-,
山下 斐紹,楽,C,94.3,0.1,-,-,0.1,0.0,1.3,-,-,
山下 斐紹,楽,1B,14.0,-0.4,-0.6,0.2,-,0.0,-0.2,-,-,
山下 斐紹,楽,LF,4.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
山下 斐紹,楽,DH,2.0,-,-,-,-,-,0.0,-,-,
三森 大貴,ソ,1B,39.3,-0.9,-1.0,0.0,-,0.1,-0.4,-,-,
三森 大貴,ソ,2B,63.0,-2.8,-2.1,-0.4,-,-0.3,0.2,-,-,
三森 大貴,ソ,DH,2.0,-,-,-,-,-,0.0,-,-,
明石 健志,ソ,1B,69.0,1.6,1.4,0.0,-,0.3,-0.8,-,-,
明石 健志,ソ,2B,523.7,-4.7,-3.7,-1.3,-,0.3,1.4,-,-,
明石 健志,ソ,LF,33.0,1.1,1.1,-,0.0,0.0,-0.3,-,-,
明石 健志,ソ,DH,6.0,-,-,-,-,-,-0.1,-,-,
伊藤 康祐,中,LF,61.0,-0.2,1.1,-,-0.4,-0.8,-0.6,-,-,
伊藤 康祐,中,RF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
三好 匠,楽,2B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
三好 匠,楽,SS,27.3,-1.1,-0.8,-0.4,-,0.1,0.2,-,-,
渡辺 勝,中,LF,21.0,-0.7,-0.9,-,0.2,0.0,-0.2,-,-,
渡辺 勝,中,RF,4.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
大引 啓次,ヤ,3B,236.7,-3.3,-2.6,-0.9,-,0.1,-0.9,-,-,
大引 啓次,ヤ,SS,5.3,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
大島 洋平,中,CF,1252.0,-0.5,-0.7,-,-0.6,0.8,4.1,-,-,
佐野 皓大,オ,LF,96.0,2.8,0.6,-,2.2,0.1,-0.9,-,-,
佐野 皓大,オ,CF,107.3,-1.7,-1.0,-,-0.8,0.1,0.4,-,-,
佐野 皓大,オ,RF,78.0,3.9,2.7,-,2.0,-0.8,-0.3,-,-,
佐野 皓大,オ,DH,2.0,-,-,-,-,-,0.0,-,-,
高田 知季,ソ,1B,11.0,-0.4,-0.3,-0.1,-,0.0,-0.1,-,-,
高田 知季,ソ,2B,77.0,0.6,1.5,0.1,-,-1.0,0.2,-,-,
高田 知季,ソ,SS,273.0,-2.2,-0.1,-0.6,-,-1.5,2.2,-,-,
中井 大介,デ,1B,7.0,0.0,-0.1,0.0,-,0.0,-0.1,-,-,
中井 大介,デ,2B,268.0,0.5,1.0,0.1,-,-0.7,0.7,-,-,
中井 大介,デ,3B,24.7,1.0,0.6,0.1,-,0.3,-0.1,-,-,
中井 大介,デ,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
中谷 将大,神,1B,69.0,0.7,1.0,0.1,-,-0.4,-0.8,-,-,
中谷 将大,神,LF,77.0,2.7,2.5,-,0.2,0.0,-0.7,-,-,
中谷 将大,神,CF,45.0,1.5,1.0,-,0.5,0.0,0.1,-,-,
中谷 将大,神,RF,96.3,1.6,2.2,-,-0.7,0.1,-0.4,-,-,
高山 俊,神,LF,298.0,-5.1,-4.0,-,-1.3,0.1,-2.8,-,-,
高山 俊,神,CF,1.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
高山 俊,神,RF,299.7,1.0,1.8,-,-0.9,0.1,-1.2,-,-,
中島 宏之,巨,1B,53.3,-1.6,-1.0,-0.1,-,-0.5,-0.6,-,-,
中島 宏之,巨,3B,24.7,-1.8,-0.5,0.0,-,-1.3,-0.1,-,-,
宮崎 祐樹,オ,LF,7.0,0.3,0.3,-,0.0,0.0,-0.1,-,-,
宮崎 祐樹,オ,CF,20.0,-1.8,-1.8,-,0.0,0.0,0.1,-,-,
宮崎 祐樹,オ,RF,14.0,-0.4,-0.5,-,0.1,0.0,-0.1,-,-,
後藤 駿太,オ,CF,279.7,-1.6,-1.2,-,-0.6,0.2,0.9,-,-,
後藤 駿太,オ,RF,129.3,0.9,1.0,-,-0.1,0.1,-0.5,-,-,
秋山 翔吾,西,CF,1281.7,-4.7,-4.7,-,0.1,-0.1,4.2,-,-,
重信 慎之介,巨,LF,258.0,3.3,4.0,-,-0.9,0.1,-2.4,-,-,
重信 慎之介,巨,CF,35.3,0.4,0.1,-,0.3,0.0,0.1,-,-,
重信 慎之介,巨,RF,41.7,0.6,0.2,-,0.5,0.0,-0.2,-,-,
陽岱鋼,巨,CF,8.0,0.6,0.7,-,-0.1,0.0,0.0,-,-,
陽岱鋼,巨,RF,451.0,8.9,8.6,-,0.1,0.2,-1.8,-,-,
西川 龍馬,広,1B,25.0,1.0,0.9,0.0,-,0.1,-0.3,-,-,
西川 龍馬,広,LF,543.7,0.5,0.1,-,0.0,0.3,-5.1,-,-,
西川 龍馬,広,CF,578.7,-0.8,-1.0,-,-0.1,0.3,1.9,-,-,
中川 圭太,オ,1B,240.7,1.6,0.7,-0.1,-,1.0,-2.6,-,-,
中川 圭太,オ,3B,223.7,-0.5,-1.5,0.3,-,0.7,-0.8,-,-,
中川 圭太,オ,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
中川 圭太,オ,RF,329.7,-4.8,-2.2,-,-2.8,0.1,-1.3,-,-,
中川 圭太,オ,DH,9.0,-,-,-,-,-,-0.1,-,-,
