Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Maeda Yamato,42,94,81,4,20,1,0,0,21,3,1,0,4,3,5,0,1,12,3,.247,.259,.289,DeNA BayStars,
Maki Shugo,133,561,517,76,152,33,0,23,254,74,11,0,0,2,37,5,5,59,13,.294,.491,.346,DeNA BayStars,
Matsumoto Ryoto,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Matsumoto Ryunosuke,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Matsuo Shion,27,40,38,3,8,3,0,0,11,1,0,0,0,0,1,0,1,8,1,.211,.289,.250,DeNA BayStars,
Mishima Kazuki,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Miyagi Daita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Miyazaki Toshiro,125,469,410,49,116,24,0,14,182,56,1,1,0,1,52,11,6,29,9,.283,.444,.371,DeNA BayStars,
Mori Keito,71,200,187,16,47,12,1,0,61,5,8,6,0,1,12,2,0,43,4,.251,.326,.295,DeNA BayStars,
Mori Yuito,14,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,.250,.250,.250,DeNA BayStars,
Morihara Kohei,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Nakagawa Hayate,29,14,12,1,3,0,0,1,6,3,0,0,2,0,0,0,0,3,0,.250,.500,.250,DeNA BayStars,
Nakagawa Koh,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Nishiura Naomichi,8,17,15,3,4,0,1,0,6,1,0,0,0,0,2,1,0,5,2,.267,.400,.353,DeNA BayStars,
Ohnuki Shinichi,15,30,24,1,2,0,0,0,2,0,0,0,5,0,1,0,0,9,0,.083,.083,.120,DeNA BayStars,
Sakamoto Yuya,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Sano Keita,139,566,524,51,143,34,0,8,201,62,0,0,0,3,35,3,4,53,17,.273,.384,.322,DeNA BayStars,
Sasaki Chihaya,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Sekine Taiki,79,142,128,14,29,2,0,0,31,4,2,3,1,0,11,0,2,19,2,.227,.242,.298,DeNA BayStars,
Shibata Tatsuhiro,82,34,23,4,6,0,0,0,6,2,1,0,7,0,3,1,1,7,0,.261,.261,.370,DeNA BayStars,
Taira Kentaro,4,10,10,2,2,0,0,0,2,1,0,0,0,0,0,0,0,7,0,.200,.200,.200,DeNA BayStars,
Tobashira Yasutaka,46,97,90,4,22,4,0,0,26,4,0,0,1,0,5,0,1,15,5,.244,.289,.292,DeNA BayStars,
Tokuyama Souma,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Tsutsugoh Yoshitomo,57,168,149,12,28,6,3,7,61,23,0,0,0,1,16,1,2,51,5,.188,.409,.274,DeNA BayStars,
Watarai Ryuki,75,272,251,21,64,7,1,3,82,24,2,2,1,1,12,0,7,43,6,.255,.327,.306,DeNA BayStars,
Wendelken J.B.,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Wick Rowan,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
Yamamoto Yuudai,108,403,358,29,104,14,2,5,137,37,1,1,9,6,27,1,3,41,12,.291,.383,.340,DeNA BayStars,
Yamasaki Yasuaki,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Yoshino Teruki,7,13,9,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,.000,.000,.182,DeNA BayStars,
Akahoshi Yuji,21,16,12,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,.000,.000,.000,Yomiuri Giants,
Akihiro Yuto,26,48,46,5,12,1,0,0,13,1,1,0,0,0,2,0,0,12,1,.261,.283,.292,Yomiuri Giants,
Asano Shogo,40,158,146,18,35,11,2,3,59,18,1,0,2,1,7,1,2,27,2,.240,.404,.282,Yomiuri Giants,
Baba Kosuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Baldonado Alberto,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Chono Hisayoshi,54,98,89,5,23,3,1,0,28,14,1,1,0,0,9,1,0,25,2,.258,.315,.327,Yomiuri Giants,
Funabasama Hiromasa,51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Griffin Foster,20,35,30,0,3,2,0,0,5,2,0,0,5,0,0,0,0,11,0,.100,.167,.100,Yomiuri Giants,
Hagio Masaya,56,163,149,13,32,8,2,2,50,12,0,2,1,1,11,1,1,41,4,.215,.336,.272,Yomiuri Giants,
Hatake Seishu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Heinai Ryuta,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Hernandez Elier,56,240,221,34,65,11,0,8,100,30,0,1,0,1,15,1,3,58,8,.294,.452,.346,Yomiuri Giants,
Hotta Kenshin,17,11,9,0,1,0,0,0,1,0,0,0,2,0,0,0,0,5,0,.111,.111,.111,Yomiuri Giants,
Imamura Nobutaka,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Inoue Haruto,25,34,28,1,4,0,0,0,4,2,0,0,5,0,1,0,0,9,0,.143,.143,.172,Yomiuri Giants,
Itoh Yusuke,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Izuguchi Yuta,66,185,164,10,33,6,1,1,44,9,1,0,3,0,18,1,0,24,2,.201,.268,.280,Yomiuri Giants,
