Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Nishi Yuki,21,6,7,0,0,1,1,511,124.2,113,5,71,23,2,5,0,39,31,2.24,3.14,3.86,1.09,127,98,106,-0.90,1.0%,13.9%,4.5%,9.4%,49.8%,28.3%,82.1%,8.4%,27.3%,87.8,Hanshin Tigers,33,R,CL
Ohtake Koutaro,24,11,7,0,0,0,0,587,144.2,134,8,91,33,1,1,1,47,45,2.80,3.25,3.81,1.15,102,101,105,-0.45,1.4%,15.5%,5.6%,9.9%,49.0%,22.3%,87.5%,5.5%,28.4%,84.8,Hanshin Tigers,29,L,CL
Okadome Hidetaka,35,1,0,1,6,0,0,163,38.0,36,1,24,11,1,2,0,16,12,2.84,3.19,4.00,1.24,100,99,110,-0.35,0.6%,14.7%,6.7%,8.0%,43.5%,24.8%,79.3%,9.7%,26.8%,90.3,Hanshin Tigers,24,R,CL
Oyokawa Masaki,9,1,3,0,0,1,0,121,29.1,25,2,23,10,1,0,2,11,9,2.76,3.43,3.73,1.19,103,106,102,-0.67,1.7%,19.0%,8.3%,10.7%,61.2%,22.9%,81.6%,7.4%,28.8%,88.6,Hanshin Tigers,23,L,CL
Saiki Hiroto,25,13,3,0,0,4,3,671,167.2,140,4,137,38,2,0,4,35,34,1.83,2.44,3.32,1.06,155,76,91,-0.61,0.6%,20.4%,5.7%,14.8%,45.5%,26.4%,80.2%,8.9%,28.3%,92.3,Hanshin Tigers,25,R,CL
Satoh Ren,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.09,1.47,0.00,999,34,40,-1.09,0.0%,33.3%,0.0%,33.3%,100.0%,44.4%,81.8%,11.8%,17.6%,95.1,Hanshin Tigers,26,R,CL
Shimamoto Hiroya,33,2,1,0,6,0,0,113,25.2,27,1,10,10,0,1,1,9,8,2.81,4.10,4.80,1.44,101,127,132,-1.29,0.9%,8.8%,8.8%,0.0%,51.6%,26.0%,80.5%,9.2%,24.1%,88.1,Hanshin Tigers,31,L,CL
Takahashi Haruto,5,4,1,0,0,0,0,114,29.2,20,0,28,4,0,1,1,5,5,1.52,1.71,2.69,0.81,187,53,74,-0.19,0.0%,24.6%,3.5%,21.1%,75.6%,37.7%,74.7%,12.4%,33.4%,90.5,Hanshin Tigers,28,L,CL
Tomida Ren,33,0,1,0,4,0,0,142,35.2,26,1,22,5,1,2,1,7,3,0.76,2.81,3.60,0.87,374,87,99,-2.05,0.7%,15.5%,3.5%,12.0%,37.2%,21.4%,82.3%,8.6%,27.0%,87.6,Hanshin Tigers,22,L,CL
Urushihara Taisei,38,1,4,0,5,0,0,153,34.2,38,0,22,17,0,0,0,16,15,3.89,3.29,4.47,1.59,73,102,123,0.60,0.0%,14.4%,11.1%,3.3%,59.8%,23.1%,84.5%,6.2%,25.5%,90.8,Hanshin Tigers,27,R,CL
Aduwa Makoto,20,6,4,0,0,1,1,452,106.1,102,9,61,29,2,5,0,43,37,3.13,4.00,4.09,1.23,94,120,113,-0.87,2.0%,13.5%,6.4%,7.1%,42.2%,24.7%,81.3%,8.7%,26.3%,89.9,Hiroshima Carp,25,R,CL
Corniel Robert,16,0,0,0,0,0,0,71,17.0,15,1,14,7,0,0,0,7,5,2.65,3.44,3.81,1.29,111,103,105,-0.79,1.4%,19.7%,9.9%,9.9%,54.0%,12.4%,81.4%,6.8%,28.8%,95.2,Hiroshima Carp,29,R,CL
Endoh Atsushi,3,0,0,0,0,0,0,17,4.0,5,0,0,3,0,0,0,2,2,4.50,5.34,6.56,2.00,66,160,181,-0.84,0.0%,0.0%,17.6%,-17.6%,50.0%,6.1%,94.7%,1.6%,22.2%,87.6,Hiroshima Carp,25,R,CL
Hasebe Ginji,5,0,0,0,1,0,0,25,7.0,1,0,4,5,0,0,0,0,0,0.00,4.09,5.20,0.86,999,122,143,-4.09,0.0%,16.0%,20.0%,-4.0%,50.0%,20.0%,82.1%,6.7%,26.9%,90.1,Hiroshima Carp,25,L,CL
Hatch Thomas,5,0,3,0,0,0,0,105,22.0,28,5,18,10,0,2,1,18,18,7.36,6.04,4.04,1.73,40,181,111,1.32,4.8%,17.1%,9.5%,7.6%,48.6%,27.0%,80.3%,9.4%,25.8%,93.1,Hiroshima Carp,29,R,CL
Hearn Taylor,35,0,1,2,17,0,0,129,35.0,18,1,26,7,0,0,0,5,5,1.29,2.57,3.33,0.71,229,77,91,-1.28,0.8%,20.2%,5.4%,14.7%,57.9%,31.0%,75.8%,12.2%,30.5%,94.6,Hiroshima Carp,29,L,CL
Horie Atsuya,53,2,0,0,16,0,0,174,40.0,39,0,38,16,0,4,1,13,7,1.58,2.69,3.54,1.38,187,81,97,-1.11,0.0%,21.8%,9.2%,12.6%,67.0%,22.5%,79.9%,8.5%,28.8%,93.0,Hiroshima Carp,27,L,CL
Kawano Kei,13,0,0,1,0,0,0,72,16.2,20,1,17,4,0,1,0,4,4,2.16,2.73,2.99,1.44,136,82,82,-0.57,1.4%,23.6%,5.6%,18.1%,44.7%,16.8%,80.6%,8.1%,29.2%,89.9,Hiroshima Carp,22,R,CL
Kemna Makoto,5,0,0,0,0,0,0,25,5.0,6,0,5,5,0,0,0,1,1,1.80,4.09,4.80,2.20,164,122,132,-2.29,0.0%,20.0%,20.0%,0.0%,53.3%,23.6%,83.3%,6.7%,25.7%,92.8,Hiroshima Carp,29,R,CL
Kuri Aren,23,7,10,0,0,1,1,529,131.2,115,12,95,29,2,4,1,49,47,3.21,3.58,3.55,1.09,92,107,98,-0.37,2.3%,18.0%,5.5%,12.5%,nan%,nan%,nan%,nan%,nan%,,Hiroshima Carp,32,R,CL
Kuribayashi Ryoji,60,0,6,38,12,0,0,214,55.0,33,3,65,16,2,2,3,14,12,1.96,2.42,2.51,0.89,150,72,69,-0.46,1.4%,30.4%,7.5%,22.9%,52.0%,26.8%,67.8%,15.1%,32.7%,92.2,Hiroshima Carp,27,R,CL
Kurohara Takumi,53,4,3,0,3,0,0,244,59.2,40,2,67,20,0,3,0,15,14,2.11,2.43,2.87,1.01,140,73,79,-0.32,0.8%,27.5%,8.2%,19.3%,51.3%,30.1%,71.8%,13.8%,30.7%,91.5,Hiroshima Carp,24,L,CL
Masuda Takehisa,10,0,0,0,3,0,0,45,8.1,12,2,9,6,0,2,0,6,6,6.48,6.93,4.13,2.16,45,208,114,-0.45,4.4%,20.0%,13.3%,6.7%,50.0%,17.3%,83.8%,6.7%,26.4%,93.0,Hiroshima Carp,25,R,CL
Matsumoto Ryuya,12,0,1,0,0,0,0,50,12.2,9,1,10,5,2,0,0,4,4,2.84,3.72,3.80,1.11,104,111,104,-0.88,2.0%,20.0%,10.0%,10.0%,51.9%,23.0%,84.0%,8.3%,23.9%,91.2,Hiroshima Carp,24,R,CL
Mori Shohei,5,1,3,0,0,1,0,109,26.2,25,1,17,4,1,1,0,10,8,2.70,2.86,3.61,1.09,109,86,99,-0.16,0.9%,15.6%,3.7%,11.9%,54.1%,19.6%,79.5%,8.9%,29.6%,89.4,Hiroshima Carp,26,L,CL
Morishita Masato,23,10,10,0,0,2,1,612,151.2,137,6,98,29,3,7,2,46,43,2.55,3.02,3.67,1.09,116,91,101,-0.47,1.0%,16.0%,4.7%,11.3%,51.4%,27.2%,81.5%,8.9%,28.3%,91.1,Hiroshima Carp,26,R,CL
Moriura Daisuke,53,2,0,0,17,0,0,203,46.2,40,1,43,27,6,1,0,13,13,2.51,3.32,4.01,1.44,117,100,110,-0.81,0.5%,21.2%,13.3%,7.9%,54.3%,29.2%,72.9%,12.2%,29.7%,91.1,Hiroshima Carp,26,L,CL
Nakazaki Shota,24,1,1,0,3,0,0,94,23.0,24,1,16,2,0,1,1,5,5,1.96,2.65,3.31,1.13,150,79,91,-0.69,1.1%,17.0%,2.1%,14.9%,45.3%,24.2%,84.6%,7.7%,23.4%,91.0,Hiroshima Carp,31,R,CL
Nomura Yusuke,3,0,1,0,0,0,0,46,11.0,11,1,8,2,0,0,0,4,3,2.45,3.36,3.50,1.18,120,101,96,-0.91,2.2%,17.4%,4.3%,13.0%,38.9%,26.4%,80.7%,8.7%,26.2%,84.5,Hiroshima Carp,35,R,CL
Ohmichi Haruki,4,0,0,0,0,0,0,22,4.1,9,3,2,0,0,0,0,5,5,10.38,11.16,3.89,2.08,28,334,107,-0.78,13.6%,9.1%,0.0%,9.1%,35.0%,24.4%,92.1%,3.5%,23.3%,91.1,Hiroshima Carp,25,R,CL
Ohsera Daichi,25,6,6,0,0,2,1,627,155.0,118,5,98,49,3,3,0,37,32,1.86,3.25,4.02,1.08,158,97,110,-1.39,0.8%,15.6%,7.8%,7.8%,46.1%,25.3%,83.0%,7.8%,26.8%,89.7,Hiroshima Carp,33,R,CL
Shimauchi Sotaro,58,11,6,0,24,0,0,238,55.1,43,2,53,27,2,2,4,20,17,2.77,3.21,3.71,1.27,106,96,102,-0.44,0.8%,22.3%,11.3%,10.9%,47.3%,28.4%,71.5%,13.2%,29.9%,94.5,Hiroshima Carp,27,R,CL
Taka Taichi,1,0,0,0,1,0,0,8,2.0,1,0,2,1,0,0,0,0,0,0.00,2.59,3.55,1.00,999,78,98,-2.59,0.0%,25.0%,12.5%,12.5%,80.0%,33.3%,84.6%,6.1%,36.4%,91.0,Hiroshima Carp,22,L,CL
Takahashi Kouya,1,0,0,1,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.09,1.47,0.00,999,33,40,-1.09,0.0%,33.3%,0.0%,33.3%,100.0%,nan%,100.0%,0.0%,28.6%,91.5,Hiroshima Carp,25,L,CL
Takita Kazuki,1,1,0,0,0,0,0,18,4.0,2,0,5,4,0,0,0,1,1,2.25,3.59,4.24,1.50,131,107,117,-1.34,0.0%,27.8%,22.2%,5.6%,33.3%,25.0%,65.5%,12.7%,30.4%,91.4,Hiroshima Carp,22,L,CL
Tamamura Shogo,15,4,5,0,0,2,0,311,76.0,77,3,58,11,0,2,1,32,25,2.96,2.59,3.29,1.16,100,78,90,0.37,1.0%,18.6%,3.5%,15.1%,42.6%,26.0%,82.3%,8.2%,30.3%,87.9,Hiroshima Carp,23,L,CL
Tokoda Hiroki,26,11,9,0,0,0,0,693,167.0,170,9,95,48,4,4,0,52,46,2.48,3.59,4.12,1.31,119,107,113,-1.11,1.3%,13.7%,6.9%,6.8%,52.1%,26.2%,82.3%,8.1%,28.4%,88.8,Hiroshima Carp,29,L,CL
Tsunehiro Hayato,2,1,0,0,0,0,0,52,11.0,15,0,7,4,0,1,1,3,3,2.45,3.18,4.22,1.73,120,95,116,-0.73,0.0%,13.5%,7.7%,5.8%,52.5%,29.3%,80.7%,8.6%,27.4%,91.3,Hiroshima Carp,22,R,CL
Yasaki Takuya,26,1,1,0,10,0,0,108,25.0,22,2,17,13,0,1,0,10,10,3.60,4.45,4.43,1.40,82,133,122,-0.85,1.9%,15.7%,12.0%,3.7%,44.2%,22.7%,73.9%,11.4%,25.5%,90.8,Hiroshima Carp,29,R,CL
Azuma Katsuki,26,13,4,0,0,2,2,731,183.0,166,11,140,27,2,6,0,45,44,2.16,2.88,3.25,1.05,140,84,89,-0.72,1.5%,19.2%,3.7%,15.5%,46.2%,33.0%,80.4%,9.8%,29.8%,88.9,DeNA BayStars,28,L,CL
Diaz Yofrec,7,0,0,0,4,0,0,19,4.2,2,0,1,3,0,0,3,0,0,0.00,4.59,5.85,1.07,999,134,161,-4.59,0.0%,5.3%,15.8%,-10.5%,46.7%,27.5%,62.1%,16.4%,26.9%,92.6,DeNA BayStars,25,L,CL
Hamaguchi Haruhiro,11,2,4,0,0,1,0,229,52.2,47,3,45,29,0,1,0,26,19,3.25,3.83,4.10,1.44,93,112,113,-0.58,1.3%,19.7%,12.7%,7.0%,49.4%,22.2%,80.3%,8.2%,29.1%,87.4,DeNA BayStars,29,L,CL
Horioka Hayato,6,0,0,0,1,0,0,24,6.0,5,0,6,1,1,0,0,0,0,0.00,1.59,2.72,1.00,999,46,75,-1.59,0.0%,25.0%,4.2%,20.8%,57.1%,36.6%,74.4%,13.9%,25.3%,92.6,DeNA BayStars,25,R,CL
Ise Hiromu,37,2,3,0,18,0,0,129,32.1,28,5,28,5,0,2,1,13,13,3.62,4.02,3.02,1.02,83,117,83,-0.40,3.9%,21.7%,3.9%,17.8%,33.0%,30.7%,79.0%,10.4%,31.2%,91.4,DeNA BayStars,26,R,CL
Ishida Kenta,6,2,3,0,0,0,0,126,32.0,28,5,24,6,0,0,0,13,12,3.38,4.18,3.37,1.06,89,122,93,-0.80,4.0%,19.0%,4.8%,14.3%,46.9%,30.3%,76.1%,10.9%,30.5%,86.3,DeNA BayStars,31,L,CL
Ishida Yutaro,12,4,3,0,0,1,1,260,59.0,76,4,39,12,1,0,1,27,26,3.97,3.26,3.76,1.49,76,95,103,0.71,1.5%,15.0%,4.6%,10.4%,52.2%,24.7%,86.1%,6.2%,28.2%,90.3,DeNA BayStars,22,R,CL
Ishikawa Tatsuya,15,0,0,0,2,0,0,58,14.0,15,1,8,3,0,1,0,3,3,1.93,3.73,3.94,1.29,157,109,108,-1.80,1.7%,13.8%,5.2%,8.6%,41.3%,30.0%,81.7%,9.2%,25.1%,89.4,DeNA BayStars,26,L,CL
Jackson Andre,25,8,7,0,0,0,0,587,143.0,109,8,121,51,3,6,9,53,46,2.90,3.32,3.61,1.12,104,97,99,-0.42,1.4%,20.6%,8.7%,11.9%,51.5%,28.0%,76.6%,10.6%,30.2%,94.3,DeNA BayStars,28,R,CL
Kamichatani Taiga,18,2,2,0,1,0,0,110,22.2,32,3,16,11,2,1,0,14,11,4.37,4.99,4.35,1.90,69,146,119,-0.62,2.7%,14.5%,10.0%,4.5%,44.3%,26.2%,84.4%,6.9%,27.2%,90.0,DeNA BayStars,27,R,CL
Kay Anthony,24,6,9,0,0,1,0,590,136.2,130,6,119,53,5,7,4,61,52,3.42,3.23,3.68,1.34,88,95,101,0.19,1.0%,20.2%,9.0%,11.2%,56.5%,30.7%,77.7%,10.6%,27.2%,94.1,DeNA BayStars,29,L,CL
Kozono Kenta,1,0,1,0,0,0,0,18,2.2,7,0,3,3,0,0,0,5,5,16.88,4.21,4.80,3.75,18,123,132,12.67,0.0%,16.7%,16.7%,0.0%,83.3%,21.6%,80.0%,9.2%,25.0%,89.2,DeNA BayStars,21,R,CL
Kyoyama Masaya,23,2,1,0,5,0,0,103,22.1,18,0,20,18,4,0,3,7,5,2.01,3.71,4.61,1.61,150,109,127,-1.70,0.0%,19.4%,17.5%,1.9%,51.7%,21.1%,78.7%,7.7%,24.6%,92.7,DeNA BayStars,25,R,CL
Matsumoto Ryoto,10,0,0,0,1,0,0,50,10.2,10,0,3,6,1,2,0,7,7,5.91,4.78,5.40,1.50,51,140,148,1.13,0.0%,6.0%,12.0%,-6.0%,41.2%,23.8%,80.2%,8.7%,21.7%,90.6,DeNA BayStars,22,R,CL
Matsumoto Ryunosuke,1,0,0,0,0,0,0,22,5.0,6,0,4,3,0,0,0,2,2,3.60,3.29,4.35,1.80,84,96,119,0.31,0.0%,18.2%,13.6%,4.5%,46.7%,17.9%,72.0%,8.9%,35.4%,86.9,DeNA BayStars,21,L,CL
Mishima Kazuki,7,1,1,0,0,0,0,33,7.0,6,1,7,6,0,0,0,4,4,5.14,5.52,4.50,1.71,59,161,124,-0.38,3.0%,21.2%,18.2%,3.0%,45.0%,14.9%,83.0%,5.9%,23.7%,90.7,DeNA BayStars,34,R,CL
Miyagi Daita,1,0,0,0,0,0,0,12,2.0,3,0,4,3,0,0,0,3,3,13.50,3.59,3.97,3.00,22,105,109,9.91,0.0%,33.3%,25.0%,8.3%,20.0%,28.0%,55.0%,19.1%,38.3%,92.0,DeNA BayStars,23,R,CL
Mori Yuito,14,1,3,0,1,0,0,157,32.1,50,4,25,8,2,3,0,33,27,7.52,4.17,3.72,1.79,40,122,102,3.35,2.5%,15.9%,5.1%,10.8%,51.3%,28.7%,81.2%,8.3%,29.4%,88.7,DeNA BayStars,32,R,CL
Morihara Kohei,58,2,6,29,11,0,0,247,59.2,54,3,59,12,4,1,0,18,16,2.41,2.42,2.90,1.11,125,71,80,-0.01,1.2%,23.9%,4.9%,19.0%,46.2%,36.9%,77.6%,12.2%,29.7%,92.3,DeNA BayStars,32,R,CL
Nakagawa Hayate,29,3,0,1,5,0,0,250,57.0,65,3,36,13,0,6,0,30,28,4.42,3.51,3.88,1.37,68,103,107,0.91,1.2%,14.4%,5.2%,9.2%,52.6%,23.1%,84.0%,7.5%,27.5%,81.5,DeNA BayStars,25,R,CL
Nakagawa Koh,31,1,3,0,10,0,0,134,31.0,29,2,30,10,2,1,2,11,11,3.19,3.06,3.31,1.26,95,89,91,0.13,1.5%,22.4%,7.5%,14.9%,55.9%,32.5%,70.1%,13.9%,32.9%,93.4,DeNA BayStars,24,R,CL
Ohnuki Shinichi,15,6,7,0,0,0,0,370,88.1,78,6,58,24,0,4,0,35,28,2.85,3.61,3.88,1.15,106,105,107,-0.76,1.6%,15.7%,6.5%,9.2%,59.5%,27.7%,81.7%,7.9%,30.3%,88.2,DeNA BayStars,30,R,CL
Sakamoto Yuya,48,1,1,0,13,0,0,190,45.0,43,3,39,12,2,1,3,16,11,2.20,3.09,3.38,1.22,137,90,93,-0.89,1.6%,20.5%,6.3%,14.2%,46.2%,31.5%,74.3%,12.4%,28.7%,90.8,DeNA BayStars,26,L,CL
Sasaki Chihaya,28,0,1,1,6,0,0,158,37.0,30,3,28,17,2,2,0,9,8,1.95,4.17,4.10,1.27,155,122,113,-2.22,1.9%,17.7%,10.8%,7.0%,50.9%,24.0%,79.7%,8.3%,31.8%,87.4,DeNA BayStars,30,R,CL
Taira Kentaro,4,2,0,0,0,1,1,108,29.2,24,1,22,2,0,0,0,4,4,1.21,2.25,2.95,0.88,250,66,81,-1.04,0.9%,20.4%,1.9%,18.5%,53.6%,36.8%,78.5%,10.1%,32.7%,89.0,DeNA BayStars,28,R,CL
Tokuyama Souma,29,1,1,0,8,0,0,125,29.1,27,1,12,15,0,0,2,10,8,2.45,4.25,5.04,1.43,123,124,139,-1.80,0.8%,9.6%,12.0%,-2.4%,51.0%,22.7%,82.8%,8.0%,22.2%,93.2,DeNA BayStars,25,R,CL
Wendelken J.B.,28,1,1,0,16,0,0,109,26.1,20,1,25,9,0,2,0,5,5,1.71,2.94,3.33,1.10,177,86,92,-1.23,0.9%,22.9%,8.3%,14.7%,45.2%,26.8%,76.1%,11.5%,27.0%,92.1,DeNA BayStars,31,R,CL
Wick Rowan,43,5,1,1,11,0,0,193,45.0,36,3,50,20,1,1,3,16,13,2.60,3.13,3.25,1.24,116,92,89,-0.53,1.6%,25.9%,10.4%,15.5%,45.0%,28.1%,76.9%,11.1%,28.8%,95.1,DeNA BayStars,31,R,CL
Yamasaki Yasuaki,38,3,5,4,11,0,0,163,37.2,35,4,29,11,0,3,1,18,14,3.35,4.04,3.70,1.22,90,118,102,-0.69,2.5%,17.8%,6.7%,11.0%,50.4%,24.8%,82.3%,8.1%,28.5%,91.5,DeNA BayStars,31,R,CL
Yoshino Teruki,7,3,2,0,0,0,0,137,31.1,34,5,29,11,0,1,1,15,15,4.31,4.46,3.49,1.44,70,130,96,-0.15,3.6%,21.2%,8.0%,13.1%,37.9%,23.5%,75.7%,10.3%,29.2%,90.7,DeNA BayStars,25,R,CL
Akahoshi Yuji,21,1,7,0,1,0,0,291,75.0,66,8,43,10,0,2,1,28,26,3.12,3.81,3.67,1.01,94,115,101,-0.69,2.7%,14.8%,3.4%,11.3%,60.6%,23.8%,82.2%,7.9%,28.2%,91.5,Yomiuri Giants,24,R,CL
Baba Kosuke,1,0,0,0,0,0,0,3,0.2,1,0,1,0,0,0,0,0,0,0.00,0.09,1.47,1.50,999,3,40,-0.09,0.0%,33.3%,0.0%,33.3%,0.0%,14.3%,71.4%,12.5%,31.2%,90.9,Yomiuri Giants,29,R,CL
Baldonado Alberto,58,2,3,9,26,0,0,220,51.2,40,1,63,28,1,0,2,15,14,2.44,2.53,3.21,1.32,120,76,88,-0.09,0.5%,28.6%,12.7%,15.9%,35.9%,21.9%,71.1%,13.1%,26.7%,93.7,Yomiuri Giants,31,L,CL
Funabasama Hiromasa,51,4,0,0,22,0,0,150,38.0,28,4,23,8,2,3,0,12,10,2.37,4.11,3.80,0.95,123,125,104,-1.74,2.7%,15.3%,5.3%,10.0%,42.5%,16.1%,81.4%,7.7%,29.6%,91.1,Yomiuri Giants,27,R,CL
Griffin Foster,20,6,4,0,0,0,0,468,116.2,99,9,126,23,0,4,0,40,39,3.01,2.63,2.60,1.05,97,79,71,0.38,1.9%,26.9%,4.9%,22.0%,50.3%,30.8%,73.5%,12.3%,33.1%,90.9,Yomiuri Giants,28,L,CL
Hatake Seishu,1,0,0,0,0,0,0,10,3.0,1,1,3,0,0,0,0,1,1,3.00,5.42,1.80,0.33,97,164,49,-2.42,10.0%,30.0%,0.0%,30.0%,28.6%,31.6%,71.4%,10.8%,37.8%,90.2,Yomiuri Giants,30,R,CL
Heinai Ryuta,31,1,2,0,2,0,0,140,33.1,35,4,22,6,1,1,2,11,8,2.16,3.96,3.66,1.23,135,120,101,-1.80,2.9%,15.7%,4.3%,11.4%,56.8%,29.3%,76.2%,11.5%,28.6%,93.9,Yomiuri Giants,25,R,CL
Hotta Kenshin,17,3,3,0,0,0,0,200,51.1,43,2,30,13,0,2,0,14,14,2.45,3.30,3.95,1.09,119,100,109,-0.85,1.0%,15.0%,6.5%,8.5%,51.0%,29.1%,80.7%,8.6%,28.5%,92.0,Yomiuri Giants,23,R,CL
Imamura Nobutaka,7,0,0,0,0,0,0,30,8.0,6,0,7,1,0,1,0,2,2,2.25,2.09,2.80,0.88,130,63,77,0.16,0.0%,23.3%,3.3%,20.0%,50.0%,26.1%,84.3%,7.4%,28.7%,89.2,Yomiuri Giants,30,L,CL
Inoue Haruto,25,8,5,0,2,0,0,413,101.0,87,5,99,27,1,3,3,33,31,2.76,2.66,3.06,1.13,106,81,84,0.10,1.2%,24.0%,6.5%,17.4%,52.1%,30.4%,77.2%,10.3%,31.0%,90.6,Yomiuri Giants,23,L,CL
Itoh Yusuke,8,0,0,0,1,0,0,32,8.2,5,0,8,3,0,1,0,1,1,1.04,2.63,3.24,0.92,281,79,89,-1.59,0.0%,25.0%,9.4%,15.6%,60.0%,22.5%,83.1%,6.9%,27.6%,92.0,Yomiuri Giants,27,R,CL
Izumi Keisuke,35,2,0,1,5,0,0,149,37.1,28,0,30,11,2,4,1,10,8,1.93,2.69,3.52,1.04,151,81,97,-0.76,0.0%,20.1%,7.4%,12.8%,47.4%,24.8%,81.8%,8.3%,26.7%,92.2,Yomiuri Giants,27,R,CL
Keller Kyle,52,2,2,1,20,0,0,183,47.0,24,5,54,19,1,0,0,10,8,1.53,3.39,2.89,0.91,191,102,79,-1.86,2.7%,29.5%,10.4%,19.1%,30.3%,31.1%,70.7%,14.2%,30.5%,95.0,Yomiuri Giants,31,R,CL
