Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Wilkerson Aaron,6,1,1,0,0,0,78,19.0,13,2,12,7,0,2,0,9,8,3.79,5.12,4.16,1.05,96,121,109,-1.33,2.6%,15.4%,9.0%,6.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Aduwa Makoto,20,2,7,0,0,0,308,69.0,84,6,40,20,0,6,1,35,33,4.30,4.70,4.15,1.51,83,113,109,-0.40,1.9%,13.0%,6.5%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Anderson Drew,4,1,0,0,0,0,75,18.2,12,1,21,5,0,3,0,7,6,2.89,3.33,2.67,0.91,124,80,70,-0.44,1.3%,28.0%,6.7%,21.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Corniel Robert,12,1,0,1,0,0,52,12.0,6,0,13,12,0,1,2,2,1,0.75,4.68,4.61,1.50,478,113,121,-3.93,0.0%,25.0%,23.1%,1.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Endoh Atsushi,1,1,0,0,0,0,25,8.0,0,0,8,0,0,0,0,0,0,0.00,1.60,1.60,0.00,999,39,42,-1.60,0.0%,32.0%,0.0%,32.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Franzua Geronimo,8,1,0,0,0,0,35,7.2,9,2,6,2,0,1,1,6,6,7.04,6.60,3.66,1.43,51,159,96,0.44,5.7%,17.1%,5.7%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Fujii Reira,29,1,4,1,0,0,150,36.0,30,2,35,15,0,0,4,13,13,3.25,3.62,3.47,1.25,110,87,91,-0.37,1.3%,23.3%,10.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Horie Atsuya,16,2,0,0,0,0,68,16.0,14,0,12,7,0,0,1,5,5,2.81,3.41,4.06,1.31,128,82,106,-0.60,0.0%,17.6%,10.3%,7.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Ichioka Ryuji,28,2,1,3,0,0,117,29.0,15,1,21,14,0,1,2,11,9,2.79,4.15,4.20,1.00,128,100,110,-1.36,0.9%,17.9%,12.0%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kemna Makoto,10,0,0,3,0,0,36,10.0,4,0,8,2,0,0,1,0,0,0.00,2.60,3.13,0.60,999,63,82,-2.60,0.0%,22.2%,5.6%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kikuchi Yasunori,26,0,1,2,0,0,116,25.2,25,3,20,10,0,2,0,12,11,3.86,4.96,3.94,1.36,93,119,103,-1.10,2.6%,17.2%,8.6%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kobayashi Tatsuto,8,4,0,0,1,0,184,46.2,35,5,27,9,0,1,0,15,14,2.70,4.47,3.82,0.94,133,108,100,-1.77,2.7%,14.7%,4.9%,9.8%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kuri Aren,1,1,0,0,0,0,23,7.0,2,0,5,2,0,1,0,0,0,0.00,3.45,3.50,0.57,999,83,92,-3.45,0.0%,21.7%,8.7%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Matsumoto Ryuya,3,0,0,1,0,0,13,4.0,1,0,4,1,0,0,0,0,0,0.00,2.35,2.49,0.50,999,57,65,-2.35,0.0%,30.8%,7.7%,23.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Mori Shohei,13,4,3,0,0,0,313,75.1,65,4,61,26,0,2,8,24,23,2.75,3.78,3.68,1.21,130,91,96,-1.03,1.3%,19.5%,8.3%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Moriura Daisuke,9,0,0,2,0,0,32,9.0,7,0,12,1,0,0,0,0,0,0.00,1.26,1.36,0.89,999,30,36,-1.26,0.0%,37.5%,3.1%,34.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakamura Raisei,3,0,0,0,0,0,13,2.2,4,0,2,1,0,0,0,4,4,13.50,3.22,4.03,1.88,27,78,105,10.28,0.0%,15.4%,7.7%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakamura Yuta,20,5,7,0,0,0,434,100.0,112,13,64,23,0,5,3,55,52,4.68,4.85,3.86,1.35,77,117,101,-0.17,3.0%,14.7%,5.3%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakata Ren,33,1,3,1,0,0,158,34.2,41,4,25,12,0,1,3,22,17,4.41,4.78,3.98,1.53,81,115,104,-0.37,2.5%,15.8%,7.6%,8.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakazaki Shota,17,0,0,3,0,0,70,17.1,16,0,17,5,0,0,0,2,2,1.04,2.50,3.09,1.21,345,60,81,-1.46,0.0%,24.3%,7.1%,17.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Namiki Shun,18,0,3,1,0,0,110,25.2,23,2,14,14,1,0,3,14,10,3.51,5.15,4.80,1.44,102,124,126,-1.64,1.8%,12.7%,12.7%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nomura Yusuke,14,2,2,1,1,0,272,64.0,69,3,30,15,0,0,1,23,22,3.09,3.97,4.25,1.31,116,96,111,-0.88,1.1%,11.0%,5.5%,5.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Ohmichi Haruki,16,2,8,0,0,0,287,68.0,64,4,52,26,0,2,6,37,33,4.37,4.07,3.89,1.32,82,98,102,0.30,1.4%,18.1%,9.1%,9.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Sakata Rei,9,0,1,0,0,0,49,8.2,8,0,5,16,0,2,2,12,8,8.31,8.67,7.04,2.77,43,209,184,-0.36,0.0%,10.2%,32.7%,-22.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Shimauchi Sotaro,20,0,1,2,0,0,103,26.0,18,1,29,10,0,0,2,8,7,2.42,3.02,2.96,1.08,148,73,77,-0.60,1.0%,28.2%,9.7%,18.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Shinya Soh,4,1,0,0,0,0,20,4.0,4,0,3,4,0,0,1,2,2,4.50,5.10,5.30,2.00,80,123,139,-0.60,0.0%,15.0%,20.0%,-5.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Takahashi Koya,12,4,2,0,0,0,260,59.2,55,2,41,25,0,0,1,28,15,2.26,3.91,4.18,1.34,159,94,109,-1.65,0.8%,15.8%,9.6%,6.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tamamura Shogo,6,1,3,0,0,0,124,29.0,30,5,23,8,0,2,1,16,15,4.66,5.29,3.59,1.31,77,127,94,-0.63,4.0%,18.5%,6.5%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tanaka Norihiko,26,4,1,3,0,0,134,31.0,28,1,24,19,0,1,3,19,19,5.52,4.40,4.43,1.52,65,106,116,1.12,0.7%,17.9%,14.2%,3.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Toda Takaya,8,0,0,0,0,0,38,6.1,15,2,6,3,0,2,0,11,10,14.21,8.17,4.01,2.84,25,197,105,6.04,5.3%,15.8%,7.9%,7.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Tokoda Hiroki,1,0,0,0,0,0,25,6.0,4,0,5,3,0,0,0,1,1,1.50,3.43,4.00,1.17,239,83,105,-1.93,0.0%,20.0%,12.0%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Turley Nik,5,2,0,1,0,0,17,5.0,1,0,7,1,0,0,0,0,0,0.00,1.40,1.27,0.40,999,34,33,-1.40,0.0%,41.2%,5.9%,35.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yabuta Kazuki,21,7,1,3,0,0,221,54.1,39,1,44,22,0,4,4,14,14,2.32,3.65,3.80,1.12,154,88,99,-1.33,0.5%,19.9%,10.0%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yamaguchi Sho,14,0,1,1,0,0,65,13.2,17,0,6,8,0,1,0,11,8,5.27,4.69,5.11,1.83,68,113,134,0.58,0.0%,9.2%,12.3%,-3.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Yasaki Takuya,1,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.60,4.80,1.00,999,87,126,-3.60,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Ariyoshi Yuki,17,6,1,0,0,0,294,69.2,78,5,32,13,0,1,2,24,19,2.45,4.21,4.15,1.31,143,104,109,-1.76,1.7%,10.9%,4.4%,6.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Asada Sota,22,0,6,1,0,0,152,25.2,34,3,9,43,0,2,3,43,34,11.92,9.67,7.04,3.00,29,239,184,2.25,2.0%,5.9%,28.3%,-22.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Azuma Katsuki,11,4,2,0,0,0,185,46.2,39,3,43,4,0,0,0,15,12,2.31,2.85,2.69,0.92,151,70,70,-0.54,1.6%,23.2%,2.2%,21.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Cordero Starlin,28,1,7,0,0,0,179,35.0,38,3,34,34,0,7,5,38,35,9.00,6.28,4.80,2.06,39,155,126,2.72,1.7%,19.0%,19.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Fukazawa Osuke,4,0,0,0,0,0,20,4.2,6,0,5,0,0,0,0,3,2,3.86,1.45,2.30,1.29,90,36,60,2.41,0.0%,25.0%,0.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Gsellman Robert,3,0,0,0,0,0,16,2.2,5,0,3,1,0,0,0,6,1,3.38,2.47,3.55,2.25,103,61,93,0.91,0.0%,18.8%,6.2%,12.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Hamaguchi Haruhiro,2,0,0,0,0,0,41,10.1,5,1,9,6,0,0,0,2,2,1.74,4.85,4.07,1.06,201,120,107,-3.11,2.4%,22.0%,14.6%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Hirata Shingo,2,0,1,0,0,0,10,2.0,3,0,3,1,0,0,0,1,1,4.50,2.10,2.80,2.00,78,52,73,2.40,0.0%,30.0%,10.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Ikeya Sota,31,2,2,0,0,0,127,30.1,26,2,26,14,0,1,3,13,9,2.67,4.22,3.86,1.32,131,104,101,-1.55,1.6%,20.5%,11.0%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Imanaga Shota,3,1,0,0,0,0,51,15.0,5,0,19,3,0,0,0,0,0,0.00,1.66,1.66,0.53,999,41,43,-1.66,0.0%,37.3%,5.9%,31.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Ishida Kenta,4,1,1,0,0,0,77,18.2,16,1,21,5,0,0,0,7,4,1.93,2.85,2.72,1.13,181,70,71,-0.92,1.3%,27.3%,6.5%,20.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Ishikawa Tatsuya,22,2,1,2,0,0,119,32.2,17,1,41,9,0,0,0,4,4,1.10,2.31,2.11,0.80,318,57,55,-1.21,0.8%,34.5%,7.6%,26.9%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kamichatani Taiga,7,2,2,0,0,0,120,29.0,31,3,27,5,0,3,2,15,13,4.03,3.91,2.97,1.24,87,97,78,0.12,2.5%,22.5%,4.2%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kato Dai,3,0,1,0,0,0,15,3.0,5,0,3,3,0,1,2,3,3,9.00,5.60,4.80,2.67,39,138,126,3.40,0.0%,20.0%,20.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kozono Kenta,3,0,0,0,0,0,19,4.2,3,0,1,1,0,0,0,1,0,0.00,3.81,4.80,0.86,999,94,126,-3.81,0.0%,5.3%,5.3%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kriske Brooks,14,0,2,1,0,0,64,15.0,9,1,30,9,0,0,4,7,7,4.20,2.26,1.52,1.20,83,56,40,1.94,1.6%,46.9%,14.1%,32.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kyoyama Masaya,7,2,2,0,1,0,193,43.2,38,2,33,19,0,6,2,19,17,3.50,4.40,4.07,1.31,100,109,107,-0.90,1.0%,17.1%,9.8%,7.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Marcelino Hansel,1,0,0,0,0,0,4,1.0,0,0,0,1,0,0,1,0,0,0.00,6.60,7.30,1.00,999,163,191,-6.60,0.0%,0.0%,25.0%,-25.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Mikami Tomoya,9,0,0,1,0,0,33,8.2,4,0,6,2,0,0,0,1,1,1.04,2.90,3.59,0.69,336,72,94,-1.86,0.0%,18.2%,6.1%,12.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Mishima Kazuki,11,0,0,0,0,0,48,11.2,10,3,14,2,0,1,0,5,4,3.09,5.31,2.30,1.03,113,131,60,-2.22,6.2%,29.2%,4.2%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Miura Ginji,28,1,5,1,0,0,200,49.1,37,4,51,17,0,1,4,19,19,3.47,3.68,3.10,1.09,101,91,81,-0.21,2.0%,25.5%,8.5%,17.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Miyagi Daita,27,2,0,1,0,0,138,32.2,21,0,41,18,0,5,1,9,9,2.48,3.20,3.13,1.19,141,79,82,-0.72,0.0%,29.7%,13.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Miyaguni Ryosuke,15,1,2,0,0,0,134,32.0,38,3,28,7,0,1,3,13,12,3.38,3.81,3.23,1.41,103,94,85,-0.43,2.2%,20.9%,5.2%,15.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Morihara Kohei,5,1,0,0,0,0,21,5.0,4,1,10,1,0,1,0,1,1,1.80,3.40,0.51,1.00,194,84,13,-1.60,4.8%,47.6%,4.8%,42.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Nakagawa Koh,32,2,1,8,0,0,154,34.2,30,1,38,21,0,0,4,14,11,2.86,3.60,3.70,1.47,122,89,97,-0.74,0.6%,24.7%,13.6%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Peoples Michael,6,0,3,0,0,0,80,17.1,22,1,8,8,0,0,0,14,10,5.19,4.81,4.80,1.73,67,119,126,0.38,1.2%,10.0%,10.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Romero Fernando,5,0,3,0,0,0,119,26.0,26,4,22,16,0,3,0,14,9,3.12,6.10,4.30,1.62,112,151,113,-2.98,3.4%,18.5%,13.4%,5.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakaguchi Kousuke,19,6,7,0,0,0,453,105.2,93,7,91,50,0,6,10,42,34,2.90,4.32,3.89,1.35,120,107,102,-1.42,1.5%,20.1%,11.0%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakamoto Yuya,10,2,2,0,0,0,205,45.1,55,7,41,17,0,0,1,29,22,4.37,4.92,3.63,1.59,80,122,95,-0.55,3.4%,20.0%,8.3%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sakurai Shuto,13,1,1,2,0,0,64,15.2,8,0,17,12,0,0,2,5,4,2.30,3.72,4.02,1.28,152,92,105,-1.42,0.0%,26.6%,18.8%,7.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Sunada Yoshiki,21,0,1,1,0,0,108,24.0,28,3,21,6,0,2,2,12,11,4.13,4.47,3.41,1.42,85,110,89,-0.34,2.8%,19.4%,5.6%,13.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Taira Kentaro,4,1,0,0,0,0,58,15.0,11,2,20,2,0,0,1,8,8,4.80,3.06,1.70,0.87,73,76,45,1.74,3.4%,34.5%,3.4%,31.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Takada Takuto,26,0,3,0,0,0,147,32.0,31,1,18,26,0,1,5,21,18,5.06,5.41,5.34,1.78,69,134,140,-0.35,0.7%,12.2%,17.7%,-5.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Tanaka Kenjiro,5,0,0,0,0,0,20,4.2,6,1,5,1,0,0,0,2,2,3.86,4.88,2.80,1.50,90,121,73,-1.02,5.0%,25.0%,5.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
