                   Player   G   PA   AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K Age  Pos  B                Team League
77         Tamamura Shogo   6   10    9   1   1   0   0   0   1    2   0   0   0   0   5   1    0   0    0  0.111  0.200  0.111  0.311     0  0.000  0.250   60.0%   50.0%  10.0%  0.20  24    1  L      Hiroshima Carp     CL
78        Tamura Shunsuke  25   69   63   5  16   0   1   1  21    4   0   1   0   0  14   6    1   0    1  0.254  0.319  0.333  0.652   103  0.079  0.312   30.4%   20.3%   8.7%  0.43  21    3  L      Hiroshima Carp     CL
79          Tokoda Hiroki   8   20   20   2   7   1   0   0   8    0   0   0   0   0   2   0    0   0    1  0.350  0.350  0.400  0.750   132  0.050  0.389   10.0%   10.0%   0.0%  0.00  30    1  L      Hiroshima Carp     CL
80       Yamaashi Tatsuya  11   14    9   2   1   0   0   0   1    1   0   0   3   0   0   2    0   0    1  0.111  0.273  0.111  0.384    24  0.000  0.111   14.3%    0.0%  14.3%  1.00  31  UTL  R      Hiroshima Carp     CL
81            Yano Masaya  40  161  131  11  25   4   1   0  31   10   0   3  10   1  35  16    0   3    1  0.191  0.291  0.237  0.528    66  0.046  0.258   31.7%   21.7%   9.9%  0.46  26    6  L      Hiroshima Carp     CL
82           Austin Tyler  18   75   64  14  16   5   0   2  27    9   0   0   0   0   7  11    1   0    2  0.250  0.360  0.422  0.782   148  0.172  0.255   26.7%    9.3%  14.7%  1.57  33    3  R       DeNA BayStars     CL
83          Azuma Katsuki   7   18   11   0   1   0   0   0   1    0   0   0   6   0   6   1    0   0    0  0.091  0.167  0.091  0.258   -17  0.000  0.200   38.9%   33.3%   5.6%  0.17  29    1  L       DeNA BayStars     CL
84           Bauer Trevor   7   16   15   0   0   0   0   0   0    0   0   0   1   0  11   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   68.8%   68.8%   0.0%  0.00  34    1  R       DeNA BayStars     CL
85           Ebina Tatsuo  29   81   72  13  16   5   1   0  23    5   1   1   0   2  16   6    0   1    3  0.222  0.284  0.319  0.603    91  0.097  0.276   27.2%   19.8%   7.4%  0.38  27    9  R       DeNA BayStars     CL
87         Hayashi Takuma  32   56   46  11  10   3   0   0  13    1   6   1   1   0  11   8    0   1    2  0.217  0.345  0.283  0.628   101  0.066  0.286   33.9%   19.6%  14.3%  0.73  24    6  L       DeNA BayStars     CL
91          Ishida Yutaro   3    1    1   1   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%   0.0%        23    1  R       DeNA BayStars     CL
92         Ishikami Taiki  15   33   28   3   4   0   0   0   4    2   1   0   0   0  10   5    1   0    0  0.143  0.273  0.143  0.416    35  0.000  0.222   45.5%   30.3%  15.2%  0.50  24    6  L       DeNA BayStars     CL
93          Jackson Andre   7   16   13   0   0   0   0   0   0    0   0   0   2   0  10   1    0   0    0  0.000  0.071  0.000  0.071   -77  0.000  0.000   68.8%   62.5%   6.2%  0.10  29    1  R       DeNA BayStars     CL
94         Kajiwara Kouki  26  101   96  10  22   5   0   1  30    6   1   1   0   0  23   3    0   2    1  0.229  0.267  0.313  0.580    84  0.084  0.292   26.7%   22.8%   3.0%  0.13  25    8  L       DeNA BayStars     CL
95        Kamizato Kazuki  20    3    2   0   0   0   0   0   0    0   1   0   0   0   1   1    0   0    0  0.000  0.333  0.000  0.333    12  0.000  0.000   66.7%   33.3%  33.3%  1.00  31    7  L       DeNA BayStars     CL
96      Katsumata Atsushi   6    8    8   0   3   0   0   0   3    0   0   0   0   0   1   0    0   0    0  0.375  0.375  0.375  0.750   139  0.000  0.429   12.5%   12.5%   0.0%  0.00  25    7  L       DeNA BayStars     CL
97            Kay Anthony   7   17   10   0   1   0   0   0   1    0   0   0   6   0   6   1    0   0    0  0.100  0.182  0.100  0.282    -9  0.000  0.250   41.2%   35.3%   5.9%  0.17  30    1  L       DeNA BayStars     CL
98            Kuki Ryuhei  10   10   10   0   3   0   1   0   5    0   0   0   0   0   2   0    0   0    0  0.300  0.300  0.500  0.800   151  0.200  0.375   20.0%   20.0%   0.0%  0.00  26       R       DeNA BayStars     CL
99      Kuwahara Masayuki  12   55   48   6  12   2   0   0  14    2   4   0   3   0   5   3    0   1    2  0.250  0.308  0.292  0.600    91  0.042  0.279   14.5%    9.1%   5.5%  0.60  31    8  R       DeNA BayStars     CL
100            Kyoda Yota  23   44   42   2   9   2   0   0  11    2   0   0   0   0  11   1    0   1    1  0.214  0.250  0.262  0.512    63  0.048  0.290   27.3%   25.0%   2.3%  0.09  31    6  L       DeNA BayStars     CL
101            Maki Shugo  40  176  161  23  46  12   0   7  79   29   1   0   0   0  32  10    2   5    1  0.286  0.347  0.491  0.838   164  0.205  0.320   27.8%   18.2%   5.7%  0.31  27    4  R       DeNA BayStars     CL
102          Matsuo Shion  22   46   41   7  15   3   0   3  27    8   0   0   0   3   3   2    0   0    1  0.366  0.370  0.659  1.029   223  0.293  0.316   17.4%    6.5%   4.3%  0.67  20    2  R       DeNA BayStars     CL
