                 Pitcher   G  W  L  SV  HLD  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
38          Suzuki Kenya  13  2  0   0    0   0    0   65  15.1  12   1   7   6    1   2   0   6   5   2.93   4.35   4.65  1.17   97  136    129   -1.42   1.5%  10.8%   9.2%    1.5%  27  R      Hiroshima Carp     CL
39       Takahashi Kouya   1  0  0   0    0   0    0    9   3.0   1   0   1   1    0   0   0   0   0   0.00   3.19   4.80  0.67  999  100    133   -3.19   0.0%  11.1%  11.1%    0.0%  26  L      Hiroshima Carp     CL
40        Tamamura Shogo   8  3  4   0    0   0    0  177  43.1  42   0  31   6    0   1   0  17  16   3.32   1.91   3.39  1.11   86   60     94    1.41   0.0%  17.5%   3.4%   14.1%  24  L      Hiroshima Carp     CL
41         Tokoda Hiroki  11  6  4   0    0   5    3  323  84.1  62   1  45  15    2   0   1  17  15   1.60   2.47   3.87  0.91  178   77    107   -0.87   0.3%  13.9%   4.6%    9.3%  30  L      Hiroshima Carp     CL
42         Azuma Katsuki   9  6  2   0    0   0    0  249  60.1  55   4  48  10    0   2   0  20  12   1.79   2.72   3.27  1.08  154   88     91   -0.93   1.6%  19.3%   4.0%   15.3%  29  L       DeNA BayStars     CL
43          Bauer Trevor  11  4  3   0    0   2    1  321  80.0  69   8  70  22    1   1   1  27  27   3.04   3.27   3.30  1.14   91  106     91   -0.23   2.5%  21.8%   6.9%   15.0%  34  R       DeNA BayStars     CL
44        Hamachi Masumi   3  0  0   0    0   0    0   12   3.0   2   2   5   1    0   0   0   2   2   6.00   9.19   1.47  1.00   46  297     41   -3.19  16.7%  41.7%   8.3%   33.3%  27  R       DeNA BayStars     CL
45        Horioka Hayato   6  0  0   0    0   0    0   35   7.0  10   0  11   4    1   0   0   3   2   2.57   1.42   2.80  2.00  107   46     77    1.15   0.0%  31.4%  11.4%   20.0%  26  R       DeNA BayStars     CL
46           Irie Taisei  22  1  1  12    2   0    0   83  21.1  10   2  22   7    1   1   0   3   3   1.27   3.13   2.99  0.80  217  101     83   -1.86   2.4%  26.5%   8.4%   18.1%  26  R       DeNA BayStars     CL
47            Ise Hiromu  18  0  0   3   13   0    0   60  16.1   9   0  22   3    0   0   0   3   3   1.65   0.71   1.63  0.73  167   23     45    0.94   0.0%  36.7%   5.0%   31.7%  27  R       DeNA BayStars     CL
